Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Antonie Paterakis,67.0,2.0,1.0,3.0,3.0,2.0,1.0,15.0,3.0,2.0,15.0,8.0,2.0,4.0,4.0,2.0
2.0,Mattheo de Wit,102.0,12.0,3.0,13.0,8.0,9.0,11.0,8.0,2.0,7.0,2.0,7.0,10.0,1.0,7.0,2.0
3.0,Ivo Stoutjesdijk,149.0,18.0,7.0,8.0,9.0,7.0,9.0,3.0,11.0,8.0,8.0,13.0,21.0,20.0,5.0,2.0
4.0,Timo Regoor,226.0,17.0,17.0,17.0,11.0,5.0,7.0,26.0,30.0,23.0,1.0,24.0,21.0,13.0,12.0,2.0
5.0,Mats Valk,227.0,3.0,4.0,1.0,2.0,1.0,3.0,11.0,1.0,3.0,45.0,4.0,41.0,91.0,15.0,2.0
6.0,Olivier Vos,246.0,10.0,25.0,5.0,6.0,6.0,6.0,1.0,19.0,5.0,46.0,23.0,47.0,24.0,21.0,2.0
7.0,Vincent Chan,290.0,15.0,12.0,23.0,16.0,20.0,27.0,26.0,10.0,19.0,23.0,28.0,27.0,40.0,2.0,2.0
8.0,Rick Hamburger,315.0,10.0,19.0,14.0,23.0,28.0,29.0,26.0,30.0,17.0,51.0,30.0,28.0,2.0,6.0,2.0
9.0,Midas Kiebert,320.0,29.0,35.0,24.0,10.0,13.0,12.0,25.0,30.0,21.0,43.0,17.0,37.0,3.0,19.0,2.0
10.0,Erik Akkersdijk,324.0,13.0,15.0,6.0,7.0,8.0,10.0,5.0,5.0,16.0,24.0,10.0,19.0,129.0,55.0,2.0
11.0,Daan Baartmans,371.0,22.0,16.0,18.0,31.0,33.0,46.0,9.0,15.0,9.0,62.0,32.0,38.0,7.0,31.0,2.0
12.0,Tijmen van der Ree,375.0,9.0,9.0,11.0,13.0,26.0,38.0,26.0,12.0,6.0,113.0,52.0,41.0,16.0,1.0,2.0
13.0,Luca Stalpers,386.0,45.0,42.0,21.0,18.0,15.0,14.0,4.0,22.0,27.0,58.0,19.0,57.0,22.0,20.0,2.0
14.0,Daniël Kassab,399.0,41.0,13.0,20.0,21.0,18.0,24.0,26.0,17.0,42.0,68.0,44.0,7.0,10.0,46.0,2.0
15.0,Luuk van Gastel,414.0,21.0,23.0,16.0,17.0,10.0,20.0,26.0,30.0,46.0,61.0,45.0,36.0,47.0,14.0,2.0
16.0,Tim Cents,462.0,16.0,5.0,25.0,46.0,88.0,72.0,26.0,30.0,76.0,9.0,26.0,13.0,11.0,17.0,2.0
17.0,Maarten Smit,467.0,44.0,19.0,29.0,34.0,30.0,32.0,6.0,7.0,22.0,3.0,12.0,29.0,182.0,16.0,2.0
18.0,Mika Smulders,494.0,4.0,2.0,4.0,4.0,46.0,72.0,26.0,8.0,4.0,113.0,56.0,44.0,59.0,50.0,2.0
19.0,Mark Bennis,501.0,61.0,62.0,19.0,18.0,12.0,13.0,26.0,30.0,49.0,13.0,16.0,2.0,87.0,91.0,2.0
20.0,Daan Kusters,508.0,27.0,36.0,22.0,33.0,24.0,72.0,26.0,30.0,37.0,113.0,21.0,31.0,31.0,3.0,2.0
21.0,Jonathan Brugge,524.0,36.0,72.0,26.0,15.0,11.0,8.0,26.0,30.0,35.0,113.0,22.0,33.0,48.0,47.0,2.0
22.0,Finn van der Maas,555.0,37.0,39.0,32.0,47.0,88.0,72.0,26.0,30.0,29.0,50.0,38.0,24.0,30.0,11.0,2.0
22.0,Tristan Jansen,555.0,7.0,34.0,9.0,20.0,47.0,72.0,26.0,30.0,64.0,113.0,36.0,46.0,39.0,10.0,2.0
24.0,Twan Dullemond,586.0,1.0,11.0,1.0,1.0,3.0,2.0,26.0,6.0,1.0,113.0,116.0,100.0,64.0,139.0,2.0
25.0,Jan van Dorst,593.0,48.0,49.0,54.0,49.0,74.0,40.0,23.0,30.0,36.0,18.0,63.0,18.0,35.0,54.0,2.0
26.0,Tim van Loo,646.0,83.0,56.0,62.0,48.0,35.0,34.0,26.0,30.0,69.0,41.0,65.0,40.0,29.0,26.0,2.0
27.0,Robert Antal,660.0,29.0,26.0,30.0,59.0,88.0,72.0,26.0,30.0,14.0,54.0,51.0,48.0,99.0,32.0,2.0
27.0,Jorian Meeuse,660.0,24.0,8.0,38.0,52.0,41.0,35.0,26.0,20.0,24.0,113.0,31.0,55.0,142.0,49.0,2.0
29.0,Maksim Chen,663.0,24.0,50.0,7.0,22.0,52.0,72.0,26.0,30.0,78.0,113.0,48.0,59.0,42.0,38.0,2.0
30.0,Gijs Peletier,720.0,91.0,32.0,87.0,57.0,64.0,52.0,26.0,30.0,102.0,73.0,14.0,15.0,38.0,37.0,2.0
31.0,Pim Kloet,721.0,63.0,22.0,78.0,84.0,45.0,37.0,26.0,30.0,58.0,107.0,15.0,91.0,19.0,44.0,2.0
32.0,Reinier Schippers,723.0,6.0,41.0,12.0,12.0,17.0,23.0,26.0,22.0,14.0,89.0,1.0,83.0,257.0,118.0,2.0
33.0,Maxim Onushkin,747.0,107.0,95.0,50.0,27.0,21.0,17.0,26.0,30.0,0.0,0.0,5.0,147.0,220.0,0.0,2.0
34.0,Ole Meindersma,749.0,8.0,23.0,28.0,95.0,88.0,72.0,26.0,30.0,12.0,113.0,106.0,51.0,18.0,77.0,2.0
34.0,Jonathan Plug,749.0,33.0,30.0,47.0,81.0,88.0,72.0,26.0,30.0,43.0,113.0,98.0,1.0,21.0,64.0,2.0
36.0,Daniël Veldman,806.0,51.0,55.0,49.0,98.0,88.0,72.0,26.0,30.0,45.0,113.0,116.0,6.0,27.0,28.0,2.0
37.0,Robin Verstraten,811.0,94.0,14.0,97.0,83.0,58.0,62.0,26.0,15.0,105.0,60.0,80.0,4.0,28.0,83.0,2.0
38.0,Guus de Wit,816.0,38.0,44.0,37.0,61.0,69.0,51.0,20.0,14.0,39.0,30.0,78.0,61.0,254.0,18.0,2.0
39.0,Nick Nijssen,839.0,31.0,56.0,31.0,25.0,19.0,15.0,26.0,30.0,26.0,113.0,2.0,254.0,197.0,12.0,2.0
40.0,Roel Hoogeveen,858.0,47.0,70.0,91.0,54.0,56.0,72.0,26.0,30.0,52.0,105.0,75.0,50.0,50.0,78.0,2.0
41.0,Simon Nammensma,861.0,78.0,67.0,42.0,32.0,31.0,72.0,26.0,30.0,98.0,113.0,72.0,80.0,5.0,113.0,2.0
42.0,Koen van Aller,884.0,56.0,48.0,44.0,39.0,39.0,31.0,26.0,30.0,154.0,32.0,39.0,95.0,154.0,95.0,2.0
43.0,Amiel Engel,896.0,14.0,38.0,51.0,24.0,88.0,58.0,26.0,30.0,55.0,113.0,49.0,12.0,169.0,167.0,2.0
44.0,Koen Roos,931.0,26.0,42.0,67.0,56.0,88.0,72.0,26.0,30.0,50.0,113.0,116.0,123.0,111.0,9.0,2.0
45.0,Maarten Schuil,951.0,77.0,72.0,95.0,103.0,88.0,72.0,26.0,30.0,90.0,31.0,82.0,9.0,78.0,96.0,2.0
46.0,Wouter Komduur,964.0,125.0,171.0,33.0,26.0,22.0,18.0,26.0,30.0,108.0,33.0,61.0,215.0,53.0,41.0,2.0
47.0,Florine Zuur,974.0,89.0,139.0,111.0,152.0,88.0,72.0,26.0,30.0,47.0,57.0,116.0,8.0,12.0,25.0,2.0
48.0,Gert-Jan Broere,1024.0,81.0,31.0,144.0,206.0,88.0,72.0,26.0,30.0,18.0,113.0,55.0,17.0,61.0,80.0,2.0
49.0,Lisa Rengers,1032.0,97.0,124.0,109.0,63.0,88.0,72.0,26.0,30.0,88.0,113.0,42.0,137.0,8.0,33.0,2.0
50.0,Julian Duijker,1044.0,111.0,32.0,103.0,100.0,88.0,45.0,26.0,30.0,119.0,113.0,116.0,62.0,25.0,72.0,2.0
51.0,Juri Christian van der Zwart,1051.0,142.0,108.0,118.0,86.0,49.0,50.0,26.0,30.0,63.0,17.0,57.0,132.0,74.0,97.0,2.0
52.0,Robin Teune,1077.0,5.0,46.0,10.0,14.0,14.0,19.0,26.0,30.0,32.0,113.0,84.0,292.0,223.0,167.0,2.0
53.0,Mick Boekema,1085.0,66.0,115.0,74.0,92.0,88.0,72.0,26.0,30.0,107.0,19.0,116.0,157.0,78.0,43.0,2.0
54.0,Joris Mühlsteff,1089.0,87.0,81.0,75.0,82.0,60.0,54.0,7.0,21.0,148.0,26.0,66.0,71.0,280.0,29.0,2.0
55.0,Olivier van Luijk,1094.0,182.0,119.0,114.0,72.0,88.0,72.0,26.0,30.0,161.0,6.0,116.0,5.0,15.0,86.0,2.0
