Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
1.0,Ayooluwa Samuel Dada,15.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,Sadiq Ahmed,62.0,3.0,8.0,8.0,3.0,2.0,2.0,1.0,2.0,10.0,15.0,6.0,2.0
2.0,David Okoro-Sokoh,62.0,6.0,4.0,3.0,6.0,3.0,2.0,7.0,2.0,7.0,7.0,13.0,2.0
4.0,Emmanuel Hawkins,66.0,4.0,9.0,5.0,13.0,3.0,2.0,6.0,2.0,10.0,2.0,8.0,2.0
5.0,Ehikhuemen Paul,67.0,8.0,21.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,13.0,2.0
6.0,Arinze Owoh,71.0,13.0,5.0,7.0,8.0,3.0,2.0,12.0,2.0,5.0,9.0,3.0,2.0
7.0,Kamaru-Deen Lawal,77.0,5.0,2.0,4.0,13.0,3.0,2.0,10.0,2.0,10.0,11.0,13.0,2.0
8.0,Victor Ebubechukwu Tobechukwu Asiwe,78.0,14.0,1.0,10.0,10.0,3.0,2.0,5.0,2.0,10.0,6.0,13.0,2.0
9.0,Adejuwon Adebusuyi Oluwemimo,85.0,11.0,11.0,6.0,4.0,3.0,2.0,37.0,2.0,2.0,3.0,2.0,2.0
10.0,Akin Falase,86.0,16.0,7.0,9.0,13.0,3.0,2.0,14.0,2.0,6.0,8.0,4.0,2.0
11.0,Atobatele Oreoluwapo David,100.0,9.0,10.0,13.0,7.0,3.0,2.0,13.0,2.0,3.0,23.0,13.0,2.0
12.0,Oluleke-Oke John,108.0,10.0,6.0,12.0,13.0,3.0,2.0,8.0,2.0,8.0,29.0,13.0,2.0
13.0,Oghenerukevwe Esemitodje,116.0,19.0,15.0,14.0,9.0,3.0,2.0,15.0,2.0,10.0,12.0,13.0,2.0
14.0,Madubuko Felix,135.0,7.0,17.0,26.0,13.0,3.0,2.0,11.0,2.0,10.0,29.0,13.0,2.0
15.0,Lawrence Obioma,141.0,15.0,28.0,15.0,13.0,3.0,2.0,9.0,2.0,10.0,29.0,13.0,2.0
16.0,Ethan Ugwuegbu,143.0,20.0,12.0,16.0,13.0,3.0,2.0,21.0,2.0,10.0,29.0,13.0,2.0
17.0,David Oluwateniayomi Koleola,144.0,26.0,13.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,5.0,5.0,2.0
18.0,David Ikekhuah,148.0,2.0,43.0,26.0,13.0,3.0,2.0,3.0,2.0,10.0,29.0,13.0,2.0
18.0,Awo Joseph,148.0,21.0,14.0,26.0,13.0,3.0,2.0,17.0,2.0,10.0,25.0,13.0,2.0
20.0,Anthony Orji,151.0,22.0,26.0,11.0,5.0,3.0,2.0,37.0,2.0,10.0,18.0,13.0,2.0
21.0,Temiloluwa Ishola,155.0,37.0,22.0,23.0,13.0,3.0,2.0,19.0,2.0,9.0,14.0,9.0,2.0
22.0,Mbonu Abraham,174.0,38.0,23.0,21.0,13.0,3.0,2.0,37.0,2.0,10.0,13.0,10.0,2.0
23.0,Ositade Iremide,177.0,18.0,43.0,26.0,13.0,3.0,2.0,16.0,2.0,10.0,29.0,13.0,2.0
24.0,Ridhwan Busari,184.0,23.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,16.0,7.0,2.0
25.0,Obasoyo D. Osamede,186.0,34.0,43.0,17.0,13.0,3.0,2.0,18.0,2.0,10.0,29.0,13.0,2.0
25.0,Osose Jude-Isibor,186.0,40.0,18.0,26.0,11.0,3.0,2.0,37.0,2.0,10.0,22.0,13.0,2.0
27.0,Oluwatobiloba Benjamin Ajayi,188.0,36.0,24.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,20.0,13.0,2.0
28.0,Emankhu Peter,189.0,45.0,43.0,26.0,13.0,3.0,2.0,20.0,2.0,10.0,10.0,13.0,2.0
29.0,Azike Emmanuel,190.0,31.0,32.0,26.0,13.0,3.0,2.0,27.0,2.0,10.0,29.0,13.0,2.0
29.0,Chionye Okpochini,190.0,46.0,20.0,26.0,13.0,3.0,2.0,24.0,2.0,10.0,29.0,13.0,2.0
31.0,Olutayo Ibukun,192.0,17.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,24.0,13.0,2.0
31.0,Onyema Chibuikem Chinemerem,192.0,12.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
33.0,Fiyin Oyeleye,203.0,29.0,43.0,20.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
34.0,Okorigba Dean,204.0,24.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
35.0,Mgbemena Chinedu Victor,205.0,44.0,43.0,26.0,13.0,3.0,2.0,28.0,2.0,10.0,19.0,13.0,2.0
35.0,Uzuegbu Chukwudiebube Victor,205.0,25.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
37.0,Adai Prince Attah,207.0,27.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
38.0,Obi Chibuikem Emmanuel,208.0,28.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
39.0,Basit Sadiq,210.0,54.0,19.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
39.0,Chukwunazam Ejikeme-Ibe,210.0,58.0,27.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,17.0,13.0,2.0
39.0,Chimaobi Amadi,210.0,30.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
42.0,Olawale Isaac Modadeoluwa,211.0,39.0,43.0,18.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
43.0,Oluwafeolami Sodeinde,212.0,32.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
44.0,Seyi Omobomi,213.0,47.0,43.0,26.0,13.0,3.0,2.0,23.0,2.0,10.0,29.0,13.0,2.0
44.0,Adai Praise Ejeh,213.0,33.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
46.0,Ujuatonu Michael Onyedikachi,215.0,35.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
47.0,Segun-Shelleh Omodebodun,216.0,49.0,42.0,26.0,13.0,3.0,2.0,25.0,2.0,10.0,29.0,13.0,2.0
48.0,Toluhi Peace-Pact,217.0,42.0,43.0,26.0,13.0,3.0,2.0,32.0,2.0,10.0,29.0,13.0,2.0
49.0,Ikechi Desire,218.0,55.0,29.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,26.0,13.0,2.0
50.0,Irabor Osaze,221.0,41.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
51.0,Wari-Sylva Karakaraye Himson,222.0,50.0,43.0,26.0,13.0,3.0,2.0,29.0,2.0,10.0,29.0,13.0,2.0
52.0,Onerhime Moses,223.0,43.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
52.0,Ajibade Ibrahim,223.0,72.0,25.0,22.0,13.0,3.0,2.0,30.0,2.0,10.0,29.0,13.0,2.0
54.0,David Zeb-Amah,227.0,51.0,43.0,26.0,13.0,3.0,2.0,33.0,2.0,10.0,29.0,13.0,2.0
55.0,Saka Abdullah Olawale,228.0,48.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
56.0,Olu-James Mobolaji,229.0,79.0,16.0,25.0,13.0,3.0,2.0,37.0,2.0,10.0,27.0,13.0,2.0
57.0,Faniran Oluwasemilore David,230.0,69.0,35.0,26.0,13.0,3.0,2.0,26.0,2.0,10.0,29.0,13.0,2.0
58.0,Ezuruike Raphael,232.0,52.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
59.0,Agbarey Gregory,233.0,53.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
60.0,Koripamo Theodore,234.0,60.0,43.0,26.0,13.0,3.0,2.0,31.0,2.0,10.0,29.0,13.0,2.0
61.0,Ezeala Kosisochukwu,236.0,56.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
62.0,Ayomide David Ajayi,237.0,57.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
63.0,Philip Abasi-Ifreke Innocent Nicholas,239.0,59.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
64.0,Idiaghe Daniel,241.0,61.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
65.0,Habib-Mohammed Ahanavi,242.0,62.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
66.0,Obot Godswill,243.0,63.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
67.0,Onwutalobi Collins,244.0,64.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
67.0,Wari-Sylva Wasara,244.0,64.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
69.0,Oluwatobiloba Adebajo,245.0,78.0,30.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
70.0,Agwunobi Tobechukwu,246.0,66.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
71.0,Unuafe-Victor Iruoghene,247.0,67.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
72.0,Oluwapese Alo,248.0,71.0,43.0,26.0,13.0,3.0,2.0,34.0,2.0,10.0,29.0,13.0,2.0
72.0,Ogundokun John Oluwapelumi,248.0,68.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
74.0,Akande Tobi,250.0,77.0,36.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
74.0,Angelo Adim-okozi,250.0,70.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
76.0,Oyeyemi Olorunkoya,253.0,73.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
77.0,Oguoba Dave,254.0,74.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
78.0,Medunoye Semilore,255.0,75.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
79.0,Prince Daniel,256.0,76.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
80.0,Adewole Joel,260.0,80.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
81.0,Adejumo Iyinoluwa Samuel,261.0,90.0,43.0,19.0,13.0,3.0,2.0,35.0,2.0,10.0,29.0,13.0,2.0
81.0,Afolabi Fawaz,261.0,81.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
83.0,Jompe Emmanuel Ayomiposi,262.0,82.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
84.0,Munirudeen Abdullah Molade,263.0,101.0,43.0,24.0,12.0,3.0,2.0,22.0,2.0,10.0,29.0,13.0,2.0
84.0,Obi Chibuikem,263.0,83.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
86.0,Ojo Timothy Ayodele,264.0,84.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
87.0,Kalio Mitchell,265.0,85.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
88.0,Maduafokwa Joseph Elochukwu,266.0,86.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
89.0,Nathan Henry,267.0,91.0,39.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
89.0,Mbechi Emeka,267.0,87.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
91.0,Dada Samuel,268.0,88.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
91.0,Ihedimunma Mgbeokwere,268.0,88.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
93.0,Alexander Awosoji,270.0,99.0,34.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
94.0,Ufochukwu Promise,272.0,92.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
95.0,Okafor Anoziem,273.0,93.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
96.0,Chukwuemerie Osuagwu,274.0,104.0,33.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
96.0,Onyeka-Ofodile Somto,274.0,106.0,31.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
96.0,Ikeyi Chijioke,274.0,94.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
99.0,Aborisade Faithful,275.0,95.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
100.0,Tobi Onafowokan,276.0,96.0,43.0,26.0,13.0,3.0,2.0,37.0,2.0,10.0,29.0,13.0,2.0
