Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
1.0,Gjorgji Cheshmedjievski,20.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0
2.0,Aleksandar Dukleski,23.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,5.0
3.0,Darijan Saravinov,63.0,7.0,4.0,5.0,4.0,7.0,5.0,2.0,2.0,8.0,6.0,10.0,3.0
4.0,Mateo Minoski,64.0,9.0,10.0,6.0,7.0,7.0,5.0,6.0,2.0,4.0,2.0,4.0,2.0
5.0,Nikola Nichovski,70.0,4.0,6.0,14.0,13.0,7.0,5.0,5.0,2.0,3.0,3.0,3.0,5.0
6.0,Borjan Baboski,88.0,17.0,12.0,8.0,6.0,4.0,5.0,10.0,1.0,7.0,8.0,5.0,5.0
7.0,Nikola Dimitrovski,105.0,3.0,5.0,3.0,5.0,6.0,5.0,8.0,2.0,6.0,17.0,40.0,5.0
8.0,Matej Ilijevski,115.0,5.0,8.0,9.0,13.0,7.0,5.0,4.0,2.0,8.0,9.0,40.0,5.0
9.0,Jovan Dimitrovski,124.0,9.0,3.0,10.0,9.0,7.0,5.0,13.0,2.0,8.0,13.0,40.0,5.0
10.0,Boris Gjorgjievski,132.0,19.0,9.0,16.0,12.0,7.0,5.0,18.0,2.0,8.0,18.0,13.0,5.0
11.0,Nikola Pulkovski,141.0,21.0,19.0,4.0,3.0,3.0,3.0,12.0,2.0,5.0,53.0,12.0,4.0
12.0,Aleksandar Arsovski,145.0,8.0,25.0,7.0,8.0,5.0,4.0,11.0,2.0,8.0,22.0,40.0,5.0
13.0,Diana Kostadinova,147.0,20.0,14.0,15.0,11.0,7.0,5.0,9.0,2.0,8.0,11.0,40.0,5.0
14.0,David Arnaudov,157.0,11.0,16.0,12.0,13.0,7.0,5.0,23.0,2.0,8.0,15.0,40.0,5.0
15.0,Stefan Cvetanovski,167.0,12.0,13.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,5.0,40.0,5.0
16.0,Doni Petlickovski,177.0,18.0,34.0,30.0,13.0,7.0,5.0,20.0,2.0,8.0,28.0,7.0,5.0
17.0,Naum Stojoski,178.0,15.0,11.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,32.0,23.0,5.0
18.0,Andrej Solev,179.0,22.0,17.0,18.0,13.0,7.0,5.0,14.0,2.0,8.0,54.0,14.0,5.0
19.0,Bojan Stojanov,188.0,28.0,7.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,16.0,40.0,5.0
20.0,Filip Pavlovski,192.0,31.0,29.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,20.0,15.0,5.0
21.0,Ana Milenkoska,195.0,36.0,30.0,34.0,13.0,7.0,5.0,23.0,2.0,8.0,23.0,9.0,5.0
22.0,Marko Nikolov,198.0,25.0,27.0,17.0,10.0,7.0,5.0,16.0,2.0,8.0,45.0,31.0,5.0
23.0,Bruno Ivanovski,201.0,44.0,47.0,21.0,13.0,7.0,5.0,19.0,2.0,8.0,24.0,6.0,5.0
24.0,Viktor Jakimov,214.0,62.0,18.0,34.0,13.0,7.0,5.0,22.0,2.0,8.0,21.0,17.0,5.0
