Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Kim Roger Haraldsen,82.0,1.0,1.0,1.0,2.0,2.0,2.0,23.0,8.0,2.0,12.0,4.0,7.0,7.0,6.0,4.0
2.0,Knut Skaug Haraldsen,99.0,3.0,5.0,7.0,8.0,5.0,6.0,4.0,3.0,1.0,9.0,7.0,15.0,8.0,14.0,4.0
3.0,Niklas Aasen Eliasson,114.0,12.0,2.0,12.0,11.0,9.0,9.0,2.0,12.0,17.0,1.0,11.0,4.0,6.0,3.0,3.0
4.0,Stian Nystad Østli,131.0,11.0,7.0,11.0,13.0,10.0,15.0,23.0,6.0,5.0,6.0,5.0,1.0,9.0,5.0,4.0
5.0,Herman Westerlund Kalland,148.0,2.0,4.0,6.0,5.0,7.0,59.0,21.0,9.0,3.0,4.0,3.0,6.0,14.0,1.0,4.0
6.0,Andreas Jensen Forsgren,161.0,14.0,6.0,10.0,14.0,12.0,8.0,23.0,20.0,14.0,8.0,6.0,9.0,11.0,2.0,4.0
7.0,Filip Nilsen,185.0,4.0,3.0,4.0,10.0,19.0,59.0,14.0,6.0,8.0,13.0,9.0,17.0,5.0,10.0,4.0
8.0,Kenneth Tran,207.0,12.0,21.0,5.0,3.0,3.0,7.0,23.0,27.0,12.0,17.0,18.0,11.0,18.0,26.0,4.0
9.0,Anders Barhaugen,214.0,21.0,16.0,19.0,12.0,11.0,10.0,20.0,30.0,20.0,2.0,19.0,14.0,12.0,4.0,4.0
10.0,Jacob Oliver Bruun,243.0,34.0,19.0,33.0,18.0,13.0,14.0,9.0,1.0,24.0,3.0,14.0,29.0,15.0,13.0,4.0
11.0,Liam Uno Timour-Silveira,253.0,35.0,25.0,16.0,9.0,4.0,3.0,18.0,45.0,15.0,14.0,17.0,10.0,18.0,20.0,4.0
12.0,Einar Kvam Lundberg,265.0,18.0,22.0,15.0,15.0,18.0,17.0,10.0,15.0,18.0,28.0,20.0,28.0,13.0,24.0,4.0
13.0,Celine Tran,359.0,9.0,32.0,2.0,1.0,1.0,1.0,23.0,20.0,7.0,7.0,1.0,58.0,164.0,29.0,4.0
14.0,Lars Johan Folde,389.0,35.0,43.0,28.0,20.0,15.0,13.0,11.0,36.0,28.0,19.0,12.0,52.0,61.0,12.0,4.0
15.0,Julian Giæver-Engesmo,405.0,25.0,11.0,51.0,29.0,23.0,24.0,23.0,33.0,38.0,55.0,39.0,8.0,33.0,9.0,4.0
16.0,Magnus Storm Tallaksen,433.0,31.0,8.0,8.0,7.0,6.0,5.0,23.0,45.0,35.0,39.0,13.0,108.0,16.0,85.0,4.0
17.0,Ulrik Bredland,460.0,7.0,13.0,3.0,17.0,35.0,42.0,23.0,5.0,4.0,94.0,77.0,41.0,10.0,85.0,4.0
18.0,Vegard Seim Karstang,501.0,24.0,17.0,26.0,26.0,42.0,59.0,23.0,35.0,23.0,94.0,32.0,36.0,43.0,17.0,4.0
19.0,Morten Arborg,522.0,5.0,14.0,9.0,6.0,8.0,4.0,23.0,15.0,6.0,24.0,8.0,31.0,347.0,18.0,4.0
20.0,Elmer Alexander Johnsen,529.0,83.0,56.0,27.0,41.0,30.0,35.0,23.0,22.0,44.0,21.0,25.0,55.0,47.0,16.0,4.0
21.0,Håvard Færden,561.0,38.0,27.0,41.0,40.0,49.0,47.0,23.0,29.0,27.0,11.0,102.0,107.0,1.0,15.0,4.0
22.0,Magne Njå,576.0,60.0,49.0,29.0,30.0,28.0,45.0,15.0,26.0,84.0,15.0,49.0,13.0,44.0,85.0,4.0
23.0,Håkon Fredriksen,587.0,29.0,50.0,18.0,19.0,16.0,16.0,23.0,13.0,67.0,94.0,2.0,73.0,125.0,38.0,4.0
24.0,Mikkel Svartveit,620.0,20.0,8.0,39.0,80.0,82.0,59.0,23.0,45.0,16.0,16.0,102.0,50.0,29.0,47.0,4.0
25.0,Birk Bredland,633.0,26.0,55.0,24.0,25.0,31.0,23.0,19.0,24.0,37.0,94.0,96.0,106.0,30.0,39.0,4.0
26.0,Daniel Gloppestad Bajer,671.0,22.0,34.0,36.0,43.0,74.0,58.0,23.0,24.0,13.0,87.0,10.0,47.0,116.0,80.0,4.0
27.0,Henrik Speer By,685.0,95.0,42.0,68.0,34.0,40.0,36.0,23.0,45.0,57.0,94.0,41.0,46.0,38.0,22.0,4.0
28.0,Henrik Arnøy,700.0,102.0,76.0,88.0,42.0,36.0,34.0,23.0,45.0,65.0,22.0,45.0,67.0,24.0,27.0,4.0
29.0,Benjamin Bø,734.0,14.0,90.0,63.0,21.0,82.0,20.0,23.0,45.0,29.0,94.0,27.0,66.0,96.0,60.0,4.0
29.0,Jonathan Hamstad,734.0,6.0,10.0,13.0,16.0,29.0,28.0,23.0,15.0,9.0,85.0,31.0,142.0,238.0,85.0,4.0
31.0,Jonatan Solheim,759.0,10.0,17.0,32.0,77.0,82.0,59.0,23.0,15.0,10.0,52.0,35.0,45.0,213.0,85.0,4.0
32.0,Kristian Holme,787.0,30.0,24.0,30.0,60.0,62.0,59.0,1.0,15.0,19.0,77.0,71.0,130.0,123.0,85.0,1.0
33.0,Zuheir Daowd,793.0,67.0,72.0,54.0,37.0,82.0,59.0,23.0,45.0,45.0,94.0,28.0,76.0,22.0,85.0,4.0
34.0,Teodor Strømstad Tidemann,817.0,75.0,30.0,84.0,96.0,73.0,59.0,23.0,45.0,68.0,49.0,46.0,89.0,46.0,30.0,4.0
35.0,Benjamin Lilleøen Bakken,835.0,68.0,20.0,70.0,127.0,82.0,59.0,23.0,45.0,97.0,94.0,22.0,2.0,37.0,85.0,4.0
36.0,Carl Abrahamsen,842.0,92.0,63.0,46.0,46.0,52.0,49.0,23.0,13.0,132.0,59.0,72.0,103.0,25.0,63.0,4.0
37.0,Jakob Jernsletten,858.0,56.0,114.0,48.0,47.0,24.0,21.0,23.0,9.0,90.0,46.0,53.0,179.0,98.0,46.0,4.0
38.0,Amund Wæhre Wilhelmsen,872.0,47.0,88.0,37.0,62.0,53.0,59.0,23.0,45.0,148.0,37.0,24.0,85.0,104.0,56.0,4.0
39.0,Pugalan Aravinthan,886.0,166.0,83.0,115.0,144.0,82.0,59.0,23.0,45.0,62.0,10.0,47.0,20.0,3.0,23.0,4.0
40.0,Jakob Vreim Ludviksen,888.0,87.0,36.0,71.0,119.0,82.0,59.0,23.0,45.0,72.0,94.0,102.0,23.0,35.0,36.0,4.0
41.0,Magnus Iversen Birkenes,892.0,85.0,62.0,47.0,61.0,82.0,59.0,23.0,45.0,70.0,64.0,102.0,57.0,76.0,55.0,4.0
42.0,Christian Alsaker Henriksen,904.0,63.0,103.0,62.0,101.0,82.0,59.0,23.0,45.0,73.0,94.0,85.0,3.0,34.0,73.0,4.0
43.0,Jonas Westgård,912.0,94.0,80.0,93.0,58.0,61.0,59.0,23.0,39.0,75.0,27.0,56.0,94.0,64.0,85.0,4.0
44.0,Aleksejs Alohins,924.0,54.0,31.0,35.0,148.0,82.0,59.0,23.0,45.0,282.0,5.0,102.0,12.0,21.0,21.0,4.0
45.0,Tobias Christensen,926.0,23.0,12.0,74.0,110.0,82.0,59.0,23.0,45.0,124.0,94.0,102.0,60.0,95.0,19.0,4.0
46.0,Finn Einar Brandsen,927.0,41.0,50.0,141.0,148.0,82.0,59.0,23.0,45.0,59.0,44.0,44.0,70.0,67.0,50.0,4.0
47.0,Lars Ulveseth,932.0,19.0,46.0,22.0,49.0,68.0,59.0,23.0,45.0,138.0,84.0,64.0,153.0,73.0,85.0,4.0
48.0,Jonathan Hummel Simensen,935.0,33.0,28.0,103.0,148.0,82.0,59.0,23.0,45.0,60.0,47.0,102.0,44.0,72.0,85.0,4.0
49.0,Sondre Fosli Stenseth,936.0,42.0,158.0,20.0,73.0,82.0,59.0,23.0,45.0,58.0,94.0,102.0,88.0,54.0,34.0,4.0
