Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Muhammad Saleh Imtiaz,19.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
2.0,Mohammad Owais,47.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,5.0
3.0,Abdullah Gulab,52.0,10.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,6.0,1.0,2.0,6.0,4.0,4.0
4.0,Muhammad Haris Aamir,90.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,41.0,11.0,5.0
5.0,Muhammad Munim,109.0,8.0,20.0,6.0,5.0,3.0,4.0,3.0,4.0,13.0,5.0,4.0,18.0,11.0,5.0
6.0,Saffi-ul Hassan,117.0,5.0,5.0,10.0,8.0,3.0,4.0,3.0,4.0,9.0,5.0,4.0,41.0,11.0,5.0
7.0,Ahmed Nadeem,124.0,9.0,7.0,14.0,10.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,41.0,11.0,5.0
8.0,Muhammad Ali,125.0,6.0,10.0,5.0,14.0,3.0,4.0,3.0,3.0,11.0,5.0,4.0,41.0,11.0,5.0
9.0,Kublai Khan Qasimi,129.0,7.0,11.0,7.0,9.0,3.0,4.0,3.0,4.0,15.0,5.0,4.0,41.0,11.0,5.0
10.0,Mehak Zehra,131.0,30.0,25.0,17.0,7.0,3.0,4.0,3.0,4.0,16.0,5.0,4.0,5.0,3.0,5.0
11.0,Yanis Aamir,134.0,21.0,13.0,12.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,2.0,11.0,5.0
12.0,Muhammad Dawar,140.0,25.0,17.0,18.0,14.0,3.0,4.0,3.0,4.0,20.0,5.0,4.0,7.0,11.0,5.0
13.0,Affan Bin Naveed,143.0,24.0,14.0,11.0,6.0,3.0,4.0,3.0,4.0,8.0,5.0,4.0,41.0,11.0,5.0
14.0,Muhammad Hashir,147.0,15.0,8.0,16.0,14.0,3.0,4.0,3.0,4.0,14.0,5.0,4.0,41.0,11.0,5.0
15.0,Muhammad Mustafa Bilal,159.0,13.0,9.0,24.0,14.0,3.0,4.0,3.0,4.0,19.0,5.0,4.0,41.0,11.0,5.0
16.0,Muhammad Ayaan,163.0,22.0,23.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,8.0,11.0,5.0
17.0,Abdul Wahab,165.0,26.0,27.0,24.0,14.0,3.0,4.0,3.0,4.0,18.0,5.0,4.0,17.0,11.0,5.0
18.0,Ali Jawad Parpia,168.0,20.0,24.0,22.0,14.0,3.0,4.0,3.0,4.0,33.0,2.0,4.0,24.0,9.0,2.0
19.0,Abbas Noorani,169.0,37.0,19.0,24.0,14.0,3.0,4.0,3.0,4.0,27.0,5.0,4.0,9.0,11.0,5.0
20.0,Mahrukh Atif Zahoor,180.0,17.0,28.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,25.0,11.0,5.0
21.0,Rehan Arshad,181.0,43.0,16.0,19.0,14.0,3.0,4.0,3.0,4.0,17.0,5.0,4.0,33.0,11.0,5.0
22.0,Hassan Shahnawaz Tarar,182.0,28.0,29.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,20.0,6.0,5.0
23.0,Muhammad Affan Khan,183.0,34.0,18.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,21.0,11.0,5.0
24.0,Raza Ibrahim,185.0,4.0,74.0,8.0,14.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,41.0,11.0,5.0
25.0,Haniel Idrees,186.0,36.0,36.0,20.0,11.0,3.0,4.0,3.0,4.0,24.0,5.0,4.0,23.0,8.0,5.0
26.0,Mustafa Danish,187.0,32.0,4.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,41.0,11.0,5.0
27.0,Hamza Asif Khan,188.0,51.0,22.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,4.0,3.0,13.0,5.0,5.0
27.0,Muhammad Shaheer Ul Haq,188.0,16.0,32.0,24.0,14.0,3.0,4.0,3.0,4.0,22.0,5.0,4.0,41.0,11.0,5.0
29.0,Mohammad Shayan Sarwar,191.0,19.0,21.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,41.0,11.0,5.0
30.0,Wajahat Ahsen,199.0,12.0,74.0,9.0,14.0,3.0,4.0,3.0,4.0,10.0,5.0,4.0,41.0,11.0,5.0
30.0,Aayan Alam,199.0,11.0,74.0,13.0,14.0,3.0,4.0,3.0,4.0,7.0,5.0,4.0,41.0,11.0,5.0
32.0,Aarham Aziz,201.0,35.0,15.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,41.0,11.0,5.0
33.0,Salaar Asim,207.0,50.0,37.0,24.0,14.0,3.0,4.0,3.0,4.0,33.0,5.0,4.0,10.0,11.0,5.0
34.0,Rusab Alam,210.0,14.0,67.0,24.0,14.0,3.0,4.0,3.0,4.0,25.0,5.0,4.0,27.0,11.0,5.0
35.0,Muhammad Usman Amjad,212.0,33.0,34.0,21.0,14.0,3.0,3.0,3.0,4.0,33.0,5.0,4.0,41.0,11.0,3.0
