Rank,name,Sum,333,222,444,555,666,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Mohammad Ahmad Abu Hussein,22.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0
2.0,Adam Tiro,44.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,9.0,7.0,5.0,7.0
3.0,Zina Yaseen,62.0,6.0,6.0,3.0,5.0,3.0,2.0,4.0,3.0,9.0,6.0,9.0,6.0
4.0,Aziza Sbeih,72.0,8.0,15.0,8.0,5.0,3.0,2.0,8.0,3.0,9.0,9.0,1.0,1.0
5.0,Ahmad Abu Hussein,73.0,16.0,10.0,4.0,3.0,2.0,2.0,11.0,2.0,7.0,8.0,4.0,4.0
6.0,Taleen Sharawneh,103.0,26.0,23.0,6.0,4.0,3.0,2.0,17.0,3.0,2.0,3.0,7.0,7.0
7.0,Munes Ameen Mohammad Abd Elhaq,105.0,25.0,8.0,12.0,5.0,3.0,2.0,17.0,3.0,9.0,4.0,14.0,3.0
8.0,Mohammad Hammouz,113.0,4.0,4.0,5.0,5.0,3.0,2.0,6.0,3.0,9.0,45.0,20.0,7.0
9.0,Ismael Khalil,119.0,7.0,3.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,3.0,7.0
10.0,Abdallah Jamjoum,122.0,11.0,7.0,7.0,5.0,3.0,2.0,3.0,3.0,9.0,45.0,20.0,7.0
11.0,Shadi Almohtaseb,123.0,9.0,13.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,20.0,20.0,7.0
12.0,Yazan K.I. Hamad,130.0,27.0,20.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,2.0,20.0,7.0
13.0,Yazan Hicham,131.0,22.0,16.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,12.0,20.0,7.0
14.0,Ahmad Qaq,136.0,19.0,19.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,19.0,18.0,7.0
14.0,Yousef Dweik,136.0,5.0,5.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
14.0,Zaid Asem Abdeen,136.0,31.0,14.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,10.0,20.0,7.0
17.0,Rober John Robert Rober Handal,138.0,32.0,18.0,11.0,5.0,3.0,2.0,17.0,3.0,9.0,11.0,20.0,7.0
18.0,Khaled Mohammad Shanty,142.0,43.0,27.0,10.0,5.0,3.0,2.0,16.0,3.0,9.0,5.0,12.0,7.0
19.0,Abdallah Awedah,149.0,9.0,37.0,15.0,5.0,3.0,2.0,9.0,3.0,9.0,30.0,20.0,7.0
19.0,Bara' Rame Zakarni,149.0,29.0,12.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,27.0,20.0,7.0
21.0,Ahmad Dadua,153.0,18.0,9.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,45.0,20.0,7.0
22.0,Mazen Abu Alfilat,154.0,28.0,22.0,15.0,5.0,3.0,2.0,17.0,3.0,9.0,23.0,20.0,7.0
22.0,Ahmed Nasser,154.0,33.0,29.0,15.0,5.0,3.0,2.0,17.0,3.0,3.0,17.0,20.0,7.0
