Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Egdar Castillo,41.0,4.0,9.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,5.0
2.0,Davis Joel Fonseca Rios,61.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,9.0,9.0,7.0
3.0,Luis Angel Soto Castillo,64.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,5.0,4.0,2.0,11.0,22.0,3.0
4.0,Jair Steve Granda Cedeño,65.0,0.0,0.0,0.0,15.0,6.0,5.0,3.0,2.0,0.0,12.0,15.0,0.0,0.0,7.0
5.0,Josué Ahmed González,87.0,8.0,10.0,7.0,5.0,5.0,5.0,2.0,2.0,8.0,12.0,4.0,8.0,4.0,7.0
6.0,Egdar Antonio Castillo Gonzalez,101.0,16.0,8.0,6.0,7.0,6.0,5.0,3.0,2.0,24.0,3.0,5.0,2.0,7.0,7.0
7.0,Luis Bosch,121.0,5.0,5.0,8.0,6.0,6.0,5.0,3.0,2.0,7.0,11.0,13.0,24.0,19.0,7.0
8.0,Miguel Ángel Hernández,134.0,1.0,43.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,12.0,15.0,5.0,36.0,6.0
9.0,Karla Victoria Suárez Rosario,141.0,18.0,19.0,21.0,15.0,6.0,5.0,3.0,2.0,21.0,6.0,15.0,1.0,5.0,4.0
10.0,Ezequiel Cedeño,146.0,10.0,7.0,17.0,15.0,6.0,5.0,3.0,2.0,11.0,12.0,12.0,10.0,29.0,7.0
11.0,Diego Bonilla,148.0,23.0,11.0,24.0,14.0,6.0,5.0,3.0,2.0,12.0,12.0,7.0,16.0,6.0,7.0
12.0,Miguel Solis,158.0,24.0,25.0,13.0,11.0,6.0,5.0,3.0,2.0,23.0,12.0,8.0,14.0,11.0,1.0
13.0,Cesar Augusto Rodríguez Medina,160.0,37.0,31.0,9.0,15.0,6.0,5.0,3.0,2.0,17.0,7.0,10.0,3.0,8.0,7.0
14.0,Misael Peñafiel,165.0,12.0,1.0,16.0,15.0,6.0,5.0,3.0,2.0,10.0,12.0,6.0,68.0,2.0,7.0
15.0,Kendrick Montenegro,166.0,9.0,18.0,22.0,15.0,6.0,5.0,3.0,2.0,16.0,12.0,15.0,18.0,18.0,7.0
16.0,Ramón Ortega,167.0,19.0,6.0,25.0,13.0,6.0,5.0,3.0,2.0,22.0,12.0,14.0,20.0,13.0,7.0
17.0,Maria Huang,169.0,17.0,24.0,14.0,12.0,6.0,5.0,3.0,2.0,9.0,12.0,15.0,31.0,12.0,7.0
18.0,Juan David Pérez,171.0,6.0,4.0,10.0,9.0,6.0,5.0,3.0,2.0,2.0,2.0,11.0,68.0,36.0,7.0
19.0,Níkolas Pineda,174.0,13.0,14.0,12.0,15.0,6.0,5.0,3.0,2.0,15.0,12.0,15.0,19.0,36.0,7.0
20.0,Gian Franco Loo Rodriguez,201.0,39.0,20.0,39.0,15.0,6.0,5.0,3.0,2.0,28.0,12.0,15.0,7.0,3.0,7.0
21.0,Howard Antonio González Domínguez,212.0,26.0,13.0,39.0,15.0,6.0,5.0,3.0,2.0,14.0,12.0,15.0,38.0,17.0,7.0
22.0,Eduardo Caraquito,214.0,7.0,23.0,28.0,15.0,6.0,5.0,3.0,2.0,6.0,12.0,9.0,55.0,36.0,7.0
23.0,Gaspar Guillén,218.0,14.0,17.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,17.0,27.0,7.0
24.0,Alex Herrera,219.0,36.0,28.0,19.0,15.0,6.0,5.0,3.0,2.0,29.0,12.0,15.0,27.0,15.0,7.0
25.0,Lynette Alicia Chan Zhu,223.0,28.0,22.0,39.0,15.0,6.0,5.0,3.0,2.0,20.0,12.0,15.0,21.0,28.0,7.0
26.0,Ariel De Sedas,234.0,30.0,32.0,39.0,15.0,6.0,5.0,3.0,2.0,35.0,12.0,15.0,12.0,21.0,7.0
27.0,Andres Felipe Mendez Lopez,235.0,11.0,11.0,5.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,68.0,36.0,7.0
28.0,Javier Elias Cuan Him,238.0,51.0,15.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,13.0,16.0,7.0
29.0,Rafael Qiu Peng,239.0,25.0,33.0,32.0,15.0,6.0,5.0,3.0,2.0,13.0,12.0,15.0,35.0,36.0,7.0
30.0,Sam Zhong,256.0,31.0,36.0,39.0,15.0,6.0,5.0,3.0,2.0,34.0,12.0,15.0,26.0,25.0,7.0
31.0,Samuel Elias Medrano Valderrama,259.0,21.0,30.0,39.0,15.0,6.0,5.0,3.0,2.0,25.0,12.0,15.0,48.0,31.0,7.0
32.0,Timoteo Erick Chen Liao,261.0,22.0,44.0,18.0,8.0,6.0,5.0,3.0,2.0,19.0,12.0,15.0,64.0,36.0,7.0
33.0,Carlos Eduardo Morrison,263.0,20.0,15.0,20.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,68.0,36.0,7.0
34.0,Edwin Ramos,264.0,54.0,61.0,27.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,4.0,14.0,7.0
35.0,Adrián González Rey,276.0,35.0,40.0,39.0,15.0,6.0,5.0,3.0,2.0,18.0,12.0,15.0,43.0,36.0,7.0
36.0,Osmel Nehyl Coronado Rosas,284.0,27.0,38.0,11.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,68.0,36.0,7.0
37.0,José Liang,286.0,48.0,26.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,33.0,36.0,7.0
38.0,José Luis Timoteo Caballero,287.0,44.0,29.0,31.0,15.0,6.0,5.0,3.0,2.0,33.0,12.0,15.0,62.0,23.0,7.0
39.0,Allen Ameth Arias Castillo,292.0,62.0,37.0,39.0,15.0,6.0,5.0,3.0,2.0,27.0,10.0,15.0,28.0,36.0,7.0
40.0,Carlos Enrique Díaz García,294.0,53.0,46.0,23.0,15.0,6.0,5.0,3.0,2.0,26.0,12.0,15.0,45.0,36.0,7.0
41.0,Tomas Alfaro,310.0,41.0,34.0,36.0,15.0,6.0,5.0,3.0,2.0,38.0,12.0,15.0,61.0,35.0,7.0
42.0,Jairo Guardia,313.0,63.0,42.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,29.0,36.0,7.0
43.0,David Laffaurie,316.0,61.0,52.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,8.0,15.0,30.0,34.0,7.0
43.0,Ricardo Sanchez,316.0,58.0,27.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,68.0,20.0,7.0
45.0,Denzel Burke,321.0,47.0,53.0,34.0,15.0,6.0,5.0,3.0,2.0,36.0,12.0,15.0,50.0,36.0,7.0
46.0,Mario Diaz,322.0,55.0,54.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,34.0,36.0,7.0
47.0,Derek Ho,323.0,57.0,48.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,39.0,36.0,7.0
48.0,Jahir Bonilla,324.0,45.0,47.0,39.0,15.0,6.0,5.0,3.0,2.0,39.0,12.0,15.0,53.0,36.0,7.0
