Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Milko Sebastián Gutiérrez Arroyo,38.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,9.0,2.0,1.0,1.0,5.0
2.0,David Emmanuel Velozo Cabrera,108.0,1.0,4.0,1.0,4.0,7.0,6.0,4.0,6.0,1.0,16.0,7.0,30.0,19.0,2.0
3.0,José Chávez,117.0,13.0,18.0,4.0,8.0,2.0,5.0,2.0,3.0,16.0,16.0,3.0,20.0,4.0,3.0
4.0,Martin Alejandro Benítez López,160.0,2.0,3.0,14.0,29.0,13.0,9.0,4.0,6.0,7.0,16.0,17.0,3.0,24.0,13.0
5.0,Misael Alexander Mancuello Ayala,173.0,10.0,6.0,3.0,2.0,6.0,9.0,4.0,6.0,6.0,16.0,25.0,19.0,48.0,13.0
6.0,Victor Ayala,174.0,7.0,2.0,29.0,24.0,13.0,9.0,4.0,1.0,8.0,16.0,25.0,13.0,10.0,13.0
7.0,Renato José Orrego Insfran,176.0,32.0,19.0,6.0,7.0,5.0,3.0,4.0,6.0,11.0,14.0,6.0,43.0,11.0,9.0
8.0,Eduardo Villalba,180.0,21.0,36.0,18.0,11.0,10.0,8.0,4.0,6.0,27.0,5.0,12.0,12.0,2.0,8.0
8.0,Kenji Caceres,180.0,5.0,8.0,9.0,13.0,13.0,9.0,4.0,6.0,5.0,16.0,25.0,6.0,48.0,13.0
10.0,Giovanni Mendez,189.0,20.0,31.0,21.0,16.0,9.0,9.0,4.0,6.0,17.0,16.0,15.0,4.0,20.0,1.0
11.0,Oliver Richard Zoilan Avalos,222.0,17.0,13.0,8.0,9.0,13.0,9.0,4.0,6.0,19.0,16.0,25.0,22.0,48.0,13.0
12.0,Arturo Ocampos,228.0,26.0,10.0,16.0,15.0,13.0,9.0,4.0,6.0,63.0,13.0,10.0,17.0,16.0,10.0
13.0,Ana Burguez,230.0,11.0,28.0,7.0,30.0,13.0,9.0,4.0,6.0,3.0,16.0,25.0,33.0,32.0,13.0
14.0,Pier Patrick Gaub,231.0,31.0,54.0,12.0,6.0,4.0,9.0,4.0,6.0,15.0,16.0,1.0,61.0,6.0,6.0
15.0,José Benítez,251.0,19.0,5.0,5.0,5.0,1.0,1.0,4.0,6.0,63.0,16.0,4.0,70.0,48.0,4.0
15.0,Gianfranco Kessler,251.0,16.0,11.0,33.0,30.0,13.0,9.0,4.0,6.0,63.0,6.0,25.0,11.0,17.0,7.0
17.0,Pedro Benjamín Uliambre Galeano,253.0,27.0,29.0,31.0,23.0,13.0,9.0,4.0,6.0,20.0,16.0,9.0,7.0,48.0,11.0
18.0,Fabrizio Jesús Ozorio Chávez,254.0,22.0,9.0,17.0,19.0,13.0,9.0,4.0,6.0,54.0,16.0,25.0,39.0,8.0,13.0
19.0,Jose Maria Escobar Fernandez,261.0,4.0,24.0,25.0,30.0,13.0,9.0,4.0,6.0,4.0,16.0,25.0,70.0,18.0,13.0
20.0,Elías Villamayor,272.0,8.0,22.0,60.0,30.0,13.0,9.0,4.0,6.0,14.0,16.0,19.0,10.0,48.0,13.0
21.0,Daniel Maidana,275.0,46.0,31.0,22.0,22.0,11.0,9.0,4.0,6.0,38.0,7.0,25.0,34.0,7.0,13.0
22.0,Alan Torres,284.0,28.0,17.0,10.0,14.0,12.0,9.0,4.0,6.0,12.0,16.0,25.0,70.0,48.0,13.0
23.0,Matías Almiron,287.0,36.0,19.0,31.0,30.0,13.0,9.0,4.0,6.0,23.0,16.0,16.0,23.0,48.0,13.0
24.0,Elias Miguel Acosta Acosta,288.0,70.0,16.0,35.0,30.0,13.0,9.0,4.0,6.0,45.0,1.0,25.0,16.0,5.0,13.0
25.0,Mauricio Bernal,299.0,9.0,27.0,60.0,30.0,13.0,9.0,4.0,6.0,25.0,16.0,25.0,14.0,48.0,13.0
25.0,Gustavo Riveiro,299.0,56.0,56.0,19.0,26.0,13.0,9.0,4.0,4.0,35.0,4.0,25.0,26.0,9.0,13.0
27.0,Mateo Chica,305.0,15.0,15.0,40.0,21.0,13.0,9.0,4.0,6.0,10.0,16.0,25.0,70.0,48.0,13.0
28.0,Guido Rubén Reyes Miers,307.0,58.0,60.0,34.0,30.0,13.0,9.0,4.0,6.0,26.0,10.0,25.0,5.0,14.0,13.0
29.0,David Arturo Díaz,316.0,11.0,26.0,30.0,27.0,13.0,9.0,3.0,5.0,28.0,16.0,22.0,65.0,48.0,13.0
30.0,Robinsón Axel Conrado Rodriguez Arias,318.0,40.0,33.0,28.0,18.0,13.0,9.0,4.0,6.0,41.0,15.0,25.0,70.0,3.0,13.0
31.0,Walter Guillermo Cardozo Troche,324.0,44.0,23.0,60.0,30.0,13.0,9.0,4.0,6.0,22.0,3.0,25.0,47.0,25.0,13.0
32.0,Jonathan Rubio,333.0,34.0,44.0,60.0,30.0,13.0,9.0,4.0,6.0,32.0,16.0,25.0,24.0,23.0,13.0
33.0,Mauricio Ortiz,338.0,24.0,7.0,60.0,30.0,13.0,9.0,4.0,6.0,13.0,16.0,25.0,70.0,48.0,13.0
34.0,Stefano Valentino Basili Gamarra,339.0,75.0,14.0,44.0,30.0,13.0,9.0,4.0,6.0,53.0,12.0,20.0,15.0,31.0,13.0
35.0,Dary Leandro Wladimir Cano Galeano,343.0,6.0,135.0,15.0,3.0,8.0,7.0,4.0,6.0,9.0,16.0,8.0,70.0,43.0,13.0
35.0,Gonzalo Santino Moran Galeano,343.0,23.0,21.0,23.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,49.0,48.0,13.0
37.0,Henry Correa,345.0,33.0,12.0,60.0,12.0,13.0,9.0,4.0,6.0,24.0,16.0,25.0,70.0,48.0,13.0
38.0,Joshua Giesbrecht,346.0,54.0,30.0,48.0,30.0,13.0,9.0,4.0,6.0,31.0,16.0,25.0,45.0,22.0,13.0
39.0,Martín Rafael Orué Aguilera,351.0,42.0,55.0,24.0,10.0,13.0,4.0,4.0,6.0,21.0,16.0,25.0,70.0,48.0,13.0
39.0,Milena Noemí Medina Obelar,351.0,25.0,37.0,13.0,25.0,13.0,9.0,4.0,6.0,47.0,16.0,25.0,70.0,48.0,13.0
41.0,Cristofer Chica,359.0,38.0,25.0,43.0,17.0,13.0,9.0,4.0,6.0,43.0,16.0,14.0,70.0,48.0,13.0
42.0,Josias Vallejos,367.0,63.0,46.0,60.0,30.0,13.0,9.0,4.0,6.0,46.0,16.0,5.0,8.0,48.0,13.0
43.0,Guzman Shakur Rodriguez Flores,391.0,60.0,52.0,60.0,30.0,13.0,9.0,4.0,6.0,37.0,16.0,25.0,51.0,15.0,13.0
44.0,Alejandro Roa,397.0,29.0,45.0,26.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,48.0,13.0
45.0,Federico Nicolás Gamarra López,401.0,43.0,41.0,20.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,48.0,13.0
45.0,Carlos Benjamin Mereles Martinez,401.0,107.0,38.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,2.0,25.0,2.0,29.0,13.0
47.0,Carlos Santiago Fariña Vera,404.0,47.0,38.0,38.0,20.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,42.0,13.0
48.0,Carlos Rotela,411.0,39.0,50.0,52.0,30.0,13.0,9.0,4.0,6.0,36.0,16.0,25.0,70.0,48.0,13.0
48.0,Alexis Aldana,411.0,68.0,81.0,60.0,30.0,13.0,9.0,4.0,6.0,42.0,16.0,25.0,32.0,12.0,13.0
50.0,Jorge Sol Salinas,413.0,72.0,40.0,60.0,30.0,13.0,9.0,4.0,6.0,48.0,16.0,25.0,29.0,48.0,13.0
51.0,Manuel Ferreira de Cordoue,422.0,18.0,47.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,48.0,13.0
52.0,Ileana Ojeda,424.0,66.0,42.0,60.0,30.0,13.0,9.0,4.0,6.0,49.0,16.0,25.0,70.0,21.0,13.0
52.0,Eliam Vallejos,424.0,99.0,58.0,37.0,30.0,13.0,9.0,4.0,6.0,55.0,16.0,11.0,25.0,48.0,13.0
54.0,Mathias Alejandro Quiroga Alcaraz,425.0,41.0,70.0,47.0,30.0,13.0,9.0,4.0,6.0,33.0,16.0,25.0,70.0,48.0,13.0
55.0,Sebastian Sarubbi,427.0,35.0,35.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,48.0,13.0
56.0,Marcos Ezequiel Fretes Acosta,428.0,37.0,34.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,48.0,13.0
57.0,Daniel Villalba,433.0,45.0,76.0,60.0,30.0,13.0,9.0,4.0,6.0,18.0,16.0,25.0,70.0,48.0,13.0
58.0,Luis Fernando Yegros Salinas,444.0,62.0,73.0,36.0,30.0,13.0,9.0,4.0,6.0,39.0,16.0,25.0,70.0,48.0,13.0
59.0,Adriana Belén Torres Álvarez,449.0,65.0,67.0,45.0,30.0,13.0,9.0,4.0,6.0,63.0,11.0,25.0,50.0,48.0,13.0
60.0,Enzo Molinas,459.0,75.0,53.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,44.0,48.0,13.0
61.0,Daniel Bazán,462.0,55.0,50.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,48.0,13.0
61.0,Héctor Sebastián Solis López,462.0,93.0,68.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,18.0,21.0,48.0,13.0
63.0,Matias Sebastian Vacherand Mongelos,463.0,57.0,49.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,48.0,13.0
64.0,Juan Manuel Franceschelli,466.0,85.0,62.0,54.0,30.0,13.0,9.0,4.0,6.0,52.0,8.0,25.0,57.0,48.0,13.0
65.0,Juan Jesus Cubells Gomez,467.0,51.0,59.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,70.0,48.0,13.0
66.0,Camilo Otohiko Ashizawa Nakayama,468.0,71.0,56.0,60.0,30.0,13.0,9.0,4.0,6.0,63.0,16.0,25.0,54.0,48.0,13.0
67.0,Santiago Domínguez,476.0,77.0,71.0,60.0,30.0,13.0,9.0,4.0,6.0,34.0,16.0,25.0,70.0,48.0,13.0
