Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,555bf
1.0,Pedro Giuseppe Garcia Milla,123.0,12.0,20.0,13.0,8.0,6.0,5.0,10.0,6.0,8.0,8.0,8.0,3.0,6.0,8.0,2.0
2.0,Ronald Fernando Remuzgo Salazar,155.0,17.0,4.0,3.0,6.0,11.0,11.0,32.0,3.0,20.0,12.0,10.0,7.0,10.0,7.0,2.0
3.0,Pedro Alejandro Condo Tellez,259.0,9.0,61.0,1.0,1.0,1.0,1.0,32.0,22.0,2.0,27.0,48.0,22.0,15.0,15.0,2.0
4.0,Gerson Marcelo Nuñez Huanuiri,283.0,25.0,25.0,2.0,3.0,2.0,3.0,32.0,22.0,7.0,31.0,20.0,46.0,24.0,39.0,2.0
5.0,Piero Alessandro Laguna Obregon,339.0,21.0,37.0,16.0,13.0,14.0,21.0,32.0,11.0,78.0,15.0,23.0,15.0,8.0,33.0,2.0
6.0,Carlos Sullca Mejía,367.0,16.0,13.0,21.0,24.0,34.0,23.0,32.0,22.0,36.0,38.0,26.0,35.0,13.0,32.0,2.0
7.0,Elias Alonso Usaqui Cabezas,368.0,45.0,74.0,14.0,15.0,15.0,13.0,32.0,22.0,49.0,10.0,5.0,28.0,34.0,10.0,2.0
8.0,Leon Achata,384.0,27.0,8.0,39.0,25.0,32.0,42.0,26.0,4.0,38.0,18.0,11.0,39.0,54.0,19.0,2.0
9.0,Giordano Limber Aguilar Allcca,388.0,52.0,32.0,24.0,20.0,16.0,8.0,32.0,14.0,44.0,4.0,64.0,19.0,36.0,21.0,2.0
10.0,Angel Jesus Panebra Rodriguez,389.0,31.0,22.0,15.0,9.0,24.0,26.0,32.0,22.0,17.0,16.0,29.0,86.0,9.0,49.0,2.0
11.0,Sergio Minaya Pimentel,409.0,19.0,10.0,26.0,21.0,26.0,30.0,32.0,15.0,45.0,37.0,30.0,16.0,45.0,55.0,2.0
12.0,Freddy Fernández Córdova,446.0,58.0,11.0,32.0,44.0,45.0,37.0,19.0,22.0,66.0,23.0,41.0,4.0,30.0,12.0,2.0
13.0,Marco Antonio Ponce de León Aguilar,478.0,38.0,80.0,9.0,4.0,4.0,2.0,21.0,22.0,37.0,44.0,22.0,31.0,125.0,37.0,2.0
14.0,Josué Esteban Bacilio Chicoma,486.0,22.0,1.0,57.0,88.0,82.0,60.0,22.0,9.0,18.0,32.0,17.0,5.0,48.0,23.0,2.0
15.0,Ricardo Sanchez Laurencio,497.0,36.0,40.0,12.0,5.0,3.0,4.0,32.0,22.0,30.0,44.0,67.0,56.0,70.0,74.0,2.0
16.0,Ernesto Gutiérrez Cuba,518.0,6.0,35.0,6.0,7.0,12.0,7.0,32.0,22.0,5.0,44.0,39.0,96.0,132.0,73.0,2.0
17.0,Mateo Aguirre,562.0,3.0,2.0,65.0,73.0,82.0,60.0,32.0,1.0,1.0,44.0,45.0,70.0,55.0,27.0,2.0
18.0,Dan Axel Gonzales Quispe,564.0,55.0,27.0,52.0,40.0,25.0,12.0,32.0,21.0,40.0,44.0,16.0,78.0,79.0,41.0,2.0
19.0,Juan Pablo Huanqui,568.0,5.0,14.0,36.0,36.0,67.0,51.0,32.0,22.0,13.0,44.0,1.0,93.0,78.0,74.0,2.0
20.0,Leonardo José Hilario Cori,582.0,23.0,27.0,30.0,46.0,82.0,60.0,32.0,22.0,64.0,19.0,68.0,2.0,31.0,74.0,2.0
21.0,Jose Antonio Cuipal Maguiña,633.0,2.0,6.0,29.0,49.0,82.0,60.0,32.0,22.0,21.0,34.0,47.0,8.0,165.0,74.0,2.0
22.0,Andrés Hisashi Suzuki Cabrera,651.0,56.0,18.0,80.0,65.0,38.0,40.0,8.0,16.0,152.0,2.0,114.0,40.0,19.0,1.0,2.0
23.0,Jendry Patrick Rimachi Dulanto,677.0,40.0,68.0,23.0,85.0,82.0,60.0,32.0,22.0,15.0,44.0,19.0,29.0,82.0,74.0,2.0
24.0,Keener Zamudio Jambo,725.0,92.0,55.0,46.0,22.0,20.0,18.0,32.0,22.0,70.0,44.0,66.0,137.0,25.0,74.0,2.0
25.0,Gianfranco Camones Caycho,732.0,15.0,60.0,8.0,12.0,35.0,60.0,32.0,22.0,22.0,44.0,123.0,214.0,52.0,31.0,2.0
26.0,Eduardo Munive,772.0,91.0,43.0,133.0,77.0,48.0,60.0,32.0,8.0,68.0,13.0,166.0,9.0,13.0,9.0,2.0
27.0,Jeyson Paul Espinoza Diaz,782.0,43.0,120.0,25.0,14.0,31.0,60.0,32.0,22.0,31.0,35.0,229.0,1.0,132.0,5.0,2.0
