Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Jose Polorhenzo Aquino,100.0,14.0,6.0,4.0,2.0,2.0,5.0,13.0,1.0,9.0,12.0,7.0,6.0,10.0,7.0,2.0
2.0,Robbie Villarica,225.0,15.0,1.0,10.0,8.0,8.0,13.0,53.0,19.0,28.0,1.0,5.0,25.0,33.0,4.0,2.0
3.0,Ace Djun T. Aguirre Jr.,250.0,20.0,20.0,7.0,9.0,13.0,14.0,51.0,25.0,13.0,19.0,15.0,26.0,4.0,12.0,2.0
4.0,Jaden Lim,263.0,40.0,38.0,5.0,12.0,7.0,19.0,6.0,4.0,27.0,24.0,11.0,39.0,18.0,11.0,2.0
5.0,Brenton Angelo Lo Wong,266.0,4.0,3.0,2.0,15.0,30.0,26.0,32.0,43.0,9.0,7.0,14.0,35.0,41.0,3.0,2.0
6.0,Miguel Gonzaga,336.0,65.0,36.0,22.0,13.0,11.0,11.0,53.0,16.0,37.0,16.0,24.0,10.0,3.0,17.0,2.0
7.0,Jolo Endona,377.0,48.0,29.0,16.0,43.0,27.0,40.0,2.0,11.0,12.0,36.0,61.0,7.0,27.0,16.0,2.0
8.0,Jansen Alvarez,417.0,17.0,14.0,9.0,11.0,18.0,108.0,53.0,43.0,39.0,65.0,20.0,1.0,8.0,9.0,2.0
9.0,Yuji Yoshida,478.0,124.0,34.0,21.0,19.0,12.0,17.0,28.0,7.0,119.0,15.0,22.0,29.0,21.0,8.0,2.0
10.0,Lorenzo Layug,483.0,30.0,7.0,14.0,18.0,146.0,108.0,53.0,8.0,46.0,20.0,16.0,12.0,2.0,1.0,2.0
11.0,Christian Angelo Araneta Naguio,484.0,27.0,24.0,11.0,7.0,9.0,2.0,11.0,43.0,24.0,87.0,13.0,116.0,51.0,57.0,2.0
12.0,Psyron Eubert Catral,566.0,19.0,19.0,20.0,27.0,146.0,108.0,53.0,43.0,23.0,57.0,18.0,5.0,24.0,2.0,2.0
13.0,Phil Patrick F. Isidro,583.0,29.0,30.0,12.0,20.0,26.0,102.0,53.0,43.0,3.0,132.0,29.0,20.0,9.0,73.0,2.0
14.0,Kaidrich Keolo Pobre,704.0,117.0,13.0,70.0,45.0,45.0,36.0,53.0,24.0,61.0,42.0,41.0,47.0,60.0,48.0,2.0
15.0,Brian Acuña,719.0,196.0,70.0,39.0,28.0,25.0,10.0,26.0,13.0,76.0,29.0,83.0,64.0,33.0,25.0,2.0
16.0,Kirby Jay Caragan,755.0,58.0,81.0,57.0,75.0,87.0,108.0,42.0,22.0,71.0,13.0,32.0,59.0,7.0,41.0,2.0
17.0,Sean Patrick Villanueva,759.0,2.0,15.0,53.0,179.0,146.0,108.0,15.0,32.0,1.0,83.0,8.0,48.0,44.0,23.0,2.0
18.0,Dale Stephen M. Palmares,766.0,8.0,52.0,31.0,5.0,3.0,1.0,53.0,19.0,7.0,33.0,232.0,118.0,43.0,159.0,2.0
19.0,Inigo Miguel B. Palisoc,773.0,12.0,7.0,3.0,1.0,1.0,9.0,53.0,43.0,8.0,132.0,31.0,223.0,26.0,222.0,2.0
20.0,Maverick Sua,871.0,37.0,38.0,17.0,67.0,54.0,59.0,53.0,43.0,5.0,132.0,47.0,145.0,75.0,97.0,2.0
21.0,Richmond Mico Rigor,884.0,49.0,170.0,6.0,3.0,4.0,3.0,53.0,43.0,15.0,132.0,58.0,58.0,66.0,222.0,2.0
22.0,Genesis Vertudez,929.0,75.0,10.0,60.0,81.0,91.0,56.0,24.0,43.0,102.0,63.0,106.0,21.0,108.0,87.0,2.0
23.0,Junrho Pauchano,993.0,67.0,18.0,19.0,83.0,106.0,108.0,53.0,43.0,68.0,132.0,80.0,17.0,144.0,53.0,2.0
24.0,Justin John Navarro,1026.0,33.0,68.0,30.0,79.0,68.0,108.0,53.0,43.0,53.0,132.0,38.0,15.0,82.0,222.0,2.0
25.0,Nathaniel Ortega,1051.0,16.0,43.0,15.0,22.0,17.0,15.0,53.0,23.0,11.0,132.0,322.0,200.0,92.0,88.0,2.0
26.0,Javier Ignacio,1062.0,39.0,33.0,85.0,127.0,146.0,108.0,53.0,43.0,108.0,28.0,156.0,70.0,36.0,28.0,2.0
27.0,Nevign Angelique Besas,1084.0,41.0,73.0,28.0,17.0,5.0,7.0,53.0,43.0,91.0,55.0,19.0,198.0,230.0,222.0,2.0
28.0,Emanuel Capule,1093.0,192.0,68.0,69.0,69.0,39.0,27.0,53.0,30.0,85.0,78.0,78.0,76.0,74.0,153.0,2.0
29.0,Denniel M. Santos,1133.0,63.0,106.0,108.0,91.0,61.0,108.0,53.0,43.0,302.0,2.0,65.0,56.0,54.0,19.0,2.0
30.0,Mharr Justhinne Ampong,1144.0,38.0,164.0,78.0,224.0,116.0,55.0,53.0,43.0,50.0,106.0,36.0,36.0,29.0,114.0,2.0
31.0,Cyrez Ronquillo,1188.0,194.0,148.0,146.0,105.0,108.0,108.0,53.0,18.0,83.0,41.0,99.0,37.0,13.0,33.0,2.0
32.0,Jacob Miko Tan,1199.0,73.0,48.0,94.0,41.0,77.0,65.0,53.0,43.0,93.0,110.0,37.0,224.0,224.0,15.0,2.0
33.0,John Edison Ubaldo (ᜇ᜔ᜌᜓ︀ᜈ᜔ ᜁᜇᜒᜐᜓ︀ᜈ᜔ ᜂᜊᜎ᜔ᜇᜓ︀),1237.0,201.0,198.0,81.0,39.0,40.0,34.0,4.0,3.0,93.0,27.0,30.0,332.0,118.0,35.0,2.0
34.0,Sean Zowie Dwayne D. Cuaresma,1253.0,68.0,81.0,58.0,90.0,146.0,108.0,53.0,43.0,145.0,132.0,39.0,32.0,243.0,13.0,2.0
35.0,Luigi Angelo Enghoy,1283.0,127.0,54.0,52.0,54.0,146.0,108.0,53.0,43.0,31.0,132.0,74.0,50.0,135.0,222.0,2.0
36.0,Louie Jay Quibote,1333.0,157.0,346.0,23.0,14.0,6.0,4.0,53.0,39.0,26.0,103.0,52.0,229.0,176.0,103.0,2.0
37.0,Moses San Pascual,1337.0,32.0,59.0,23.0,60.0,63.0,108.0,53.0,43.0,38.0,132.0,197.0,423.0,61.0,43.0,2.0
38.0,Leigh Anne Nijel Guibani,1348.0,33.0,56.0,51.0,65.0,146.0,108.0,53.0,43.0,52.0,132.0,322.0,46.0,17.0,222.0,2.0
39.0,Francis Yuel B. Merced,1372.0,198.0,89.0,159.0,126.0,146.0,108.0,53.0,43.0,96.0,132.0,40.0,103.0,59.0,18.0,2.0
40.0,Isaiah Benedict S. Feria,1391.0,200.0,4.0,155.0,175.0,146.0,108.0,53.0,43.0,170.0,132.0,90.0,30.0,47.0,36.0,2.0
41.0,John Gabriel Uy,1452.0,109.0,120.0,96.0,111.0,82.0,88.0,53.0,43.0,54.0,42.0,93.0,282.0,63.0,214.0,2.0
42.0,Richard Jay S. Apagar,1465.0,9.0,58.0,13.0,10.0,22.0,24.0,53.0,43.0,36.0,132.0,6.0,53.0,782.0,222.0,2.0
43.0,Daryll Ben Relatorres,1473.0,61.0,24.0,112.0,206.0,64.0,108.0,53.0,43.0,34.0,132.0,257.0,117.0,38.0,222.0,2.0
44.0,Daryl Aliben,1570.0,104.0,346.0,55.0,52.0,32.0,108.0,53.0,43.0,126.0,50.0,27.0,372.0,148.0,52.0,2.0
45.0,Aragon Martin Gonzales,1577.0,13.0,42.0,27.0,32.0,146.0,108.0,53.0,43.0,16.0,132.0,322.0,28.0,391.0,222.0,2.0
46.0,Carl Joshua Garcia,1579.0,455.0,240.0,132.0,102.0,48.0,35.0,39.0,29.0,158.0,44.0,60.0,139.0,64.0,32.0,2.0
47.0,Stephen Mark V. Mariñas,1599.0,5.0,27.0,61.0,66.0,146.0,108.0,53.0,43.0,44.0,132.0,322.0,4.0,364.0,222.0,2.0
48.0,Karl Matthew Angeles,1612.0,6.0,23.0,122.0,328.0,146.0,108.0,53.0,43.0,30.0,132.0,322.0,13.0,62.0,222.0,2.0
49.0,Perry Nathaniel Gonzales,1651.0,162.0,298.0,82.0,37.0,67.0,52.0,46.0,43.0,79.0,25.0,322.0,360.0,45.0,31.0,2.0
50.0,Matteo Ortiz,1705.0,23.0,107.0,157.0,385.0,146.0,108.0,53.0,43.0,51.0,132.0,56.0,18.0,202.0,222.0,2.0
51.0,Jedrick Remonde,1706.0,187.0,61.0,89.0,173.0,146.0,108.0,53.0,43.0,60.0,132.0,84.0,168.0,178.0,222.0,2.0
52.0,John Gratian Magbanua,1739.0,132.0,184.0,101.0,120.0,50.0,108.0,53.0,43.0,67.0,132.0,62.0,324.0,139.0,222.0,2.0
53.0,Giovanni R. Sy,1757.0,65.0,338.0,67.0,57.0,31.0,33.0,53.0,43.0,56.0,34.0,322.0,214.0,220.0,222.0,2.0
54.0,Kristian Gil Caragan,1767.0,281.0,27.0,79.0,100.0,42.0,70.0,10.0,40.0,398.0,5.0,127.0,164.0,313.0,109.0,2.0
55.0,Lance Bastien Loy,1799.0,36.0,223.0,95.0,136.0,86.0,73.0,53.0,43.0,6.0,132.0,43.0,283.0,399.0,189.0,2.0
56.0,Iya Franzene L. Hufancia,1804.0,177.0,384.0,97.0,62.0,47.0,108.0,53.0,43.0,132.0,132.0,91.0,267.0,170.0,39.0,2.0
57.0,Albert Quiñones,1828.0,295.0,117.0,164.0,147.0,73.0,64.0,41.0,34.0,183.0,3.0,103.0,243.0,137.0,222.0,2.0
58.0,Jay Benedict Alfaras,1845.0,7.0,90.0,18.0,6.0,28.0,32.0,53.0,13.0,43.0,132.0,322.0,312.0,565.0,222.0,2.0
59.0,Kian I. Lee,1851.0,269.0,165.0,104.0,112.0,52.0,86.0,53.0,43.0,214.0,132.0,119.0,112.0,166.0,222.0,2.0
