Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Afonso Carapeto,47.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,5.0,1.0,7.0,2.0,7.0
2.0,Pedro Azevedo,66.0,3.0,1.0,1.0,3.0,7.0,5.0,3.0,4.0,5.0,5.0,3.0,17.0,1.0,8.0
3.0,Luís Pedro Gomes Costa,115.0,5.0,10.0,18.0,23.0,7.0,5.0,5.0,4.0,6.0,5.0,4.0,1.0,19.0,3.0
4.0,Leandro Baltazar,137.0,18.0,4.0,27.0,10.0,7.0,5.0,5.0,4.0,20.0,4.0,14.0,2.0,11.0,6.0
5.0,João Filipe dos Santos Pinheiro,139.0,9.0,17.0,20.0,5.0,7.0,5.0,5.0,4.0,15.0,5.0,15.0,6.0,3.0,23.0
6.0,Diogo Miguel Alves Guerreiro,162.0,14.0,3.0,26.0,23.0,7.0,5.0,5.0,4.0,33.0,5.0,15.0,11.0,10.0,1.0
7.0,Vasco Vasconcelos,164.0,4.0,15.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0,2.0,61.0,40.0,23.0
8.0,António Gomes,165.0,39.0,43.0,16.0,7.0,4.0,4.0,5.0,2.0,10.0,1.0,8.0,14.0,7.0,5.0
9.0,Xiang Guo,173.0,25.0,16.0,11.0,8.0,7.0,5.0,5.0,4.0,4.0,5.0,15.0,11.0,34.0,23.0
10.0,Anselmo José Gonçalves Falorca,175.0,19.0,6.0,10.0,13.0,7.0,5.0,5.0,4.0,16.0,5.0,6.0,8.0,48.0,23.0
11.0,José Manuel Lucena,192.0,29.0,23.0,18.0,23.0,7.0,5.0,5.0,4.0,19.0,5.0,15.0,3.0,13.0,23.0
12.0,Didier Batista Ferreira,203.0,22.0,8.0,14.0,23.0,7.0,5.0,1.0,4.0,24.0,5.0,15.0,4.0,48.0,23.0
13.0,António Dias,216.0,41.0,5.0,24.0,12.0,5.0,2.0,5.0,4.0,30.0,5.0,10.0,26.0,26.0,21.0
14.0,Afonso Cláudio Machado,222.0,1.0,13.0,7.0,23.0,7.0,5.0,5.0,4.0,3.0,5.0,15.0,63.0,48.0,23.0
15.0,Sara García Mendes,224.0,47.0,27.0,35.0,11.0,7.0,5.0,5.0,4.0,25.0,5.0,0.0,18.0,12.0,23.0
16.0,David Martins,240.0,11.0,7.0,32.0,23.0,7.0,5.0,5.0,4.0,42.0,5.0,15.0,22.0,48.0,14.0
16.0,Rui Alexandre Reis Lopes,240.0,35.0,25.0,12.0,15.0,7.0,5.0,5.0,4.0,37.0,5.0,15.0,19.0,33.0,23.0
18.0,Tiago Oliveira,241.0,8.0,12.0,4.0,23.0,7.0,5.0,5.0,4.0,12.0,5.0,15.0,70.0,48.0,23.0
18.0,Luís Tovar,241.0,32.0,19.0,31.0,23.0,7.0,5.0,5.0,4.0,14.0,5.0,15.0,10.0,48.0,23.0
20.0,André Melão,247.0,57.0,29.0,21.0,14.0,7.0,5.0,5.0,4.0,23.0,5.0,15.0,25.0,14.0,23.0
21.0,Tomás Freire,250.0,6.0,9.0,13.0,23.0,7.0,5.0,5.0,4.0,60.0,5.0,15.0,44.0,38.0,16.0
22.0,Nuno Ricardo Cordeiro Serafim,258.0,41.0,45.0,40.0,23.0,7.0,5.0,4.0,3.0,18.0,5.0,15.0,13.0,16.0,23.0
23.0,Francisco Almeida,260.0,23.0,58.0,8.0,23.0,7.0,5.0,5.0,4.0,13.0,5.0,15.0,53.0,18.0,23.0
24.0,Francisco Power,262.0,45.0,46.0,34.0,23.0,7.0,5.0,5.0,4.0,34.0,5.0,15.0,9.0,15.0,15.0
25.0,Jiayu Liu,263.0,44.0,33.0,30.0,9.0,7.0,5.0,5.0,4.0,44.0,5.0,7.0,27.0,20.0,23.0
26.0,Gabriel Vidal Figueiredo,272.0,52.0,22.0,67.0,23.0,7.0,5.0,5.0,4.0,48.0,2.0,5.0,15.0,7.0,10.0
27.0,Laura Kahle,289.0,46.0,42.0,55.0,23.0,7.0,5.0,5.0,4.0,17.0,5.0,15.0,43.0,4.0,18.0
28.0,Miguel Carvalho,290.0,64.0,37.0,41.0,19.0,7.0,5.0,5.0,4.0,36.0,5.0,9.0,30.0,5.0,23.0
29.0,Gonçalo Carrasquinho,291.0,7.0,13.0,15.0,23.0,7.0,5.0,5.0,4.0,60.0,5.0,15.0,80.0,48.0,4.0
30.0,Tiago Almeida,304.0,48.0,34.0,48.0,23.0,7.0,5.0,5.0,4.0,43.0,5.0,15.0,23.0,21.0,23.0
31.0,Diogo Marquês Soares,306.0,36.0,20.0,67.0,23.0,7.0,5.0,5.0,4.0,60.0,5.0,13.0,16.0,25.0,20.0
32.0,Luís Duarte Oliveira,308.0,30.0,41.0,25.0,23.0,7.0,5.0,5.0,4.0,32.0,5.0,15.0,45.0,48.0,23.0
33.0,Nuno Freitas,318.0,13.0,49.0,22.0,16.0,7.0,5.0,5.0,4.0,26.0,5.0,15.0,80.0,48.0,23.0
34.0,Tomás Worm Ramos,326.0,49.0,60.0,33.0,17.0,6.0,3.0,5.0,4.0,28.0,5.0,15.0,42.0,36.0,23.0
35.0,Joao Pedro Fernandes Silva,331.0,67.0,68.0,44.0,22.0,7.0,5.0,5.0,4.0,29.0,5.0,15.0,31.0,6.0,23.0
