Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,DongSoo Park (박동수),142.0,7.0,14.0,2.0,2.0,2.0,2.0,42.0,19.0,7.0,6.0,4.0,11.0,9.0,9.0,6.0
2.0,Kyeongmin Choi,184.0,5.0,1.0,18.0,33.0,26.0,26.0,4.0,1.0,14.0,13.0,1.0,10.0,22.0,4.0,6.0
3.0,Jinseo Hong,213.0,10.0,20.0,3.0,3.0,4.0,12.0,42.0,41.0,5.0,21.0,21.0,2.0,11.0,12.0,6.0
4.0,Jaemin Chang (장재민),217.0,4.0,2.0,8.0,4.0,20.0,5.0,42.0,12.0,8.0,67.0,10.0,19.0,7.0,3.0,6.0
5.0,SeungO Han (한승오),251.0,13.0,10.0,21.0,15.0,18.0,21.0,42.0,21.0,19.0,15.0,19.0,12.0,14.0,5.0,6.0
6.0,Yeon Kyun Park (박연균),256.0,19.0,31.0,27.0,27.0,29.0,16.0,12.0,26.0,15.0,2.0,15.0,13.0,1.0,17.0,6.0
7.0,Doyul Kim (김도율),277.0,6.0,49.0,17.0,14.0,9.0,7.0,42.0,30.0,2.0,9.0,9.0,19.0,18.0,40.0,6.0
8.0,Park Ji Won (박지원),355.0,35.0,29.0,20.0,31.0,23.0,20.0,42.0,53.0,36.0,17.0,3.0,17.0,21.0,2.0,6.0
9.0,Jong-Ho Jeong (정종호),411.0,21.0,12.0,16.0,9.0,7.0,22.0,3.0,14.0,20.0,111.0,17.0,29.0,94.0,30.0,6.0
10.0,MinSeo Gu (구민서),430.0,15.0,21.0,10.0,10.0,13.0,10.0,42.0,40.0,28.0,41.0,30.0,53.0,44.0,67.0,6.0
11.0,Yoochan Hong (홍유찬),434.0,14.0,22.0,6.0,29.0,163.0,53.0,42.0,33.0,3.0,20.0,25.0,8.0,2.0,8.0,6.0
12.0,Kim Min (김민),445.0,47.0,51.0,25.0,16.0,15.0,11.0,42.0,46.0,42.0,26.0,16.0,25.0,49.0,28.0,6.0
13.0,Yu Da-Hyun (유다현),452.0,20.0,63.0,12.0,18.0,10.0,14.0,8.0,32.0,35.0,68.0,2.0,31.0,74.0,61.0,4.0
14.0,SeungBeom Cho (조승범),477.0,11.0,4.0,9.0,17.0,11.0,15.0,42.0,53.0,9.0,176.0,47.0,16.0,23.0,38.0,6.0
15.0,Seung Hyuk Nahm (남승혁),526.0,1.0,6.0,1.0,1.0,1.0,1.0,42.0,53.0,1.0,74.0,7.0,74.0,49.0,209.0,6.0
16.0,Sungho Hong (홍성호),579.0,48.0,27.0,32.0,40.0,40.0,30.0,42.0,27.0,16.0,16.0,53.0,41.0,95.0,66.0,6.0
17.0,Jungwoo Kim (김정우),609.0,39.0,45.0,64.0,60.0,56.0,61.0,32.0,18.0,65.0,43.0,28.0,24.0,6.0,63.0,5.0
18.0,Beom San Kim (김범산),642.0,17.0,16.0,15.0,8.0,8.0,17.0,42.0,53.0,10.0,116.0,68.0,30.0,27.0,209.0,6.0
19.0,Junseop Kim (김준섭),674.0,58.0,56.0,66.0,35.0,44.0,69.0,42.0,43.0,60.0,48.0,34.0,50.0,62.0,1.0,6.0
20.0,Choi Hyo-jin (최효진),683.0,115.0,87.0,83.0,72.0,35.0,35.0,42.0,17.0,67.0,8.0,5.0,36.0,43.0,32.0,6.0
21.0,Shin Myeong Park (박신명),735.0,81.0,8.0,57.0,49.0,52.0,39.0,29.0,53.0,79.0,108.0,75.0,35.0,38.0,26.0,6.0
22.0,Yunsu Nam (남윤수),782.0,86.0,23.0,42.0,32.0,43.0,80.0,27.0,27.0,47.0,100.0,39.0,57.0,113.0,60.0,6.0
23.0,Min-Hyuk Son (손민혁),783.0,41.0,145.0,47.0,38.0,28.0,57.0,42.0,53.0,44.0,89.0,22.0,44.0,42.0,85.0,6.0
24.0,Jungwoo Ha (하정우),795.0,29.0,3.0,23.0,54.0,86.0,136.0,40.0,53.0,33.0,155.0,93.0,59.0,19.0,6.0,6.0
25.0,Yu Byeong-Seon (유병선),855.0,72.0,61.0,31.0,34.0,39.0,48.0,42.0,53.0,64.0,110.0,40.0,63.0,134.0,58.0,6.0
26.0,Minjun Kim (김민준),861.0,83.0,72.0,48.0,69.0,85.0,46.0,42.0,53.0,100.0,37.0,173.0,6.0,25.0,16.0,6.0
27.0,Koh Youngjin (고영진),880.0,121.0,71.0,80.0,84.0,65.0,74.0,5.0,10.0,81.0,30.0,36.0,56.0,110.0,51.0,6.0
28.0,Hong Seungbin,881.0,27.0,26.0,104.0,114.0,58.0,136.0,42.0,53.0,18.0,140.0,80.0,28.0,5.0,44.0,6.0
29.0,Jung Ju Whan (정주환),986.0,143.0,96.0,78.0,42.0,49.0,42.0,42.0,53.0,106.0,63.0,8.0,136.0,70.0,52.0,6.0
30.0,Kim Simin,1011.0,43.0,83.0,72.0,80.0,113.0,136.0,42.0,53.0,17.0,156.0,94.0,26.0,4.0,86.0,6.0
31.0,Jin Young Kim (김진영),1062.0,139.0,189.0,96.0,66.0,57.0,55.0,42.0,53.0,51.0,142.0,38.0,76.0,28.0,24.0,6.0
32.0,Kim Junsu (김준수),1066.0,153.0,114.0,62.0,48.0,42.0,49.0,42.0,53.0,107.0,47.0,133.0,67.0,98.0,45.0,6.0
33.0,Habin Kim (김하빈),1095.0,28.0,18.0,67.0,73.0,163.0,136.0,42.0,53.0,24.0,10.0,258.0,73.0,35.0,109.0,6.0
34.0,Sooho Lee (이수호),1105.0,12.0,5.0,7.0,7.0,14.0,13.0,42.0,53.0,118.0,101.0,23.0,622.0,53.0,29.0,6.0
35.0,Jusun Choi (최주선),1123.0,31.0,34.0,29.0,78.0,163.0,136.0,42.0,53.0,31.0,176.0,13.0,119.0,3.0,209.0,6.0
36.0,Yong Hyeon Jo (조용현),1128.0,101.0,76.0,121.0,143.0,104.0,111.0,21.0,12.0,61.0,88.0,86.0,107.0,77.0,14.0,6.0
37.0,Minkyu Shin (신민규),1129.0,8.0,17.0,13.0,6.0,5.0,3.0,42.0,53.0,32.0,176.0,52.0,91.0,510.0,115.0,6.0
38.0,Seungyong Han (한승용),1142.0,108.0,223.0,71.0,21.0,19.0,6.0,42.0,53.0,181.0,29.0,42.0,87.0,207.0,47.0,6.0
39.0,DongHwan Im (임동환),1154.0,25.0,54.0,5.0,20.0,17.0,25.0,42.0,53.0,21.0,176.0,258.0,127.0,116.0,209.0,6.0
40.0,Park Sin Ho (박신호),1157.0,44.0,30.0,28.0,36.0,38.0,44.0,42.0,53.0,162.0,176.0,258.0,15.0,39.0,186.0,6.0
41.0,Heejun Kim (김희준),1174.0,97.0,89.0,46.0,28.0,34.0,31.0,1.0,53.0,54.0,176.0,46.0,270.0,114.0,129.0,6.0
42.0,Jonghun Kim,1182.0,102.0,155.0,40.0,23.0,25.0,19.0,42.0,53.0,145.0,117.0,43.0,193.0,120.0,99.0,6.0
43.0,Chae Jiseok (채지석),1183.0,168.0,94.0,74.0,70.0,45.0,33.0,42.0,53.0,85.0,5.0,96.0,79.0,168.0,165.0,6.0
44.0,Chan-Min Lee (이찬민),1190.0,51.0,41.0,63.0,81.0,163.0,92.0,42.0,53.0,150.0,80.0,159.0,5.0,86.0,118.0,6.0
45.0,Min-Je Song (송민제),1200.0,34.0,70.0,181.0,124.0,87.0,136.0,42.0,53.0,12.0,109.0,149.0,39.0,112.0,46.0,6.0
46.0,Choi Goho (최고호),1222.0,249.0,215.0,133.0,75.0,48.0,45.0,19.0,15.0,158.0,57.0,24.0,58.0,93.0,27.0,6.0
47.0,Seungho Song (송승호),1227.0,154.0,36.0,33.0,53.0,163.0,136.0,42.0,53.0,246.0,99.0,114.0,3.0,35.0,54.0,6.0
48.0,Jerry Hwang (황동욱),1232.0,46.0,91.0,36.0,25.0,24.0,18.0,42.0,53.0,86.0,176.0,12.0,355.0,53.0,209.0,6.0
49.0,Jimin Byeon (변지민),1255.0,37.0,111.0,59.0,103.0,109.0,118.0,13.0,53.0,36.0,135.0,149.0,185.0,34.0,107.0,6.0
50.0,Gang Yong-Jin,1256.0,174.0,233.0,58.0,108.0,67.0,51.0,10.0,37.0,136.0,141.0,20.0,136.0,72.0,7.0,6.0
50.0,Hyun-Kyoo Rah (나현규),1256.0,135.0,79.0,100.0,113.0,119.0,94.0,17.0,53.0,55.0,172.0,87.0,62.0,32.0,132.0,6.0
50.0,Joon Cha (차준혁),1256.0,111.0,35.0,103.0,110.0,72.0,54.0,24.0,15.0,102.0,176.0,65.0,70.0,182.0,131.0,6.0
53.0,Johnny Yejun Kim,1262.0,65.0,59.0,92.0,68.0,163.0,136.0,42.0,53.0,72.0,134.0,104.0,54.0,158.0,56.0,6.0
54.0,Minhyun Kim (김민현),1263.0,146.0,107.0,70.0,56.0,53.0,52.0,7.0,4.0,92.0,132.0,48.0,146.0,277.0,71.0,2.0
55.0,Bae Chan Heyung (배찬형),1299.0,156.0,74.0,87.0,106.0,95.0,85.0,42.0,27.0,140.0,176.0,18.0,100.0,67.0,120.0,6.0
56.0,Minsoo Park,1323.0,131.0,63.0,153.0,90.0,69.0,58.0,42.0,53.0,99.0,176.0,129.0,96.0,77.0,81.0,6.0
