Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Martin Fronescu,38.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,2.0,2.0,2.0
2.0,Ianis Costin Chele,63.0,1.0,1.0,4.0,3.0,5.0,9.0,22.0,10.0,1.0,1.0,1.0,1.0,1.0,3.0
3.0,Mihnea Andrei Panţu,90.0,9.0,5.0,5.0,4.0,3.0,3.0,12.0,8.0,7.0,4.0,9.0,5.0,6.0,10.0
4.0,János Bereczki,106.0,3.0,7.0,1.0,1.0,1.0,1.0,22.0,13.0,2.0,10.0,3.0,22.0,16.0,4.0
5.0,Mihail Stoicescu,131.0,6.0,8.0,10.0,11.0,12.0,19.0,22.0,6.0,5.0,9.0,5.0,8.0,5.0,5.0
6.0,Haluk Ulkusal,219.0,2.0,8.0,3.0,7.0,17.0,13.0,18.0,5.0,8.0,64.0,30.0,6.0,17.0,21.0
7.0,Vincentiu Tarsoaga,226.0,25.0,23.0,12.0,8.0,7.0,7.0,22.0,24.0,18.0,13.0,27.0,11.0,12.0,17.0
8.0,Christofor Gabriel Costea,228.0,11.0,2.0,18.0,26.0,26.0,39.0,22.0,4.0,11.0,15.0,20.0,14.0,13.0,7.0
9.0,Bogdan Briciu,264.0,10.0,24.0,6.0,6.0,6.0,5.0,22.0,28.0,12.0,64.0,26.0,42.0,7.0,6.0
10.0,Alexandru Ioan Popescu,280.0,14.0,34.0,7.0,5.0,4.0,4.0,22.0,28.0,10.0,44.0,19.0,38.0,21.0,30.0
11.0,Serban Stelian,291.0,4.0,4.0,8.0,21.0,46.0,39.0,6.0,7.0,4.0,64.0,8.0,9.0,51.0,20.0
12.0,Dragoş Mihai Cadariu,317.0,27.0,12.0,20.0,22.0,25.0,32.0,22.0,28.0,16.0,61.0,6.0,24.0,8.0,14.0
13.0,András Szigeti,328.0,31.0,40.0,27.0,20.0,20.0,16.0,22.0,25.0,35.0,26.0,23.0,16.0,3.0,24.0
14.0,Matei-Alexandru Ghencea,340.0,22.0,24.0,24.0,17.0,13.0,11.0,22.0,1.0,29.0,3.0,67.0,20.0,19.0,68.0
15.0,Alexandru Constantin Stoica,357.0,62.0,42.0,23.0,14.0,8.0,8.0,22.0,28.0,31.0,19.0,18.0,39.0,18.0,25.0
16.0,David Serban Enescu,363.0,23.0,47.0,14.0,12.0,14.0,21.0,11.0,28.0,6.0,27.0,44.0,58.0,9.0,49.0
17.0,Turcanu Vlad,395.0,74.0,46.0,36.0,31.0,24.0,23.0,17.0,28.0,49.0,21.0,13.0,14.0,10.0,9.0
18.0,Flavian Glonț,397.0,26.0,11.0,16.0,16.0,21.0,27.0,22.0,28.0,24.0,64.0,42.0,41.0,22.0,37.0
19.0,Mihai Căpăţinescu,399.0,52.0,66.0,31.0,10.0,10.0,12.0,21.0,13.0,26.0,12.0,28.0,60.0,14.0,44.0
