Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Andrey Che,162.0,3.0,3.0,2.0,1.0,11.0,18.0,70.0,2.0,1.0,7.0,2.0,5.0,20.0,6.0,6.0,5.0
2.0,Alexander Bashutkin,227.0,1.0,2.0,4.0,4.0,9.0,13.0,70.0,22.0,6.0,45.0,10.0,3.0,17.0,10.0,6.0,5.0
3.0,Ilya Nazarov,273.0,22.0,10.0,16.0,13.0,25.0,27.0,70.0,9.0,5.0,17.0,24.0,5.0,11.0,8.0,6.0,5.0
4.0,Maxim Ilin,366.0,15.0,19.0,40.0,16.0,30.0,22.0,33.0,9.0,21.0,52.0,33.0,38.0,15.0,12.0,6.0,5.0
5.0,Alexey Zharikov,398.0,12.0,65.0,3.0,3.0,1.0,1.0,70.0,4.0,28.0,105.0,13.0,53.0,24.0,5.0,6.0,5.0
6.0,Alexey Kislovskiy,461.0,65.0,35.0,46.0,35.0,23.0,26.0,12.0,15.0,34.0,48.0,21.0,45.0,19.0,26.0,6.0,5.0
7.0,Timofei Tarasenko,497.0,2.0,6.0,1.0,2.0,5.0,9.0,70.0,124.0,12.0,62.0,1.0,7.0,153.0,32.0,6.0,5.0
8.0,Pavel Mesyatsev,555.0,18.0,31.0,9.0,22.0,33.0,65.0,70.0,124.0,85.0,39.0,12.0,2.0,27.0,7.0,6.0,5.0
9.0,Artem Yashkov,578.0,29.0,47.0,18.0,24.0,32.0,51.0,70.0,37.0,25.0,59.0,32.0,82.0,18.0,43.0,6.0,5.0
10.0,Ivan Polkanov (Иван Полканов),612.0,8.0,5.0,5.0,5.0,71.0,156.0,25.0,124.0,10.0,25.0,45.0,56.0,13.0,53.0,6.0,5.0
11.0,Vladimir Korovin,651.0,46.0,11.0,66.0,105.0,81.0,62.0,19.0,16.0,53.0,73.0,11.0,34.0,9.0,54.0,6.0,5.0
12.0,Vyacheslav Kochergin (Вячеслав Кочергин),652.0,22.0,21.0,13.0,20.0,27.0,29.0,70.0,124.0,114.0,31.0,7.0,25.0,49.0,89.0,6.0,5.0
13.0,Vladislav Kozhin,671.0,47.0,34.0,37.0,29.0,35.0,38.0,70.0,27.0,32.0,68.0,86.0,62.0,3.0,92.0,6.0,5.0
14.0,Timur Imanov,713.0,26.0,7.0,62.0,47.0,92.0,119.0,70.0,20.0,15.0,134.0,16.0,25.0,40.0,29.0,6.0,5.0
15.0,Mikhail Kopylov (Михаил Копылов),729.0,20.0,40.0,24.0,36.0,61.0,156.0,70.0,124.0,38.0,23.0,8.0,39.0,64.0,15.0,6.0,5.0
16.0,David Arzamastsev,763.0,48.0,107.0,69.0,52.0,75.0,52.0,70.0,22.0,39.0,28.0,43.0,8.0,26.0,113.0,6.0,5.0
17.0,Dmitry Kryuzban,828.0,17.0,74.0,86.0,32.0,18.0,20.0,70.0,29.0,202.0,17.0,19.0,12.0,182.0,39.0,6.0,5.0
18.0,Artyom Martirosov,843.0,39.0,72.0,20.0,6.0,6.0,5.0,2.0,11.0,56.0,160.0,42.0,294.0,96.0,27.0,4.0,3.0
19.0,Grigoriy Barashkin,880.0,16.0,27.0,25.0,29.0,132.0,156.0,70.0,33.0,14.0,164.0,26.0,37.0,29.0,111.0,6.0,5.0
20.0,Dmitry Aniskin,893.0,24.0,47.0,37.0,67.0,94.0,82.0,70.0,45.0,29.0,79.0,17.0,141.0,99.0,51.0,6.0,5.0
21.0,Pavel Galaktionov,901.0,13.0,22.0,15.0,18.0,24.0,21.0,70.0,5.0,3.0,371.0,132.0,69.0,23.0,104.0,6.0,5.0
22.0,Ivan Zabrodin,968.0,133.0,51.0,65.0,65.0,34.0,32.0,28.0,27.0,115.0,12.0,73.0,140.0,28.0,154.0,6.0,5.0
23.0,Stepan Makarenko,985.0,42.0,78.0,26.0,23.0,26.0,35.0,70.0,45.0,148.0,36.0,41.0,182.0,220.0,2.0,6.0,5.0
24.0,Semen Artyukhov,1000.0,67.0,126.0,40.0,28.0,10.0,19.0,70.0,124.0,41.0,141.0,46.0,87.0,4.0,186.0,6.0,5.0
25.0,Pavel Eroshkin (Павел Ерошкин),1115.0,40.0,67.0,47.0,57.0,68.0,50.0,70.0,124.0,203.0,171.0,25.0,107.0,54.0,21.0,6.0,5.0
26.0,Ekaterina Kaneva,1127.0,45.0,15.0,101.0,81.0,72.0,78.0,70.0,124.0,327.0,90.0,57.0,31.0,2.0,23.0,6.0,5.0
26.0,Fedor Abaev,1127.0,74.0,97.0,135.0,83.0,60.0,91.0,10.0,36.0,118.0,31.0,157.0,33.0,100.0,91.0,6.0,5.0
28.0,Aleksandr Beznogov,1138.0,44.0,13.0,73.0,144.0,239.0,156.0,70.0,1.0,74.0,83.0,52.0,30.0,6.0,142.0,6.0,5.0
29.0,Vladimir Tikhonenko (Владимир Тихоненко),1144.0,32.0,9.0,79.0,123.0,63.0,156.0,70.0,124.0,63.0,95.0,156.0,89.0,71.0,3.0,6.0,5.0
30.0,Mikhail Kuzin,1165.0,177.0,163.0,39.0,66.0,64.0,84.0,70.0,22.0,110.0,53.0,77.0,104.0,8.0,117.0,6.0,5.0
31.0,Anatoly Turenko (Анатолий Туренко),1167.0,7.0,62.0,7.0,93.0,239.0,156.0,67.0,86.0,11.0,40.0,39.0,50.0,224.0,75.0,6.0,5.0
32.0,Dmitry Zvyagintsev,1203.0,26.0,44.0,8.0,21.0,7.0,11.0,70.0,29.0,16.0,342.0,74.0,214.0,206.0,124.0,6.0,5.0
33.0,Nikita Popkov,1240.0,275.0,105.0,53.0,61.0,52.0,54.0,27.0,124.0,112.0,67.0,69.0,124.0,48.0,58.0,6.0,5.0
34.0,Saveliy Surikov,1311.0,49.0,40.0,63.0,133.0,121.0,156.0,70.0,124.0,146.0,285.0,4.0,13.0,77.0,19.0,6.0,5.0
35.0,Sergey Chirin,1318.0,133.0,133.0,54.0,75.0,47.0,69.0,70.0,43.0,109.0,91.0,110.0,194.0,175.0,4.0,6.0,5.0
36.0,Iurii Chesnokov (Юрий Чесноков),1339.0,128.0,130.0,60.0,100.0,57.0,49.0,70.0,124.0,230.0,112.0,28.0,79.0,109.0,52.0,6.0,5.0
37.0,Chingizkhan Mukhametdinov,1385.0,143.0,161.0,70.0,42.0,39.0,30.0,70.0,124.0,101.0,250.0,58.0,101.0,65.0,120.0,6.0,5.0
38.0,Andrey Kolevatykh (Андрей Колеватых),1406.0,88.0,85.0,131.0,116.0,107.0,115.0,70.0,124.0,44.0,139.0,96.0,59.0,106.0,115.0,6.0,5.0
39.0,Emil Khalimov,1440.0,69.0,72.0,67.0,55.0,69.0,71.0,70.0,124.0,383.0,193.0,68.0,32.0,122.0,34.0,6.0,5.0
40.0,Evgeniy Mazhara,1470.0,177.0,96.0,89.0,73.0,62.0,57.0,64.0,58.0,58.0,156.0,126.0,105.0,133.0,205.0,6.0,5.0
41.0,Ewsey Obzherin,1478.0,77.0,84.0,58.0,43.0,22.0,14.0,70.0,124.0,321.0,395.0,30.0,85.0,11.0,133.0,6.0,5.0
42.0,Danila Ryabinin,1495.0,81.0,88.0,40.0,19.0,14.0,8.0,70.0,66.0,45.0,343.0,37.0,451.0,155.0,67.0,6.0,5.0
43.0,Maxim Brednev (Максим Бреднев),1496.0,64.0,60.0,96.0,54.0,239.0,156.0,70.0,124.0,409.0,3.0,114.0,4.0,21.0,71.0,6.0,5.0
44.0,Dmitry Matthew Yaquinto,1542.0,51.0,52.0,31.0,39.0,45.0,25.0,70.0,124.0,46.0,211.0,60.0,63.0,140.0,574.0,6.0,5.0
44.0,Timur Kononov (Тимур Кононов),1542.0,59.0,44.0,149.0,162.0,239.0,156.0,70.0,124.0,86.0,133.0,62.0,58.0,66.0,123.0,6.0,5.0
46.0,Darya Belonogova,1631.0,113.0,169.0,82.0,102.0,136.0,156.0,70.0,124.0,166.0,75.0,63.0,272.0,46.0,46.0,6.0,5.0
47.0,Ilya Sokolov,1643.0,120.0,47.0,130.0,119.0,239.0,156.0,70.0,124.0,73.0,264.0,76.0,96.0,58.0,60.0,6.0,5.0
48.0,Alexey Tsvetkov,1650.0,5.0,1.0,6.0,68.0,239.0,156.0,70.0,124.0,2.0,4.0,522.0,1.0,1.0,440.0,6.0,5.0
49.0,Boris Monakhov,1666.0,251.0,90.0,57.0,156.0,112.0,53.0,70.0,47.0,346.0,104.0,103.0,29.0,125.0,112.0,6.0,5.0
50.0,Artem Kulikov (Артём Куликов),1680.0,268.0,117.0,112.0,175.0,239.0,156.0,70.0,124.0,206.0,22.0,79.0,27.0,10.0,64.0,6.0,5.0
51.0,Sergey Marin (Сергей Марьин),1701.0,212.0,8.0,178.0,211.0,131.0,106.0,18.0,124.0,142.0,29.0,279.0,106.0,25.0,121.0,6.0,5.0
52.0,Andrey Mishin,1720.0,113.0,37.0,99.0,141.0,239.0,156.0,70.0,124.0,407.0,103.0,18.0,40.0,121.0,41.0,6.0,5.0
53.0,Artem Lukin (Артём Лукин),1738.0,165.0,81.0,103.0,85.0,174.0,156.0,70.0,124.0,94.0,120.0,168.0,107.0,74.0,206.0,6.0,5.0
54.0,Nikolay Vasilyev,1791.0,154.0,204.0,166.0,101.0,65.0,46.0,70.0,29.0,174.0,94.0,34.0,303.0,205.0,135.0,6.0,5.0
55.0,Islam Kitiev,1792.0,201.0,97.0,143.0,90.0,73.0,63.0,70.0,44.0,66.0,293.0,5.0,334.0,177.0,125.0,6.0,5.0
56.0,Lev Bruskov (Лев Брусков),1813.0,138.0,115.0,210.0,295.0,239.0,156.0,70.0,114.0,153.0,2.0,203.0,17.0,89.0,1.0,6.0,5.0
57.0,Vladislav Shurshilin,1821.0,87.0,53.0,80.0,199.0,239.0,156.0,70.0,124.0,151.0,66.0,275.0,172.0,114.0,24.0,6.0,5.0
58.0,Vladimir Fedorov,1832.0,101.0,16.0,35.0,92.0,239.0,156.0,70.0,124.0,72.0,259.0,6.0,24.0,53.0,574.0,6.0,5.0
59.0,Vladislav Korovin (Владислав Коровин),1859.0,165.0,75.0,71.0,253.0,239.0,156.0,70.0,124.0,189.0,82.0,195.0,47.0,21.0,161.0,6.0,5.0
60.0,Sergey Shitov,1872.0,28.0,157.0,22.0,7.0,3.0,7.0,70.0,124.0,22.0,459.0,108.0,216.0,504.0,134.0,6.0,5.0
61.0,Denis Gromov (Денис Громов),1876.0,94.0,43.0,76.0,25.0,28.0,40.0,70.0,124.0,78.0,459.0,89.0,238.0,272.0,229.0,6.0,5.0
62.0,Oleg Eminov,1900.0,118.0,147.0,190.0,320.0,159.0,156.0,70.0,124.0,168.0,88.0,107.0,65.0,36.0,141.0,6.0,5.0
63.0,Dmitry Korolev,1911.0,95.0,76.0,184.0,281.0,239.0,156.0,70.0,124.0,91.0,174.0,165.0,110.0,42.0,93.0,6.0,5.0
64.0,Dmitry Dobrjakov,1947.0,4.0,33.0,11.0,9.0,16.0,28.0,70.0,5.0,8.0,280.0,430.0,142.0,326.0,574.0,6.0,5.0
65.0,Roman Povolotskii,1954.0,233.0,158.0,211.0,60.0,46.0,66.0,70.0,124.0,180.0,340.0,59.0,71.0,155.0,170.0,6.0,5.0
66.0,Dmitriy Shevchenko,1964.0,66.0,14.0,77.0,91.0,53.0,116.0,70.0,124.0,19.0,403.0,231.0,75.0,289.0,325.0,6.0,5.0
67.0,Oleg Martynov,1978.0,181.0,132.0,94.0,88.0,79.0,90.0,70.0,124.0,90.0,459.0,265.0,153.0,112.0,30.0,6.0,5.0
68.0,Ivan Karasev,1988.0,124.0,169.0,205.0,153.0,239.0,156.0,70.0,124.0,198.0,235.0,112.0,28.0,62.0,102.0,6.0,5.0
