Rank,name,Sum,333,222,444,555,333oh,clock,minx,pyram,skewb,sq1
1.0,Hussain Bukhamsin,28.0,9.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0
2.0,Rayan Ali Al Hamad,52.0,17.0,5.0,3.0,2.0,8.0,3.0,2.0,5.0,4.0,3.0
3.0,Mohammed A. Abualsaud,57.0,5.0,11.0,10.0,2.0,8.0,3.0,3.0,4.0,8.0,3.0
4.0,Hussain Albaqshi,59.0,8.0,3.0,10.0,2.0,8.0,3.0,3.0,3.0,16.0,3.0
5.0,Hussain Alasiri,65.0,1.0,30.0,10.0,2.0,8.0,3.0,1.0,8.0,1.0,1.0
6.0,Fahad Almakrami,67.0,12.0,9.0,10.0,2.0,8.0,3.0,3.0,1.0,16.0,3.0
7.0,Omar Boodai,74.0,11.0,7.0,10.0,2.0,8.0,3.0,3.0,24.0,3.0,3.0
8.0,Ali Mohammed Ghazzawi,76.0,4.0,13.0,5.0,2.0,3.0,3.0,3.0,24.0,16.0,3.0
8.0,Muhammad Mubarak,76.0,7.0,6.0,10.0,2.0,2.0,3.0,3.0,24.0,16.0,3.0
10.0,Fadil Binjabi (فاضل احمد بنجابي),79.0,16.0,8.0,4.0,2.0,4.0,3.0,3.0,20.0,16.0,3.0
10.0,Mishari Alhussain,79.0,23.0,4.0,10.0,2.0,8.0,2.0,3.0,15.0,9.0,3.0
12.0,Omar Alshenawy,80.0,6.0,19.0,10.0,2.0,8.0,3.0,3.0,12.0,14.0,3.0
12.0,Faisal Al Nahwi,80.0,24.0,2.0,8.0,2.0,8.0,3.0,3.0,22.0,5.0,3.0
14.0,Hatim Nadeem,82.0,20.0,10.0,10.0,2.0,8.0,3.0,3.0,17.0,6.0,3.0
15.0,Abdulmohsin Almarzouq,89.0,29.0,16.0,7.0,2.0,7.0,3.0,3.0,9.0,10.0,3.0
15.0,Nawaf Aldrees,89.0,2.0,30.0,1.0,1.0,6.0,3.0,3.0,24.0,16.0,3.0
17.0,Hasan Yasir Shosho,91.0,10.0,12.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
18.0,Ali Wajih Alsafwani,93.0,13.0,17.0,10.0,2.0,8.0,3.0,3.0,18.0,16.0,3.0
19.0,Yusuf Mansouri,97.0,21.0,21.0,10.0,2.0,8.0,3.0,3.0,10.0,16.0,3.0
19.0,Rishit Agarwal,97.0,33.0,18.0,10.0,2.0,8.0,3.0,3.0,6.0,11.0,3.0
21.0,Abdullah AlWakeel,100.0,22.0,14.0,10.0,2.0,8.0,3.0,3.0,19.0,16.0,3.0
22.0,Ali Zakaria Alramadan,102.0,3.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
23.0,Abdulrahman Alzaid,103.0,32.0,15.0,10.0,2.0,8.0,1.0,3.0,16.0,13.0,3.0
24.0,Quds Akbar,106.0,14.0,30.0,6.0,2.0,5.0,3.0,3.0,24.0,16.0,3.0
25.0,Najeeb Majed Alsawad,111.0,18.0,24.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
26.0,Tamim Mohammed Alshaya,114.0,15.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
27.0,Mahmoud Abu Alsaud,116.0,43.0,30.0,10.0,2.0,8.0,3.0,3.0,7.0,7.0,3.0
28.0,Mahmoud Almansouri,118.0,19.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
29.0,Mujtaba Swaii,120.0,31.0,20.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
30.0,Mohammed AlAsiri,121.0,36.0,30.0,10.0,2.0,8.0,3.0,3.0,14.0,12.0,3.0
31.0,Faisal Abdullah Al-Ahmari,123.0,25.0,30.0,10.0,2.0,8.0,3.0,3.0,23.0,16.0,3.0
32.0,Arwa Al Dawood (أروى ياسر آل داوود),124.0,30.0,28.0,10.0,2.0,8.0,3.0,3.0,21.0,16.0,3.0
32.0,Abdallah Ammar Yousef,124.0,38.0,30.0,10.0,2.0,8.0,3.0,3.0,11.0,16.0,3.0
34.0,Faisal Hassan Jukhadar,125.0,26.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
34.0,Anas Abahsain,125.0,34.0,22.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
36.0,Ali Mohamed Alali,126.0,28.0,30.0,9.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
36.0,Omar Mohammed,126.0,27.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
38.0,Omar Hoho,133.0,47.0,29.0,10.0,2.0,8.0,3.0,3.0,13.0,15.0,3.0
39.0,Alaqsa Akbar,134.0,35.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
40.0,Bader Alzaid,135.0,39.0,27.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
41.0,Ibrahim Aldrees,136.0,37.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
42.0,Fatimah Yaser Al Dawood,139.0,40.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
42.0,Omar Khalid Alahdal,139.0,47.0,23.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
44.0,Saad M. Alfarhan,140.0,41.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
44.0,Mohammed Amin,140.0,45.0,26.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
44.0,Mohammad Abahsain,140.0,46.0,25.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
47.0,Fadi Al-Misbahi,141.0,42.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
48.0,Farah Gomawi,143.0,44.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,3.0
49.0,Seraj Koshy,145.0,47.0,30.0,10.0,2.0,8.0,3.0,3.0,24.0,16.0,2.0
