Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Luka Jankovic,48.0,7.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,8.0,1.0,2.0
2.0,Aleksa Radovanović,64.0,6.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,18.0,7.0,4.0
3.0,Jakov Ljubicic,70.0,3.0,1.0,7.0,8.0,6.0,6.0,2.0,2.0,3.0,1.0,5.0,9.0,9.0,8.0
4.0,Stefan Šebez,80.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,4.0,8.0,6.0,14.0,24.0,1.0
5.0,Bogdan Čumić,82.0,4.0,5.0,5.0,9.0,10.0,7.0,2.0,2.0,11.0,8.0,1.0,9.0,6.0,3.0
6.0,Luka Stošić,107.0,11.0,13.0,8.0,10.0,10.0,7.0,2.0,2.0,16.0,8.0,9.0,2.0,2.0,7.0
7.0,Ivan Miletić,132.0,9.0,22.0,4.0,4.0,3.0,3.0,1.0,1.0,7.0,8.0,7.0,6.0,47.0,10.0
8.0,Matej Marčok,134.0,1.0,3.0,18.0,20.0,10.0,7.0,2.0,2.0,1.0,7.0,13.0,7.0,20.0,23.0
9.0,Petar Mladenović,140.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,95.0,23.0
9.0,Mihajlo Sremac,140.0,15.0,11.0,15.0,21.0,10.0,7.0,2.0,2.0,9.0,3.0,10.0,5.0,12.0,18.0
11.0,Đorđe Vuković,143.0,5.0,18.0,9.0,18.0,10.0,7.0,2.0,2.0,12.0,8.0,3.0,21.0,5.0,23.0
12.0,Olivera Radovanović,157.0,22.0,9.0,13.0,7.0,8.0,7.0,2.0,2.0,22.0,8.0,11.0,3.0,32.0,11.0
13.0,Nikola Lazarevic,174.0,25.0,26.0,6.0,5.0,10.0,7.0,2.0,2.0,17.0,8.0,15.0,12.0,27.0,12.0
14.0,Djordje Timotijevic,177.0,39.0,14.0,19.0,21.0,10.0,7.0,2.0,2.0,15.0,8.0,8.0,1.0,8.0,23.0
15.0,Fotina Ilić,213.0,10.0,4.0,16.0,21.0,10.0,7.0,2.0,2.0,65.0,8.0,15.0,11.0,19.0,23.0
16.0,Dunja Dosen Majkic,221.0,20.0,15.0,34.0,21.0,10.0,7.0,2.0,2.0,36.0,8.0,15.0,17.0,13.0,21.0
17.0,Nikola Acimović,222.0,28.0,25.0,14.0,21.0,10.0,7.0,2.0,2.0,37.0,8.0,15.0,16.0,28.0,9.0
18.0,Viktor Nedeljković,234.0,21.0,23.0,49.0,21.0,10.0,7.0,2.0,2.0,38.0,8.0,15.0,29.0,3.0,6.0
19.0,Dušan Mašović,236.0,31.0,30.0,49.0,21.0,10.0,7.0,2.0,2.0,25.0,8.0,15.0,13.0,4.0,19.0
20.0,Lazar Žujović,240.0,17.0,24.0,33.0,21.0,10.0,7.0,2.0,2.0,28.0,8.0,15.0,33.0,17.0,23.0
21.0,Vuk Ilic,242.0,30.0,20.0,35.0,15.0,10.0,7.0,2.0,2.0,13.0,8.0,15.0,46.0,16.0,23.0
22.0,Damjan Sredojević,266.0,12.0,21.0,27.0,21.0,10.0,7.0,2.0,2.0,18.0,8.0,15.0,90.0,10.0,23.0
23.0,Luka Lukić,272.0,18.0,12.0,49.0,21.0,10.0,7.0,2.0,2.0,14.0,8.0,15.0,4.0,95.0,15.0
