Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Tristan Chua Yong,70.0,3.0,6.0,3.0,2.0,2.0,2.0,14.0,11.0,8.0,7.0,1.0,1.0,2.0,2.0,3.0,3.0
2.0,Wong Chong Wen (黄崇文),118.0,22.0,24.0,6.0,8.0,8.0,7.0,8.0,1.0,6.0,4.0,8.0,4.0,4.0,5.0,1.0,2.0
3.0,Daryl Tan Hong An,124.0,2.0,2.0,1.0,1.0,1.0,1.0,14.0,12.0,2.0,35.0,9.0,6.0,5.0,27.0,3.0,3.0
4.0,Dylan Seah Tze Siang,158.0,14.0,11.0,9.0,11.0,12.0,8.0,14.0,14.0,20.0,9.0,5.0,3.0,10.0,12.0,3.0,3.0
5.0,Lee Yu Zhe,175.0,10.0,31.0,7.0,7.0,10.0,11.0,14.0,18.0,4.0,17.0,7.0,11.0,9.0,13.0,3.0,3.0
6.0,Isaac Lai Yin Chung,226.0,25.0,3.0,12.0,15.0,22.0,22.0,14.0,3.0,21.0,62.0,2.0,7.0,6.0,6.0,3.0,3.0
7.0,Ng Yong Teng,233.0,1.0,19.0,5.0,5.0,5.0,6.0,14.0,6.0,9.0,41.0,4.0,17.0,51.0,44.0,3.0,3.0
8.0,Darius Soh Zi Jie,333.0,7.0,29.0,8.0,13.0,17.0,23.0,14.0,34.0,28.0,33.0,22.0,56.0,18.0,25.0,3.0,3.0
9.0,Ziqi Li (李子祺),359.0,0.0,0.0,0.0,93.0,62.0,51.0,14.0,0.0,0.0,62.0,71.0,0.0,0.0,0.0,3.0,3.0
10.0,Beth Lee,381.0,45.0,49.0,28.0,21.0,26.0,39.0,14.0,34.0,22.0,13.0,3.0,29.0,35.0,17.0,3.0,3.0
11.0,Ng Jun Jie,387.0,52.0,5.0,17.0,35.0,51.0,48.0,14.0,28.0,45.0,12.0,33.0,23.0,14.0,4.0,3.0,3.0
12.0,Gabriel Tan,403.0,20.0,14.0,11.0,18.0,25.0,25.0,14.0,34.0,54.0,62.0,60.0,15.0,15.0,30.0,3.0,3.0
13.0,Jonathan Chng,417.0,5.0,13.0,3.0,6.0,4.0,9.0,14.0,21.0,14.0,62.0,23.0,169.0,31.0,37.0,3.0,3.0
14.0,Ryan Peh (白凯明),444.0,11.0,33.0,37.0,31.0,30.0,29.0,14.0,34.0,3.0,8.0,71.0,106.0,22.0,9.0,3.0,3.0
15.0,Carmen Teo Bin Jie (张斌婕),493.0,86.0,95.0,30.0,14.0,11.0,5.0,14.0,8.0,56.0,30.0,17.0,69.0,12.0,40.0,3.0,3.0
15.0,Lim Zhe Xi Zenneth,493.0,33.0,45.0,42.0,93.0,41.0,51.0,14.0,13.0,32.0,16.0,14.0,22.0,13.0,58.0,3.0,3.0
17.0,Nigel Phang,494.0,35.0,1.0,106.0,76.0,62.0,51.0,14.0,25.0,52.0,11.0,34.0,5.0,1.0,15.0,3.0,3.0
18.0,Loic Chiang,499.0,16.0,22.0,22.0,42.0,62.0,51.0,14.0,28.0,19.0,62.0,37.0,34.0,26.0,58.0,3.0,3.0
19.0,Marc Lim,518.0,30.0,59.0,18.0,16.0,14.0,10.0,14.0,24.0,23.0,29.0,45.0,86.0,86.0,58.0,3.0,3.0
20.0,Andrew Tan Jing Bang,545.0,117.0,7.0,55.0,47.0,32.0,32.0,6.0,18.0,120.0,10.0,36.0,16.0,36.0,7.0,3.0,3.0
21.0,Jordan Kai-Wei Yeo,556.0,36.0,16.0,36.0,43.0,62.0,51.0,14.0,34.0,25.0,62.0,43.0,28.0,42.0,58.0,3.0,3.0
22.0,Theodore Chan,584.0,77.0,29.0,75.0,54.0,49.0,51.0,1.0,4.0,18.0,5.0,31.0,79.0,63.0,42.0,3.0,3.0
23.0,Jareth Soong,592.0,115.0,61.0,72.0,33.0,29.0,19.0,3.0,22.0,58.0,42.0,25.0,25.0,38.0,46.0,3.0,1.0
24.0,Simon Lai,594.0,64.0,92.0,26.0,56.0,42.0,44.0,14.0,34.0,43.0,62.0,13.0,13.0,27.0,58.0,3.0,3.0
25.0,Isaac Wong Chang Man,599.0,4.0,3.0,2.0,4.0,6.0,15.0,14.0,34.0,1.0,62.0,26.0,330.0,74.0,18.0,3.0,3.0
26.0,Kyros Tan,652.0,41.0,32.0,66.0,60.0,62.0,51.0,14.0,34.0,50.0,62.0,71.0,14.0,31.0,58.0,3.0,3.0
27.0,Teh Qin Yang,665.0,40.0,42.0,25.0,20.0,23.0,16.0,14.0,34.0,181.0,62.0,18.0,73.0,53.0,58.0,3.0,3.0
28.0,Hoo Jun Hao,681.0,9.0,27.0,69.0,93.0,62.0,51.0,14.0,34.0,7.0,62.0,57.0,30.0,102.0,58.0,3.0,3.0
28.0,Chen Haorong (陈浩荣),681.0,88.0,26.0,116.0,93.0,62.0,51.0,14.0,34.0,95.0,24.0,16.0,8.0,3.0,45.0,3.0,3.0
30.0,Javier Cheong Heng Yong,687.0,38.0,35.0,74.0,93.0,62.0,51.0,13.0,34.0,12.0,62.0,71.0,36.0,79.0,21.0,3.0,3.0
30.0,Troy Tan Hong Kai,687.0,28.0,17.0,31.0,34.0,37.0,36.0,14.0,34.0,26.0,61.0,71.0,55.0,179.0,58.0,3.0,3.0
32.0,Teo Kai Xiang,689.0,19.0,147.0,13.0,28.0,28.0,35.0,14.0,17.0,26.0,26.0,32.0,54.0,188.0,56.0,3.0,3.0
33.0,Deng Zhengping,719.0,15.0,28.0,14.0,9.0,9.0,14.0,14.0,34.0,24.0,62.0,6.0,330.0,96.0,58.0,3.0,3.0
34.0,Emmanuel Kao,730.0,17.0,42.0,10.0,3.0,3.0,3.0,14.0,34.0,31.0,62.0,41.0,330.0,76.0,58.0,3.0,3.0
35.0,Lee Jun Yee Allen (李俊毅),735.0,53.0,64.0,136.0,80.0,62.0,51.0,12.0,16.0,90.0,37.0,56.0,11.0,22.0,39.0,3.0,3.0
36.0,Shantanu Modak,751.0,90.0,12.0,33.0,41.0,27.0,26.0,2.0,9.0,88.0,54.0,50.0,143.0,129.0,41.0,3.0,3.0
37.0,Chin Yu An,765.0,65.0,94.0,23.0,38.0,36.0,51.0,14.0,34.0,108.0,62.0,71.0,66.0,42.0,55.0,3.0,3.0
38.0,Adrian Goh Jian Ming,775.0,23.0,17.0,20.0,93.0,62.0,51.0,14.0,34.0,83.0,62.0,71.0,61.0,120.0,58.0,3.0,3.0
39.0,Junnoske Kita,777.0,107.0,82.0,107.0,93.0,45.0,40.0,14.0,34.0,11.0,62.0,30.0,33.0,55.0,58.0,3.0,3.0
40.0,Jazmine Kong Kit Min,781.0,98.0,111.0,64.0,58.0,43.0,41.0,14.0,31.0,67.0,3.0,58.0,113.0,16.0,58.0,3.0,3.0
41.0,Jonas Chua,792.0,58.0,20.0,135.0,81.0,62.0,51.0,14.0,34.0,104.0,62.0,51.0,26.0,56.0,32.0,3.0,3.0
42.0,Kayden Loke Zheng An,810.0,151.0,25.0,43.0,46.0,62.0,51.0,14.0,34.0,162.0,62.0,48.0,32.0,52.0,22.0,3.0,3.0
43.0,Kendrick Poon,812.0,62.0,39.0,94.0,93.0,62.0,51.0,14.0,34.0,121.0,62.0,71.0,27.0,33.0,43.0,3.0,3.0
44.0,Goh Teng Loong,825.0,84.0,99.0,34.0,27.0,40.0,33.0,14.0,34.0,60.0,44.0,61.0,78.0,153.0,58.0,3.0,3.0
45.0,Gabriel Neo Jun Yi,852.0,31.0,15.0,102.0,93.0,62.0,51.0,14.0,34.0,170.0,51.0,71.0,60.0,34.0,58.0,3.0,3.0
46.0,Yee Wei Ji,868.0,60.0,38.0,52.0,30.0,21.0,20.0,14.0,34.0,49.0,62.0,59.0,149.0,216.0,58.0,3.0,3.0
47.0,Imran Hazrin-Tan,876.0,68.0,46.0,61.0,50.0,62.0,51.0,14.0,34.0,132.0,19.0,19.0,40.0,216.0,58.0,3.0,3.0
48.0,Janelle Loh,879.0,73.0,124.0,23.0,10.0,7.0,4.0,14.0,34.0,185.0,62.0,40.0,170.0,107.0,20.0,3.0,3.0
49.0,Nigel Sim,886.0,6.0,10.0,21.0,17.0,15.0,21.0,14.0,34.0,5.0,62.0,71.0,330.0,216.0,58.0,3.0,3.0
50.0,Nathanael Tung Wei An,888.0,18.0,70.0,16.0,22.0,50.0,51.0,14.0,34.0,14.0,62.0,71.0,186.0,216.0,58.0,3.0,3.0
51.0,Wong Ming Hin,891.0,100.0,118.0,19.0,25.0,47.0,45.0,14.0,34.0,34.0,62.0,71.0,153.0,105.0,58.0,3.0,3.0
52.0,Lee Zhen Wei,896.0,233.0,155.0,120.0,48.0,62.0,34.0,14.0,14.0,70.0,52.0,10.0,20.0,29.0,29.0,3.0,3.0
53.0,Calen Seah,902.0,81.0,21.0,212.0,93.0,62.0,51.0,14.0,34.0,47.0,62.0,71.0,51.0,39.0,58.0,3.0,3.0
54.0,Foo Yan Xiu,903.0,44.0,73.0,62.0,93.0,62.0,51.0,14.0,34.0,68.0,62.0,71.0,90.0,115.0,58.0,3.0,3.0
55.0,Jotham Hoe,910.0,49.0,58.0,73.0,93.0,62.0,51.0,14.0,34.0,141.0,62.0,71.0,41.0,97.0,58.0,3.0,3.0
56.0,Siah Yee Long,934.0,42.0,169.0,32.0,44.0,39.0,28.0,5.0,27.0,13.0,62.0,44.0,199.0,175.0,50.0,2.0,3.0
57.0,Peh Zander,952.0,70.0,81.0,57.0,24.0,33.0,37.0,14.0,34.0,143.0,32.0,71.0,83.0,216.0,51.0,3.0,3.0
58.0,Chang Hong Liang,955.0,71.0,284.0,39.0,37.0,20.0,18.0,14.0,2.0,47.0,25.0,27.0,224.0,94.0,47.0,3.0,3.0
59.0,Xavier Choo Jun Seng,959.0,110.0,54.0,121.0,93.0,62.0,51.0,14.0,34.0,78.0,62.0,71.0,84.0,61.0,58.0,3.0,3.0
60.0,Eugene Kong,961.0,106.0,121.0,58.0,64.0,62.0,51.0,14.0,32.0,133.0,62.0,71.0,92.0,66.0,23.0,3.0,3.0
61.0,Ng Mun Hin,964.0,167.0,71.0,54.0,93.0,62.0,51.0,14.0,34.0,53.0,62.0,71.0,109.0,59.0,58.0,3.0,3.0
62.0,Li Chengyu,973.0,54.0,161.0,68.0,19.0,56.0,31.0,14.0,26.0,99.0,39.0,12.0,166.0,165.0,57.0,3.0,3.0
63.0,Jaden Foo Rui Xiang,980.0,102.0,90.0,111.0,93.0,62.0,51.0,14.0,34.0,130.0,45.0,71.0,53.0,60.0,58.0,3.0,3.0
64.0,Li Yifei (李逸飞),982.0,156.0,199.0,150.0,71.0,0.0,0.0,0.0,34.0,127.0,21.0,15.0,115.0,88.0,0.0,3.0,3.0
65.0,Micah Joshua Kwek Long Jedd,989.0,98.0,109.0,127.0,93.0,62.0,51.0,14.0,34.0,37.0,62.0,71.0,160.0,7.0,58.0,3.0,3.0
66.0,Chia Bing Xuan,1005.0,72.0,35.0,140.0,88.0,62.0,51.0,14.0,34.0,208.0,62.0,71.0,21.0,83.0,58.0,3.0,3.0
67.0,Ban Hsien Yang,1033.0,150.0,56.0,139.0,93.0,62.0,51.0,14.0,34.0,163.0,62.0,71.0,9.0,65.0,58.0,3.0,3.0
68.0,Koh Zi Yi,1034.0,144.0,134.0,83.0,93.0,62.0,51.0,14.0,34.0,69.0,62.0,71.0,114.0,73.0,24.0,3.0,3.0
69.0,Akash Sreedharan,1039.0,75.0,64.0,110.0,93.0,62.0,51.0,14.0,34.0,42.0,62.0,71.0,176.0,121.0,58.0,3.0,3.0
70.0,Kyle Ho Kai Le (何凯乐),1043.0,166.0,69.0,212.0,93.0,62.0,51.0,14.0,34.0,114.0,18.0,71.0,35.0,40.0,58.0,3.0,3.0
71.0,Lee Chee Wan,1044.0,88.0,105.0,35.0,39.0,46.0,51.0,14.0,34.0,41.0,62.0,71.0,330.0,64.0,58.0,3.0,3.0
72.0,Jin Kay Teo,1051.0,113.0,75.0,63.0,93.0,62.0,51.0,14.0,34.0,51.0,62.0,71.0,82.0,216.0,58.0,3.0,3.0
73.0,Kieren Loh,1053.0,121.0,103.0,126.0,93.0,62.0,51.0,14.0,34.0,38.0,62.0,71.0,137.0,77.0,58.0,3.0,3.0
73.0,Daniel Ng,1053.0,46.0,139.0,15.0,12.0,13.0,17.0,14.0,23.0,63.0,62.0,71.0,330.0,216.0,26.0,3.0,3.0
75.0,Kaeden Loh,1059.0,215.0,22.0,151.0,93.0,62.0,51.0,14.0,34.0,125.0,62.0,71.0,50.0,45.0,58.0,3.0,3.0
76.0,Lim Zi Way (林紫葳),1060.0,84.0,143.0,212.0,93.0,62.0,51.0,11.0,34.0,83.0,28.0,71.0,2.0,122.0,58.0,3.0,3.0
77.0,Joel Ye Enyu,1068.0,167.0,71.0,90.0,93.0,62.0,51.0,14.0,34.0,59.0,62.0,67.0,147.0,87.0,58.0,3.0,3.0
78.0,Yeo Jun Wei Christian,1072.0,198.0,84.0,124.0,73.0,57.0,46.0,14.0,34.0,189.0,27.0,65.0,47.0,50.0,58.0,3.0,3.0
79.0,Edward Lim,1077.0,107.0,56.0,162.0,93.0,62.0,51.0,14.0,34.0,147.0,46.0,71.0,31.0,139.0,58.0,3.0,3.0
80.0,Austen Au,1079.0,237.0,68.0,157.0,93.0,62.0,51.0,14.0,34.0,175.0,14.0,71.0,44.0,19.0,34.0,3.0,3.0
81.0,Ong Yan Sheng,1081.0,190.0,171.0,71.0,49.0,38.0,38.0,14.0,34.0,138.0,62.0,28.0,115.0,69.0,58.0,3.0,3.0
82.0,Koh Zi Qian,1084.0,76.0,109.0,44.0,26.0,19.0,27.0,14.0,34.0,39.0,62.0,71.0,330.0,216.0,11.0,3.0,3.0
83.0,Gordon Chan,1086.0,57.0,150.0,28.0,45.0,62.0,51.0,14.0,34.0,74.0,62.0,71.0,158.0,216.0,58.0,3.0,3.0
84.0,Aiden Lim Tze Choon,1089.0,145.0,78.0,103.0,93.0,62.0,51.0,14.0,34.0,112.0,62.0,71.0,77.0,123.0,58.0,3.0,3.0
84.0,Ralph Phua,1089.0,173.0,52.0,211.0,93.0,62.0,51.0,14.0,34.0,126.0,43.0,71.0,37.0,67.0,49.0,3.0,3.0
86.0,Mason Zhou (周子瑞),1094.0,69.0,76.0,123.0,68.0,58.0,51.0,14.0,34.0,152.0,62.0,71.0,91.0,161.0,58.0,3.0,3.0
87.0,Dean Leigh Tan,1096.0,90.0,40.0,108.0,93.0,62.0,51.0,14.0,34.0,91.0,62.0,64.0,107.0,216.0,58.0,3.0,3.0
88.0,Justin Liu Zi Ang,1105.0,29.0,80.0,212.0,32.0,62.0,51.0,14.0,34.0,33.0,62.0,71.0,145.0,216.0,58.0,3.0,3.0
89.0,Tristan Toh Tian Sheng,1106.0,58.0,44.0,40.0,59.0,62.0,51.0,14.0,34.0,233.0,62.0,71.0,98.0,216.0,58.0,3.0,3.0
90.0,Ewen Chai,1112.0,176.0,147.0,153.0,93.0,62.0,51.0,14.0,34.0,149.0,62.0,71.0,19.0,17.0,58.0,3.0,3.0
91.0,Jovan Susanto,1135.0,34.0,9.0,59.0,93.0,62.0,51.0,10.0,34.0,40.0,62.0,71.0,330.0,216.0,58.0,3.0,3.0
92.0,Chong Zi Yue Harry,1136.0,13.0,61.0,55.0,93.0,62.0,51.0,14.0,34.0,10.0,62.0,71.0,330.0,216.0,58.0,3.0,3.0
93.0,Keagen Khew,1152.0,183.0,100.0,112.0,93.0,62.0,51.0,14.0,34.0,233.0,6.0,54.0,74.0,72.0,58.0,3.0,3.0
94.0,Ethan Kong Liang En,1158.0,66.0,95.0,48.0,36.0,35.0,30.0,14.0,34.0,57.0,62.0,71.0,330.0,216.0,58.0,3.0,3.0
95.0,Kayden Tan Jue Kai,1159.0,83.0,150.0,160.0,93.0,62.0,51.0,14.0,34.0,137.0,62.0,71.0,120.0,58.0,58.0,3.0,3.0
96.0,Ten Ru Jie,1161.0,21.0,66.0,41.0,93.0,62.0,51.0,14.0,34.0,36.0,62.0,71.0,330.0,216.0,58.0,3.0,3.0
97.0,Seow Yi Le,1163.0,63.0,85.0,212.0,93.0,62.0,51.0,14.0,34.0,86.0,62.0,71.0,138.0,128.0,58.0,3.0,3.0
97.0,Lim Jia Ying,1163.0,133.0,111.0,184.0,93.0,62.0,51.0,14.0,34.0,179.0,62.0,71.0,10.0,95.0,58.0,3.0,3.0
