Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Jakub Drobný,42.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,6.0,2.0,1.0,1.0,6.0,1.0
2.0,Tomáš Zatroch,73.0,2.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0,4.0,18.0,4.0,3.0,15.0,6.0
3.0,Samuel Simko,78.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,1.0,1.0,8.0,6.0,2.0,13.0,12.0
4.0,Marek Majerik,79.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,8.0,10.0,9.0,2.0,9.0,9.0,15.0
5.0,Šimon Borovský,118.0,7.0,14.0,7.0,8.0,7.0,8.0,3.0,6.0,19.0,1.0,5.0,18.0,5.0,10.0
6.0,Timotej Andrejko,128.0,9.0,12.0,3.0,3.0,9.0,12.0,6.0,11.0,12.0,7.0,3.0,13.0,17.0,11.0
7.0,Oliver Kugler,140.0,7.0,21.0,8.0,7.0,4.0,4.0,6.0,11.0,5.0,18.0,9.0,15.0,16.0,9.0
8.0,Eduard Mrug,159.0,15.0,16.0,10.0,12.0,10.0,9.0,6.0,11.0,14.0,14.0,14.0,14.0,10.0,4.0
9.0,Dalibor Mrška,162.0,13.0,16.0,13.0,18.0,14.0,12.0,6.0,4.0,11.0,13.0,16.0,12.0,1.0,13.0
10.0,Timotej Šimurka,175.0,22.0,11.0,18.0,11.0,8.0,12.0,6.0,10.0,17.0,18.0,13.0,10.0,3.0,16.0
11.0,Karol Tomík,180.0,23.0,7.0,14.0,31.0,14.0,12.0,6.0,11.0,15.0,18.0,8.0,5.0,8.0,8.0
12.0,Matúš Buffa,186.0,19.0,10.0,16.0,10.0,11.0,7.0,6.0,11.0,7.0,18.0,22.0,35.0,7.0,7.0
13.0,Michaela Švecová,208.0,33.0,15.0,31.0,26.0,14.0,12.0,6.0,11.0,20.0,18.0,10.0,7.0,2.0,3.0
14.0,Adam Frátrik,243.0,3.0,9.0,5.0,5.0,14.0,12.0,6.0,11.0,50.0,18.0,25.0,4.0,52.0,29.0
15.0,Vincent Švec,284.0,18.0,31.0,20.0,21.0,14.0,12.0,6.0,11.0,27.0,18.0,25.0,7.0,50.0,24.0
15.0,Samuel Kuchár,284.0,28.0,8.0,29.0,31.0,14.0,12.0,6.0,11.0,21.0,18.0,25.0,27.0,25.0,29.0
17.0,Filip Hrnko,285.0,16.0,19.0,15.0,13.0,13.0,11.0,6.0,7.0,13.0,18.0,24.0,61.0,40.0,29.0
18.0,Matej Kawulok,292.0,20.0,23.0,43.0,31.0,14.0,12.0,6.0,11.0,30.0,18.0,19.0,6.0,30.0,29.0
19.0,Simon Rúčka,293.0,27.0,33.0,23.0,15.0,14.0,12.0,6.0,11.0,28.0,18.0,11.0,49.0,29.0,17.0
20.0,Timo Hromádka,294.0,26.0,35.0,21.0,17.0,14.0,12.0,1.0,11.0,18.0,18.0,25.0,46.0,21.0,29.0
21.0,Nikolas Márkus,306.0,61.0,29.0,39.0,20.0,14.0,12.0,5.0,9.0,36.0,3.0,25.0,20.0,11.0,22.0
22.0,Anton Mozola,311.0,12.0,3.0,22.0,31.0,14.0,12.0,6.0,11.0,3.0,18.0,25.0,124.0,12.0,18.0
23.0,Philipp Ručka,324.0,11.0,20.0,30.0,31.0,14.0,12.0,6.0,11.0,2.0,18.0,25.0,45.0,70.0,29.0
24.0,Mário Dominik Gejdoš,325.0,52.0,36.0,55.0,29.0,14.0,12.0,6.0,11.0,23.0,10.0,23.0,11.0,14.0,29.0
25.0,Denis Saniga,326.0,51.0,18.0,35.0,31.0,14.0,12.0,6.0,11.0,50.0,18.0,25.0,22.0,4.0,29.0
25.0,Jozef Švec,326.0,21.0,34.0,62.0,31.0,14.0,12.0,6.0,11.0,24.0,18.0,25.0,17.0,22.0,29.0
27.0,Jakub Mrázek,342.0,10.0,13.0,12.0,14.0,14.0,12.0,6.0,11.0,34.0,18.0,25.0,41.0,103.0,29.0
28.0,Damián Kuruc,363.0,32.0,49.0,62.0,31.0,14.0,12.0,6.0,11.0,26.0,18.0,25.0,28.0,20.0,29.0
29.0,Juraj Polaček,367.0,30.0,61.0,32.0,24.0,14.0,12.0,6.0,4.0,16.0,18.0,25.0,32.0,64.0,29.0
30.0,Michal Vasko,379.0,24.0,46.0,9.0,9.0,5.0,6.0,6.0,11.0,9.0,18.0,17.0,124.0,66.0,29.0
31.0,Samuel Varga,386.0,73.0,22.0,62.0,31.0,14.0,12.0,6.0,11.0,50.0,4.0,25.0,21.0,26.0,29.0
32.0,Michal Kleman,394.0,34.0,37.0,44.0,31.0,14.0,12.0,6.0,11.0,25.0,18.0,25.0,57.0,51.0,29.0
