Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Matic Omulec,65.0,5.0,7.0,2.0,2.0,1.0,1.0,6.0,3.0,6.0,12.0,1.0,8.0,6.0,3.0,2.0
2.0,Marcel Ručigaj,76.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,14.0,3.0,14.0,11.0,14.0,2.0
2.0,Jure Gregorc,76.0,4.0,5.0,7.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,10.0,8.0,2.0
4.0,Staš Zupanc,86.0,1.0,2.0,1.0,1.0,4.0,5.0,9.0,7.0,1.0,25.0,4.0,6.0,7.0,11.0,2.0
5.0,Rok Glinšek,104.0,11.0,12.0,5.0,7.0,6.0,8.0,9.0,8.0,7.0,6.0,8.0,11.0,2.0,2.0,2.0
6.0,Nejc Ian Čurman,105.0,3.0,3.0,6.0,12.0,9.0,10.0,9.0,11.0,3.0,25.0,6.0,2.0,3.0,1.0,2.0
7.0,Matej Bolta,162.0,20.0,4.0,11.0,10.0,17.0,7.0,2.0,10.0,8.0,25.0,2.0,25.0,13.0,7.0,1.0
8.0,Jakob Kitak,173.0,6.0,11.0,24.0,18.0,19.0,15.0,9.0,17.0,16.0,18.0,7.0,1.0,1.0,9.0,2.0
9.0,Blaž Dobravec,194.0,9.0,22.0,3.0,8.0,19.0,12.0,9.0,4.0,5.0,25.0,14.0,27.0,20.0,15.0,2.0
10.0,Matej Brkić,205.0,23.0,18.0,12.0,11.0,11.0,15.0,9.0,17.0,23.0,10.0,26.0,5.0,4.0,19.0,2.0
11.0,Erik Červek Roškarič,209.0,16.0,13.0,14.0,17.0,13.0,15.0,7.0,13.0,35.0,3.0,23.0,19.0,9.0,10.0,2.0
12.0,Taiyo Bercic,239.0,13.0,19.0,16.0,15.0,19.0,15.0,9.0,17.0,15.0,13.0,20.0,16.0,23.0,27.0,2.0
13.0,Filip Barbirič Frank,240.0,15.0,8.0,17.0,40.0,19.0,15.0,9.0,16.0,33.0,2.0,10.0,7.0,42.0,5.0,2.0
14.0,Anton Kokalj Pezzano,245.0,18.0,16.0,19.0,13.0,12.0,15.0,9.0,17.0,19.0,9.0,26.0,9.0,34.0,27.0,2.0
15.0,Dušan Zakelšek,250.0,39.0,23.0,34.0,23.0,15.0,14.0,4.0,2.0,34.0,4.0,21.0,4.0,27.0,4.0,2.0
16.0,Jernej Omulec,284.0,46.0,39.0,30.0,14.0,16.0,13.0,9.0,6.0,29.0,16.0,11.0,18.0,19.0,16.0,2.0
17.0,Lan Fabjan,287.0,14.0,34.0,10.0,9.0,14.0,11.0,9.0,17.0,28.0,25.0,19.0,39.0,31.0,25.0,2.0
