Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Ruben Grobler,46.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0,2.0,4.0,8.0,3.0,1.0,1.0,3.0,3.0
2.0,Daniel Rush,117.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,19.0,9.0,14.0,2.0,17.0,33.0,2.0,3.0
3.0,Osman Badroodin,123.0,6.0,9.0,4.0,3.0,4.0,4.0,11.0,3.0,5.0,30.0,6.0,22.0,12.0,1.0,3.0
4.0,Samuel Collett,138.0,14.0,6.0,12.0,6.0,5.0,9.0,11.0,19.0,13.0,1.0,10.0,14.0,8.0,7.0,3.0
5.0,Maverick Pearson,158.0,17.0,11.0,6.0,10.0,10.0,5.0,7.0,7.0,10.0,24.0,7.0,7.0,15.0,19.0,3.0
6.0,Dylan Swarts,160.0,12.0,7.0,8.0,8.0,7.0,6.0,1.0,19.0,19.0,17.0,8.0,19.0,20.0,8.0,1.0
6.0,Heinrich de Lange,160.0,15.0,21.0,13.0,12.0,11.0,11.0,11.0,4.0,11.0,12.0,1.0,15.0,8.0,12.0,3.0
8.0,Conor Cronin,164.0,39.0,19.0,15.0,7.0,8.0,8.0,6.0,5.0,16.0,3.0,16.0,9.0,4.0,6.0,3.0
9.0,Cameron Blumenow,210.0,7.0,4.0,5.0,11.0,24.0,29.0,11.0,19.0,3.0,40.0,22.0,6.0,17.0,9.0,3.0
10.0,Jesse Osburn,236.0,23.0,8.0,19.0,15.0,20.0,18.0,11.0,19.0,38.0,6.0,11.0,9.0,22.0,14.0,3.0
11.0,Joshua Christian Marais,246.0,9.0,27.0,18.0,19.0,23.0,32.0,11.0,6.0,1.0,4.0,5.0,59.0,13.0,16.0,3.0
12.0,Waseem Hoosain,264.0,3.0,17.0,2.0,5.0,6.0,32.0,11.0,19.0,2.0,40.0,4.0,32.0,48.0,40.0,3.0
13.0,Calum Visagie,301.0,24.0,19.0,17.0,22.0,21.0,19.0,11.0,9.0,15.0,40.0,46.0,28.0,10.0,17.0,3.0
14.0,Andreas de Lange,334.0,28.0,13.0,20.0,26.0,26.0,32.0,11.0,19.0,18.0,25.0,36.0,43.0,30.0,4.0,3.0
15.0,Marike Faught,352.0,30.0,54.0,9.0,9.0,9.0,10.0,3.0,12.0,22.0,40.0,13.0,57.0,46.0,35.0,3.0
16.0,Pieterjan Joubert,369.0,58.0,35.0,23.0,18.0,14.0,7.0,11.0,19.0,31.0,40.0,9.0,18.0,50.0,33.0,3.0
17.0,Shivaan Harichander,387.0,2.0,5.0,11.0,103.0,38.0,32.0,11.0,19.0,6.0,40.0,25.0,24.0,63.0,5.0,3.0
18.0,Jesse Tipton,399.0,83.0,48.0,43.0,42.0,25.0,22.0,11.0,11.0,30.0,10.0,18.0,26.0,2.0,25.0,3.0
19.0,Lonwabo Mvovo,420.0,29.0,22.0,52.0,30.0,38.0,32.0,11.0,19.0,12.0,40.0,15.0,20.0,34.0,63.0,3.0
20.0,Markus Visagie,428.0,41.0,49.0,40.0,23.0,15.0,14.0,11.0,19.0,40.0,23.0,17.0,58.0,45.0,30.0,3.0
21.0,Zandré Calitz,451.0,26.0,26.0,38.0,37.0,38.0,32.0,11.0,19.0,96.0,19.0,20.0,12.0,26.0,48.0,3.0
22.0,Taariq Hassim,470.0,75.0,32.0,16.0,21.0,19.0,20.0,9.0,19.0,59.0,18.0,48.0,25.0,78.0,28.0,3.0
