Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Manuel Prieto de Antón,115.0,7.0,4.0,3.0,13.0,14.0,10.0,17.0,5.0,9.0,6.0,5.0,4.0,2.0,8.0,5.0,3.0
2.0,Carlos Méndez García-Barroso,134.0,4.0,2.0,9.0,15.0,16.0,13.0,12.0,3.0,2.0,7.0,11.0,27.0,1.0,2.0,7.0,3.0
3.0,Arnau Tous Mateu,255.0,7.0,15.0,34.0,20.0,15.0,22.0,55.0,32.0,8.0,8.0,12.0,1.0,7.0,9.0,7.0,3.0
4.0,Josete Sánchez,259.0,26.0,13.0,29.0,17.0,9.0,7.0,3.0,18.0,19.0,14.0,14.0,30.0,23.0,29.0,7.0,1.0
5.0,Mauro Moisés Ortega López,276.0,10.0,5.0,4.0,4.0,5.0,5.0,55.0,1.0,11.0,47.0,25.0,44.0,29.0,21.0,7.0,3.0
6.0,Miguel Ángel González-Herrero García,332.0,14.0,3.0,20.0,26.0,34.0,35.0,39.0,16.0,36.0,44.0,10.0,18.0,13.0,14.0,7.0,3.0
7.0,Álvaro Aguilar Salobreña,334.0,19.0,8.0,10.0,24.0,38.0,38.0,15.0,7.0,7.0,27.0,24.0,43.0,56.0,12.0,4.0,2.0
8.0,Julen Simón Iriarte,343.0,11.0,1.0,26.0,28.0,27.0,27.0,19.0,36.0,16.0,39.0,28.0,24.0,32.0,19.0,7.0,3.0
9.0,Daniel Gracia Ortiz,366.0,17.0,12.0,12.0,36.0,35.0,40.0,10.0,59.0,15.0,20.0,55.0,17.0,21.0,7.0,7.0,3.0
10.0,Lorenzo Escobar Kraskouskaya,378.0,2.0,17.0,21.0,29.0,24.0,33.0,55.0,20.0,10.0,35.0,52.0,28.0,25.0,17.0,7.0,3.0
11.0,Raúl Cuevas Castillo,390.0,30.0,60.0,35.0,42.0,41.0,46.0,13.0,25.0,24.0,11.0,3.0,3.0,27.0,20.0,7.0,3.0
12.0,Raúl Martínez Redondo,418.0,12.0,36.0,17.0,8.0,49.0,36.0,55.0,39.0,38.0,49.0,1.0,22.0,8.0,38.0,7.0,3.0
13.0,Eder Olivencia González,457.0,6.0,33.0,1.0,1.0,2.0,3.0,55.0,85.0,58.0,19.0,2.0,122.0,30.0,30.0,7.0,3.0
14.0,Alberto Pérez de Rada Fiol,475.0,42.0,34.0,40.0,35.0,19.0,15.0,23.0,18.0,29.0,43.0,19.0,10.0,57.0,81.0,7.0,3.0
15.0,Rafael Rodriguez Santana,497.0,14.0,30.0,6.0,23.0,33.0,45.0,25.0,2.0,28.0,48.0,63.0,55.0,69.0,46.0,7.0,3.0
16.0,Jaime Calzado Gomez,502.0,65.0,29.0,70.0,54.0,47.0,57.0,29.0,14.0,42.0,1.0,53.0,11.0,4.0,16.0,7.0,3.0
17.0,Daniel Ortega Pastor,503.0,45.0,67.0,22.0,19.0,22.0,37.0,55.0,22.0,52.0,41.0,23.0,35.0,26.0,27.0,7.0,3.0
18.0,Antonio López,509.0,18.0,25.0,14.0,5.0,1.0,1.0,4.0,42.0,20.0,98.0,6.0,58.0,137.0,70.0,7.0,3.0
18.0,Ting Sheng Bao Yang,509.0,69.0,10.0,45.0,21.0,17.0,17.0,55.0,16.0,51.0,14.0,44.0,36.0,70.0,34.0,7.0,3.0
20.0,Jorge Castillo Matas,531.0,47.0,28.0,44.0,34.0,29.0,19.0,6.0,25.0,21.0,57.0,36.0,29.0,98.0,48.0,7.0,3.0
21.0,Diego Serrano Martínez,578.0,39.0,21.0,41.0,37.0,39.0,25.0,55.0,66.0,17.0,29.0,35.0,85.0,28.0,51.0,7.0,3.0
22.0,Alejandro Nicolay,631.0,66.0,22.0,42.0,53.0,36.0,91.0,55.0,38.0,34.0,112.0,21.0,32.0,18.0,1.0,7.0,3.0
23.0,Arián Martín Núñez,649.0,20.0,59.0,23.0,10.0,25.0,18.0,55.0,89.0,50.0,66.0,4.0,40.0,95.0,85.0,7.0,3.0
24.0,Adrián Martínez Macías,701.0,41.0,43.0,30.0,39.0,40.0,39.0,26.0,28.0,46.0,24.0,109.0,38.0,110.0,78.0,7.0,3.0
25.0,Darío Pérez Melendo,781.0,90.0,61.0,65.0,47.0,44.0,28.0,55.0,89.0,73.0,84.0,18.0,54.0,35.0,28.0,7.0,3.0
26.0,Oscar Sánchez Najarro,787.0,113.0,31.0,55.0,58.0,32.0,50.0,55.0,9.0,118.0,73.0,77.0,70.0,31.0,5.0,7.0,3.0
27.0,Javier López Fernández,795.0,103.0,20.0,89.0,84.0,46.0,41.0,55.0,28.0,101.0,110.0,26.0,41.0,37.0,4.0,7.0,3.0
28.0,Jorge Martín Espinosa,831.0,56.0,49.0,51.0,44.0,76.0,91.0,55.0,12.0,31.0,139.0,58.0,24.0,51.0,84.0,7.0,3.0
28.0,Laura Tarrés Gimeno,831.0,101.0,58.0,90.0,93.0,61.0,67.0,55.0,51.0,66.0,79.0,13.0,6.0,20.0,61.0,7.0,3.0
30.0,Jerónimo Ibarra Bernal,836.0,33.0,40.0,25.0,25.0,20.0,11.0,40.0,22.0,60.0,256.0,93.0,60.0,44.0,97.0,7.0,3.0
31.0,Jorge Alfageme Sotillos,841.0,34.0,52.0,37.0,33.0,28.0,24.0,55.0,54.0,14.0,186.0,90.0,18.0,54.0,152.0,7.0,3.0
31.0,Andrés Rodríguez Galán,841.0,59.0,113.0,13.0,46.0,116.0,91.0,55.0,89.0,99.0,2.0,45.0,2.0,58.0,43.0,7.0,3.0
33.0,Abel Pérez Gisbert,871.0,43.0,47.0,36.0,43.0,116.0,91.0,36.0,89.0,36.0,90.0,22.0,46.0,40.0,126.0,7.0,3.0
34.0,Rubén López de Juan,885.0,74.0,86.0,73.0,45.0,23.0,30.0,55.0,60.0,149.0,74.0,68.0,16.0,112.0,10.0,7.0,3.0
35.0,Pau Vela García,943.0,54.0,52.0,59.0,65.0,58.0,63.0,55.0,47.0,32.0,23.0,17.0,86.0,163.0,159.0,7.0,3.0
36.0,Mar Gallego Vicente,1044.0,76.0,91.0,109.0,131.0,84.0,91.0,55.0,75.0,91.0,51.0,43.0,76.0,11.0,50.0,7.0,3.0
37.0,Carlos Molina Alcolea,1056.0,49.0,64.0,79.0,56.0,80.0,68.0,55.0,89.0,63.0,199.0,60.0,81.0,43.0,60.0,7.0,3.0
38.0,Artur Miralles Hernàndez,1095.0,106.0,37.0,110.0,129.0,75.0,91.0,11.0,27.0,94.0,57.0,100.0,125.0,119.0,5.0,6.0,3.0
39.0,Pol Juny Sánchez,1112.0,122.0,65.0,81.0,106.0,116.0,91.0,55.0,51.0,75.0,97.0,116.0,94.0,10.0,23.0,7.0,3.0
40.0,Jorge Marín Segovia,1114.0,51.0,67.0,18.0,18.0,18.0,23.0,55.0,89.0,40.0,256.0,7.0,139.0,170.0,153.0,7.0,3.0
41.0,Antoni Guiscafrè Rosselló,1143.0,55.0,115.0,27.0,48.0,31.0,91.0,55.0,89.0,140.0,165.0,80.0,117.0,9.0,111.0,7.0,3.0
42.0,Laura Freitas Martín,1147.0,124.0,46.0,121.0,104.0,116.0,91.0,27.0,70.0,129.0,60.0,69.0,31.0,60.0,89.0,7.0,3.0
43.0,Alejandro Riveiro Rodríguez,1155.0,67.0,114.0,64.0,64.0,54.0,52.0,41.0,33.0,105.0,75.0,72.0,64.0,261.0,79.0,7.0,3.0
44.0,Alexander Olleta del Molino,1173.0,127.0,80.0,118.0,115.0,90.0,83.0,7.0,7.0,54.0,118.0,31.0,55.0,155.0,123.0,7.0,3.0
45.0,Alberto Romero,1175.0,108.0,83.0,43.0,63.0,52.0,69.0,55.0,60.0,117.0,50.0,106.0,223.0,36.0,100.0,7.0,3.0
46.0,Javier Tovar Castro,1185.0,110.0,235.0,87.0,31.0,11.0,9.0,55.0,89.0,18.0,152.0,111.0,96.0,15.0,156.0,7.0,3.0
47.0,Marcos Aparicio Caro,1206.0,9.0,9.0,7.0,3.0,26.0,91.0,55.0,89.0,3.0,256.0,306.0,234.0,52.0,56.0,7.0,3.0
48.0,Ibai Tobar Argaiz,1209.0,67.0,7.0,256.0,225.0,116.0,91.0,55.0,89.0,136.0,26.0,20.0,71.0,14.0,26.0,7.0,3.0
49.0,Eki Gartzia González,1318.0,264.0,6.0,226.0,87.0,78.0,73.0,55.0,14.0,76.0,141.0,190.0,53.0,6.0,39.0,7.0,3.0
50.0,Daniele Vanoli Hernández,1356.0,152.0,31.0,54.0,32.0,116.0,91.0,55.0,89.0,103.0,256.0,38.0,63.0,17.0,249.0,7.0,3.0
51.0,Rodrigo Pueblas Núñez,1390.0,75.0,87.0,55.0,97.0,91.0,79.0,16.0,47.0,13.0,209.0,231.0,168.0,116.0,96.0,7.0,3.0
52.0,Marc García Díaz,1408.0,71.0,47.0,91.0,153.0,116.0,91.0,55.0,89.0,83.0,33.0,127.0,112.0,81.0,249.0,7.0,3.0
53.0,Guillermo Cascales Ñíguez,1455.0,22.0,14.0,85.0,284.0,116.0,91.0,55.0,89.0,70.0,256.0,79.0,46.0,78.0,160.0,7.0,3.0
54.0,Fernando Sáez Lázaro,1460.0,147.0,139.0,92.0,91.0,74.0,91.0,55.0,72.0,179.0,38.0,263.0,88.0,5.0,116.0,7.0,3.0
55.0,Javier Atienza Rodriguez,1464.0,81.0,26.0,123.0,108.0,116.0,91.0,55.0,89.0,133.0,150.0,211.0,65.0,175.0,31.0,7.0,3.0
56.0,Marcos Plaza Nocito,1486.0,45.0,211.0,53.0,89.0,116.0,91.0,55.0,89.0,33.0,256.0,125.0,133.0,104.0,76.0,7.0,3.0
57.0,Erik Subirats,1533.0,40.0,78.0,82.0,176.0,116.0,91.0,55.0,49.0,43.0,208.0,148.0,90.0,323.0,24.0,7.0,3.0
58.0,Lucía Pascual Muñoz,1591.0,209.0,94.0,88.0,109.0,116.0,91.0,55.0,81.0,111.0,116.0,16.0,178.0,68.0,249.0,7.0,3.0
59.0,Miguel Alonso Gil,1597.0,23.0,94.0,52.0,50.0,60.0,91.0,55.0,89.0,39.0,102.0,160.0,377.0,146.0,249.0,7.0,3.0
60.0,Gonzalo Orellana Barrasa,1605.0,181.0,106.0,157.0,167.0,93.0,81.0,45.0,35.0,79.0,69.0,251.0,21.0,117.0,193.0,7.0,3.0
61.0,Diego Garcia Pino,1622.0,191.0,167.0,122.0,72.0,83.0,72.0,55.0,89.0,164.0,256.0,27.0,136.0,124.0,54.0,7.0,3.0
62.0,Jaime Botello García,1624.0,5.0,23.0,33.0,355.0,116.0,91.0,55.0,75.0,57.0,28.0,306.0,182.0,39.0,249.0,7.0,3.0
63.0,Mario Juan Lobato,1628.0,236.0,77.0,247.0,245.0,116.0,91.0,55.0,89.0,135.0,18.0,70.0,81.0,48.0,110.0,7.0,3.0
64.0,Álvaro González Vizuete,1629.0,24.0,56.0,32.0,30.0,116.0,91.0,55.0,89.0,22.0,256.0,306.0,116.0,177.0,249.0,7.0,3.0
65.0,Pedro Sanz Rodriguez,1632.0,38.0,40.0,8.0,6.0,8.0,12.0,55.0,89.0,186.0,13.0,34.0,825.0,59.0,249.0,7.0,3.0
66.0,Pol González Sierras,1656.0,62.0,174.0,46.0,22.0,12.0,16.0,55.0,89.0,96.0,256.0,83.0,68.0,418.0,249.0,7.0,3.0
67.0,Izan Cantero Herrera,1668.0,60.0,11.0,73.0,68.0,116.0,91.0,55.0,89.0,35.0,256.0,306.0,15.0,234.0,249.0,7.0,3.0
68.0,Sergi Sabat,1691.0,50.0,50.0,60.0,77.0,116.0,91.0,32.0,36.0,95.0,114.0,101.0,151.0,683.0,25.0,7.0,3.0
69.0,Álex Domingo Risco,1703.0,223.0,18.0,241.0,179.0,116.0,91.0,55.0,45.0,274.0,40.0,306.0,34.0,24.0,47.0,7.0,3.0
70.0,Andrés Arenas Sánchez,1726.0,150.0,190.0,146.0,187.0,116.0,91.0,55.0,89.0,200.0,142.0,102.0,8.0,107.0,133.0,7.0,3.0
71.0,Juan Carlos Aguado Seminario,1733.0,63.0,107.0,39.0,60.0,116.0,91.0,55.0,89.0,69.0,256.0,224.0,152.0,153.0,249.0,7.0,3.0
72.0,Juan González,1751.0,158.0,153.0,189.0,78.0,62.0,53.0,55.0,89.0,270.0,256.0,85.0,71.0,149.0,73.0,7.0,3.0
73.0,Luis Vivancos Cano,1794.0,93.0,103.0,125.0,95.0,116.0,91.0,55.0,62.0,112.0,256.0,234.0,45.0,148.0,249.0,7.0,3.0
74.0,Ricardo Bayona Salvador,1806.0,249.0,173.0,177.0,107.0,73.0,66.0,55.0,64.0,210.0,163.0,120.0,197.0,33.0,109.0,7.0,3.0
75.0,Sergio Torrijos Santano,1807.0,53.0,275.0,71.0,83.0,85.0,76.0,20.0,51.0,27.0,129.0,287.0,344.0,82.0,219.0,2.0,3.0
76.0,Pi Sevilla Hernández,1830.0,162.0,61.0,149.0,148.0,116.0,91.0,55.0,11.0,138.0,92.0,247.0,195.0,227.0,128.0,7.0,3.0
77.0,Dario Roa Sánchez,1833.0,3.0,34.0,2.0,2.0,10.0,20.0,55.0,89.0,5.0,256.0,8.0,103.0,987.0,249.0,7.0,3.0
78.0,José Miguel Beguiristain,1843.0,115.0,119.0,80.0,67.0,101.0,44.0,55.0,89.0,87.0,256.0,87.0,167.0,478.0,88.0,7.0,3.0
79.0,Janot Alabert Planas,1849.0,119.0,243.0,111.0,61.0,45.0,26.0,55.0,89.0,288.0,256.0,9.0,152.0,243.0,142.0,7.0,3.0
80.0,Emma Fernández Barranco,1869.0,174.0,145.0,120.0,170.0,116.0,91.0,55.0,89.0,88.0,256.0,205.0,36.0,65.0,249.0,7.0,3.0
81.0,Marisa Revaliente Ruiz,1883.0,29.0,39.0,127.0,355.0,116.0,91.0,55.0,89.0,205.0,256.0,47.0,165.0,50.0,249.0,7.0,3.0
82.0,Daniel Cofreces Jaureguizar,1905.0,12.0,27.0,10.0,11.0,21.0,21.0,55.0,89.0,12.0,256.0,32.0,113.0,987.0,249.0,7.0,3.0
83.0,Jorge Orrite De Alba,1948.0,226.0,145.0,207.0,201.0,97.0,77.0,55.0,75.0,199.0,77.0,110.0,351.0,12.0,106.0,7.0,3.0
84.0,Ernesto Cristo González Alemán,1959.0,104.0,103.0,147.0,355.0,116.0,91.0,55.0,89.0,74.0,256.0,196.0,146.0,149.0,68.0,7.0,3.0
85.0,Hugo de Miguel Monge,1974.0,213.0,140.0,181.0,355.0,116.0,91.0,55.0,89.0,225.0,211.0,149.0,59.0,38.0,42.0,7.0,3.0
86.0,Óscar Roldán Blay,1976.0,137.0,364.0,112.0,123.0,116.0,91.0,52.0,20.0,30.0,178.0,51.0,246.0,299.0,147.0,7.0,3.0
87.0,Jorge Moreno Aguilera,1977.0,156.0,190.0,172.0,119.0,102.0,80.0,55.0,89.0,88.0,256.0,113.0,67.0,332.0,148.0,7.0,3.0
88.0,Bruno de Febrer,1979.0,48.0,112.0,67.0,66.0,116.0,91.0,55.0,89.0,25.0,256.0,66.0,255.0,474.0,249.0,7.0,3.0
89.0,Mikel Pérez Iniesto,1983.0,177.0,156.0,99.0,110.0,116.0,91.0,55.0,89.0,528.0,95.0,92.0,52.0,102.0,211.0,7.0,3.0
90.0,Marcos Ameijeiras Moreno,2005.0,188.0,80.0,215.0,289.0,116.0,91.0,55.0,41.0,169.0,85.0,181.0,179.0,247.0,59.0,7.0,3.0
91.0,Alejandro Peñas Bernardos,2016.0,192.0,111.0,168.0,113.0,66.0,91.0,55.0,89.0,92.0,256.0,61.0,294.0,240.0,178.0,7.0,3.0
92.0,Jose Angel Montesa Solaz,2017.0,56.0,66.0,38.0,41.0,116.0,91.0,55.0,89.0,82.0,182.0,306.0,93.0,584.0,208.0,7.0,3.0
93.0,Jorge G. Membrillera Pérez,2022.0,27.0,100.0,48.0,355.0,116.0,91.0,55.0,89.0,100.0,256.0,306.0,90.0,130.0,249.0,7.0,3.0
94.0,Tomás Franco Chehebar,2028.0,197.0,404.0,141.0,150.0,116.0,91.0,55.0,89.0,107.0,157.0,175.0,107.0,121.0,108.0,7.0,3.0
95.0,León Jairo Escobar Moreno,2033.0,170.0,140.0,175.0,195.0,116.0,91.0,55.0,89.0,147.0,256.0,121.0,296.0,114.0,58.0,7.0,3.0
96.0,Pablo Aguilar Dominguez,2039.0,27.0,54.0,15.0,9.0,7.0,8.0,55.0,10.0,6.0,179.0,250.0,173.0,987.0,249.0,7.0,3.0
97.0,Ot Caminals Aleu,2047.0,167.0,19.0,196.0,235.0,116.0,91.0,55.0,89.0,208.0,256.0,129.0,143.0,238.0,95.0,7.0,3.0
98.0,Manuel Arjona Crespo,2063.0,133.0,128.0,191.0,263.0,116.0,91.0,55.0,89.0,98.0,201.0,306.0,111.0,22.0,249.0,7.0,3.0
99.0,Samuel María Liñares,2065.0,248.0,108.0,166.0,355.0,116.0,91.0,55.0,89.0,187.0,56.0,131.0,146.0,294.0,13.0,7.0,3.0
100.0,Darío Montalvo Ureña,2068.0,123.0,73.0,190.0,174.0,116.0,91.0,55.0,74.0,250.0,256.0,126.0,186.0,146.0,198.0,7.0,3.0
101.0,Jayden Paredes,2072.0,167.0,211.0,138.0,139.0,116.0,91.0,55.0,89.0,244.0,256.0,115.0,108.0,170.0,163.0,7.0,3.0
102.0,Enric Martínez Cot,2092.0,184.0,140.0,78.0,224.0,113.0,91.0,55.0,89.0,396.0,256.0,88.0,90.0,226.0,52.0,7.0,3.0
102.0,Rubén Ferrero Ortiz,2092.0,340.0,190.0,184.0,140.0,116.0,91.0,55.0,89.0,227.0,256.0,104.0,163.0,75.0,52.0,7.0,3.0
104.0,Martí Esquerda Amézcua,2094.0,180.0,124.0,275.0,229.0,116.0,91.0,55.0,89.0,264.0,64.0,134.0,314.0,48.0,101.0,7.0,3.0
105.0,Leo Partinén Calvo,2134.0,467.0,225.0,167.0,88.0,51.0,42.0,55.0,89.0,236.0,137.0,94.0,187.0,184.0,102.0,7.0,3.0
106.0,Lía Medina,2135.0,85.0,345.0,97.0,55.0,48.0,91.0,55.0,89.0,68.0,183.0,67.0,451.0,425.0,66.0,7.0,3.0
107.0,Iván Brigidano Pérez,2151.0,456.0,256.0,252.0,210.0,116.0,91.0,55.0,55.0,230.0,68.0,195.0,23.0,63.0,71.0,7.0,3.0
108.0,Judith Frank Arnaldo,2165.0,139.0,176.0,69.0,117.0,116.0,91.0,55.0,89.0,62.0,256.0,306.0,239.0,191.0,249.0,7.0,3.0
109.0,Raúl Banacloche Biot,2167.0,30.0,87.0,126.0,135.0,116.0,91.0,55.0,89.0,60.0,256.0,306.0,330.0,227.0,249.0,7.0,3.0
110.0,David Bautista García,2172.0,160.0,250.0,95.0,114.0,116.0,91.0,24.0,89.0,153.0,211.0,166.0,188.0,279.0,226.0,7.0,3.0
110.0,Héctor Haro Guerrero,2172.0,193.0,45.0,320.0,355.0,116.0,91.0,55.0,89.0,240.0,83.0,306.0,5.0,15.0,249.0,7.0,3.0
112.0,Quirze Ricart i Besalú,2185.0,131.0,87.0,102.0,76.0,116.0,62.0,55.0,89.0,277.0,256.0,91.0,364.0,267.0,202.0,7.0,3.0
113.0,Ekaitz Rey González,2192.0,249.0,72.0,251.0,149.0,116.0,91.0,55.0,89.0,224.0,115.0,98.0,296.0,128.0,249.0,7.0,3.0
114.0,Rafael Alférez Robisco,2196.0,80.0,155.0,158.0,267.0,116.0,91.0,55.0,89.0,144.0,101.0,306.0,299.0,76.0,249.0,7.0,3.0
115.0,Álvaro Alonso Larena,2213.0,379.0,324.0,101.0,118.0,116.0,91.0,55.0,89.0,300.0,256.0,137.0,46.0,92.0,99.0,7.0,3.0
116.0,Pablo Ferrando Brunet,2227.0,299.0,379.0,153.0,154.0,116.0,91.0,55.0,89.0,234.0,197.0,171.0,125.0,136.0,18.0,7.0,3.0
117.0,Rodrigo Díaz,2241.0,415.0,157.0,178.0,142.0,87.0,91.0,55.0,89.0,273.0,155.0,145.0,171.0,108.0,165.0,7.0,3.0
118.0,Alejandro González Rodríguez,2243.0,79.0,229.0,243.0,355.0,116.0,91.0,55.0,89.0,215.0,256.0,150.0,26.0,80.0,249.0,7.0,3.0
