Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Nabhan Niyaz,42.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,7.0,3.0,2.0,2.0,4.0,3.0
2.0,Sujan Irosha Kumarapperuma,48.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,12.0,1.0,1.0,6.0,12.0
3.0,Banura Perera,81.0,3.0,7.0,5.0,5.0,7.0,7.0,2.0,2.0,12.0,2.0,13.0,3.0,12.0,1.0
4.0,Samath Keppitiyagama,91.0,5.0,12.0,3.0,4.0,4.0,6.0,2.0,2.0,1.0,10.0,5.0,24.0,11.0,2.0
5.0,Jamaal Burah,107.0,9.0,3.0,8.0,30.0,10.0,7.0,2.0,1.0,3.0,12.0,3.0,4.0,10.0,5.0
6.0,Benul Uthsala Subasinghe,126.0,20.0,1.0,11.0,9.0,10.0,5.0,2.0,2.0,15.0,5.0,8.0,7.0,19.0,12.0
7.0,Dapana Durage Risith Hansindu,142.0,14.0,18.0,14.0,12.0,10.0,7.0,2.0,2.0,17.0,12.0,14.0,5.0,3.0,12.0
8.0,Mohamed Diwan,161.0,7.0,11.0,12.0,11.0,5.0,7.0,2.0,2.0,10.0,9.0,14.0,33.0,26.0,12.0
9.0,Tehan Perera,181.0,10.0,22.0,13.0,7.0,10.0,7.0,2.0,2.0,9.0,12.0,14.0,16.0,45.0,12.0
10.0,Ryan Koralalage,185.0,8.0,9.0,17.0,30.0,10.0,7.0,2.0,2.0,4.0,12.0,14.0,56.0,2.0,12.0
11.0,Sirima Witharanage Sathmika Navoda,194.0,42.0,40.0,9.0,6.0,6.0,4.0,2.0,2.0,46.0,12.0,6.0,6.0,1.0,12.0
12.0,Abdur Rahman Azmi,205.0,19.0,9.0,24.0,30.0,10.0,7.0,2.0,2.0,62.0,4.0,14.0,9.0,7.0,6.0
13.0,Duneth Nisala Praveen Ranaweera,223.0,33.0,21.0,15.0,8.0,8.0,7.0,2.0,2.0,21.0,1.0,11.0,73.0,17.0,4.0
14.0,Hirosh Nividu,224.0,43.0,36.0,36.0,14.0,10.0,7.0,2.0,2.0,18.0,12.0,10.0,18.0,5.0,11.0
15.0,Anok Miranda,234.0,18.0,6.0,4.0,3.0,3.0,2.0,2.0,2.0,13.0,12.0,14.0,98.0,45.0,12.0
16.0,Dulina Harshitha Pieris,240.0,49.0,20.0,33.0,30.0,10.0,7.0,2.0,2.0,29.0,12.0,14.0,11.0,9.0,12.0
17.0,Manija Kalansooriya,252.0,16.0,8.0,27.0,13.0,10.0,7.0,2.0,2.0,16.0,12.0,14.0,98.0,15.0,12.0
18.0,Praveen Charuka Athauda-Arachchi,273.0,36.0,43.0,30.0,15.0,10.0,7.0,2.0,2.0,22.0,12.0,14.0,37.0,31.0,12.0
19.0,Sahas Thathmira Bandara Palihana,281.0,27.0,15.0,72.0,30.0,10.0,7.0,2.0,2.0,23.0,12.0,14.0,10.0,45.0,12.0
20.0,Dihindu Ambegoda,286.0,12.0,24.0,10.0,30.0,10.0,7.0,2.0,2.0,8.0,12.0,14.0,98.0,45.0,12.0
21.0,Abdul Azeez Harees,292.0,14.0,37.0,28.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,54.0,8.0,12.0
22.0,Pinindu Liyanage,303.0,21.0,50.0,72.0,30.0,10.0,7.0,2.0,2.0,24.0,12.0,7.0,38.0,16.0,12.0
23.0,Thisanda Wickramasinghe,304.0,38.0,34.0,16.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,42.0,28.0,7.0
24.0,Imaduwa Wickramarachchige Chandima Jeewantha Wickramarachchi,313.0,35.0,25.0,72.0,30.0,10.0,7.0,2.0,2.0,30.0,12.0,14.0,17.0,45.0,12.0
25.0,Navindu Sandira Nissanka,317.0,45.0,42.0,39.0,30.0,10.0,7.0,2.0,2.0,26.0,12.0,14.0,31.0,45.0,12.0
26.0,Menuli Vidhanya Ranwala,329.0,53.0,23.0,45.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,12.0,45.0,12.0
27.0,Naveed Irshad,332.0,41.0,41.0,18.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,63.0,21.0,9.0
28.0,Mihidu Warnakulasuriya Fernando,344.0,66.0,14.0,72.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,19.0,22.0,12.0
29.0,Robosriyas Stravakske Fernando,347.0,59.0,38.0,21.0,30.0,10.0,7.0,2.0,2.0,28.0,12.0,14.0,98.0,14.0,12.0
30.0,Lisul Jayasinghe,349.0,25.0,33.0,31.0,30.0,10.0,7.0,2.0,2.0,42.0,12.0,14.0,84.0,45.0,12.0
31.0,Santhiviraj Harikesh,352.0,50.0,18.0,72.0,30.0,10.0,7.0,2.0,2.0,20.0,12.0,14.0,58.0,45.0,12.0
32.0,Sasindu Himansa,357.0,47.0,75.0,19.0,10.0,10.0,7.0,2.0,2.0,32.0,12.0,14.0,70.0,45.0,12.0
33.0,Hilaal Zain,359.0,17.0,32.0,72.0,30.0,10.0,7.0,2.0,2.0,6.0,12.0,14.0,98.0,45.0,12.0
34.0,Dulain James Theverapperuma,363.0,26.0,56.0,20.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,65.0,45.0,12.0
35.0,Aydin Mubeen,364.0,34.0,47.0,72.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,15.0,45.0,12.0
36.0,Yusri Ahamed,365.0,23.0,45.0,46.0,30.0,10.0,7.0,2.0,2.0,19.0,12.0,14.0,98.0,45.0,12.0
36.0,Sithupa Sanudaya,365.0,30.0,17.0,72.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,50.0,45.0,12.0
38.0,Hirun Randilu Wijesekara Dissanayake,366.0,39.0,53.0,72.0,30.0,10.0,7.0,2.0,2.0,27.0,12.0,14.0,41.0,45.0,12.0
39.0,Umar Adheeb Rizni,367.0,48.0,30.0,72.0,30.0,10.0,7.0,2.0,2.0,47.0,12.0,14.0,51.0,30.0,12.0
39.0,Godagama Gamachchige Senuk Dihein Gamachchi,367.0,60.0,31.0,72.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,8.0,45.0,12.0
41.0,Humaid Musthak,368.0,31.0,55.0,72.0,30.0,10.0,7.0,2.0,2.0,31.0,12.0,14.0,45.0,45.0,12.0
42.0,Chamod Malshan Senevirathna,369.0,22.0,28.0,25.0,30.0,10.0,7.0,2.0,2.0,62.0,12.0,14.0,98.0,45.0,12.0
