Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Jakob Gunnarsson,83.0,2.0,5.0,7.0,5.0,4.0,4.0,1.0,2.0,2.0,13.0,3.0,14.0,5.0,3.0,8.0,5.0
1.0,Daniel Wallin,83.0,4.0,6.0,5.0,6.0,10.0,9.0,2.0,8.0,4.0,2.0,10.0,11.0,2.0,2.0,1.0,1.0
3.0,William Jensen,90.0,6.0,1.0,2.0,1.0,1.0,1.0,5.0,26.0,5.0,11.0,5.0,3.0,4.0,6.0,8.0,5.0
4.0,Elvin Thorsen,119.0,1.0,2.0,13.0,10.0,11.0,11.0,3.0,2.0,20.0,10.0,6.0,1.0,3.0,13.0,8.0,5.0
5.0,Helmer Ewert,150.0,7.0,9.0,19.0,18.0,13.0,12.0,7.0,4.0,7.0,14.0,15.0,5.0,10.0,1.0,6.0,3.0
6.0,Mattias Uvesten,235.0,12.0,2.0,11.0,14.0,19.0,20.0,37.0,12.0,6.0,44.0,8.0,2.0,9.0,26.0,8.0,5.0
7.0,Leo Lindqvist,251.0,17.0,4.0,21.0,17.0,15.0,32.0,24.0,13.0,9.0,37.0,12.0,21.0,7.0,9.0,8.0,5.0
8.0,Joel Lundström,254.0,20.0,27.0,20.0,11.0,5.0,7.0,16.0,22.0,26.0,7.0,2.0,27.0,29.0,22.0,8.0,5.0
9.0,Alvar Nylén,268.0,9.0,21.0,6.0,4.0,2.0,2.0,26.0,50.0,27.0,17.0,19.0,18.0,42.0,12.0,8.0,5.0
10.0,Simon Westlund,276.0,15.0,24.0,9.0,9.0,7.0,8.0,9.0,4.0,19.0,25.0,1.0,33.0,60.0,40.0,8.0,5.0
11.0,Govend Avgerinos Djangoi,279.0,18.0,22.0,28.0,13.0,21.0,18.0,37.0,32.0,34.0,4.0,4.0,5.0,11.0,19.0,8.0,5.0
12.0,Waldemar Sundin,322.0,21.0,41.0,3.0,3.0,3.0,3.0,37.0,50.0,32.0,41.0,17.0,32.0,21.0,5.0,8.0,5.0
13.0,Marcus Moberg,333.0,24.0,16.0,29.0,28.0,47.0,69.0,4.0,17.0,18.0,8.0,39.0,12.0,1.0,8.0,8.0,5.0
14.0,Jack Larsson Backsell,366.0,14.0,12.0,4.0,2.0,8.0,6.0,37.0,50.0,12.0,64.0,27.0,28.0,24.0,65.0,8.0,5.0
15.0,Nathaniel Berg,371.0,16.0,53.0,10.0,16.0,20.0,16.0,37.0,20.0,25.0,3.0,38.0,30.0,25.0,49.0,8.0,5.0
16.0,Toni Beljo,405.0,10.0,25.0,1.0,7.0,9.0,14.0,34.0,50.0,28.0,144.0,21.0,4.0,25.0,20.0,8.0,5.0
17.0,Alexander Tosting,438.0,3.0,8.0,18.0,36.0,108.0,92.0,37.0,45.0,8.0,29.0,16.0,13.0,8.0,4.0,8.0,5.0
18.0,Pep Edén,476.0,27.0,14.0,22.0,34.0,26.0,31.0,37.0,16.0,30.0,28.0,96.0,37.0,41.0,24.0,8.0,5.0
19.0,Vincent Rylander,479.0,81.0,15.0,42.0,39.0,25.0,27.0,37.0,29.0,61.0,12.0,34.0,29.0,28.0,7.0,8.0,5.0
19.0,Gustav Wälivaara,479.0,30.0,45.0,17.0,8.0,6.0,5.0,37.0,44.0,31.0,84.0,33.0,70.0,31.0,25.0,8.0,5.0
21.0,Samuel Eklund-Hanna,540.0,66.0,37.0,60.0,38.0,31.0,50.0,37.0,18.0,35.0,1.0,75.0,52.0,6.0,21.0,8.0,5.0
22.0,Albin Sten,571.0,63.0,29.0,56.0,61.0,61.0,52.0,37.0,50.0,23.0,27.0,44.0,9.0,13.0,33.0,8.0,5.0
23.0,Noah Pihlstrand,575.0,25.0,58.0,36.0,27.0,36.0,36.0,37.0,50.0,52.0,74.0,28.0,20.0,47.0,36.0,8.0,5.0
24.0,Anders Berggren,579.0,37.0,64.0,34.0,40.0,37.0,33.0,14.0,9.0,11.0,46.0,50.0,103.0,20.0,68.0,8.0,5.0
25.0,Lukas Noel,585.0,19.0,41.0,39.0,42.0,54.0,58.0,37.0,41.0,33.0,88.0,20.0,25.0,23.0,52.0,8.0,5.0
26.0,Alexander Karlov,608.0,91.0,35.0,50.0,48.0,34.0,25.0,37.0,7.0,57.0,9.0,66.0,42.0,16.0,78.0,8.0,5.0
27.0,Dante Wallin Arvidsson,650.0,8.0,19.0,37.0,44.0,49.0,46.0,37.0,50.0,1.0,80.0,53.0,58.0,34.0,121.0,8.0,5.0
28.0,Johan Thuvesen,664.0,64.0,33.0,44.0,60.0,66.0,68.0,37.0,25.0,85.0,73.0,22.0,17.0,27.0,30.0,8.0,5.0
29.0,Alve Carlqvist,667.0,23.0,10.0,59.0,85.0,108.0,92.0,37.0,50.0,47.0,16.0,30.0,22.0,65.0,10.0,8.0,5.0
30.0,Viktor Ejlertsson,724.0,91.0,69.0,58.0,35.0,24.0,19.0,31.0,50.0,70.0,31.0,57.0,42.0,37.0,97.0,8.0,5.0
31.0,Jamil Mkelle,732.0,55.0,44.0,57.0,54.0,62.0,92.0,37.0,50.0,58.0,82.0,70.0,15.0,32.0,11.0,8.0,5.0
32.0,Emil Elghorn,754.0,97.0,13.0,95.0,63.0,39.0,43.0,37.0,50.0,86.0,6.0,40.0,63.0,47.0,62.0,8.0,5.0
33.0,Erik Bryland,764.0,34.0,82.0,27.0,12.0,23.0,24.0,37.0,50.0,16.0,186.0,48.0,75.0,91.0,46.0,8.0,5.0
34.0,Theo Skoog,767.0,33.0,17.0,35.0,53.0,108.0,92.0,37.0,50.0,44.0,186.0,37.0,8.0,38.0,16.0,8.0,5.0
35.0,Linus Thyberg,772.0,5.0,31.0,32.0,49.0,108.0,92.0,37.0,50.0,17.0,141.0,59.0,54.0,70.0,14.0,8.0,5.0
36.0,Simon Nilsson,787.0,50.0,56.0,43.0,50.0,108.0,92.0,37.0,50.0,41.0,99.0,11.0,10.0,46.0,81.0,8.0,5.0
37.0,Sebastian Alanen,803.0,39.0,84.0,16.0,37.0,44.0,92.0,27.0,37.0,122.0,67.0,46.0,24.0,138.0,17.0,8.0,5.0
38.0,Rasmus Händén,817.0,98.0,98.0,87.0,51.0,41.0,49.0,37.0,22.0,117.0,5.0,26.0,111.0,17.0,45.0,8.0,5.0
39.0,Johan Svensson,838.0,29.0,67.0,8.0,15.0,27.0,30.0,37.0,33.0,14.0,78.0,35.0,142.0,215.0,95.0,8.0,5.0
40.0,Emil Andersson,842.0,94.0,84.0,68.0,46.0,29.0,41.0,37.0,50.0,78.0,18.0,13.0,55.0,14.0,202.0,8.0,5.0
41.0,Joel Ulin,844.0,22.0,65.0,26.0,25.0,31.0,26.0,37.0,14.0,3.0,186.0,29.0,113.0,52.0,202.0,8.0,5.0
42.0,Anton Forsell,850.0,26.0,60.0,15.0,22.0,28.0,34.0,37.0,35.0,50.0,186.0,97.0,86.0,119.0,42.0,8.0,5.0
43.0,Bosse Schelander,853.0,60.0,53.0,76.0,93.0,75.0,92.0,37.0,50.0,55.0,107.0,56.0,16.0,52.0,18.0,8.0,5.0
44.0,Hampus Hellqvist,862.0,47.0,39.0,38.0,59.0,94.0,85.0,37.0,50.0,111.0,31.0,36.0,44.0,67.0,111.0,8.0,5.0
44.0,Alex Stern,862.0,31.0,50.0,49.0,43.0,35.0,56.0,37.0,50.0,119.0,118.0,89.0,73.0,84.0,15.0,8.0,5.0
46.0,Johannes Knudsen,872.0,67.0,40.0,53.0,47.0,108.0,92.0,37.0,50.0,101.0,52.0,88.0,77.0,18.0,29.0,8.0,5.0
47.0,Emanuel Schelin,913.0,11.0,18.0,31.0,26.0,51.0,92.0,37.0,50.0,24.0,186.0,31.0,134.0,181.0,28.0,8.0,5.0
48.0,Olle Folkesson,922.0,41.0,29.0,47.0,87.0,108.0,92.0,37.0,50.0,97.0,61.0,62.0,48.0,106.0,44.0,8.0,5.0
49.0,Albin Thim,924.0,57.0,72.0,66.0,55.0,56.0,92.0,37.0,50.0,79.0,186.0,51.0,57.0,19.0,34.0,8.0,5.0
50.0,Viktor From,930.0,67.0,86.0,14.0,24.0,22.0,21.0,37.0,50.0,48.0,186.0,64.0,91.0,135.0,72.0,8.0,5.0
51.0,Simon Jansson,972.0,46.0,11.0,83.0,118.0,99.0,92.0,37.0,50.0,54.0,87.0,141.0,58.0,22.0,61.0,8.0,5.0
52.0,Jesper Frisk,993.0,71.0,25.0,105.0,179.0,108.0,92.0,21.0,15.0,29.0,33.0,43.0,47.0,94.0,118.0,8.0,5.0
53.0,Herman Axelsson,1014.0,61.0,88.0,12.0,32.0,55.0,92.0,37.0,50.0,91.0,116.0,41.0,94.0,194.0,38.0,8.0,5.0
54.0,Theodor Nordstrand,1024.0,131.0,70.0,85.0,82.0,46.0,48.0,37.0,1.0,100.0,98.0,81.0,69.0,64.0,99.0,8.0,5.0
55.0,Arvid Ahlstrand,1025.0,65.0,119.0,63.0,29.0,17.0,12.0,37.0,50.0,59.0,92.0,91.0,89.0,87.0,202.0,8.0,5.0
56.0,Gunnar Kantare Krig,1051.0,84.0,146.0,40.0,71.0,53.0,62.0,17.0,50.0,22.0,43.0,80.0,119.0,210.0,41.0,8.0,5.0
57.0,Emil Alpsten,1066.0,54.0,48.0,69.0,98.0,108.0,92.0,37.0,50.0,83.0,186.0,95.0,31.0,43.0,59.0,8.0,5.0
58.0,Tor Torstensson,1078.0,32.0,46.0,82.0,79.0,108.0,92.0,37.0,50.0,71.0,186.0,74.0,93.0,58.0,57.0,8.0,5.0
59.0,Abbe Hansen,1105.0,89.0,77.0,75.0,88.0,72.0,61.0,37.0,50.0,102.0,79.0,68.0,38.0,54.0,202.0,8.0,5.0
60.0,Kasper Eriksson,1116.0,72.0,90.0,72.0,67.0,50.0,92.0,37.0,50.0,46.0,68.0,18.0,158.0,81.0,202.0,8.0,5.0
61.0,Gunnar Ivarsson,1129.0,36.0,113.0,47.0,41.0,108.0,92.0,37.0,50.0,40.0,186.0,216.0,86.0,33.0,31.0,8.0,5.0
62.0,Rasmus Andersson,1143.0,52.0,56.0,30.0,58.0,108.0,92.0,37.0,50.0,59.0,186.0,216.0,36.0,15.0,135.0,8.0,5.0
