Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Alwin Rölz,58.0,3.0,7.0,2.0,2.0,1.0,1.0,16.0,6.0,1.0,2.0,5.0,1.0,1.0,3.0,5.0,2.0
2.0,Tobias Peter,88.0,5.0,11.0,4.0,4.0,5.0,6.0,4.0,10.0,2.0,5.0,4.0,8.0,9.0,7.0,2.0,2.0
3.0,Timo Günthardt,96.0,6.0,6.0,8.0,5.0,3.0,3.0,12.0,2.0,12.0,4.0,1.0,2.0,17.0,8.0,5.0,2.0
4.0,Alessio Giuliano,120.0,4.0,26.0,5.0,8.0,9.0,7.0,6.0,7.0,5.0,10.0,8.0,10.0,2.0,6.0,5.0,2.0
5.0,Reto Bubendorf,134.0,8.0,5.0,11.0,13.0,8.0,17.0,10.0,1.0,8.0,13.0,10.0,4.0,10.0,9.0,5.0,2.0
6.0,Theo Mayer,198.0,17.0,16.0,10.0,7.0,11.0,9.0,17.0,13.0,14.0,24.0,12.0,12.0,7.0,22.0,5.0,2.0
7.0,Fabian Löhle,212.0,22.0,36.0,6.0,6.0,6.0,4.0,13.0,17.0,15.0,15.0,11.0,23.0,11.0,20.0,5.0,2.0
8.0,Dominik Fürer,222.0,13.0,27.0,19.0,23.0,20.0,19.0,15.0,17.0,7.0,12.0,13.0,6.0,6.0,18.0,5.0,2.0
9.0,Levin Houghton,239.0,12.0,15.0,9.0,10.0,10.0,8.0,25.0,33.0,13.0,27.0,22.0,16.0,27.0,5.0,5.0,2.0
10.0,Luca Rizzi,266.0,22.0,8.0,16.0,11.0,24.0,25.0,11.0,14.0,25.0,25.0,20.0,25.0,16.0,17.0,5.0,2.0
11.0,Sandro Mattenberger,274.0,14.0,13.0,24.0,24.0,16.0,21.0,25.0,14.0,27.0,29.0,9.0,20.0,5.0,26.0,5.0,2.0
12.0,Julian Bürgi,303.0,2.0,1.0,3.0,3.0,4.0,5.0,19.0,33.0,4.0,71.0,6.0,100.0,35.0,10.0,5.0,2.0
13.0,Manuel Bühler,305.0,28.0,23.0,25.0,18.0,15.0,10.0,14.0,10.0,16.0,55.0,3.0,17.0,33.0,31.0,5.0,2.0
14.0,Yannic Waser,310.0,15.0,40.0,18.0,20.0,23.0,22.0,25.0,20.0,10.0,50.0,34.0,11.0,3.0,12.0,5.0,2.0
15.0,Damiano Albini,350.0,10.0,24.0,23.0,19.0,59.0,51.0,25.0,33.0,21.0,26.0,7.0,7.0,37.0,1.0,5.0,2.0
16.0,Richard Delacoste,353.0,1.0,29.0,1.0,1.0,2.0,2.0,25.0,12.0,3.0,71.0,19.0,57.0,56.0,67.0,5.0,2.0
17.0,Erwan Kohler,363.0,37.0,30.0,29.0,22.0,18.0,15.0,20.0,9.0,33.0,11.0,14.0,18.0,58.0,42.0,5.0,2.0
18.0,Robin Tschümperlin,384.0,7.0,4.0,7.0,9.0,12.0,11.0,25.0,33.0,9.0,71.0,35.0,15.0,99.0,40.0,5.0,2.0
19.0,Pacifico Rodriguez,387.0,24.0,33.0,40.0,26.0,36.0,31.0,22.0,33.0,31.0,39.0,15.0,18.0,18.0,14.0,5.0,2.0
20.0,Laura Mellier,399.0,29.0,57.0,33.0,16.0,21.0,18.0,18.0,33.0,24.0,20.0,2.0,72.0,47.0,2.0,5.0,2.0
21.0,Ben Zwicky,400.0,20.0,28.0,13.0,17.0,17.0,23.0,25.0,33.0,32.0,71.0,26.0,27.0,8.0,53.0,5.0,2.0
22.0,Maximilian Elsener,411.0,27.0,18.0,46.0,40.0,30.0,38.0,25.0,33.0,44.0,6.0,31.0,14.0,31.0,21.0,5.0,2.0
23.0,Christian Meyer,430.0,33.0,9.0,15.0,21.0,27.0,16.0,25.0,29.0,43.0,43.0,25.0,58.0,46.0,33.0,5.0,2.0
24.0,Remo Decio,436.0,50.0,17.0,27.0,28.0,19.0,24.0,25.0,22.0,23.0,16.0,72.0,66.0,25.0,15.0,5.0,2.0
25.0,Philipp Senser,450.0,11.0,10.0,12.0,38.0,37.0,37.0,25.0,33.0,22.0,71.0,72.0,21.0,30.0,24.0,5.0,2.0
26.0,Mike Ditton,456.0,18.0,44.0,37.0,35.0,44.0,35.0,25.0,33.0,20.0,30.0,41.0,48.0,20.0,19.0,5.0,2.0
27.0,Silvan Venzin,496.0,36.0,48.0,28.0,32.0,32.0,51.0,25.0,33.0,42.0,8.0,60.0,23.0,4.0,67.0,5.0,2.0
28.0,Micha Zahnd,503.0,16.0,53.0,14.0,12.0,13.0,20.0,25.0,33.0,5.0,71.0,16.0,79.0,72.0,67.0,5.0,2.0
29.0,Mattia Pasquini,507.0,35.0,22.0,58.0,60.0,59.0,51.0,25.0,20.0,56.0,1.0,54.0,33.0,13.0,13.0,5.0,2.0
30.0,Hannah Minas,523.0,97.0,98.0,50.0,44.0,31.0,33.0,5.0,22.0,55.0,7.0,27.0,9.0,22.0,16.0,5.0,2.0
31.0,Daniel Brem,526.0,30.0,3.0,31.0,33.0,45.0,51.0,25.0,33.0,38.0,60.0,59.0,28.0,49.0,34.0,5.0,2.0
32.0,Marcel Pfeuti,528.0,38.0,35.0,32.0,14.0,7.0,12.0,25.0,33.0,41.0,71.0,17.0,71.0,87.0,38.0,5.0,2.0
33.0,David Gisler,534.0,30.0,67.0,22.0,29.0,22.0,30.0,25.0,33.0,11.0,21.0,72.0,41.0,57.0,67.0,5.0,2.0
34.0,Yannick Balsiger,535.0,49.0,55.0,47.0,30.0,26.0,26.0,25.0,28.0,36.0,40.0,21.0,53.0,36.0,56.0,5.0,2.0
35.0,Cenan Kanik,549.0,9.0,19.0,21.0,83.0,59.0,51.0,25.0,33.0,18.0,71.0,72.0,40.0,14.0,27.0,5.0,2.0
36.0,Ezra Hirschi,553.0,100.0,31.0,43.0,47.0,38.0,34.0,1.0,33.0,57.0,3.0,29.0,73.0,26.0,36.0,1.0,1.0
37.0,Alex Moscibroda,581.0,65.0,33.0,89.0,78.0,47.0,51.0,25.0,33.0,0.0,14.0,72.0,0.0,0.0,67.0,5.0,2.0
38.0,Lars Tschümperlin,584.0,19.0,21.0,17.0,27.0,29.0,39.0,25.0,33.0,26.0,71.0,45.0,51.0,126.0,48.0,5.0,2.0
39.0,Benjamin Lippsmeier,594.0,62.0,14.0,65.0,54.0,50.0,46.0,25.0,33.0,34.0,17.0,33.0,32.0,55.0,67.0,5.0,2.0
