Rank,name,Sum,333,222,444,333oh,clock,minx,pyram,skewb
1.0,Ghaith Hussein,25.0,2.0,1.0,1.0,3.0,2.0,1.0,8.0,7.0
1.0,Omar Hajo,25.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,7.0
3.0,Omar Alaksh,32.0,7.0,11.0,2.0,2.0,2.0,2.0,2.0,4.0
4.0,Mohammad Hajyousef,38.0,6.0,4.0,4.0,3.0,2.0,2.0,10.0,7.0
5.0,Ahmad Joud,43.0,12.0,7.0,4.0,3.0,2.0,2.0,6.0,7.0
5.0,Omar Safa Alsarraj,43.0,17.0,9.0,4.0,3.0,2.0,2.0,5.0,1.0
7.0,Mohamed Yahia Antakli,45.0,3.0,3.0,4.0,3.0,2.0,2.0,21.0,7.0
8.0,Mansour Dukhan,48.0,5.0,6.0,4.0,1.0,2.0,2.0,21.0,7.0
8.0,Abdulrahman Safa Al Sarraj,48.0,19.0,13.0,4.0,3.0,1.0,2.0,4.0,2.0
10.0,Ahmad Eyad Mohammad,49.0,13.0,14.0,3.0,3.0,2.0,2.0,9.0,3.0
11.0,Omar Namani,51.0,11.0,10.0,4.0,3.0,2.0,2.0,12.0,7.0
12.0,Adam Kasmi,52.0,8.0,5.0,4.0,3.0,2.0,2.0,21.0,7.0
13.0,Karny Marashlian,54.0,14.0,8.0,4.0,3.0,2.0,2.0,14.0,7.0
14.0,Rasoul Jamal Al Sarraj,55.0,21.0,15.0,4.0,3.0,2.0,2.0,3.0,5.0
15.0,Bahaa Aldeen Salahi,57.0,16.0,12.0,4.0,3.0,2.0,2.0,11.0,7.0
16.0,Ali Ahmad Alchurbaji,61.0,1.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
17.0,Mustafa Altadmri,67.0,22.0,21.0,4.0,3.0,2.0,2.0,6.0,7.0
18.0,Ali Mohammad,68.0,15.0,21.0,4.0,3.0,2.0,2.0,15.0,6.0
19.0,Almoumen Billah Allahham,69.0,9.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
20.0,Mohammad Mobarak,70.0,10.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
21.0,Rayan Abazeed,72.0,20.0,21.0,4.0,3.0,2.0,2.0,13.0,7.0
22.0,Rahim Basal,76.0,24.0,17.0,4.0,3.0,2.0,2.0,17.0,7.0
23.0,Besher Waddah,78.0,18.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
24.0,Ahmad Abdullah,80.0,26.0,18.0,4.0,3.0,2.0,2.0,18.0,7.0
25.0,Taym Alnassan Mustafa,82.0,27.0,16.0,4.0,3.0,2.0,2.0,21.0,7.0
26.0,Hagop Doshoghlanian,83.0,23.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
26.0,Ferris Babili,83.0,30.0,19.0,4.0,3.0,2.0,2.0,16.0,7.0
28.0,Yousif Almaghribi,85.0,25.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
29.0,Muhab Alkayale,88.0,28.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
30.0,Adnan Shahab,89.0,29.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
30.0,Amr Ramadan,89.0,31.0,20.0,4.0,3.0,2.0,2.0,20.0,7.0
32.0,Bishr Albaraa Ramadan,90.0,32.0,21.0,4.0,3.0,2.0,2.0,19.0,7.0
33.0,Dima Taja,93.0,33.0,21.0,4.0,3.0,2.0,2.0,21.0,7.0
