Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Cian-Jyun Yang (楊謙君),119.0,4.0,3.0,5.0,3.0,2.0,1.0,36.0,8.0,15.0,9.0,11.0,5.0,1.0,8.0,6.0,2.0
2.0,Ho Hsieh (謝合),163.0,9.0,1.0,4.0,8.0,19.0,22.0,17.0,6.0,21.0,17.0,9.0,10.0,7.0,5.0,6.0,2.0
3.0,Chao-Che Chung (鍾肇哲),203.0,17.0,21.0,16.0,10.0,7.0,12.0,20.0,7.0,16.0,16.0,13.0,24.0,6.0,10.0,6.0,2.0
4.0,Kai-Wen Wang (王楷文),206.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,65.0,1.0,66.0,5.0,23.0,5.0,17.0,6.0,2.0
5.0,Wei-Ming Zeng (曾唯銘),242.0,6.0,10.0,11.0,5.0,6.0,8.0,36.0,65.0,12.0,11.0,32.0,1.0,9.0,22.0,6.0,2.0
6.0,Shih-Hao Wang (王士豪),282.0,14.0,41.0,12.0,7.0,4.0,6.0,36.0,2.0,7.0,43.0,12.0,45.0,42.0,3.0,6.0,2.0
7.0,Ping-Yueh Huang (黃品越),294.0,5.0,9.0,3.0,4.0,3.0,2.0,36.0,3.0,5.0,38.0,4.0,39.0,63.0,72.0,6.0,2.0
8.0,Yi-Fan Wu (吳亦凡),319.0,3.0,15.0,2.0,2.0,5.0,3.0,24.0,32.0,4.0,28.0,17.0,64.0,41.0,71.0,6.0,2.0
9.0,Lee Chiang (蔣礪),423.0,38.0,19.0,30.0,25.0,36.0,25.0,36.0,65.0,18.0,10.0,34.0,16.0,22.0,41.0,6.0,2.0
10.0,Yen-An Chen (陳彥安),437.0,25.0,20.0,15.0,13.0,14.0,16.0,16.0,65.0,91.0,2.0,42.0,54.0,55.0,1.0,6.0,2.0
11.0,Yu-Kai Chen (陳宇楷),450.0,28.0,8.0,22.0,23.0,25.0,19.0,36.0,65.0,59.0,24.0,26.0,26.0,36.0,45.0,6.0,2.0
