Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
1.0,Shukrullo Ibragimov,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
2.0,Sunatullo Dzhobirov (Сунатулло Джобиров),32.0,6.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0
3.0,Firuz Yuldashev,50.0,5.0,3.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,10.0,4.0,4.0
4.0,Shamsullo Ibragimov,51.0,10.0,6.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,4.0,3.0,4.0
4.0,Jaloliddin Rasulov,51.0,2.0,14.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,10.0,6.0,4.0
6.0,Khasanzhon Babadzhanov,56.0,8.0,14.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,6.0,4.0
6.0,Nizomidin Nizomiddinov,56.0,15.0,5.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,3.0,5.0,4.0
8.0,Ismoil Khamidov,58.0,7.0,10.0,5.0,3.0,2.0,2.0,5.0,2.0,2.0,10.0,6.0,4.0
9.0,Jaleel Davlatmamadov,59.0,11.0,4.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,10.0,6.0,4.0
10.0,Otabek Kamilov,60.0,3.0,14.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,10.0,6.0,3.0
11.0,Muhammadamin Odinaev,61.0,14.0,9.0,5.0,3.0,2.0,2.0,6.0,2.0,2.0,6.0,6.0,4.0
12.0,Bahodur Odinaev,62.0,13.0,8.0,5.0,3.0,2.0,2.0,7.0,2.0,2.0,8.0,6.0,4.0
12.0,Mirzorakhim Olimzoda,62.0,4.0,14.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,10.0,6.0,4.0
14.0,Muhammad Nazhmudinov,64.0,9.0,14.0,4.0,3.0,2.0,2.0,8.0,2.0,2.0,10.0,6.0,2.0
15.0,Eradz Aknazarov,65.0,17.0,7.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,7.0,6.0,4.0
16.0,Jameel Davlatmamadov,67.0,12.0,11.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,10.0,6.0,4.0
17.0,Bakhtiyor Bedimogov,71.0,16.0,12.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,9.0,6.0,4.0
18.0,Anvarjohn Baratov,75.0,18.0,13.0,5.0,3.0,2.0,2.0,8.0,2.0,2.0,10.0,6.0,4.0
