Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),37.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,2.0,2.0,10.0,1.0,3.0,1.0,2.0
2.0,Parist Pariyakanok (พริษฐ์ ปริยกนก),67.0,2.0,11.0,2.0,3.0,5.0,7.0,11.0,7.0,1.0,2.0,7.0,2.0,4.0,3.0
3.0,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),108.0,3.0,4.0,3.0,1.0,1.0,1.0,11.0,3.0,7.0,11.0,3.0,8.0,37.0,15.0
4.0,Itthikorn Jittaveeroj (อิทธิกร จิตทวีโรจน์),206.0,7.0,2.0,9.0,9.0,9.0,9.0,11.0,18.0,8.0,74.0,11.0,1.0,13.0,25.0
5.0,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),220.0,5.0,5.0,4.0,4.0,7.0,6.0,11.0,5.0,3.0,28.0,2.0,13.0,85.0,42.0
6.0,Atis Prasitvatanakul (อธิษฐ์ ประสิทธิ์วัฒนะกุล),251.0,14.0,19.0,12.0,16.0,8.0,10.0,9.0,18.0,21.0,6.0,9.0,11.0,43.0,55.0
7.0,Thada Phuenghua (ธาดา พึ่งฮั้ว),265.0,4.0,13.0,5.0,18.0,34.0,32.0,11.0,18.0,5.0,25.0,5.0,57.0,2.0,36.0
8.0,Chawin Ratanasiri (ชวิน รัตนสิริ),266.0,20.0,69.0,8.0,6.0,3.0,2.0,11.0,18.0,6.0,44.0,4.0,66.0,6.0,3.0
9.0,Anukun Supcharoenkun (อนุกูล ทรัพย์เจริญกุล),301.0,44.0,27.0,30.0,26.0,14.0,16.0,11.0,3.0,15.0,65.0,25.0,6.0,18.0,1.0
10.0,Worapat Charoensuk (วรปรัชญ์ เจริญสุข),313.0,26.0,10.0,10.0,14.0,10.0,13.0,11.0,18.0,29.0,42.0,6.0,5.0,40.0,79.0
11.0,Sivakorn Makcharoen (ศิวกร มรรคเจริญ),341.0,24.0,9.0,16.0,17.0,13.0,12.0,11.0,18.0,60.0,74.0,30.0,16.0,8.0,33.0
12.0,Matthew Siegel,354.0,29.0,26.0,23.0,38.0,34.0,32.0,11.0,18.0,31.0,21.0,69.0,4.0,12.0,6.0
13.0,Pongkhun Thongkum (ป้องคุณ ทองคำ),422.0,11.0,16.0,20.0,27.0,18.0,30.0,11.0,18.0,25.0,74.0,50.0,27.0,16.0,79.0
14.0,Thanapon Ponchai (ธนพล พลชัย),426.0,19.0,15.0,45.0,24.0,34.0,32.0,11.0,18.0,11.0,74.0,69.0,12.0,3.0,59.0
15.0,Bannawit Pimpanuwat (บรรณวิชญ์ พิมพานุวัตร),438.0,100.0,40.0,31.0,51.0,34.0,32.0,11.0,18.0,38.0,9.0,20.0,9.0,22.0,23.0
16.0,Hemara-Ussadorn Phonthaklang (เหมราอัสดร พลทะกลาง),439.0,56.0,7.0,53.0,52.0,26.0,24.0,11.0,9.0,53.0,31.0,28.0,36.0,21.0,32.0
17.0,Prin Kijviwattanakarn (ปริญ กิจวิวัฒนการ),449.0,39.0,22.0,41.0,48.0,27.0,25.0,11.0,12.0,41.0,3.0,47.0,23.0,79.0,31.0
18.0,Chalongyot Intayot (ฉลองยศ อินทยศ),467.0,30.0,35.0,19.0,20.0,34.0,32.0,11.0,18.0,18.0,74.0,61.0,32.0,63.0,20.0
19.0,Korakot Inkaew (กรกฎ อิ่นแก้ว),477.0,55.0,66.0,33.0,33.0,21.0,26.0,2.0,1.0,19.0,33.0,39.0,46.0,51.0,52.0
20.0,Thanaporn Sichanugrist (ธนพร สิชฌนุกฤษฎ์),489.0,9.0,28.0,18.0,25.0,34.0,32.0,11.0,18.0,13.0,54.0,34.0,16.0,156.0,41.0
21.0,Baramee Pookcharoen (บารมี พุกเจริญ),508.0,43.0,25.0,48.0,23.0,16.0,21.0,4.0,18.0,12.0,74.0,27.0,19.0,156.0,22.0
