Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Moez Boussarsar,23.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0
2.0,Hassen Kallala,36.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,6.0,2.0,5.0,1.0,1.0
3.0,Emna Boughizane,70.0,1.0,5.0,3.0,5.0,6.0,2.0,4.0,2.0,2.0,6.0,1.0,17.0,13.0,3.0
4.0,Achraf Chaouch,78.0,8.0,3.0,6.0,3.0,2.0,2.0,4.0,2.0,5.0,6.0,8.0,14.0,4.0,11.0
5.0,Aziz Boussarsar,92.0,15.0,10.0,15.0,9.0,5.0,2.0,4.0,2.0,15.0,2.0,4.0,2.0,2.0,5.0
6.0,Youssef Kallala,102.0,5.0,7.0,10.0,12.0,6.0,2.0,4.0,2.0,4.0,6.0,20.0,8.0,5.0,11.0
7.0,Amine Chouchane,103.0,6.0,12.0,5.0,8.0,6.0,2.0,4.0,2.0,6.0,6.0,9.0,12.0,14.0,11.0
8.0,Rayan Kerkeni,109.0,9.0,4.0,19.0,12.0,6.0,2.0,4.0,2.0,8.0,6.0,16.0,4.0,6.0,11.0
9.0,Selim Makni,117.0,7.0,6.0,9.0,12.0,6.0,2.0,2.0,2.0,7.0,6.0,7.0,18.0,26.0,7.0
10.0,Wael Ben Ali,143.0,11.0,13.0,7.0,12.0,6.0,2.0,4.0,2.0,9.0,6.0,20.0,13.0,30.0,8.0
11.0,Ferielle Hammami,147.0,21.0,8.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,7.0,7.0,4.0
12.0,Mahmoud Ibrahim,150.0,26.0,17.0,20.0,11.0,6.0,2.0,4.0,2.0,14.0,4.0,15.0,11.0,8.0,10.0
13.0,Mohamed Aziz Alaya,152.0,28.0,9.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,12.0,3.0,9.0,11.0
14.0,Taha Ben Salah,161.0,13.0,18.0,8.0,6.0,4.0,2.0,4.0,1.0,10.0,6.0,10.0,38.0,30.0,11.0
15.0,Ahmed Maalej,163.0,14.0,11.0,11.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,16.0,28.0,6.0
16.0,Mehdi Zinelabidine,179.0,17.0,14.0,23.0,12.0,6.0,2.0,4.0,2.0,13.0,6.0,20.0,19.0,30.0,11.0
17.0,Wajdi Omrani,190.0,18.0,20.0,13.0,12.0,6.0,2.0,4.0,2.0,16.0,6.0,20.0,30.0,30.0,11.0
18.0,Leith Guelmami,192.0,19.0,30.0,23.0,12.0,6.0,2.0,3.0,2.0,22.0,6.0,20.0,6.0,30.0,11.0
19.0,Ahmed Heni,201.0,30.0,23.0,23.0,12.0,6.0,2.0,4.0,2.0,19.0,6.0,20.0,28.0,15.0,11.0
20.0,Melek Sebri,203.0,29.0,15.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,6.0,45.0,17.0,11.0
21.0,Chedli Ghorbel,204.0,27.0,31.0,23.0,12.0,6.0,2.0,4.0,2.0,17.0,5.0,14.0,20.0,30.0,11.0
22.0,Iwan Brossard,213.0,45.0,25.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,22.0,10.0,11.0
23.0,Chaker Souissi,217.0,42.0,24.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,10.0,30.0,11.0
24.0,Afef Thabet,238.0,59.0,27.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,21.0,20.0,11.0
25.0,Bechir Sghaeir,247.0,38.0,43.0,23.0,12.0,6.0,2.0,4.0,2.0,24.0,6.0,20.0,26.0,30.0,11.0
26.0,Yosr Boussarsar,248.0,66.0,21.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,3.0,20.0,35.0,18.0,11.0
27.0,Hatem Araar,255.0,34.0,26.0,17.0,12.0,6.0,2.0,4.0,2.0,21.0,6.0,20.0,64.0,30.0,11.0
27.0,Ibrahim Ammar,255.0,22.0,19.0,4.0,4.0,6.0,2.0,4.0,2.0,12.0,6.0,5.0,128.0,30.0,11.0
29.0,Yahya Ghadhab,256.0,52.0,40.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,23.0,30.0,11.0
30.0,Rayen Nasr Khouaja,258.0,84.0,38.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,9.0,16.0,11.0
31.0,Husin Khlif,259.0,10.0,22.0,14.0,7.0,6.0,2.0,4.0,2.0,11.0,6.0,11.0,125.0,30.0,9.0
32.0,Aziz Dimassi,277.0,16.0,28.0,21.0,12.0,6.0,2.0,4.0,2.0,18.0,6.0,20.0,101.0,30.0,11.0
32.0,Rayen Ben Salem,277.0,41.0,45.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,50.0,30.0,11.0
34.0,Bechir Sghair,279.0,50.0,46.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,42.0,30.0,11.0
35.0,Yassine Mseddi,289.0,68.0,51.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,29.0,30.0,11.0
36.0,Mohamed Lahouel,296.0,23.0,16.0,16.0,12.0,6.0,2.0,4.0,2.0,20.0,6.0,20.0,128.0,30.0,11.0
37.0,Mohamed Affes,300.0,48.0,84.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,27.0,30.0,11.0
38.0,Elyes Hamouda,302.0,37.0,35.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,89.0,30.0,11.0
39.0,Ahmed Hafsawi,311.0,57.0,62.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,51.0,30.0,11.0
40.0,Chedy Karkeni,314.0,33.0,32.0,12.0,10.0,6.0,2.0,4.0,2.0,25.0,6.0,13.0,128.0,30.0,11.0
40.0,Oussema Saïd,314.0,78.0,44.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,69.0,12.0,11.0
40.0,Nidhal Amamou,314.0,62.0,58.0,22.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,18.0,59.0,27.0,11.0
43.0,Elyas Mzali,315.0,83.0,54.0,23.0,12.0,6.0,2.0,4.0,2.0,25.0,6.0,20.0,37.0,30.0,11.0
