Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Ahmet Çınar Ablak,34.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,4.0,4.0,1.0
2.0,Samir Homsi,108.0,3.0,6.0,3.0,2.0,4.0,9.0,9.0,11.0,4.0,48.0,2.0,1.0,1.0,5.0
3.0,Burak Erdil Biçer,222.0,10.0,8.0,10.0,11.0,12.0,11.0,9.0,11.0,5.0,30.0,8.0,81.0,12.0,4.0
4.0,Can Gücüyener,235.0,27.0,29.0,13.0,6.0,7.0,6.0,9.0,5.0,19.0,20.0,6.0,35.0,37.0,16.0
5.0,Ahmet Berkalp Tarakçı,287.0,7.0,13.0,4.0,5.0,13.0,11.0,9.0,11.0,15.0,48.0,12.0,67.0,53.0,19.0
6.0,Muhammed Volkan Güngör,294.0,6.0,19.0,17.0,27.0,16.0,11.0,9.0,9.0,11.0,39.0,35.0,47.0,46.0,2.0
7.0,Berk Rende,297.0,18.0,9.0,6.0,14.0,11.0,11.0,9.0,11.0,10.0,48.0,19.0,115.0,9.0,7.0
8.0,Alper Şakım,313.0,19.0,47.0,12.0,9.0,5.0,7.0,9.0,11.0,14.0,6.0,17.0,42.0,107.0,8.0
9.0,Mert Sağdınç,316.0,12.0,16.0,2.0,4.0,3.0,4.0,9.0,11.0,7.0,36.0,14.0,99.0,15.0,84.0
10.0,Ahmet Güzel,319.0,11.0,21.0,7.0,7.0,8.0,11.0,9.0,11.0,9.0,48.0,35.0,65.0,60.0,17.0
11.0,Bora Azizoğlu,327.0,54.0,28.0,24.0,30.0,16.0,11.0,9.0,11.0,55.0,7.0,35.0,27.0,2.0,18.0
12.0,Emirhan Gökçe,396.0,46.0,45.0,58.0,42.0,16.0,11.0,9.0,11.0,20.0,13.0,26.0,26.0,48.0,25.0
13.0,Emir Yusuf Çiçekdemir,402.0,22.0,103.0,11.0,33.0,16.0,11.0,9.0,11.0,57.0,43.0,22.0,9.0,5.0,50.0
14.0,Onur Karahan,428.0,40.0,46.0,20.0,25.0,16.0,11.0,9.0,11.0,34.0,18.0,35.0,46.0,33.0,84.0
15.0,Selim Sungur,431.0,30.0,15.0,62.0,86.0,16.0,11.0,9.0,11.0,30.0,48.0,35.0,49.0,6.0,23.0
16.0,Utku Yılmaz,439.0,26.0,33.0,14.0,13.0,10.0,10.0,9.0,11.0,99.0,9.0,35.0,53.0,114.0,3.0
17.0,İdil Camgöz,448.0,68.0,25.0,23.0,48.0,16.0,11.0,9.0,11.0,60.0,48.0,35.0,20.0,20.0,54.0
18.0,Deniz Han Bilyay,449.0,49.0,18.0,45.0,51.0,16.0,11.0,9.0,11.0,71.0,15.0,3.0,32.0,34.0,84.0
19.0,Ömer Çetinkaya,455.0,4.0,27.0,9.0,10.0,16.0,11.0,9.0,7.0,8.0,48.0,35.0,50.0,137.0,84.0
20.0,Mustafa Berke Özcan,457.0,73.0,55.0,55.0,37.0,16.0,11.0,9.0,11.0,91.0,48.0,21.0,15.0,3.0,12.0
21.0,Akın Köse,463.0,15.0,22.0,18.0,19.0,16.0,11.0,9.0,11.0,89.0,44.0,35.0,28.0,112.0,34.0
22.0,Ataberk Şencan,490.0,42.0,64.0,48.0,57.0,16.0,11.0,9.0,11.0,32.0,48.0,35.0,16.0,22.0,79.0
23.0,Yunus Uludag,494.0,9.0,25.0,21.0,86.0,16.0,11.0,9.0,11.0,66.0,48.0,35.0,41.0,32.0,84.0
24.0,Dora Saylıkoğlu,496.0,61.0,54.0,26.0,54.0,16.0,11.0,9.0,11.0,63.0,48.0,32.0,73.0,24.0,14.0
25.0,Sarp Abaç,510.0,82.0,68.0,94.0,61.0,16.0,11.0,9.0,11.0,71.0,1.0,29.0,22.0,14.0,21.0
26.0,Ela Akar,519.0,25.0,23.0,5.0,12.0,16.0,11.0,9.0,11.0,41.0,48.0,35.0,102.0,97.0,84.0
27.0,Zeki Hotoğlu,537.0,88.0,64.0,70.0,86.0,16.0,11.0,9.0,11.0,36.0,5.0,13.0,37.0,62.0,29.0
28.0,Leo Bora Bozkir,557.0,51.0,30.0,152.0,86.0,16.0,11.0,9.0,11.0,12.0,48.0,35.0,43.0,43.0,10.0
29.0,Melih Kayra Kadıoğlu,574.0,99.0,53.0,82.0,44.0,16.0,11.0,9.0,11.0,54.0,48.0,35.0,78.0,10.0,24.0
29.0,Zeynep Sevde Kara,574.0,31.0,42.0,32.0,86.0,16.0,11.0,9.0,11.0,39.0,48.0,35.0,29.0,101.0,84.0
31.0,Can Ersoy,575.0,84.0,85.0,71.0,86.0,16.0,11.0,9.0,11.0,49.0,47.0,23.0,11.0,21.0,51.0
32.0,Muhammed Enes Ertaş,582.0,56.0,137.0,39.0,35.0,16.0,11.0,1.0,1.0,23.0,48.0,35.0,8.0,88.0,84.0
32.0,Ömer Faruk Bircan,582.0,16.0,4.0,33.0,21.0,16.0,11.0,9.0,11.0,6.0,48.0,7.0,158.0,158.0,84.0
34.0,Arif Zafer,599.0,38.0,34.0,152.0,16.0,16.0,3.0,9.0,11.0,53.0,48.0,35.0,36.0,64.0,84.0
34.0,Birkan Mayadağ,599.0,28.0,72.0,16.0,23.0,16.0,11.0,9.0,11.0,114.0,48.0,10.0,19.0,213.0,9.0
36.0,Alp Terliksiz,610.0,66.0,58.0,34.0,22.0,16.0,11.0,9.0,11.0,44.0,48.0,25.0,144.0,59.0,63.0
37.0,Ahmet Nadir Yücekaya,614.0,14.0,52.0,73.0,43.0,16.0,11.0,9.0,11.0,62.0,48.0,35.0,104.0,52.0,84.0
38.0,Buğra Tosun,632.0,81.0,101.0,72.0,34.0,16.0,11.0,9.0,11.0,20.0,25.0,20.0,70.0,147.0,15.0
39.0,Mete İsbir,656.0,24.0,7.0,76.0,86.0,16.0,11.0,9.0,11.0,68.0,48.0,35.0,43.0,138.0,84.0
40.0,Orkun Efe Dahar,658.0,69.0,36.0,108.0,86.0,16.0,11.0,9.0,11.0,79.0,32.0,35.0,69.0,13.0,84.0
40.0,Batu Zengel,658.0,76.0,63.0,25.0,86.0,16.0,11.0,9.0,11.0,47.0,48.0,27.0,90.0,77.0,72.0
42.0,Bedran Kandilli,662.0,37.0,62.0,51.0,80.0,16.0,11.0,9.0,11.0,51.0,48.0,35.0,63.0,146.0,42.0
43.0,Ali Atmali,680.0,195.0,35.0,91.0,38.0,14.0,8.0,9.0,11.0,86.0,48.0,11.0,5.0,58.0,71.0
44.0,Tekin Ali Hanönü,695.0,44.0,32.0,42.0,63.0,16.0,11.0,9.0,11.0,236.0,48.0,35.0,25.0,39.0,84.0
