Rank,name,Sum,333,222,444,555,333oh,minx,pyram,skewb
1.0,Khalid Alsuwaidi,17.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0
2.0,Mohammad Algargawi,22.0,3.0,1.0,5.0,2.0,5.0,2.0,1.0,3.0
3.0,Mohamed Rashid Alsuwaidi,25.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0
4.0,Nasir Ali Mohammed Dawood Abdalla,29.0,1.0,4.0,1.0,1.0,3.0,2.0,7.0,10.0
5.0,Ali Alshamsi,30.0,5.0,5.0,6.0,2.0,8.0,1.0,2.0,1.0
6.0,Abdulla Ibrahim Abdulla Al Hammadi,40.0,6.0,6.0,6.0,2.0,4.0,2.0,4.0,10.0
7.0,Sultan Abdulkarim Alzarooni,53.0,9.0,9.0,3.0,2.0,8.0,2.0,11.0,9.0
8.0,Saeed Hisham ALdah,54.0,11.0,11.0,6.0,2.0,6.0,2.0,6.0,10.0
9.0,Omar Khaled Alblooshi,56.0,13.0,7.0,6.0,2.0,8.0,2.0,13.0,5.0
10.0,Eisa Humaid,57.0,10.0,8.0,6.0,2.0,8.0,2.0,15.0,6.0
11.0,Humaid Alshamsi,59.0,12.0,10.0,6.0,2.0,8.0,2.0,9.0,10.0
11.0,Nayef Nawwaf Alhashmi,59.0,14.0,12.0,6.0,2.0,8.0,2.0,8.0,7.0
13.0,Abdulla Almarzooqi,69.0,15.0,16.0,6.0,2.0,8.0,2.0,10.0,10.0
14.0,James Mclean,72.0,16.0,13.0,6.0,2.0,8.0,2.0,15.0,10.0
15.0,Majid Alqassim,73.0,7.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
16.0,Shaiban Al Shaibani,74.0,8.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
16.0,Hamad Rafi,74.0,17.0,15.0,6.0,2.0,7.0,2.0,15.0,10.0
18.0,Saeed Alkaabi,80.0,20.0,17.0,6.0,2.0,8.0,2.0,15.0,10.0
18.0,Latefa Mashal Al Hammadi,80.0,19.0,21.0,6.0,2.0,8.0,2.0,12.0,10.0
20.0,Moritz Schoen,81.0,22.0,18.0,6.0,2.0,8.0,2.0,15.0,8.0
21.0,Salim Ahmed Alsharifi,84.0,18.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
21.0,Rashid Alqassem,84.0,27.0,14.0,6.0,2.0,8.0,2.0,15.0,10.0
23.0,Khalid Amir Ali AlGergawi,87.0,21.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
24.0,Muhammad Zaid Hashmi,88.0,23.0,23.0,6.0,2.0,8.0,2.0,14.0,10.0
25.0,Shayan Ahmed,90.0,28.0,19.0,6.0,2.0,8.0,2.0,15.0,10.0
25.0,Nasir Ahmed Salim Alsuwaidi,90.0,24.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
27.0,Aryan Raj,91.0,25.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
28.0,Saif Abdulla Almuhairi,92.0,26.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
29.0,Nathaneal Abraham Sajan,95.0,29.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
30.0,Laila Alseiari,96.0,30.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
31.0,Suhail Mashal AlHammadi,97.0,32.0,22.0,6.0,2.0,8.0,2.0,15.0,10.0
31.0,Faheema Kattakath Sanil,97.0,31.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
33.0,Mohammed Khalid,98.0,35.0,20.0,6.0,2.0,8.0,2.0,15.0,10.0
34.0,Ameer Muhammed,99.0,33.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
35.0,Suresh Narayanasamy,100.0,34.0,23.0,6.0,2.0,8.0,2.0,15.0,10.0
