Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Manuel Malvárez,44.0,3.0,3.0,3.0,4.0,2.0,3.0,6.0,2.0,1.0,5.0,4.0,3.0,2.0,3.0
2.0,Bruno Lezama,50.0,5.0,1.0,7.0,7.0,5.0,4.0,2.0,1.0,2.0,4.0,2.0,8.0,1.0,1.0
3.0,Víctor Gálvez,75.0,9.0,9.0,8.0,5.0,4.0,6.0,6.0,4.0,3.0,2.0,3.0,7.0,4.0,5.0
4.0,Agustín Diano,116.0,1.0,8.0,5.0,1.0,1.0,1.0,6.0,12.0,16.0,19.0,13.0,16.0,8.0,9.0
5.0,Francisco Alonso,117.0,14.0,16.0,2.0,3.0,6.0,7.0,6.0,7.0,11.0,15.0,9.0,6.0,5.0,10.0
6.0,Sebastiano Benato,121.0,11.0,14.0,10.0,12.0,9.0,9.0,6.0,2.0,17.0,6.0,11.0,1.0,9.0,4.0
7.0,Octavio Arocena,137.0,3.0,4.0,1.0,2.0,3.0,2.0,6.0,12.0,6.0,19.0,15.0,9.0,30.0,25.0
8.0,Brian Hambeck,138.0,7.0,11.0,13.0,11.0,16.0,14.0,6.0,12.0,8.0,14.0,1.0,2.0,12.0,11.0
9.0,Munemichi Suzuki,189.0,17.0,12.0,15.0,24.0,16.0,14.0,6.0,12.0,14.0,19.0,25.0,5.0,3.0,7.0
10.0,Christian Goñi,197.0,22.0,6.0,18.0,16.0,13.0,10.0,1.0,9.0,4.0,18.0,10.0,26.0,26.0,18.0
11.0,Diego Moraes,211.0,16.0,2.0,16.0,19.0,16.0,14.0,6.0,6.0,7.0,19.0,27.0,14.0,24.0,25.0
12.0,Mateo Rodríguez,232.0,10.0,22.0,11.0,8.0,7.0,5.0,6.0,8.0,13.0,19.0,23.0,21.0,54.0,25.0
13.0,Rodrigo Burone,249.0,2.0,38.0,6.0,10.0,16.0,14.0,6.0,12.0,5.0,19.0,27.0,15.0,54.0,25.0
14.0,Luca Fontana,269.0,21.0,34.0,22.0,37.0,16.0,14.0,6.0,12.0,21.0,11.0,5.0,11.0,39.0,20.0
15.0,Mateo de León,281.0,31.0,43.0,36.0,37.0,16.0,14.0,6.0,11.0,28.0,1.0,19.0,4.0,10.0,25.0
16.0,Thiago Rivas,284.0,12.0,5.0,60.0,37.0,16.0,14.0,6.0,12.0,9.0,19.0,27.0,30.0,21.0,16.0
17.0,Gennaro Monetti,290.0,29.0,25.0,34.0,37.0,16.0,14.0,6.0,12.0,43.0,16.0,20.0,19.0,6.0,13.0
18.0,Rodrigo Benitez,293.0,15.0,19.0,12.0,20.0,16.0,14.0,6.0,12.0,12.0,19.0,27.0,53.0,54.0,14.0
19.0,Franco Rivero,309.0,18.0,30.0,26.0,26.0,16.0,14.0,6.0,12.0,19.0,19.0,27.0,67.0,17.0,12.0
