Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Timur Mavlyanov,113.0,12.0,5.0,2.0,3.0,3.0,1.0,9.0,12.0,1.0,18.0,14.0,27.0,2.0,4.0
2.0,Igor Semyonov,124.0,4.0,9.0,3.0,4.0,5.0,6.0,9.0,12.0,6.0,29.0,3.0,18.0,9.0,7.0
3.0,Jasur Beknazov (Джасур Бекназов),138.0,27.0,19.0,7.0,6.0,4.0,5.0,9.0,7.0,16.0,15.0,8.0,4.0,1.0,10.0
4.0,Akmal Abduazizov,166.0,34.0,10.0,17.0,13.0,8.0,7.0,9.0,12.0,28.0,4.0,7.0,8.0,3.0,6.0
5.0,Feruz Gulomov,187.0,15.0,2.0,14.0,10.0,10.0,9.0,7.0,5.0,13.0,28.0,16.0,17.0,8.0,33.0
6.0,Oleg Ten (Олег Тен),203.0,10.0,13.0,20.0,23.0,14.0,10.0,9.0,12.0,17.0,9.0,24.0,10.0,7.0,25.0
7.0,Anvar Abdullaev,205.0,6.0,6.0,5.0,8.0,14.0,10.0,9.0,12.0,22.0,29.0,2.0,13.0,36.0,33.0
8.0,Sohiba Abdumalikova,208.0,20.0,3.0,18.0,17.0,14.0,10.0,9.0,8.0,25.0,17.0,19.0,9.0,6.0,33.0
9.0,Abror Abduazizov,210.0,22.0,8.0,26.0,29.0,14.0,10.0,9.0,3.0,11.0,10.0,10.0,11.0,27.0,20.0
10.0,Bekzodjon Yusupov,218.0,30.0,37.0,22.0,11.0,7.0,10.0,2.0,4.0,18.0,1.0,28.0,24.0,13.0,11.0
11.0,Tolibjon Tokhirov,223.0,36.0,12.0,11.0,19.0,14.0,10.0,9.0,12.0,46.0,5.0,11.0,7.0,4.0,27.0
12.0,Nurmuhammad Karimov,238.0,17.0,34.0,11.0,9.0,14.0,10.0,9.0,12.0,5.0,29.0,6.0,31.0,28.0,23.0
13.0,Shakhzod Takhirov,247.0,14.0,4.0,23.0,47.0,14.0,10.0,9.0,12.0,14.0,29.0,15.0,1.0,22.0,33.0
14.0,Davron Takhirov,250.0,5.0,18.0,9.0,5.0,9.0,10.0,4.0,12.0,24.0,29.0,4.0,6.0,112.0,3.0
15.0,Umidjon Zafarov (Умиджон Зафаров),252.0,1.0,1.0,1.0,47.0,14.0,10.0,9.0,2.0,2.0,29.0,1.0,2.0,112.0,21.0
16.0,Abdurauf Boymuminov,275.0,25.0,43.0,6.0,7.0,6.0,10.0,9.0,12.0,32.0,19.0,9.0,23.0,41.0,33.0
17.0,Dilshodbek Kholmurodov,291.0,32.0,15.0,35.0,33.0,14.0,10.0,9.0,12.0,27.0,29.0,58.0,5.0,10.0,2.0
18.0,Aziz Hojimatov,311.0,9.0,17.0,15.0,47.0,14.0,10.0,9.0,12.0,4.0,29.0,58.0,20.0,50.0,17.0
19.0,Muhammadyusuf Abdumalikov,334.0,24.0,7.0,42.0,45.0,14.0,10.0,9.0,12.0,21.0,24.0,46.0,15.0,32.0,33.0
20.0,Fayozbek Erkinov,344.0,45.0,48.0,32.0,22.0,14.0,10.0,9.0,12.0,51.0,27.0,12.0,14.0,15.0,33.0
21.0,Usmon Rustamov,381.0,44.0,36.0,10.0,47.0,14.0,10.0,9.0,12.0,71.0,29.0,29.0,32.0,5.0,33.0
22.0,Nurkhon Ugilbekov,383.0,29.0,78.0,8.0,2.0,2.0,3.0,9.0,12.0,30.0,29.0,17.0,19.0,112.0,33.0
