Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Tomáš Nguyen,99.0,7.0,2.0,7.0,7.0,12.0,13.0,12.0,1.0,9.0,7.0,4.0,1.0,2.0,15.0
2.0,Nguyễn Tuấn Công,278.0,29.0,29.0,8.0,9.0,9.0,9.0,12.0,2.0,4.0,42.0,27.0,23.0,68.0,7.0
3.0,Đặng Trần Diễn,280.0,16.0,26.0,5.0,27.0,16.0,19.0,12.0,2.0,39.0,42.0,17.0,14.0,27.0,18.0
4.0,Nguyễn Thành Đạt,320.0,49.0,44.0,35.0,18.0,8.0,7.0,12.0,2.0,19.0,3.0,18.0,28.0,3.0,74.0
5.0,Lê Hà Phong,351.0,9.0,9.0,28.0,24.0,35.0,29.0,12.0,2.0,1.0,42.0,15.0,49.0,22.0,74.0
6.0,Đỗ Quang Hưng,355.0,2.0,3.0,1.0,1.0,1.0,1.0,12.0,2.0,2.0,42.0,92.0,104.0,73.0,19.0
7.0,Nguyễn Ngọc Thịnh,377.0,10.0,39.0,4.0,5.0,10.0,11.0,12.0,2.0,32.0,18.0,7.0,11.0,143.0,73.0
8.0,Trần Ngọc Sơn,383.0,62.0,8.0,42.0,56.0,17.0,25.0,10.0,2.0,38.0,13.0,30.0,43.0,31.0,6.0
9.0,Nguyễn Khang Minh,469.0,13.0,6.0,10.0,28.0,104.0,69.0,12.0,2.0,21.0,42.0,92.0,21.0,15.0,34.0
10.0,Phạm Đức Phước,494.0,1.0,13.0,3.0,2.0,11.0,23.0,12.0,2.0,35.0,42.0,92.0,171.0,13.0,74.0
11.0,Mai Đức Hòa,518.0,67.0,14.0,65.0,99.0,104.0,69.0,12.0,2.0,50.0,1.0,20.0,8.0,4.0,3.0
12.0,Nguyễn Hoàng Quân,553.0,22.0,15.0,14.0,33.0,104.0,69.0,12.0,2.0,64.0,42.0,92.0,19.0,41.0,24.0
13.0,Trung Tran,564.0,26.0,37.0,49.0,62.0,104.0,69.0,12.0,2.0,80.0,42.0,43.0,16.0,6.0,16.0
14.0,Nguyễn Anh Khôi,584.0,5.0,10.0,47.0,46.0,104.0,69.0,12.0,2.0,17.0,42.0,92.0,27.0,37.0,74.0
15.0,Phan Trọng Nghĩa,623.0,23.0,99.0,31.0,21.0,21.0,10.0,7.0,2.0,33.0,42.0,46.0,168.0,81.0,39.0
16.0,Nông Quốc Duy,668.0,40.0,1.0,96.0,37.0,26.0,69.0,12.0,2.0,128.0,42.0,92.0,33.0,16.0,74.0
17.0,Trần Đình Anh,683.0,14.0,47.0,13.0,8.0,7.0,8.0,12.0,2.0,5.0,42.0,5.0,128.0,318.0,74.0
18.0,Dương Hữu Khang,762.0,129.0,7.0,79.0,131.0,86.0,69.0,8.0,2.0,126.0,17.0,65.0,20.0,19.0,4.0
18.0,Đoàn Anh Dũng,762.0,3.0,4.0,9.0,11.0,104.0,69.0,12.0,2.0,10.0,42.0,92.0,12.0,318.0,74.0
20.0,Nguyễn Trần Khánh Dương,770.0,148.0,22.0,61.0,43.0,104.0,69.0,12.0,2.0,138.0,42.0,49.0,32.0,38.0,10.0
21.0,Hoàng Hà Thủy Tiên,777.0,15.0,15.0,2.0,15.0,19.0,20.0,12.0,2.0,8.0,42.0,92.0,426.0,35.0,74.0
22.0,Nguyễn An Phong,797.0,38.0,77.0,22.0,4.0,3.0,2.0,12.0,2.0,67.0,42.0,66.0,70.0,318.0,74.0
23.0,Nguyễn Hoàng Hải,832.0,12.0,32.0,31.0,19.0,104.0,69.0,12.0,2.0,23.0,42.0,92.0,2.0,318.0,74.0
24.0,Lê Đại Vệ,851.0,142.0,205.0,39.0,42.0,20.0,12.0,12.0,2.0,99.0,42.0,54.0,31.0,77.0,74.0
25.0,Nguyễn Hồ Nam,860.0,103.0,19.0,19.0,13.0,6.0,5.0,12.0,2.0,66.0,42.0,24.0,426.0,49.0,74.0
26.0,Trần Đăng Quang,889.0,48.0,77.0,50.0,76.0,69.0,56.0,12.0,2.0,46.0,42.0,31.0,68.0,238.0,74.0
27.0,Nguyễn Hoàng Phúc Vinh,902.0,39.0,61.0,125.0,84.0,87.0,69.0,12.0,2.0,25.0,42.0,92.0,61.0,129.0,74.0
28.0,Đoàn Trường Sơn,914.0,209.0,12.0,163.0,133.0,104.0,69.0,12.0,2.0,90.0,42.0,21.0,37.0,8.0,12.0
29.0,Nguyễn Duy Sơn,945.0,205.0,15.0,122.0,73.0,104.0,69.0,12.0,2.0,169.0,42.0,92.0,18.0,9.0,13.0
30.0,Lê Mạnh Huy,950.0,71.0,32.0,74.0,283.0,104.0,69.0,12.0,2.0,83.0,42.0,92.0,5.0,7.0,74.0
31.0,Đỗ Văn Bằng,967.0,96.0,126.0,74.0,40.0,29.0,53.0,12.0,2.0,13.0,42.0,92.0,137.0,177.0,74.0
32.0,Ngô Việt Kiên,973.0,111.0,178.0,100.0,23.0,14.0,30.0,12.0,2.0,135.0,4.0,56.0,170.0,64.0,74.0
33.0,Trần Anh Quân,975.0,16.0,34.0,12.0,35.0,34.0,69.0,12.0,2.0,358.0,42.0,35.0,56.0,196.0,74.0
34.0,Nguyễn Huy Hoàng,986.0,144.0,20.0,98.0,114.0,64.0,55.0,12.0,2.0,6.0,42.0,68.0,276.0,11.0,74.0
35.0,Nguyễn Hữu Thông,1037.0,60.0,107.0,24.0,20.0,104.0,69.0,12.0,2.0,18.0,42.0,92.0,95.0,318.0,74.0
36.0,Nguyễn Xuân Đức,1103.0,50.0,89.0,29.0,34.0,28.0,36.0,12.0,2.0,73.0,42.0,92.0,227.0,315.0,74.0
37.0,Quan Trần Thanh Lương,1117.0,57.0,169.0,11.0,6.0,5.0,6.0,12.0,2.0,383.0,36.0,48.0,326.0,33.0,23.0
38.0,Khôi Minh Nguyễn,1143.0,20.0,5.0,131.0,283.0,104.0,69.0,12.0,2.0,43.0,42.0,23.0,17.0,318.0,74.0
39.0,Nguyễn Ngọc Huyền Anh,1157.0,21.0,30.0,30.0,81.0,104.0,69.0,12.0,2.0,95.0,42.0,92.0,187.0,318.0,74.0
40.0,Huỳnh Phong Nam,1167.0,294.0,59.0,81.0,101.0,71.0,69.0,12.0,2.0,210.0,42.0,6.0,94.0,79.0,47.0
41.0,Đỗ Duy Dương,1173.0,281.0,220.0,58.0,50.0,30.0,26.0,12.0,2.0,150.0,42.0,92.0,124.0,12.0,74.0
42.0,Võ Nguyên Phát,1183.0,34.0,42.0,48.0,283.0,104.0,69.0,12.0,2.0,29.0,42.0,92.0,34.0,318.0,74.0
43.0,Nguyễn Đỗ Hoàng Giang,1204.0,32.0,147.0,56.0,48.0,31.0,42.0,12.0,2.0,85.0,42.0,92.0,426.0,140.0,49.0
44.0,Nguyễn Phúc Thịnh,1212.0,278.0,80.0,71.0,53.0,23.0,15.0,12.0,2.0,338.0,42.0,74.0,35.0,152.0,37.0
45.0,Trần Thanh Phong,1216.0,63.0,53.0,16.0,16.0,22.0,28.0,12.0,2.0,52.0,42.0,92.0,426.0,318.0,74.0
46.0,Võ Đăng Quang Kiệt,1219.0,99.0,130.0,18.0,30.0,104.0,69.0,12.0,2.0,58.0,42.0,92.0,426.0,63.0,74.0
47.0,Alex Pham,1227.0,113.0,77.0,105.0,137.0,66.0,58.0,12.0,2.0,156.0,11.0,47.0,51.0,318.0,74.0
48.0,Phạm Nguyễn Hoàng Duy,1233.0,84.0,211.0,27.0,22.0,13.0,31.0,12.0,2.0,11.0,42.0,92.0,294.0,318.0,74.0
49.0,Trần Hoàng Bảo Nam,1235.0,11.0,80.0,50.0,283.0,104.0,69.0,12.0,2.0,242.0,42.0,92.0,54.0,120.0,74.0
50.0,Nguyễn Ngọc Lê Hoàng,1250.0,89.0,94.0,87.0,71.0,104.0,69.0,12.0,2.0,63.0,42.0,92.0,426.0,25.0,74.0
51.0,Nguyễn Thành Tài,1265.0,223.0,98.0,63.0,88.0,39.0,27.0,12.0,2.0,217.0,42.0,64.0,175.0,141.0,74.0
52.0,Nguyễn Tài Đức,1272.0,185.0,43.0,158.0,118.0,104.0,69.0,12.0,2.0,61.0,42.0,86.0,85.0,233.0,74.0
