Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Ruben Grobler,South Africa,62.0,5.0,1.0,3.0,3.0,4.0,4.0,6.0,2.0,4.0,12.0,5.0,2.0,3.0,5.0,3.0
2.0,Ryan Pin Harry,Mauritius,99.0,23.0,9.0,0.0,0.0,10.0,7.0,17.0,0.0,14.0,2.0,0.0,0.0,14.0,0.0,3.0
3.0,Moez Boussarsar,Tunisia,163.0,18.0,2.0,10.0,9.0,11.0,10.0,12.0,24.0,7.0,27.0,15.0,3.0,5.0,7.0,3.0
4.0,Daniel Rush,South Africa,167.0,1.0,3.0,1.0,1.0,1.0,1.0,17.0,24.0,16.0,19.0,4.0,23.0,49.0,4.0,3.0
5.0,Osman Badroodin,South Africa,170.0,10.0,15.0,4.0,4.0,5.0,5.0,17.0,3.0,5.0,36.0,9.0,33.0,19.0,2.0,3.0
6.0,Ayooluwa Samuel Dada,Nigeria,193.0,14.0,48.0,5.0,2.0,2.0,2.0,17.0,24.0,12.0,7.0,2.0,24.0,12.0,19.0,3.0
7.0,Samuel Collett,South Africa,218.0,26.0,8.0,21.0,8.0,7.0,14.0,17.0,24.0,27.0,3.0,16.0,20.0,14.0,10.0,3.0
8.0,Maverick Pearson,South Africa,232.0,30.0,18.0,12.0,14.0,14.0,6.0,8.0,7.0,17.0,30.0,10.0,11.0,25.0,27.0,3.0
9.0,Heinrich de Lange,South Africa,237.0,28.0,30.0,22.0,17.0,15.0,16.0,17.0,4.0,18.0,16.0,1.0,21.0,14.0,15.0,3.0
10.0,Rafik Eskandar,Egypt,239.0,20.0,12.0,11.0,5.0,6.0,8.0,17.0,24.0,64.0,1.0,11.0,26.0,30.0,1.0,3.0
11.0,Dylan Swarts,South Africa,249.0,24.0,13.0,14.0,11.0,9.0,9.0,1.0,24.0,41.0,22.0,12.0,27.0,30.0,11.0,1.0
12.0,Hassen Kallala,Tunisia,273.0,12.0,7.0,7.0,13.0,36.0,40.0,17.0,24.0,19.0,53.0,6.0,32.0,1.0,3.0,3.0
13.0,Conor Cronin,South Africa,285.0,85.0,28.0,26.0,10.0,12.0,13.0,7.0,5.0,36.0,5.0,24.0,13.0,9.0,9.0,3.0
14.0,Cameron Blumenow,South Africa,298.0,13.0,5.0,9.0,15.0,34.0,37.0,17.0,24.0,3.0,53.0,37.0,9.0,27.0,12.0,3.0
15.0,Joshua Christian Marais,South Africa,365.0,16.0,39.0,32.0,31.0,32.0,40.0,17.0,6.0,1.0,8.0,8.0,90.0,22.0,20.0,3.0
16.0,Waseem Hoosain,South Africa,366.0,4.0,25.0,2.0,7.0,8.0,40.0,17.0,24.0,2.0,53.0,7.0,48.0,70.0,56.0,3.0
17.0,Jesse Osburn,South Africa,395.0,41.0,14.0,33.0,27.0,28.0,24.0,17.0,24.0,92.0,10.0,19.0,13.0,33.0,17.0,3.0
18.0,Calum Visagie,South Africa,458.0,42.0,28.0,31.0,36.0,29.0,25.0,17.0,9.0,35.0,53.0,69.0,43.0,17.0,21.0,3.0
19.0,Ali Antar,Egypt,510.0,120.0,44.0,65.0,24.0,16.0,40.0,17.0,24.0,100.0,6.0,13.0,7.0,8.0,23.0,3.0
20.0,Andreas de Lange,South Africa,512.0,52.0,20.0,39.0,43.0,38.0,40.0,17.0,24.0,39.0,31.0,56.0,62.0,42.0,6.0,3.0
21.0,Omar Ziad,Egypt,526.0,75.0,38.0,30.0,39.0,30.0,20.0,17.0,24.0,62.0,17.0,43.0,28.0,56.0,44.0,3.0
22.0,Marike Faught,South Africa,543.0,56.0,86.0,15.0,12.0,13.0,15.0,4.0,14.0,47.0,53.0,21.0,87.0,68.0,49.0,3.0
23.0,Shivaan Harichander,South Africa,560.0,2.0,6.0,19.0,158.0,57.0,40.0,17.0,24.0,6.0,53.0,40.0,39.0,88.0,8.0,3.0
24.0,Pieterjan Joubert,South Africa,623.0,124.0,55.0,49.0,30.0,19.0,12.0,17.0,24.0,79.0,53.0,14.0,25.0,72.0,47.0,3.0
25.0,Lonwabo Mvovo,South Africa,648.0,55.0,31.0,104.0,50.0,57.0,40.0,17.0,24.0,22.0,53.0,23.0,30.0,50.0,89.0,3.0
26.0,Jesse Tipton,South Africa,698.0,175.0,71.0,85.0,69.0,37.0,29.0,17.0,13.0,77.0,14.0,27.0,41.0,6.0,34.0,3.0
27.0,Markus Visagie,South Africa,706.0,90.0,72.0,78.0,38.0,20.0,19.0,17.0,24.0,95.0,29.0,25.0,89.0,66.0,41.0,3.0
28.0,Zandré Calitz,South Africa,754.0,45.0,37.0,75.0,61.0,57.0,40.0,17.0,24.0,219.0,24.0,32.0,16.0,38.0,66.0,3.0
29.0,Emna Boughizane,Tunisia,769.0,11.0,45.0,60.0,60.0,57.0,40.0,17.0,24.0,11.0,53.0,3.0,211.0,148.0,26.0,3.0
30.0,Mohamed Elkhatri,Morocco,770.0,3.0,34.0,6.0,16.0,57.0,40.0,17.0,24.0,8.0,53.0,31.0,75.0,314.0,89.0,3.0
31.0,Pranav Ramraj,South Africa,773.0,67.0,62.0,69.0,40.0,57.0,40.0,17.0,24.0,53.0,53.0,85.0,85.0,29.0,89.0,3.0
32.0,Ian Luies,South Africa,780.0,113.0,62.0,51.0,28.0,18.0,17.0,17.0,24.0,81.0,28.0,61.0,125.0,83.0,69.0,3.0
33.0,Joshua T. Makuwa,Zimbabwe,783.0,104.0,84.0,28.0,19.0,22.0,40.0,17.0,24.0,49.0,53.0,36.0,195.0,20.0,89.0,3.0
33.0,Taariq Hassim,South Africa,783.0,158.0,50.0,29.0,34.0,27.0,27.0,10.0,24.0,140.0,23.0,71.0,40.0,109.0,38.0,3.0
35.0,Isaac Scheepers,South Africa,805.0,7.0,26.0,23.0,32.0,57.0,40.0,17.0,24.0,66.0,35.0,22.0,108.0,314.0,31.0,3.0
36.0,Emile Compion,South Africa,815.0,128.0,66.0,54.0,20.0,24.0,22.0,9.0,10.0,85.0,26.0,54.0,188.0,108.0,18.0,3.0
37.0,Shane Swanepoel,South Africa,833.0,94.0,47.0,56.0,68.0,39.0,36.0,17.0,19.0,75.0,49.0,128.0,54.0,59.0,89.0,3.0
38.0,Patrick Ellis,South Africa,836.0,60.0,59.0,16.0,29.0,23.0,18.0,17.0,16.0,9.0,53.0,58.0,72.0,314.0,89.0,3.0
39.0,Christian Lacle,Togo,850.0,68.0,74.0,34.0,21.0,33.0,31.0,17.0,24.0,50.0,53.0,136.0,150.0,86.0,70.0,3.0
40.0,Achraf Chaouch,Tunisia,856.0,154.0,11.0,111.0,25.0,35.0,40.0,17.0,24.0,55.0,53.0,64.0,154.0,21.0,89.0,3.0
41.0,Quinton Scholtz,South Africa,904.0,96.0,31.0,72.0,97.0,57.0,40.0,17.0,24.0,187.0,20.0,81.0,50.0,77.0,52.0,3.0
42.0,Christian Swartz,South Africa,926.0,108.0,33.0,89.0,103.0,57.0,40.0,17.0,24.0,54.0,53.0,168.0,55.0,33.0,89.0,3.0
43.0,Brendan James Gray,South Africa,928.0,202.0,174.0,115.0,95.0,40.0,34.0,17.0,7.0,57.0,15.0,66.0,58.0,13.0,32.0,3.0
44.0,Mohamed Ben Driss Chokri,Morocco,935.0,97.0,49.0,129.0,87.0,57.0,40.0,17.0,24.0,46.0,53.0,168.0,74.0,2.0,89.0,3.0
45.0,Riley Naidoo,South Africa,970.0,141.0,66.0,124.0,46.0,42.0,30.0,17.0,24.0,148.0,47.0,79.0,93.0,57.0,53.0,3.0
46.0,Justin Zhang,South Africa,972.0,33.0,143.0,45.0,59.0,45.0,32.0,17.0,24.0,110.0,50.0,82.0,71.0,169.0,89.0,3.0
47.0,Arinze Owoh,Nigeria,984.0,146.0,75.0,46.0,66.0,57.0,40.0,17.0,24.0,71.0,53.0,72.0,177.0,48.0,89.0,3.0
48.0,Jaron Weyermüller,South Africa,985.0,84.0,101.0,52.0,57.0,57.0,40.0,17.0,24.0,89.0,53.0,45.0,203.0,98.0,62.0,3.0
49.0,Andre Johannes Goosen,South Africa,1020.0,199.0,124.0,94.0,158.0,57.0,40.0,17.0,24.0,122.0,13.0,60.0,6.0,40.0,63.0,3.0
50.0,Zander Daniel Wessels,South Africa,1031.0,280.0,115.0,119.0,70.0,57.0,33.0,17.0,24.0,177.0,9.0,53.0,22.0,23.0,29.0,3.0
51.0,David Okoro-Sokoh,Nigeria,1049.0,49.0,51.0,35.0,48.0,57.0,40.0,17.0,24.0,40.0,53.0,84.0,145.0,314.0,89.0,3.0
52.0,Charlie Cleworth,South Africa,1050.0,39.0,19.0,195.0,158.0,57.0,40.0,17.0,24.0,131.0,53.0,168.0,66.0,43.0,37.0,3.0
53.0,Jaco Momberg,South Africa,1052.0,114.0,92.0,142.0,55.0,57.0,23.0,17.0,20.0,112.0,53.0,76.0,192.0,37.0,59.0,3.0
54.0,Youssef Kallala,Tunisia,1057.0,61.0,97.0,155.0,158.0,57.0,40.0,17.0,24.0,24.0,53.0,168.0,76.0,35.0,89.0,3.0
55.0,Jaméan Groenewald,South Africa,1060.0,78.0,103.0,55.0,22.0,17.0,40.0,17.0,24.0,234.0,53.0,124.0,156.0,121.0,13.0,3.0
55.0,Jonathan Munro,South Africa,1060.0,29.0,24.0,41.0,52.0,57.0,40.0,17.0,24.0,56.0,53.0,168.0,220.0,187.0,89.0,3.0
57.0,Emmanuel Hawkins,Nigeria,1088.0,36.0,146.0,40.0,158.0,57.0,40.0,17.0,24.0,32.0,53.0,168.0,35.0,190.0,89.0,3.0
58.0,Anass Doublal,Morocco,1089.0,154.0,116.0,97.0,93.0,57.0,40.0,17.0,15.0,103.0,53.0,168.0,38.0,46.0,89.0,3.0
59.0,Amine Chouchane,Tunisia,1124.0,63.0,174.0,90.0,82.0,57.0,40.0,17.0,24.0,83.0,53.0,74.0,123.0,152.0,89.0,3.0
60.0,Timothy Lawrance,South Africa,1130.0,357.0,90.0,117.0,65.0,31.0,28.0,5.0,1.0,288.0,18.0,63.0,15.0,36.0,14.0,2.0
61.0,Thomas Lourens,South Africa,1132.0,241.0,95.0,149.0,100.0,57.0,40.0,17.0,24.0,183.0,53.0,44.0,34.0,46.0,46.0,3.0
62.0,Jan-Hendrik Hoogendyk,South Africa,1136.0,40.0,4.0,59.0,158.0,57.0,40.0,17.0,24.0,102.0,53.0,168.0,46.0,314.0,51.0,3.0
63.0,Mohannad Mahmoud Fathy,Egypt,1150.0,27.0,124.0,18.0,56.0,57.0,40.0,17.0,24.0,97.0,53.0,168.0,95.0,314.0,57.0,3.0
64.0,Damian Peter Shaw,Zimbabwe,1162.0,54.0,78.0,93.0,131.0,57.0,40.0,17.0,18.0,162.0,53.0,111.0,56.0,200.0,89.0,3.0
65.0,Christiaan Botha,South Africa,1166.0,115.0,61.0,138.0,80.0,57.0,40.0,17.0,24.0,80.0,53.0,65.0,30.0,314.0,89.0,3.0
66.0,Micah Willenburgh,South Africa,1172.0,287.0,42.0,176.0,158.0,57.0,40.0,17.0,24.0,188.0,53.0,39.0,44.0,28.0,16.0,3.0
67.0,Anas Meziani,Morocco,1187.0,81.0,139.0,25.0,23.0,57.0,40.0,17.0,24.0,21.0,53.0,33.0,346.0,252.0,73.0,3.0
68.0,Tristan Ford,South Africa,1193.0,127.0,256.0,141.0,88.0,57.0,40.0,17.0,24.0,153.0,11.0,28.0,219.0,7.0,22.0,3.0
69.0,Noah Levin,South Africa,1195.0,311.0,101.0,81.0,158.0,57.0,40.0,17.0,24.0,101.0,53.0,98.0,63.0,55.0,33.0,3.0
70.0,Adejuwon Adebusuyi Oluwemimo,Nigeria,1233.0,119.0,166.0,44.0,35.0,57.0,40.0,17.0,24.0,461.0,53.0,17.0,84.0,24.0,89.0,3.0
71.0,Victor Ebubechukwu Tobechukwu Asiwe,Nigeria,1240.0,151.0,21.0,62.0,102.0,57.0,40.0,17.0,24.0,30.0,53.0,168.0,109.0,314.0,89.0,3.0
72.0,Chase Lee Roodt,South Africa,1244.0,322.0,68.0,180.0,108.0,57.0,40.0,17.0,24.0,239.0,32.0,35.0,4.0,26.0,89.0,3.0
73.0,Aditya Ramessur,Mauritius,1257.0,146.0,298.0,101.0,79.0,57.0,40.0,17.0,24.0,105.0,53.0,30.0,121.0,94.0,89.0,3.0
74.0,Rayan Kerkeni,Tunisia,1266.0,217.0,36.0,245.0,158.0,57.0,40.0,17.0,24.0,119.0,53.0,135.0,29.0,44.0,89.0,3.0
75.0,Sadiq Ahmed,Nigeria,1268.0,35.0,107.0,48.0,33.0,25.0,40.0,17.0,24.0,10.0,53.0,168.0,444.0,172.0,89.0,3.0
76.0,Aziz Boussarsar,Tunisia,1273.0,363.0,160.0,186.0,85.0,46.0,40.0,17.0,24.0,229.0,38.0,26.0,17.0,4.0,35.0,3.0
77.0,Akin Falase,Nigeria,1300.0,277.0,106.0,50.0,158.0,57.0,40.0,17.0,24.0,96.0,53.0,73.0,161.0,96.0,89.0,3.0
78.0,Raefe Roodt,South Africa,1303.0,131.0,56.0,106.0,94.0,57.0,40.0,17.0,24.0,217.0,53.0,94.0,238.0,130.0,43.0,3.0
79.0,Stephen Cotterrell,South Africa,1319.0,59.0,100.0,57.0,76.0,57.0,40.0,17.0,24.0,93.0,53.0,88.0,249.0,314.0,89.0,3.0
80.0,Fares Arshad Hussain Shah,Egypt,1330.0,21.0,17.0,385.0,158.0,57.0,40.0,17.0,24.0,67.0,53.0,168.0,186.0,45.0,89.0,3.0
81.0,Tarek Bazizi,Algeria,1335.0,123.0,178.0,70.0,91.0,57.0,40.0,17.0,24.0,114.0,53.0,92.0,73.0,314.0,86.0,3.0
82.0,Kamaru-Deen Lawal,Nigeria,1336.0,37.0,26.0,38.0,158.0,57.0,40.0,17.0,24.0,61.0,53.0,168.0,251.0,314.0,89.0,3.0
83.0,Badr Ait Belaid,Morocco,1341.0,9.0,41.0,385.0,158.0,57.0,40.0,3.0,12.0,73.0,53.0,168.0,1.0,314.0,24.0,3.0
84.0,Ekhard Rabie,South Africa,1342.0,142.0,22.0,263.0,109.0,57.0,40.0,17.0,24.0,99.0,53.0,108.0,52.0,264.0,89.0,3.0
85.0,Duan Myburgh,South Africa,1344.0,134.0,139.0,87.0,53.0,57.0,40.0,17.0,24.0,138.0,53.0,50.0,355.0,105.0,89.0,3.0
