Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Theo Goluboff,Argentina,128.0,4.0,1.0,1.0,3.0,2.0,2.0,20.0,24.0,2.0,2.0,8.0,12.0,18.0,12.0,11.0,6.0
2.0,Gael Augusto Lapeyre,Argentina,146.0,5.0,6.0,13.0,7.0,6.0,12.0,27.0,12.0,7.0,1.0,12.0,1.0,13.0,7.0,11.0,6.0
3.0,Vicenzo Guerino Cecchini,Brazil,160.0,3.0,5.0,2.0,6.0,8.0,11.0,33.0,9.0,6.0,25.0,19.0,7.0,8.0,1.0,11.0,6.0
4.0,Francisco Moraes Mandalozzo,Brazil,164.0,7.0,2.0,3.0,1.0,3.0,8.0,18.0,50.0,9.0,7.0,5.0,10.0,12.0,18.0,6.0,5.0
5.0,Felipe Medel,Chile,479.0,9.0,20.0,5.0,15.0,13.0,22.0,85.0,38.0,37.0,48.0,39.0,67.0,50.0,14.0,11.0,6.0
6.0,Pedro Giuseppe Garcia Milla,Peru,621.0,52.0,81.0,48.0,27.0,27.0,16.0,72.0,63.0,32.0,66.0,32.0,11.0,33.0,44.0,11.0,6.0
7.0,Bautista Bonazzola,Argentina,651.0,2.0,10.0,8.0,2.0,4.0,4.0,184.0,50.0,4.0,104.0,64.0,138.0,25.0,35.0,11.0,6.0
8.0,Enzo Mattos,Brazil,709.0,33.0,15.0,74.0,34.0,45.0,51.0,51.0,14.0,38.0,80.0,68.0,103.0,46.0,40.0,11.0,6.0
9.0,Frederico Canal Gomes,Brazil,711.0,22.0,9.0,19.0,17.0,34.0,48.0,59.0,56.0,34.0,71.0,126.0,83.0,90.0,26.0,11.0,6.0
10.0,Manuel Gutman,Argentina,802.0,12.0,138.0,9.0,26.0,33.0,41.0,2.0,73.0,89.0,58.0,9.0,121.0,155.0,34.0,1.0,1.0
11.0,Ronald Fernando Remuzgo Salazar,Peru,806.0,76.0,25.0,17.0,21.0,52.0,44.0,184.0,38.0,70.0,89.0,34.0,45.0,52.0,42.0,11.0,6.0
12.0,Federico da Fonseca,Argentina,848.0,111.0,50.0,68.0,28.0,23.0,26.0,184.0,77.0,111.0,79.0,14.0,37.0,3.0,20.0,11.0,6.0
13.0,Caio Hideaki Sato,Brazil,957.0,1.0,16.0,4.0,14.0,18.0,92.0,184.0,263.0,3.0,17.0,10.0,23.0,6.0,289.0,11.0,6.0
14.0,Hector David Martinez Argaez,Colombia,987.0,40.0,73.0,40.0,40.0,31.0,33.0,184.0,29.0,103.0,97.0,92.0,123.0,82.0,3.0,11.0,6.0
15.0,Guido Dipietro,Argentina,1018.0,80.0,51.0,38.0,45.0,54.0,73.0,3.0,1.0,115.0,70.0,25.0,163.0,181.0,111.0,2.0,6.0
16.0,Francisco Hamlin,Argentina,1037.0,51.0,7.0,72.0,67.0,55.0,57.0,146.0,19.0,12.0,109.0,75.0,101.0,218.0,31.0,11.0,6.0
17.0,Jose Carlos García Vélez,Colombia,1061.0,72.0,94.0,21.0,13.0,10.0,17.0,184.0,108.0,79.0,102.0,31.0,159.0,133.0,21.0,11.0,6.0
18.0,Bruno Lezama,Uruguay,1088.0,87.0,46.0,112.0,196.0,124.0,108.0,37.0,24.0,41.0,52.0,35.0,177.0,7.0,25.0,11.0,6.0
19.0,Tiago Akihiro Fujita,Brazil,1120.0,44.0,3.0,39.0,56.0,24.0,72.0,184.0,263.0,59.0,20.0,115.0,38.0,140.0,46.0,11.0,6.0
20.0,Manuel Malvárez,Uruguay,1137.0,59.0,111.0,64.0,87.0,59.0,80.0,184.0,135.0,20.0,54.0,96.0,51.0,48.0,72.0,11.0,6.0
21.0,Michael Andres Castillo Lemus,Colombia,1202.0,21.0,123.0,7.0,19.0,25.0,36.0,184.0,63.0,50.0,282.0,27.0,140.0,106.0,102.0,11.0,6.0
22.0,José Leonardo Chaparro Prieto,Colombia,1216.0,66.0,44.0,87.0,121.0,83.0,77.0,58.0,24.0,122.0,143.0,26.0,123.0,127.0,98.0,11.0,6.0
23.0,Jose Basaes,Chile,1304.0,50.0,12.0,33.0,47.0,114.0,125.0,184.0,263.0,48.0,141.0,87.0,93.0,49.0,41.0,11.0,6.0
24.0,Ana Beatriz M. Tannenbaum,Brazil,1366.0,24.0,53.0,33.0,58.0,73.0,87.0,184.0,263.0,136.0,30.0,238.0,8.0,96.0,66.0,11.0,6.0
25.0,Matías Ponte,Argentina,1378.0,87.0,25.0,51.0,57.0,68.0,58.0,184.0,32.0,163.0,94.0,49.0,143.0,233.0,117.0,11.0,6.0
26.0,Oscar Nieto,Colombia,1428.0,134.0,38.0,113.0,89.0,50.0,30.0,52.0,69.0,141.0,225.0,100.0,154.0,31.0,185.0,11.0,6.0
27.0,Pedro Alejandro Condo Tellez,Peru,1505.0,34.0,262.0,10.0,4.0,5.0,3.0,184.0,263.0,10.0,231.0,181.0,113.0,70.0,118.0,11.0,6.0
28.0,Damián Campos,Argentina,1533.0,116.0,266.0,99.0,101.0,47.0,43.0,184.0,129.0,19.0,201.0,7.0,106.0,104.0,94.0,11.0,6.0
29.0,Lucas Ichiro Yunomae,Brazil,1573.0,86.0,220.0,37.0,12.0,15.0,23.0,145.0,83.0,46.0,136.0,59.0,190.0,381.0,123.0,11.0,6.0
30.0,Gabriel Santiago Velez Gonzalez,Colombia,1580.0,34.0,211.0,14.0,5.0,1.0,1.0,184.0,31.0,31.0,169.0,22.0,377.0,306.0,177.0,11.0,6.0
31.0,João Vinícius de A. Santos,Brazil,1583.0,215.0,154.0,169.0,85.0,50.0,52.0,137.0,18.0,229.0,62.0,195.0,88.0,30.0,82.0,11.0,6.0
32.0,Genaro Sahib Leguizamon,Argentina,1609.0,142.0,64.0,134.0,98.0,42.0,31.0,184.0,263.0,110.0,243.0,95.0,67.0,38.0,81.0,11.0,6.0
33.0,Marcos Masini,Argentina,1625.0,100.0,24.0,84.0,143.0,290.0,208.0,136.0,263.0,44.0,131.0,69.0,43.0,23.0,50.0,11.0,6.0
34.0,Thiago Han,Brazil,1642.0,213.0,54.0,161.0,103.0,91.0,81.0,7.0,263.0,392.0,37.0,71.0,48.0,88.0,22.0,5.0,6.0
35.0,Nicolás Irenco Peña Henríquez,Chile,1685.0,14.0,46.0,23.0,53.0,87.0,378.0,184.0,263.0,28.0,250.0,86.0,157.0,62.0,37.0,11.0,6.0
36.0,Piero Alessandro Laguna Obregon,Peru,1728.0,87.0,166.0,61.0,43.0,62.0,89.0,184.0,99.0,294.0,148.0,84.0,79.0,42.0,273.0,11.0,6.0
37.0,Gerson Marcelo Nuñez Huanuiri,Peru,1734.0,113.0,99.0,15.0,11.0,7.0,7.0,184.0,263.0,27.0,261.0,73.0,223.0,105.0,329.0,11.0,6.0
38.0,Maximiliano Perez Madrid,Chile,1759.0,126.0,214.0,44.0,36.0,66.0,143.0,184.0,263.0,139.0,156.0,189.0,13.0,74.0,95.0,11.0,6.0
39.0,Julian Alejandro Forero Gonzalez,Colombia,1810.0,389.0,33.0,109.0,78.0,48.0,21.0,26.0,123.0,362.0,69.0,127.0,168.0,71.0,180.0,4.0,2.0
40.0,Elias Alonso Usaqui Cabezas,Peru,1867.0,220.0,315.0,53.0,49.0,63.0,49.0,184.0,263.0,191.0,82.0,20.0,147.0,160.0,54.0,11.0,6.0
41.0,Giordano Limber Aguilar Allcca,Peru,1871.0,245.0,143.0,101.0,92.0,65.0,38.0,184.0,126.0,164.0,43.0,232.0,92.0,169.0,160.0,11.0,6.0
42.0,Josias Milan Sirpa Pinto,Bolivia,1905.0,70.0,329.0,41.0,9.0,9.0,20.0,184.0,153.0,49.0,106.0,123.0,377.0,19.0,399.0,11.0,6.0
43.0,Antonio Gabriel Freitas da Silva,Brazil,1921.0,18.0,38.0,49.0,93.0,292.0,378.0,184.0,115.0,55.0,292.0,298.0,50.0,26.0,16.0,11.0,6.0
44.0,Gabriel Lincon Souza,Brazil,1925.0,318.0,117.0,166.0,162.0,140.0,190.0,157.0,29.0,61.0,27.0,245.0,265.0,21.0,10.0,11.0,6.0
45.0,Leon Achata,Peru,1947.0,121.0,34.0,161.0,112.0,154.0,202.0,132.0,56.0,144.0,167.0,36.0,181.0,289.0,141.0,11.0,6.0
46.0,Caique Crispim de Lima,Brazil,1984.0,65.0,8.0,83.0,209.0,122.0,378.0,184.0,263.0,42.0,26.0,215.0,53.0,313.0,6.0,11.0,6.0
47.0,Víctor Gálvez,Uruguay,1994.0,201.0,396.0,152.0,94.0,116.0,163.0,184.0,140.0,117.0,23.0,60.0,146.0,73.0,112.0,11.0,6.0
48.0,Ricardo Zapata Cruz,Venezuela,2003.0,256.0,166.0,102.0,183.0,134.0,120.0,63.0,263.0,135.0,99.0,183.0,194.0,41.0,47.0,11.0,6.0
49.0,Stiven Ortiz,Colombia,2036.0,157.0,185.0,104.0,120.0,147.0,154.0,184.0,263.0,236.0,86.0,48.0,134.0,109.0,92.0,11.0,6.0
50.0,Daniel Cano Salgado,Colombia,2046.0,180.0,163.0,119.0,99.0,94.0,75.0,98.0,77.0,89.0,41.0,167.0,314.0,334.0,179.0,11.0,6.0
51.0,Carlos Sullca Mejía,Peru,2137.0,72.0,56.0,91.0,108.0,159.0,97.0,184.0,263.0,133.0,358.0,109.0,171.0,65.0,254.0,11.0,6.0
52.0,Angel Jesus Panebra Rodriguez,Peru,2175.0,148.0,85.0,59.0,31.0,111.0,106.0,184.0,263.0,57.0,154.0,125.0,390.0,44.0,401.0,11.0,6.0
53.0,Felipe Cardim,Brazil,2180.0,279.0,190.0,122.0,144.0,245.0,374.0,184.0,44.0,184.0,44.0,220.0,35.0,68.0,30.0,11.0,6.0
54.0,Freddy Fernández Córdova,Peru,2247.0,261.0,42.0,139.0,190.0,206.0,183.0,106.0,263.0,246.0,194.0,162.0,13.0,140.0,85.0,11.0,6.0
55.0,Bernardo Torres,Venezuela,2316.0,15.0,173.0,35.0,32.0,179.0,142.0,184.0,263.0,69.0,190.0,54.0,155.0,552.0,256.0,11.0,6.0
56.0,Sergio Minaya Pimentel,Peru,2339.0,83.0,41.0,114.0,95.0,115.0,137.0,184.0,129.0,165.0,354.0,128.0,83.0,238.0,456.0,11.0,6.0
57.0,Agustín Bernasconi,Argentina,2371.0,107.0,136.0,97.0,106.0,78.0,71.0,184.0,123.0,64.0,437.0,150.0,506.0,238.0,57.0,11.0,6.0
58.0,Alejandro Restrepo Echeverri,Colombia,2408.0,205.0,211.0,159.0,182.0,97.0,378.0,184.0,263.0,376.0,51.0,81.0,74.0,2.0,128.0,11.0,6.0
59.0,Rodrigo Ugarte,Bolivia,2409.0,312.0,578.0,89.0,76.0,38.0,32.0,184.0,24.0,180.0,165.0,143.0,59.0,324.0,188.0,11.0,6.0
60.0,Pedro Paulo Lima Sasaki,Brazil,2424.0,299.0,275.0,90.0,25.0,20.0,14.0,184.0,263.0,354.0,73.0,310.0,184.0,220.0,96.0,11.0,6.0
61.0,Rodrigo Paz Vaca,Bolivia,2444.0,11.0,58.0,70.0,58.0,248.0,378.0,99.0,135.0,16.0,592.0,50.0,115.0,338.0,259.0,11.0,6.0
62.0,Gabriel Bergue,Brazil,2449.0,139.0,294.0,238.0,201.0,96.0,74.0,184.0,111.0,83.0,153.0,111.0,211.0,76.0,461.0,11.0,6.0
63.0,Claudio Andre Gomez Villca,Bolivia,2452.0,106.0,126.0,129.0,23.0,36.0,28.0,184.0,159.0,197.0,613.0,311.0,192.0,270.0,61.0,11.0,6.0
64.0,Pedro Roque,Brazil,2519.0,25.0,85.0,12.0,24.0,46.0,158.0,184.0,46.0,22.0,244.0,135.0,381.0,747.0,393.0,11.0,6.0
65.0,Jhon Edinson Arias Parra,Colombia,2534.0,346.0,304.0,100.0,84.0,39.0,25.0,184.0,50.0,234.0,188.0,146.0,275.0,348.0,194.0,11.0,6.0
66.0,Fabricio Andrés Yañez Terrazas,Bolivia,2595.0,138.0,196.0,230.0,169.0,110.0,93.0,184.0,34.0,146.0,189.0,61.0,415.0,435.0,178.0,11.0,6.0
67.0,Ramses Amaya,Colombia,2617.0,74.0,98.0,124.0,640.0,530.0,378.0,10.0,95.0,155.0,193.0,52.0,27.0,94.0,130.0,11.0,6.0
68.0,Anuar Miguel Abib Onofre,Brazil,2678.0,56.0,176.0,140.0,417.0,182.0,175.0,35.0,7.0,5.0,254.0,248.0,348.0,616.0,2.0,11.0,6.0
69.0,Josué Esteban Bacilio Chicoma,Peru,2715.0,92.0,4.0,233.0,410.0,530.0,378.0,118.0,95.0,58.0,264.0,62.0,16.0,256.0,182.0,11.0,6.0
70.0,Luka Arce González,Argentina,2721.0,279.0,176.0,342.0,241.0,157.0,170.0,184.0,159.0,272.0,36.0,106.0,192.0,72.0,318.0,11.0,6.0
71.0,Cristóbal Opazo Bravo,Chile,2738.0,228.0,142.0,317.0,278.0,251.0,378.0,184.0,263.0,212.0,8.0,211.0,36.0,146.0,67.0,11.0,6.0
72.0,Jose Daniel Cobo Torres,Colombia,2744.0,61.0,70.0,27.0,16.0,35.0,34.0,184.0,263.0,217.0,361.0,4.0,1095.0,157.0,203.0,11.0,6.0
73.0,Ramiro Mendez,Argentina,2804.0,8.0,22.0,30.0,72.0,530.0,378.0,184.0,263.0,13.0,613.0,43.0,52.0,178.0,401.0,11.0,6.0
74.0,Felipe Maierowicz,Argentina,2844.0,109.0,80.0,236.0,507.0,530.0,378.0,184.0,263.0,191.0,22.0,23.0,187.0,113.0,4.0,11.0,6.0
75.0,Andrés Hisashi Suzuki Cabrera,Peru,2850.0,258.0,76.0,328.0,306.0,169.0,196.0,48.0,140.0,598.0,8.0,416.0,194.0,91.0,5.0,11.0,6.0
76.0,Francisco Cabral de Jesus,Argentina,2876.0,229.0,196.0,197.0,119.0,67.0,42.0,184.0,193.0,148.0,453.0,235.0,322.0,186.0,288.0,11.0,6.0
77.0,Michael Fonseca,Chile,2952.0,346.0,89.0,330.0,247.0,530.0,378.0,184.0,263.0,307.0,12.0,80.0,26.0,4.0,139.0,11.0,6.0
78.0,Renzo Rodriguez Moreno,Colombia,2958.0,139.0,166.0,88.0,125.0,192.0,219.0,184.0,63.0,347.0,613.0,47.0,171.0,198.0,389.0,11.0,6.0
79.0,Mario Armando Takahashi Martins Dias,Brazil,2969.0,148.0,181.0,213.0,450.0,530.0,378.0,184.0,263.0,201.0,13.0,37.0,5.0,293.0,56.0,11.0,6.0
80.0,Marco Antonio Ponce de León Aguilar,Peru,2975.0,186.0,333.0,29.0,18.0,14.0,5.0,110.0,263.0,143.0,613.0,82.0,160.0,695.0,307.0,11.0,6.0
81.0,Erick Lemus Fuentes,Chile,2991.0,131.0,572.0,118.0,35.0,41.0,24.0,156.0,263.0,182.0,399.0,224.0,314.0,406.0,109.0,11.0,6.0
82.0,José David Rendón Martínez,Colombia,3030.0,99.0,207.0,105.0,234.0,530.0,378.0,184.0,165.0,119.0,235.0,82.0,261.0,5.0,409.0,11.0,6.0
83.0,Rodrigo Lucas Pardo,Chile,3069.0,15.0,48.0,106.0,100.0,186.0,224.0,141.0,263.0,187.0,613.0,24.0,458.0,411.0,276.0,11.0,6.0
84.0,Rafael Antonio Sanchez,Venezuela,3071.0,119.0,18.0,283.0,358.0,370.0,271.0,184.0,140.0,256.0,355.0,27.0,54.0,280.0,339.0,11.0,6.0
85.0,Giovane Rubin Fioravanti,Brazil,3092.0,19.0,58.0,52.0,60.0,262.0,253.0,184.0,99.0,29.0,322.0,514.0,288.0,313.0,622.0,11.0,6.0
86.0,Milko Sebastián Gutiérrez Arroyo,Paraguay,3123.0,248.0,73.0,214.0,179.0,187.0,164.0,184.0,150.0,176.0,469.0,266.0,252.0,50.0,494.0,11.0,6.0
87.0,Felipe Rueda Hernández,Colombia,3134.0,94.0,369.0,125.0,109.0,161.0,146.0,184.0,50.0,273.0,311.0,13.0,354.0,497.0,431.0,11.0,6.0
88.0,Pedro Lobeto Miyamoto,Brazil,3172.0,322.0,58.0,489.0,226.0,530.0,378.0,49.0,228.0,259.0,45.0,186.0,107.0,198.0,80.0,11.0,6.0
89.0,Adriano Matoba Lipski,Brazil,3181.0,56.0,63.0,57.0,29.0,64.0,98.0,184.0,50.0,25.0,378.0,554.0,455.0,682.0,469.0,11.0,6.0
90.0,Jose Antonio Campero Morales,Bolivia,3215.0,340.0,243.0,265.0,106.0,142.0,147.0,184.0,219.0,336.0,325.0,281.0,242.0,285.0,83.0,11.0,6.0
91.0,Franklin Ronquillo,Venezuela,3246.0,330.0,162.0,150.0,224.0,451.0,378.0,184.0,263.0,108.0,174.0,415.0,226.0,61.0,103.0,11.0,6.0
92.0,Daniel Alberto Sánchez Dugarte,Venezuela,3249.0,213.0,173.0,153.0,203.0,323.0,378.0,184.0,263.0,98.0,426.0,174.0,96.0,262.0,286.0,11.0,6.0
93.0,David Remolina Amórtegui,Colombia,3253.0,66.0,48.0,46.0,90.0,201.0,176.0,131.0,99.0,36.0,304.0,274.0,494.0,962.0,309.0,11.0,6.0
94.0,Nicolás Shwkyng Monroy,Colombia,3275.0,234.0,275.0,185.0,111.0,126.0,111.0,184.0,111.0,194.0,118.0,437.0,549.0,215.0,408.0,11.0,6.0
95.0,Vicente Astroza,Chile,3293.0,229.0,468.0,168.0,159.0,145.0,65.0,184.0,263.0,152.0,170.0,77.0,627.0,510.0,59.0,11.0,6.0
96.0,Bruno Fonsêca Coelho Lima,Brazil,3298.0,335.0,175.0,229.0,314.0,256.0,247.0,184.0,13.0,461.0,212.0,287.0,179.0,324.0,65.0,11.0,6.0
97.0,Dan Axel Gonzales Quispe,Peru,3321.0,257.0,108.0,216.0,167.0,112.0,45.0,184.0,236.0,151.0,613.0,58.0,349.0,469.0,339.0,11.0,6.0
98.0,Luis Angel Contreras Ospina,Colombia,3368.0,285.0,131.0,184.0,129.0,107.0,122.0,184.0,263.0,75.0,290.0,383.0,149.0,195.0,854.0,11.0,6.0
99.0,Ignacio Mita Cabezas,Bolivia,3381.0,48.0,222.0,86.0,55.0,69.0,78.0,184.0,263.0,152.0,613.0,136.0,211.0,393.0,854.0,11.0,6.0
100.0,Ricardo Sanchez Laurencio,Peru,3397.0,176.0,176.0,47.0,20.0,12.0,10.0,184.0,263.0,111.0,613.0,246.0,254.0,414.0,854.0,11.0,6.0
101.0,Mateo Aguirre,Peru,3414.0,17.0,14.0,285.0,347.0,530.0,378.0,184.0,24.0,8.0,613.0,171.0,318.0,295.0,213.0,11.0,6.0
102.0,Carlos Villanueva,Argentina,3425.0,529.0,343.0,242.0,334.0,184.0,127.0,64.0,118.0,425.0,11.0,46.0,449.0,313.0,223.0,11.0,6.0
103.0,Joseph Daniel Blas Sanchez,Bolivia,3429.0,273.0,615.0,127.0,114.0,77.0,112.0,184.0,140.0,319.0,200.0,178.0,110.0,333.0,630.0,11.0,6.0
104.0,Aharon Campoli Tono,Brazil,3439.0,445.0,227.0,221.0,81.0,11.0,6.0,144.0,255.0,403.0,156.0,705.0,245.0,82.0,441.0,11.0,6.0
105.0,Julián David Idárraga Restrepo,Colombia,3498.0,253.0,154.0,114.0,38.0,90.0,86.0,184.0,263.0,136.0,613.0,648.0,6.0,42.0,854.0,11.0,6.0
106.0,Vitor Wagner Abreu,Brazil,3505.0,146.0,159.0,205.0,406.0,530.0,378.0,184.0,263.0,300.0,613.0,3.0,91.0,122.0,88.0,11.0,6.0
107.0,Ernesto Gutiérrez Cuba,Peru,3515.0,26.0,151.0,24.0,22.0,56.0,35.0,184.0,263.0,16.0,613.0,160.0,450.0,739.0,759.0,11.0,6.0
108.0,Nicolas Campanario,Argentina,3519.0,372.0,279.0,370.0,227.0,227.0,189.0,5.0,111.0,205.0,171.0,130.0,307.0,372.0,537.0,11.0,6.0
109.0,Facundo Finola,Argentina,3530.0,209.0,56.0,187.0,311.0,247.0,220.0,184.0,263.0,196.0,124.0,399.0,311.0,470.0,336.0,11.0,6.0
110.0,Manuel Popayán,Colombia,3550.0,34.0,190.0,32.0,104.0,85.0,68.0,184.0,263.0,76.0,419.0,129.0,482.0,1336.0,131.0,11.0,6.0
111.0,Eduardo Munive,Peru,3586.0,426.0,181.0,553.0,360.0,223.0,378.0,184.0,83.0,256.0,131.0,631.0,47.0,65.0,51.0,11.0,6.0
112.0,Leonardo José Hilario Cori,Peru,3591.0,100.0,108.0,136.0,194.0,530.0,378.0,184.0,263.0,242.0,179.0,251.0,9.0,146.0,854.0,11.0,6.0
113.0,Eduard Esteban García Domínguez,Colombia,3634.0,351.0,734.0,327.0,238.0,170.0,139.0,184.0,56.0,321.0,166.0,185.0,279.0,189.0,278.0,11.0,6.0
114.0,Andrés Claros,Argentina,3638.0,250.0,114.0,252.0,251.0,265.0,283.0,81.0,99.0,339.0,613.0,177.0,403.0,276.0,218.0,11.0,6.0
115.0,Francisco Alonso,Uruguay,3735.0,489.0,512.0,60.0,71.0,151.0,197.0,184.0,211.0,365.0,435.0,481.0,79.0,102.0,381.0,11.0,6.0
116.0,Gabriel Sargeiro Gomes de Mello,Brazil,3738.0,551.0,195.0,644.0,202.0,106.0,104.0,184.0,63.0,97.0,485.0,38.0,220.0,541.0,291.0,11.0,6.0
117.0,Diego Alejandro Casas Jimenez,Colombia,3796.0,603.0,653.0,394.0,256.0,100.0,94.0,89.0,150.0,219.0,91.0,264.0,310.0,273.0,283.0,11.0,6.0
118.0,Alejandro Marze Rossel,Bolivia,3806.0,52.0,505.0,21.0,42.0,49.0,119.0,184.0,263.0,72.0,613.0,74.0,342.0,599.0,854.0,11.0,6.0
119.0,Alejandro Isaza,Colombia,3841.0,417.0,403.0,189.0,341.0,341.0,343.0,184.0,69.0,227.0,452.0,488.0,15.0,89.0,266.0,11.0,6.0
120.0,Benjamín González Camus,Chile,3865.0,165.0,333.0,50.0,97.0,72.0,76.0,184.0,263.0,653.0,613.0,169.0,751.0,289.0,133.0,11.0,6.0
121.0,Giovanny Coronado,Colombia,3877.0,400.0,485.0,365.0,330.0,286.0,209.0,184.0,126.0,250.0,307.0,253.0,387.0,195.0,83.0,11.0,6.0
122.0,Diego Boasso Vera,Brazil,3878.0,164.0,123.0,36.0,86.0,123.0,117.0,184.0,263.0,91.0,613.0,405.0,459.0,517.0,680.0,11.0,6.0
123.0,Luan Gomes de Almeida Araújo,Brazil,3885.0,462.0,376.0,401.0,438.0,285.0,227.0,184.0,56.0,379.0,39.0,431.0,243.0,95.0,252.0,11.0,6.0
124.0,Juan Pablo Huanqui,Peru,3914.0,23.0,66.0,156.0,155.0,360.0,279.0,184.0,263.0,52.0,613.0,2.0,428.0,462.0,854.0,11.0,6.0
125.0,Santiago Ramírez Jiménez,Colombia,3925.0,279.0,112.0,237.0,163.0,131.0,177.0,184.0,263.0,130.0,366.0,464.0,322.0,394.0,686.0,11.0,6.0
126.0,Kaique de Oliveira Neves,Brazil,3935.0,100.0,154.0,554.0,627.0,391.0,378.0,184.0,263.0,283.0,56.0,184.0,129.0,334.0,281.0,11.0,6.0
127.0,Cesar Leandro Alvarado,Argentina,3944.0,253.0,360.0,65.0,117.0,530.0,378.0,184.0,263.0,208.0,613.0,209.0,62.0,270.0,415.0,11.0,6.0
128.0,José Miguel Lanz Mendoza,Venezuela,3983.0,205.0,227.0,177.0,166.0,465.0,378.0,184.0,263.0,76.0,338.0,289.0,728.0,119.0,351.0,11.0,6.0
129.0,José David Castiblanco Marin,Colombia,3990.0,588.0,387.0,292.0,321.0,133.0,160.0,114.0,63.0,244.0,242.0,368.0,430.0,416.0,215.0,11.0,6.0
130.0,Juan F. Wulff,Venezuela,3995.0,367.0,0.0,264.0,654.0,401.0,378.0,184.0,263.0,0.0,613.0,0.0,0.0,0.0,854.0,11.0,6.0
