Rank,name,Sum,333,222,444,555,333oh,minx,pyram,skewb
1.0,Ahmad Fayaz Twaibie,17.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0
2.0,Javad Mahbubi,19.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0,3.0
3.0,Aftaab Askary,20.0,2.0,3.0,1.0,1.0,2.0,2.0,6.0,3.0
4.0,Sanzar Haiwad,28.0,5.0,2.0,5.0,2.0,7.0,2.0,4.0,1.0
5.0,Mustafa Hussaini,33.0,7.0,6.0,4.0,2.0,3.0,2.0,6.0,3.0
6.0,Alireza Gholami (علیرضا غلامی),34.0,4.0,8.0,6.0,2.0,4.0,2.0,5.0,3.0
7.0,Hadi Ramezani (هادی رمضانی),37.0,6.0,4.0,7.0,2.0,7.0,2.0,6.0,3.0
8.0,Ilia Abdullahi,39.0,9.0,7.0,7.0,2.0,6.0,2.0,3.0,3.0
9.0,Mohammad Hanif Hoseini (محمد حنیف حسینی),45.0,8.0,10.0,7.0,2.0,7.0,2.0,6.0,3.0
10.0,Levi Roland Harshman,46.0,10.0,9.0,7.0,2.0,7.0,2.0,6.0,3.0
11.0,Ali Hosseini (علی حسینی),49.0,11.0,11.0,7.0,2.0,7.0,2.0,6.0,3.0
12.0,Yaser Habibi,51.0,12.0,12.0,7.0,2.0,7.0,2.0,6.0,3.0
