Rank,name,Sum,333,222,444,555,666,333oh,clock,minx,pyram,skewb,sq1
1.0,Pau Plana Casas,14.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Albert Mandicó Sampol,29.0,0.0,2.0,7.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0
3.0,Francesc Martos Carrión,36.0,4.0,6.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,6.0,3.0
4.0,Kevin Ramírez Macías,43.0,5.0,10.0,7.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
5.0,Arnau Ferrer Cabanes,44.0,6.0,4.0,7.0,2.0,2.0,3.0,2.0,3.0,5.0,7.0,3.0
6.0,Albert Cinca Bons,45.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
7.0,Aleix Bossa Gonzàlez,47.0,7.0,7.0,5.0,2.0,2.0,3.0,2.0,3.0,8.0,5.0,3.0
8.0,Raúl Martínez Velázquez,52.0,3.0,9.0,4.0,2.0,2.0,2.0,2.0,3.0,14.0,8.0,3.0
9.0,Nicolás D'Annunzio Muñoz,58.0,15.0,12.0,7.0,2.0,2.0,3.0,2.0,2.0,6.0,4.0,3.0
9.0,José María Ribera Veganzones,58.0,9.0,11.0,6.0,2.0,2.0,3.0,2.0,3.0,9.0,8.0,3.0
11.0,Martí Casals Anglada,61.0,8.0,5.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
12.0,Adrià Martínez Rodríguez,65.0,10.0,14.0,7.0,2.0,2.0,3.0,2.0,3.0,11.0,8.0,3.0
13.0,Jan Forcada Quevedo,72.0,16.0,15.0,7.0,2.0,2.0,3.0,2.0,3.0,11.0,8.0,3.0
14.0,Adrià Isal Garcia,75.0,27.0,8.0,7.0,2.0,2.0,3.0,2.0,3.0,10.0,8.0,3.0
15.0,David Francome Padilla,78.0,14.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,13.0,8.0,3.0
15.0,Marc Capdevila Ginestet,78.0,25.0,16.0,7.0,2.0,2.0,3.0,2.0,3.0,7.0,8.0,3.0
17.0,Javier Vázquez Bernal,79.0,18.0,13.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
18.0,Jordi Baena,80.0,11.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
19.0,Romà Balleret,81.0,12.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
20.0,Guilherme Samuel Sampaio Teixeira,82.0,13.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
21.0,Anna Plana Casas,85.0,19.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,15.0,8.0,3.0
22.0,David Margolin,86.0,17.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
23.0,Felix Giménez Semente,89.0,20.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
24.0,Biel Cornella Marfil,90.0,21.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
25.0,Mae Forner Rovira,91.0,22.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
26.0,Gabriel de Carvalho Mouta,92.0,28.0,17.0,7.0,2.0,2.0,3.0,2.0,3.0,17.0,8.0,3.0
26.0,Pol Sebastià Lluscà,92.0,23.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
28.0,Guillem Amat,93.0,24.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
29.0,Martí Sansa,95.0,26.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
30.0,Marc Alemany Guiu,98.0,31.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,16.0,8.0,3.0
30.0,Jordi Albert Arderiu,98.0,29.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
32.0,Miguel Ángel Pereira,99.0,30.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
32.0,Ricard de Haro Flores,99.0,32.0,19.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
34.0,Serni Ribera Veganzones,100.0,34.0,18.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
35.0,Edgar Ferrer Teixidó,102.0,33.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
36.0,Àneu Escribano Lusilla,104.0,35.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
37.0,Sergi Sansa,105.0,36.0,21.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
37.0,Xavier Mandicó Morales,105.0,37.0,20.0,7.0,2.0,2.0,3.0,2.0,3.0,18.0,8.0,3.0
