Rank,name,Sum,333,222,333oh
1.0,Roger Nataniel Issassa dos Santos,6.0,1.0,2.0,3.0
2.0,José Carlos Cardoso Borba,11.0,3.0,7.0,1.0
3.0,Vivaldo Cristóvão Roque,13.0,6.0,1.0,6.0
4.0,José Francisco Manuel,18.0,2.0,14.0,2.0
5.0,Juvenal Chalale,19.0,8.0,6.0,5.0
6.0,Kevin Rafael da Silva Sirgado,21.0,7.0,3.0,11.0
7.0,Daniel Ginina Vunge,23.0,4.0,12.0,7.0
7.0,Augusto Jorge Mateus Calunga,23.0,11.0,4.0,8.0
9.0,Belarmino Eusébio Chalale,30.0,12.0,14.0,4.0
10.0,Kahilo Pedro Massango,31.0,5.0,13.0,13.0
11.0,Aniceto Rodrigues Cahongolo Lourenço,33.0,9.0,14.0,10.0
12.0,Lio Fernandes,37.0,14.0,14.0,9.0
13.0,Hilton Adolfo Cardoso Batalha,39.0,10.0,14.0,15.0
14.0,Filipe dos Prazeres,40.0,20.0,5.0,15.0
15.0,André Firmino Tchivango,42.0,13.0,14.0,15.0
16.0,Ariclenes Ebenézer Dias Manuel,44.0,18.0,14.0,12.0
16.0,Carlos Junior de Carvalho Correia,44.0,15.0,14.0,15.0
18.0,Aristides Arão,45.0,16.0,14.0,15.0
19.0,Leandro Vindu Kalemba,46.0,17.0,14.0,15.0
19.0,Ermelinda Zua André,46.0,23.0,8.0,15.0
21.0,Aline Nsukami Dompetelo Nsalambi,47.0,22.0,10.0,15.0
22.0,Kiami Albuquerque Cabral,48.0,19.0,14.0,15.0
23.0,Cláudio Vidal da Silva Morais,49.0,26.0,9.0,14.0
24.0,Afonso Ndombe Jurante Quimboco,50.0,21.0,14.0,15.0
25.0,Erivaldo Bernardo Joaquim,53.0,24.0,14.0,15.0
26.0,Malcolm Lutuima Simosa Neto,54.0,25.0,14.0,15.0
27.0,Amélcio António Vidal Morais,56.0,27.0,14.0,15.0
28.0,Valentino Chalale,57.0,28.0,14.0,15.0
28.0,Luquene de Jesus Francisco,57.0,28.0,14.0,15.0
30.0,Rui Verona Issassa dos Santos,59.0,33.0,11.0,15.0
30.0,Marcus Alair Mendes Viana da Costa e Silva,59.0,30.0,14.0,15.0
32.0,Quioma Morais,60.0,31.0,14.0,15.0
33.0,Kinavuidi Simão Paxe,61.0,32.0,14.0,15.0
34.0,Breno Fernandes,63.0,34.0,14.0,15.0
35.0,Gabriel Ângelo Vemba Pipa,64.0,35.0,14.0,15.0
36.0,Jorge Manuel Batista da Costa,65.0,36.0,14.0,15.0
37.0,Nataniel António Morais,66.0,37.0,14.0,15.0
38.0,Letícia da Costa Madaleno,67.0,38.0,14.0,15.0
39.0,Reynold Filipe Moniz Buila,68.0,39.0,14.0,15.0
