Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Grigor Shahverdyan,34.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,6.0,2.0,2.0
2.0,Mayis Jraghatspanyan,82.0,2.0,3.0,8.0,14.0,4.0,2.0,2.0,3.0,3.0,10.0,5.0,6.0,8.0,8.0,2.0,2.0
3.0,Eduard Hakobyan,90.0,7.0,7.0,14.0,14.0,4.0,2.0,2.0,3.0,6.0,9.0,3.0,4.0,3.0,8.0,2.0,2.0
4.0,Aramayis Adloyan (Արամայիս Ադլոյան),97.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,5.0,13.0,13.0,27.0,9.0,8.0,2.0,2.0
4.0,Alberto Danielyan,97.0,9.0,6.0,11.0,14.0,4.0,2.0,2.0,3.0,7.0,4.0,11.0,1.0,11.0,8.0,2.0,2.0
6.0,Boris Meliksetian,107.0,18.0,11.0,7.0,6.0,4.0,2.0,2.0,3.0,9.0,1.0,2.0,22.0,13.0,3.0,2.0,2.0
7.0,Raffi Mirzoyan (Րաֆֆի Միրզոյան),114.0,8.0,4.0,3.0,5.0,3.0,1.0,2.0,3.0,16.0,13.0,13.0,12.0,19.0,8.0,2.0,2.0
8.0,Hayk Mergeryan,117.0,28.0,8.0,21.0,14.0,4.0,2.0,2.0,3.0,13.0,3.0,4.0,1.0,2.0,8.0,2.0,2.0
9.0,Eduard Chichyan,131.0,10.0,12.0,5.0,14.0,4.0,2.0,2.0,3.0,10.0,13.0,9.0,23.0,19.0,1.0,2.0,2.0
9.0,Jaden Smith,131.0,14.0,20.0,13.0,2.0,2.0,2.0,2.0,3.0,2.0,13.0,7.0,28.0,12.0,7.0,2.0,2.0
11.0,Vahe Oustakarayan,132.0,19.0,5.0,19.0,14.0,4.0,2.0,2.0,3.0,24.0,7.0,13.0,9.0,5.0,2.0,2.0,2.0
12.0,Davit Petrosyan (Давит Петросян),139.0,34.0,15.0,12.0,14.0,4.0,2.0,2.0,2.0,17.0,5.0,13.0,7.0,4.0,4.0,2.0,2.0
13.0,Davit Taranyan,143.0,6.0,27.0,10.0,14.0,4.0,2.0,2.0,3.0,8.0,13.0,13.0,10.0,19.0,8.0,2.0,2.0
14.0,Gevorg Poghosyan,160.0,4.0,17.0,29.0,14.0,4.0,2.0,2.0,3.0,11.0,13.0,13.0,17.0,19.0,8.0,2.0,2.0
15.0,Shant Tonoyan,167.0,13.0,23.0,4.0,8.0,4.0,2.0,1.0,3.0,4.0,11.0,13.0,55.0,19.0,5.0,1.0,1.0
16.0,Gevorg Melkumyan,173.0,27.0,9.0,17.0,14.0,4.0,2.0,2.0,3.0,19.0,13.0,13.0,19.0,19.0,8.0,2.0,2.0
17.0,Gagik Arshakyan,178.0,26.0,25.0,25.0,14.0,4.0,2.0,2.0,3.0,18.0,8.0,13.0,16.0,10.0,8.0,2.0,2.0
17.0,Andranik Fitanyan,178.0,38.0,16.0,29.0,14.0,4.0,2.0,2.0,3.0,20.0,13.0,8.0,11.0,6.0,8.0,2.0,2.0
19.0,Gagik Gevorgyan,186.0,31.0,24.0,20.0,9.0,4.0,2.0,2.0,3.0,21.0,13.0,13.0,25.0,7.0,8.0,2.0,2.0
20.0,Levon Pamukyan (Լեւոն Պամուկյան),194.0,24.0,22.0,9.0,7.0,1.0,2.0,2.0,3.0,12.0,13.0,13.0,55.0,19.0,8.0,2.0,2.0
21.0,Tigran Harutyunyan,202.0,17.0,19.0,15.0,10.0,4.0,2.0,2.0,3.0,39.0,13.0,13.0,34.0,19.0,8.0,2.0,2.0
22.0,Narek Sargsyan,205.0,21.0,10.0,29.0,14.0,4.0,2.0,2.0,3.0,15.0,13.0,6.0,55.0,19.0,8.0,2.0,2.0
23.0,Michael Mkrtchyan,207.0,15.0,60.0,6.0,4.0,4.0,2.0,2.0,3.0,39.0,13.0,13.0,15.0,19.0,8.0,2.0,2.0
24.0,Hayk Hovhannisyan,216.0,25.0,21.0,29.0,14.0,4.0,2.0,2.0,3.0,39.0,13.0,13.0,20.0,19.0,8.0,2.0,2.0
25.0,Hayk Aghayan,217.0,12.0,31.0,29.0,14.0,4.0,2.0,2.0,3.0,26.0,13.0,13.0,37.0,19.0,8.0,2.0,2.0
26.0,Argishti Afitseryan,222.0,5.0,12.0,29.0,14.0,4.0,2.0,2.0,3.0,39.0,13.0,13.0,55.0,19.0,8.0,2.0,2.0
27.0,Mari Mughdusyan (Մարի Մուղդուսյան),231.0,50.0,41.0,16.0,14.0,4.0,2.0,2.0,3.0,39.0,13.0,13.0,5.0,17.0,8.0,2.0,2.0
28.0,Hrant Arakelyan,239.0,16.0,18.0,29.0,14.0,4.0,2.0,2.0,3.0,39.0,13.0,13.0,55.0,19.0,8.0,2.0,2.0
