Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Riley Dexter,194.0,3.0,2.0,2.0,7.0,15.0,13.0,26.0,4.0,6.0,12.0,3.0,2.0,18.0,24.0,15.0,14.0,28.0
2.0,Jayden McNeill,221.0,5.0,12.0,6.0,4.0,8.0,7.0,11.0,1.0,2.0,32.0,25.0,18.0,27.0,11.0,19.0,21.0,12.0
3.0,Feliks Zemdegs,247.0,2.0,14.0,1.0,1.0,1.0,1.0,16.0,8.0,1.0,64.0,1.0,43.0,40.0,25.0,6.0,6.0,17.0
4.0,Jode Brewster,283.0,1.0,1.0,4.0,5.0,10.0,14.0,37.0,21.0,4.0,28.0,14.0,6.0,32.0,4.0,30.0,28.0,44.0
5.0,Jonathan Charlesworth,424.0,17.0,16.0,12.0,9.0,9.0,15.0,80.0,13.0,25.0,22.0,11.0,40.0,11.0,9.0,51.0,28.0,56.0
6.0,Joshua Hounslow,427.0,13.0,31.0,13.0,13.0,14.0,24.0,21.0,6.0,9.0,20.0,18.0,9.0,75.0,30.0,51.0,28.0,52.0
7.0,Tommy Kiprillis,460.0,10.0,6.0,23.0,15.0,22.0,18.0,48.0,2.0,17.0,51.0,29.0,38.0,29.0,7.0,51.0,28.0,66.0
8.0,Andy Gong,533.0,18.0,32.0,5.0,10.0,5.0,8.0,97.0,19.0,19.0,71.0,23.0,16.0,45.0,8.0,51.0,28.0,78.0
9.0,David Epstein,548.0,11.0,34.0,7.0,11.0,23.0,49.0,15.0,4.0,33.0,31.0,32.0,21.0,88.0,2.0,51.0,28.0,108.0
10.0,Tyler Williams,566.0,29.0,24.0,30.0,38.0,20.0,12.0,65.0,24.0,39.0,23.0,35.0,32.0,25.0,40.0,47.0,28.0,55.0
11.0,Liam Highducheck,571.0,32.0,35.0,9.0,6.0,7.0,11.0,34.0,30.0,16.0,61.0,44.0,75.0,77.0,48.0,39.0,22.0,25.0
12.0,Myles Jarman,644.0,43.0,79.0,21.0,32.0,19.0,16.0,33.0,37.0,82.0,17.0,37.0,36.0,56.0,66.0,23.0,26.0,21.0
13.0,Charlie Eggins,661.0,6.0,75.0,37.0,53.0,83.0,106.0,1.0,30.0,23.0,35.0,28.0,13.0,144.0,13.0,3.0,4.0,7.0
14.0,Bryan Eng,676.0,9.0,15.0,3.0,2.0,4.0,6.0,254.0,58.0,3.0,24.0,16.0,31.0,41.0,18.0,51.0,28.0,113.0
14.0,Lennon Hughes,676.0,16.0,49.0,27.0,66.0,52.0,85.0,17.0,21.0,99.0,9.0,48.0,36.0,24.0,103.0,7.0,7.0,10.0
16.0,Caleb Clark,760.0,56.0,28.0,34.0,26.0,49.0,50.0,73.0,30.0,18.0,60.0,38.0,88.0,28.0,29.0,51.0,28.0,74.0
17.0,Phoenix Patterson,803.0,4.0,18.0,28.0,40.0,28.0,21.0,254.0,134.0,13.0,13.0,34.0,12.0,7.0,5.0,51.0,28.0,113.0
18.0,Sora Sato,963.0,7.0,30.0,42.0,49.0,65.0,77.0,82.0,58.0,12.0,204.0,79.0,29.0,34.0,17.0,51.0,28.0,99.0
19.0,Will Gurnett,966.0,25.0,38.0,46.0,24.0,27.0,26.0,254.0,69.0,27.0,93.0,20.0,71.0,44.0,10.0,51.0,28.0,113.0
20.0,Hayden Ng,977.0,38.0,98.0,18.0,3.0,3.0,2.0,213.0,45.0,31.0,11.0,36.0,154.0,127.0,6.0,51.0,28.0,113.0
21.0,Zayd Chaudhry,1002.0,95.0,121.0,88.0,102.0,60.0,58.0,79.0,37.0,89.0,1.0,39.0,3.0,105.0,3.0,49.0,28.0,45.0
22.0,Conan Mo,1044.0,133.0,7.0,136.0,117.0,80.0,97.0,23.0,8.0,173.0,2.0,78.0,54.0,46.0,36.0,14.0,18.0,22.0
23.0,Ethan Stevens,1046.0,20.0,47.0,64.0,75.0,121.0,140.0,98.0,8.0,54.0,119.0,105.0,8.0,7.0,16.0,51.0,28.0,85.0
24.0,Matthew Cook,1047.0,89.0,60.0,25.0,35.0,34.0,32.0,254.0,45.0,30.0,63.0,84.0,42.0,9.0,53.0,51.0,28.0,113.0
25.0,Amy Smith,1077.0,124.0,38.0,150.0,97.0,79.0,75.0,18.0,106.0,77.0,30.0,74.0,66.0,31.0,84.0,5.0,9.0,14.0
26.0,Oscar Watson,1083.0,71.0,22.0,49.0,64.0,85.0,51.0,74.0,13.0,38.0,171.0,51.0,39.0,43.0,120.0,51.0,28.0,113.0
27.0,Edward Rust,1182.0,82.0,188.0,80.0,61.0,40.0,33.0,70.0,93.0,74.0,49.0,7.0,27.0,122.0,79.0,51.0,28.0,98.0
28.0,Matthew Sieredzinski,1184.0,180.0,197.0,35.0,17.0,12.0,17.0,67.0,8.0,71.0,66.0,87.0,167.0,56.0,106.0,28.0,28.0,42.0
29.0,David Pearce,1188.0,46.0,21.0,29.0,55.0,127.0,121.0,22.0,45.0,21.0,203.0,166.0,26.0,118.0,87.0,40.0,28.0,33.0
30.0,Peri Le Dain,1206.0,53.0,95.0,36.0,52.0,71.0,86.0,119.0,30.0,121.0,84.0,13.0,126.0,71.0,57.0,51.0,28.0,113.0
