Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Javid Nabizade,28.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,5.0
2.0,Elmir Mirzəyev,88.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,20.0,7.0,14.0,13.0
2.0,Rüstəm Həsənov,88.0,9.0,9.0,2.0,3.0,7.0,5.0,3.0,4.0,3.0,4.0,5.0,22.0,6.0,6.0
4.0,Aslan Kazimov,91.0,14.0,11.0,6.0,7.0,7.0,5.0,3.0,3.0,6.0,4.0,6.0,14.0,3.0,2.0
5.0,Əli Qəhrəmanlı,112.0,2.0,2.0,8.0,8.0,7.0,5.0,1.0,11.0,4.0,1.0,3.0,41.0,18.0,1.0
6.0,Əli Mehdizadə,167.0,11.0,38.0,9.0,9.0,7.0,5.0,3.0,8.0,24.0,4.0,4.0,28.0,5.0,12.0
7.0,Suleyman Khalilov,171.0,12.0,14.0,16.0,23.0,7.0,5.0,3.0,11.0,16.0,4.0,39.0,6.0,2.0,13.0
8.0,Fazil Quliyev,172.0,7.0,31.0,11.0,5.0,3.0,5.0,3.0,11.0,13.0,4.0,7.0,38.0,23.0,11.0
9.0,Rəsul Ağababayev,173.0,4.0,4.0,4.0,23.0,7.0,5.0,3.0,11.0,18.0,4.0,39.0,17.0,21.0,13.0
10.0,Uzeyir Elivasli,174.0,5.0,3.0,12.0,13.0,7.0,5.0,3.0,9.0,7.0,4.0,39.0,21.0,33.0,13.0
11.0,Ənvər Bayramlı,176.0,10.0,17.0,10.0,12.0,7.0,5.0,3.0,11.0,11.0,4.0,19.0,42.0,15.0,10.0
12.0,Tamerlan Karimli,181.0,34.0,21.0,23.0,23.0,7.0,5.0,3.0,11.0,12.0,4.0,8.0,8.0,9.0,13.0
13.0,Nizami Memmedov,193.0,21.0,23.0,17.0,23.0,7.0,5.0,3.0,11.0,22.0,4.0,16.0,9.0,19.0,13.0
14.0,Raul Ismayilli,208.0,17.0,7.0,19.0,17.0,7.0,5.0,3.0,7.0,14.0,4.0,17.0,23.0,55.0,13.0
14.0,Ali Aliyev,208.0,35.0,8.0,55.0,23.0,7.0,5.0,3.0,10.0,15.0,4.0,14.0,5.0,11.0,13.0
16.0,Muhammad Cavad Allahverdi,209.0,15.0,22.0,33.0,23.0,7.0,5.0,3.0,11.0,8.0,4.0,11.0,3.0,55.0,9.0
17.0,Royal Shabanov,231.0,13.0,30.0,14.0,11.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,11.0,8.0,13.0
18.0,Jamal Izabakarov,237.0,22.0,25.0,13.0,23.0,7.0,5.0,3.0,11.0,23.0,4.0,22.0,20.0,55.0,4.0
19.0,Hazrat Mammadrzayev,240.0,25.0,28.0,21.0,23.0,7.0,5.0,3.0,11.0,26.0,4.0,33.0,25.0,16.0,13.0
20.0,Vagif Aliyev,245.0,38.0,19.0,25.0,10.0,7.0,5.0,3.0,11.0,62.0,4.0,9.0,19.0,20.0,13.0
21.0,Ismayil Asadov,250.0,33.0,16.0,55.0,23.0,7.0,5.0,3.0,11.0,21.0,4.0,39.0,18.0,7.0,8.0
22.0,Mahir Israfilov,256.0,6.0,29.0,5.0,2.0,1.0,1.0,3.0,11.0,32.0,4.0,39.0,72.0,38.0,13.0
23.0,Murad Talıbov,260.0,63.0,12.0,28.0,23.0,7.0,5.0,3.0,11.0,28.0,4.0,12.0,34.0,17.0,13.0
24.0,Mikhail Gitlin,269.0,16.0,18.0,7.0,6.0,5.0,5.0,3.0,4.0,10.0,4.0,25.0,108.0,55.0,3.0
25.0,Tural Seyfeddinov,279.0,59.0,15.0,55.0,23.0,7.0,5.0,3.0,11.0,17.0,4.0,39.0,4.0,24.0,13.0
26.0,Emil Abdulxalıqov,292.0,24.0,34.0,55.0,23.0,7.0,5.0,3.0,1.0,20.0,4.0,39.0,54.0,10.0,13.0
27.0,Vasiliy Lebedev,299.0,65.0,35.0,30.0,23.0,7.0,5.0,3.0,11.0,36.0,4.0,26.0,15.0,26.0,13.0
28.0,Chingiz Asadzade,301.0,26.0,43.0,22.0,21.0,7.0,5.0,3.0,11.0,9.0,4.0,39.0,43.0,55.0,13.0
29.0,Cavid Qocayev,311.0,42.0,27.0,26.0,23.0,7.0,5.0,3.0,11.0,29.0,4.0,39.0,27.0,55.0,13.0
30.0,Sirac Niyazov,318.0,23.0,59.0,38.0,15.0,7.0,5.0,3.0,11.0,54.0,4.0,28.0,24.0,34.0,13.0
31.0,Javad Jafarli,332.0,55.0,52.0,55.0,23.0,7.0,5.0,3.0,11.0,45.0,4.0,31.0,16.0,12.0,13.0
32.0,Ayxan Bannayev,335.0,8.0,26.0,15.0,20.0,7.0,5.0,3.0,11.0,5.0,4.0,39.0,124.0,55.0,13.0
33.0,Rinat Agayev,336.0,71.0,10.0,55.0,23.0,7.0,5.0,3.0,11.0,40.0,4.0,32.0,37.0,25.0,13.0
34.0,Heydər Eynullayev,341.0,41.0,19.0,35.0,23.0,7.0,5.0,3.0,11.0,35.0,4.0,39.0,51.0,55.0,13.0
35.0,Bahadır Məmmədli,361.0,43.0,41.0,24.0,23.0,7.0,5.0,3.0,11.0,39.0,4.0,39.0,60.0,55.0,7.0
36.0,Said Vergazov,364.0,58.0,40.0,55.0,23.0,7.0,5.0,3.0,11.0,38.0,4.0,39.0,13.0,55.0,13.0
37.0,Mishel Rasul,370.0,80.0,48.0,31.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,31.0,13.0,13.0
37.0,Gəray İzzətov,370.0,18.0,60.0,48.0,18.0,7.0,5.0,3.0,11.0,53.0,4.0,30.0,45.0,55.0,13.0
39.0,Abdullah Khalilov,373.0,36.0,23.0,32.0,23.0,7.0,5.0,3.0,11.0,44.0,4.0,39.0,78.0,55.0,13.0
40.0,Mohammad Amaal Rafi,375.0,78.0,39.0,36.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,23.0,39.0,32.0,13.0
41.0,Toğrul İbadlı,384.0,40.0,13.0,55.0,23.0,7.0,5.0,3.0,11.0,37.0,4.0,39.0,79.0,55.0,13.0
42.0,Elman Həsənli,388.0,52.0,64.0,55.0,23.0,7.0,5.0,3.0,11.0,25.0,4.0,13.0,58.0,55.0,13.0
43.0,Kənan Mehralı,390.0,53.0,45.0,55.0,23.0,7.0,5.0,3.0,11.0,33.0,4.0,21.0,62.0,55.0,13.0
44.0,Hakan Alakbarzade,395.0,32.0,73.0,37.0,23.0,7.0,5.0,3.0,11.0,62.0,2.0,37.0,35.0,55.0,13.0
45.0,Nuray Gasimova,397.0,89.0,62.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,15.0,26.0,22.0,13.0
46.0,Emil Gasımov,398.0,20.0,116.0,55.0,23.0,7.0,5.0,2.0,11.0,19.0,4.0,39.0,29.0,55.0,13.0
47.0,İbrahim Ağamalıyev,400.0,60.0,58.0,18.0,14.0,7.0,5.0,3.0,11.0,27.0,4.0,1.0,124.0,55.0,13.0
48.0,Rauf Khalilov,412.0,37.0,33.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,83.0,37.0,13.0
49.0,Sabir Mammedzade,417.0,83.0,6.0,41.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,65.0,55.0,13.0
50.0,Ibrahim Farzullayev,424.0,67.0,66.0,39.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,57.0,28.0,13.0
51.0,Safar Dadashov,428.0,97.0,44.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,10.0,55.0,13.0
52.0,Mehemmed Hasanov,439.0,96.0,71.0,55.0,16.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,2.0,55.0,13.0
53.0,Qaya Əsgərov,441.0,46.0,49.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,69.0,55.0,13.0
54.0,Ayxan Həsənov,447.0,134.0,32.0,55.0,23.0,7.0,5.0,3.0,11.0,49.0,4.0,39.0,32.0,40.0,13.0
55.0,Lou Rainier,449.0,85.0,61.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,77.0,4.0,13.0
56.0,Emil Nağıyev,450.0,50.0,46.0,55.0,23.0,7.0,5.0,3.0,11.0,31.0,4.0,39.0,124.0,39.0,13.0
57.0,Eyyub Kərimov,452.0,91.0,81.0,45.0,23.0,7.0,5.0,3.0,11.0,42.0,4.0,39.0,33.0,55.0,13.0
58.0,Polad Məmmədli,456.0,57.0,42.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,80.0,55.0,13.0
59.0,Fərid Həsənov,462.0,73.0,88.0,44.0,23.0,7.0,5.0,3.0,11.0,34.0,4.0,39.0,63.0,55.0,13.0
60.0,Toğrul Məcidov,466.0,95.0,50.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,44.0,55.0,13.0
61.0,Ali Cafarli,473.0,117.0,76.0,55.0,23.0,7.0,5.0,3.0,11.0,52.0,4.0,27.0,30.0,50.0,13.0
62.0,Tural Niftaliyev,475.0,101.0,53.0,55.0,23.0,7.0,5.0,3.0,11.0,50.0,4.0,39.0,56.0,55.0,13.0
63.0,Arif Ismayilov,477.0,82.0,54.0,43.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,76.0,55.0,13.0
64.0,Emil Suleymanov,478.0,30.0,47.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
65.0,Ayxan Əlizadə,481.0,44.0,36.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
66.0,Mətin Məmmədov,483.0,68.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,35.0,42.0,13.0
67.0,Hikmət Mürsəlzadə,492.0,116.0,84.0,51.0,19.0,6.0,3.0,3.0,11.0,61.0,4.0,38.0,48.0,35.0,13.0
68.0,Huseyn Kerimov,499.0,61.0,37.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
69.0,Xalid Şabizadə,501.0,51.0,116.0,20.0,23.0,7.0,5.0,3.0,11.0,30.0,4.0,39.0,124.0,55.0,13.0
70.0,Tamerlan Jamilov,502.0,102.0,56.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,67.0,55.0,13.0
71.0,Rafael Abubekirov,507.0,93.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,47.0,29.0,13.0
72.0,Murat Shakhzade,510.0,128.0,65.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,40.0,55.0,13.0
73.0,Rasul Khalilov,515.0,132.0,57.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,49.0,55.0,13.0
74.0,Huseyn Mamedzade,517.0,62.0,69.0,55.0,23.0,7.0,5.0,3.0,11.0,47.0,4.0,39.0,124.0,55.0,13.0
75.0,Xaliq Huseynov,518.0,100.0,80.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,61.0,55.0,13.0
76.0,Shams Muzaffarzada,519.0,64.0,116.0,40.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,24.0,92.0,55.0,13.0
77.0,Attila Jamilov,527.0,90.0,74.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,87.0,54.0,13.0
77.0,Anar Babayev,527.0,69.0,87.0,53.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,96.0,55.0,13.0
79.0,Fərid Əliyev,529.0,77.0,51.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
80.0,İsmayıl Bədəlov,530.0,39.0,116.0,29.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
81.0,Ayla Ahmedova,531.0,45.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,93.0,55.0,13.0
82.0,Farid Mikailov,533.0,99.0,68.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,89.0,55.0,13.0
83.0,Adil Cümşüdlü,534.0,88.0,77.0,46.0,23.0,7.0,5.0,3.0,11.0,60.0,4.0,39.0,103.0,55.0,13.0
84.0,Rza Ağayev,535.0,121.0,63.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,74.0,55.0,13.0
84.0,Aydın Muştaqov,535.0,106.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,55.0,36.0,13.0
86.0,Goydaniz Huseynov,536.0,19.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
86.0,Toğrul Babayev,536.0,110.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,43.0,4.0,39.0,52.0,55.0,13.0
86.0,Mühəmməd Əliyev,536.0,140.0,83.0,55.0,23.0,7.0,5.0,3.0,11.0,48.0,4.0,39.0,50.0,55.0,13.0
89.0,Adil Əsgərov,538.0,114.0,67.0,55.0,23.0,7.0,5.0,3.0,11.0,55.0,4.0,39.0,94.0,48.0,13.0
90.0,Agu Emmanuel Xəyal,540.0,123.0,55.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,85.0,55.0,13.0
91.0,Vidadi Lətifov,541.0,105.0,89.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,70.0,55.0,13.0
92.0,Samed Shamchiyev,544.0,111.0,116.0,42.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,53.0,55.0,13.0
92.0,Məcid Əyyubov,544.0,27.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
94.0,Yusif Əliyev,545.0,28.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
95.0,Kamil Əfəndiyev,546.0,29.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
96.0,Aykhan Mammadov,548.0,31.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
96.0,Ismail Mamedov,548.0,143.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,12.0,55.0,13.0
98.0,Fidan Nabiyeva,560.0,72.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,10.0,124.0,55.0,13.0
99.0,Mustafa Hajiyev,563.0,74.0,116.0,27.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
100.0,Rashid Huseyn,564.0,47.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
101.0,Emil Mammadaliyev,565.0,48.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
102.0,Gülnaz İsmayılova,566.0,49.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
102.0,Adnan Eminov,566.0,98.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,75.0,55.0,13.0
104.0,Emil Hasanli,569.0,120.0,72.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,31.0,13.0
105.0,Əli Xəlilov,570.0,94.0,75.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
106.0,Vadim Solovyov,571.0,54.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
107.0,Kənan Ruintan,573.0,56.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
108.0,Huseyn Alikhanov,575.0,104.0,70.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
109.0,Sahin Imanov,583.0,66.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
110.0,Ali Heybatov,584.0,136.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,34.0,88.0,27.0,13.0
111.0,Sebastian Yegorov,585.0,153.0,96.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,59.0,55.0,13.0
112.0,Rauf Eyvazov,587.0,146.0,111.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,29.0,63.0,55.0,13.0
112.0,Bayram Məlikli,587.0,70.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
114.0,Həcər Xəlilova,590.0,103.0,86.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
115.0,Mikayıl Kərimli,591.0,145.0,98.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,71.0,55.0,13.0
116.0,Hikmet Kerimov,592.0,75.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
117.0,Afgan Kamilov,593.0,76.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
118.0,Kenan Kerimzade,594.0,113.0,99.0,47.0,23.0,7.0,5.0,3.0,11.0,51.0,4.0,39.0,124.0,55.0,13.0
119.0,Cavid Əliyev,596.0,79.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
120.0,Kenan Mammedli,597.0,152.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,41.0,4.0,39.0,73.0,55.0,13.0
120.0,Revan Ismayilov,597.0,138.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,66.0,55.0,13.0
122.0,Maksim Gitlin,598.0,81.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
123.0,Səfər Qaraş,599.0,125.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,46.0,4.0,39.0,97.0,55.0,13.0
124.0,Rüstəm Xudaverdiyev,600.0,109.0,95.0,55.0,23.0,7.0,5.0,3.0,11.0,57.0,4.0,39.0,124.0,55.0,13.0
125.0,Kərəm Qasımov,601.0,84.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
126.0,Böyükağa Ağayev,603.0,86.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
127.0,Sumbat Gozelov,604.0,87.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
128.0,Senan Abbasov,605.0,119.0,85.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
129.0,Fuad Məmmədzadə,609.0,92.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
130.0,Amin Aliyev,612.0,129.0,82.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
130.0,Islam Isayev,612.0,151.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,68.0,55.0,13.0
132.0,Sadiq Səfərov,615.0,139.0,102.0,55.0,23.0,7.0,5.0,3.0,11.0,56.0,4.0,18.0,124.0,55.0,13.0
133.0,Sinan Alav,618.0,133.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,59.0,4.0,35.0,99.0,55.0,13.0
134.0,Sahib Memmedov,622.0,127.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,36.0,114.0,46.0,13.0
135.0,Elchin Gadirov,624.0,107.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
136.0,Telman Eyvazov,625.0,108.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
137.0,Günay Göyüşova,629.0,112.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
138.0,Rafi Amaal,630.0,204.0,90.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,84.0,30.0,13.0
139.0,Yusif Məlikov,632.0,131.0,100.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
139.0,Ülvi Səmədov,632.0,115.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
141.0,Zubeyr Mustafa,633.0,144.0,97.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,115.0,55.0,13.0
142.0,Rəna Sərabi,634.0,159.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,82.0,55.0,13.0
142.0,Ismikhan Rahimov,634.0,117.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
144.0,Nigar Muzaffarova,638.0,162.0,109.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,90.0,55.0,13.0
145.0,Hasan Aghazada,639.0,122.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
146.0,Seymur Badalov,641.0,189.0,79.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,104.0,47.0,13.0
146.0,Nuray Orucova,641.0,124.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
148.0,Eray Vardar,643.0,126.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
149.0,Toğrul Quliyev,646.0,183.0,91.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,107.0,43.0,13.0
149.0,Əlimədət Səfərli,646.0,158.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,95.0,55.0,13.0
151.0,Nurlan Mirzoyev,647.0,130.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
152.0,Allahverdi Muhammedali,652.0,156.0,108.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,111.0,55.0,13.0
152.0,Elşən Canıyev,652.0,135.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
154.0,Cəmilə Neymətova,654.0,137.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
155.0,Türkan Türksoy,657.0,140.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
156.0,Farrux Shammedli,659.0,142.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
156.0,Khayyam Jamilov,659.0,168.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,58.0,4.0,39.0,102.0,55.0,13.0
158.0,Fikrat Aslanli,661.0,150.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,49.0,13.0
159.0,Asim İsrafilov,662.0,166.0,116.0,34.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
159.0,Seyran Məmmədov,662.0,169.0,94.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,122.0,55.0,13.0
161.0,Narmin Gojayeva,664.0,147.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
162.0,Ali Aliyev,665.0,178.0,92.0,50.0,22.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
162.0,Ibrahim Hasanov,665.0,148.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
164.0,Sameddin Aliyev,666.0,149.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
165.0,Murad Fətəliyev,671.0,154.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
166.0,Kamil Məmmədov,672.0,155.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
167.0,Mehemmedeli Memmedov,673.0,185.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,99.0,51.0,13.0
168.0,Rasim Ibadov,674.0,157.0,116.0,55.0,23.0,7.0,5.0,3.0,11.0,62.0,4.0,39.0,124.0,55.0,13.0
