Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Daniel Adel Alhayki,24.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0
2.0,Rashid Alhajri,43.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0
3.0,Aysha Jamsheer,54.0,3.0,7.0,3.0,3.0,2.0,3.0,1.0,5.0,2.0,3.0,6.0,12.0,4.0
4.0,Hasan Aqeel Nesaif,59.0,1.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,5.0,3.0,12.0,14.0,4.0
5.0,Bandar Al Aish,64.0,7.0,4.0,14.0,6.0,3.0,4.0,5.0,13.0,1.0,2.0,1.0,2.0,2.0
6.0,Ali Fawaz Khunji,79.0,10.0,6.0,7.0,5.0,3.0,4.0,5.0,7.0,5.0,3.0,13.0,7.0,4.0
7.0,Bayan Alalawi,90.0,12.0,13.0,8.0,6.0,3.0,4.0,3.0,11.0,3.0,3.0,9.0,11.0,4.0
8.0,Khalid Mattar,95.0,13.0,8.0,6.0,6.0,3.0,4.0,5.0,8.0,5.0,3.0,16.0,14.0,4.0
9.0,Abdulla Abdulghaffar,96.0,5.0,13.0,5.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,4.0,4.0
10.0,Mohammed Ghassan Aljishi,97.0,17.0,11.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,7.0,5.0,4.0
11.0,Mohamed Alsaei,100.0,22.0,5.0,9.0,6.0,3.0,4.0,5.0,9.0,5.0,3.0,11.0,14.0,4.0
12.0,Hasan Jasim,104.0,8.0,10.0,14.0,6.0,3.0,4.0,5.0,2.0,5.0,3.0,26.0,14.0,4.0
13.0,Ali Khalid Radih,112.0,6.0,16.0,14.0,6.0,3.0,4.0,5.0,6.0,5.0,3.0,26.0,14.0,4.0
14.0,Mohammed Jalal Alnajjar,115.0,9.0,9.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
15.0,Zainab Alaradi,116.0,26.0,19.0,14.0,6.0,3.0,4.0,4.0,12.0,4.0,3.0,8.0,9.0,4.0
16.0,Abdulrahman Ahmed Adam,117.0,24.0,18.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,4.0,14.0,4.0
17.0,Yousif Calvo,125.0,16.0,12.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
18.0,Ali Ismaeel Salman Mohamed Ali,131.0,23.0,19.0,12.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,20.0,14.0,4.0
19.0,Manaf AlHaddad,132.0,20.0,15.0,14.0,6.0,3.0,4.0,5.0,13.0,5.0,3.0,26.0,14.0,4.0
