Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Zuhair Raiyan Khan,86.0,4.0,1.0,6.0,5.0,5.0,5.0,14.0,17.0,7.0,1.0,11.0,1.0,3.0,2.0,2.0,2.0
2.0,Taosif Amin Sahil,96.0,1.0,2.0,1.0,1.0,2.0,6.0,10.0,6.0,1.0,7.0,3.0,7.0,12.0,33.0,2.0,2.0
3.0,Nazib Nawar,144.0,3.0,6.0,2.0,2.0,1.0,1.0,19.0,17.0,9.0,7.0,1.0,11.0,28.0,33.0,2.0,2.0
4.0,Muhtasim Al-Farabi,152.0,28.0,18.0,7.0,6.0,8.0,8.0,19.0,7.0,4.0,6.0,14.0,9.0,8.0,6.0,2.0,2.0
5.0,Farhan Tanvir Fahim,172.0,13.0,11.0,13.0,17.0,25.0,17.0,19.0,17.0,10.0,7.0,15.0,2.0,1.0,1.0,2.0,2.0
6.0,Namira Nawar,241.0,12.0,4.0,14.0,12.0,25.0,17.0,19.0,17.0,30.0,7.0,8.0,20.0,19.0,33.0,2.0,2.0
7.0,Zabir Bin Moaj,252.0,23.0,14.0,19.0,14.0,7.0,2.0,2.0,17.0,38.0,7.0,21.0,24.0,45.0,17.0,1.0,1.0
8.0,Yasa Zaheen,272.0,19.0,15.0,10.0,7.0,25.0,17.0,19.0,17.0,25.0,7.0,7.0,88.0,5.0,7.0,2.0,2.0
9.0,Sakib Ibn Rashid Rhivu,275.0,5.0,30.0,16.0,23.0,17.0,14.0,19.0,4.0,26.0,7.0,43.0,25.0,9.0,33.0,2.0,2.0
10.0,Mohammad Mehrab Hosan,313.0,49.0,8.0,23.0,29.0,12.0,17.0,19.0,17.0,29.0,7.0,10.0,42.0,36.0,11.0,2.0,2.0
11.0,Munem Shahriar,315.0,38.0,28.0,17.0,22.0,11.0,17.0,19.0,17.0,21.0,7.0,9.0,28.0,44.0,33.0,2.0,2.0
12.0,Md Tafsirul Islam,322.0,6.0,17.0,20.0,15.0,22.0,17.0,19.0,17.0,2.0,7.0,59.0,41.0,43.0,33.0,2.0,2.0
