Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Vladislav Kaminskiy,145.0,2.0,4.0,7.0,3.0,4.0,4.0,17.0,9.0,3.0,8.0,12.0,36.0,8.0,14.0,5.0,2.0,7.0
2.0,Pavel Yushkevich,150.0,11.0,8.0,5.0,4.0,1.0,1.0,14.0,3.0,1.0,4.0,17.0,27.0,24.0,9.0,5.0,2.0,14.0
3.0,Nikita Loika,154.0,5.0,5.0,20.0,8.0,13.0,3.0,3.0,3.0,21.0,2.0,21.0,6.0,22.0,17.0,2.0,1.0,2.0
4.0,Ilya Anishchenko,227.0,14.0,34.0,6.0,11.0,28.0,26.0,6.0,6.0,6.0,34.0,10.0,9.0,16.0,8.0,5.0,2.0,6.0
5.0,Danila Dubovik,230.0,12.0,1.0,17.0,15.0,21.0,22.0,36.0,9.0,9.0,7.0,19.0,22.0,1.0,16.0,5.0,2.0,16.0
6.0,Vadzim Smirnou,235.0,3.0,9.0,4.0,16.0,17.0,24.0,36.0,11.0,8.0,54.0,14.0,7.0,2.0,7.0,5.0,2.0,16.0
7.0,Anatoly Kim,246.0,21.0,12.0,13.0,9.0,7.0,7.0,18.0,11.0,12.0,14.0,5.0,41.0,32.0,22.0,5.0,2.0,15.0
8.0,Dmitri Arterchuk,320.0,28.0,21.0,22.0,22.0,28.0,26.0,5.0,43.0,17.0,16.0,7.0,15.0,22.0,30.0,5.0,2.0,11.0
9.0,Yahor Lahunovich (Егор Лагунович),324.0,8.0,35.0,2.0,18.0,28.0,26.0,36.0,35.0,19.0,54.0,6.0,21.0,7.0,6.0,5.0,2.0,16.0
10.0,Uladzislau Ushakov (Владислав Ушаков),337.0,35.0,32.0,27.0,24.0,11.0,16.0,22.0,1.0,50.0,22.0,40.0,14.0,10.0,10.0,5.0,2.0,16.0
11.0,Nikita Starodubov,347.0,7.0,6.0,1.0,1.0,28.0,26.0,36.0,71.0,5.0,54.0,1.0,16.0,4.0,68.0,5.0,2.0,16.0
12.0,Ivan Bogdan,354.0,9.0,22.0,3.0,13.0,28.0,26.0,36.0,71.0,26.0,54.0,2.0,24.0,6.0,11.0,5.0,2.0,16.0
13.0,Platon Dranchuk (Платон Дранчук),363.0,1.0,7.0,28.0,35.0,28.0,26.0,36.0,17.0,14.0,22.0,9.0,46.0,3.0,68.0,5.0,2.0,16.0
14.0,Ilya Zabrodsky,397.0,6.0,3.0,8.0,93.0,28.0,26.0,16.0,14.0,4.0,24.0,64.0,17.0,50.0,21.0,5.0,2.0,16.0
15.0,Ilya Tsiareshka,398.0,10.0,13.0,15.0,20.0,14.0,13.0,12.0,8.0,60.0,1.0,29.0,82.0,38.0,68.0,5.0,2.0,8.0
16.0,Anton Suzin,399.0,15.0,2.0,40.0,47.0,28.0,26.0,36.0,14.0,18.0,31.0,30.0,8.0,13.0,68.0,5.0,2.0,16.0
17.0,Nikita Chistyakov,422.0,55.0,48.0,25.0,19.0,24.0,23.0,15.0,32.0,11.0,12.0,28.0,37.0,27.0,43.0,5.0,2.0,16.0
18.0,Ivan Terekh,455.0,42.0,87.0,47.0,29.0,19.0,15.0,33.0,17.0,34.0,20.0,11.0,3.0,63.0,12.0,5.0,2.0,16.0
19.0,Ustsin Vashchanka,530.0,100.0,41.0,36.0,31.0,23.0,20.0,7.0,25.0,59.0,11.0,27.0,98.0,35.0,1.0,5.0,2.0,9.0
20.0,Vladislav Shoshin,535.0,79.0,70.0,33.0,26.0,9.0,10.0,36.0,37.0,61.0,54.0,4.0,60.0,15.0,18.0,5.0,2.0,16.0
21.0,Michail Murin (Михаил Мурин),544.0,40.0,90.0,31.0,55.0,28.0,26.0,36.0,37.0,27.0,54.0,38.0,11.0,29.0,19.0,5.0,2.0,16.0
22.0,Artyom Sermyazhko,560.0,24.0,23.0,14.0,5.0,8.0,8.0,36.0,25.0,30.0,54.0,121.0,69.0,58.0,62.0,5.0,2.0,16.0
