Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Guillaume David,166.0,2.0,8.0,5.0,1.0,1.0,2.0,42.0,11.0,7.0,4.0,8.0,20.0,23.0,5.0,9.0,4.0,14.0
2.0,Jonathan Mauroy,183.0,7.0,2.0,3.0,5.0,2.0,3.0,23.0,5.0,5.0,44.0,7.0,3.0,19.0,32.0,9.0,4.0,10.0
3.0,Quinten Andelhofs,318.0,5.0,12.0,2.0,2.0,5.0,5.0,42.0,7.0,10.0,47.0,29.0,23.0,17.0,85.0,9.0,4.0,14.0
4.0,Jérôme Carlier,325.0,22.0,33.0,29.0,9.0,6.0,4.0,4.0,3.0,16.0,66.0,18.0,31.0,62.0,11.0,4.0,3.0,4.0
5.0,Justin Vinckenbosch,336.0,21.0,13.0,19.0,26.0,31.0,31.0,42.0,19.0,22.0,2.0,11.0,24.0,9.0,39.0,9.0,4.0,14.0
6.0,Jonas Rongé,355.0,44.0,21.0,45.0,25.0,23.0,17.0,12.0,4.0,9.0,15.0,28.0,25.0,44.0,26.0,8.0,4.0,5.0
7.0,Lars Van den broeck,392.0,34.0,15.0,21.0,27.0,14.0,26.0,37.0,30.0,21.0,41.0,30.0,26.0,7.0,36.0,9.0,4.0,14.0
8.0,Ilija Jovanovic,401.0,8.0,1.0,10.0,6.0,12.0,21.0,42.0,51.0,2.0,82.0,2.0,1.0,51.0,85.0,9.0,4.0,14.0
9.0,Joran Pauwels,422.0,14.0,27.0,25.0,35.0,32.0,24.0,29.0,51.0,20.0,1.0,118.0,10.0,8.0,1.0,9.0,4.0,14.0
10.0,Elias Malomgré,439.0,61.0,9.0,73.0,58.0,39.0,30.0,31.0,17.0,37.0,3.0,36.0,13.0,1.0,4.0,9.0,4.0,14.0
11.0,Matthias Schegers,440.0,24.0,37.0,4.0,4.0,4.0,6.0,42.0,51.0,25.0,82.0,6.0,2.0,117.0,9.0,9.0,4.0,14.0
12.0,Adrien Schumacker,459.0,18.0,22.0,6.0,3.0,3.0,1.0,42.0,21.0,8.0,82.0,47.0,26.0,109.0,44.0,9.0,4.0,14.0
13.0,Tiemen De Meester,463.0,46.0,14.0,56.0,24.0,20.0,15.0,19.0,30.0,24.0,70.0,33.0,45.0,6.0,34.0,9.0,4.0,14.0
14.0,Medard Lecluyse,521.0,17.0,7.0,16.0,16.0,17.0,54.0,42.0,51.0,206.0,23.0,17.0,4.0,11.0,13.0,9.0,4.0,14.0
14.0,Raphael Eduardo Kuijpers,521.0,11.0,62.0,7.0,13.0,21.0,54.0,42.0,51.0,56.0,35.0,32.0,45.0,53.0,12.0,9.0,4.0,14.0
16.0,Arthur Van Broeckhoven,526.0,23.0,60.0,66.0,50.0,45.0,34.0,30.0,13.0,14.0,43.0,40.0,17.0,37.0,27.0,9.0,4.0,14.0
17.0,Lorenz Hurlet,534.0,16.0,43.0,23.0,36.0,30.0,33.0,42.0,51.0,6.0,82.0,13.0,53.0,64.0,15.0,9.0,4.0,14.0
18.0,Cyril Barigand,538.0,82.0,70.0,43.0,21.0,11.0,7.0,11.0,51.0,94.0,20.0,16.0,8.0,60.0,28.0,5.0,2.0,9.0
19.0,Samuel Janssen,547.0,37.0,58.0,55.0,20.0,19.0,20.0,42.0,25.0,54.0,14.0,4.0,19.0,68.0,85.0,9.0,4.0,14.0
20.0,Ayhan Sarier,557.0,72.0,70.0,18.0,29.0,38.0,54.0,42.0,26.0,28.0,82.0,10.0,5.0,13.0,43.0,9.0,4.0,14.0
21.0,Elias Meynckens,573.0,12.0,18.0,13.0,19.0,70.0,54.0,13.0,51.0,15.0,82.0,12.0,37.0,65.0,85.0,9.0,4.0,14.0
22.0,Nicolas Dupuis,581.0,74.0,40.0,35.0,10.0,8.0,11.0,42.0,19.0,78.0,7.0,85.0,57.0,3.0,85.0,9.0,4.0,14.0
23.0,Victor Roets,586.0,4.0,19.0,20.0,33.0,70.0,54.0,42.0,51.0,18.0,82.0,56.0,36.0,27.0,47.0,9.0,4.0,14.0
24.0,Wout Plaum,591.0,36.0,5.0,65.0,57.0,43.0,54.0,28.0,51.0,31.0,56.0,49.0,33.0,31.0,25.0,9.0,4.0,14.0
25.0,Zoé de Moffarts,618.0,84.0,77.0,36.0,31.0,22.0,14.0,38.0,26.0,65.0,82.0,5.0,15.0,90.0,6.0,9.0,4.0,14.0
26.0,Clara Verbraeken,641.0,48.0,44.0,14.0,18.0,24.0,54.0,42.0,51.0,69.0,42.0,19.0,70.0,34.0,85.0,9.0,4.0,14.0
27.0,Thibau Vander Motte,642.0,20.0,24.0,9.0,11.0,70.0,54.0,42.0,49.0,33.0,82.0,118.0,68.0,16.0,19.0,9.0,4.0,14.0
28.0,Kobe Lutjeharms,682.0,27.0,16.0,44.0,160.0,70.0,54.0,42.0,51.0,19.0,82.0,15.0,17.0,56.0,2.0,9.0,4.0,14.0
29.0,Stev Fivez,698.0,57.0,20.0,93.0,42.0,51.0,38.0,42.0,51.0,53.0,82.0,59.0,8.0,24.0,51.0,9.0,4.0,14.0
30.0,Arthur Wallem,707.0,27.0,11.0,8.0,8.0,7.0,8.0,42.0,8.0,17.0,82.0,118.0,163.0,96.0,85.0,9.0,4.0,14.0
31.0,Alex Dubuson,739.0,98.0,44.0,79.0,62.0,64.0,48.0,42.0,51.0,26.0,82.0,38.0,14.0,15.0,49.0,9.0,4.0,14.0
32.0,Greg Leonard,749.0,106.0,38.0,86.0,79.0,66.0,54.0,42.0,51.0,51.0,82.0,31.0,7.0,26.0,3.0,9.0,4.0,14.0
33.0,Nicolas Vansteen,750.0,13.0,28.0,24.0,104.0,70.0,54.0,42.0,21.0,32.0,82.0,3.0,102.0,85.0,63.0,9.0,4.0,14.0
34.0,Simon Meinertzhagen,752.0,76.0,26.0,62.0,80.0,70.0,54.0,42.0,51.0,30.0,82.0,66.0,12.0,14.0,60.0,9.0,4.0,14.0
35.0,Naïm Chaara,794.0,68.0,36.0,69.0,85.0,70.0,54.0,42.0,13.0,99.0,82.0,44.0,38.0,25.0,42.0,9.0,4.0,14.0
36.0,Lars Vandenbergh,795.0,33.0,87.0,75.0,49.0,50.0,52.0,33.0,5.0,109.0,10.0,46.0,44.0,165.0,10.0,9.0,4.0,14.0
37.0,Anonymous,833.0,99.0,42.0,110.0,103.0,70.0,54.0,42.0,30.0,38.0,82.0,70.0,11.0,38.0,17.0,9.0,4.0,14.0
38.0,Quinten Aerbeydt,839.0,38.0,17.0,42.0,61.0,70.0,54.0,42.0,51.0,11.0,82.0,73.0,138.0,48.0,85.0,9.0,4.0,14.0
