Rank,name,Sum,333,222,444,333oh,minx,pyram,skewb
1.0,Noe Andre Smith,13.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0
2.0,Christopher Longsworth,22.0,6.0,3.0,3.0,3.0,2.0,3.0,2.0
3.0,Jose de la Fuente,25.0,2.0,6.0,4.0,5.0,2.0,4.0,2.0
4.0,Jessler Tzot,26.0,4.0,6.0,4.0,4.0,2.0,4.0,2.0
5.0,Darwin Tzot,28.0,5.0,6.0,4.0,5.0,2.0,4.0,2.0
6.0,Liam Kelly,30.0,9.0,4.0,4.0,5.0,2.0,4.0,2.0
6.0,Godwin Mangar,30.0,7.0,6.0,4.0,5.0,2.0,4.0,2.0
8.0,William Jovanny Sanchez,31.0,8.0,6.0,4.0,5.0,2.0,4.0,2.0
9.0,Edwin Palma,33.0,10.0,6.0,4.0,5.0,2.0,4.0,2.0
10.0,Abdiel Damir Reyes,34.0,11.0,6.0,4.0,5.0,2.0,4.0,2.0
11.0,Benedict Kim Jr.,35.0,12.0,6.0,4.0,5.0,2.0,4.0,2.0
11.0,Fabian Solórzano,35.0,13.0,5.0,4.0,5.0,2.0,4.0,2.0
13.0,Joselyn Escobar,37.0,14.0,6.0,4.0,5.0,2.0,4.0,2.0
