Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Josias Milan Sirpa Pinto,134.0,7.0,12.0,2.0,1.0,1.0,1.0,23.0,6.0,6.0,6.0,12.0,7.0,3.0,21.0,7.0,4.0,15.0
2.0,Rodrigo Paz Vaca,181.0,1.0,5.0,4.0,3.0,20.0,31.0,11.0,7.0,1.0,24.0,2.0,4.0,35.0,12.0,7.0,4.0,10.0
3.0,Rodrigo Ugarte,211.0,30.0,38.0,6.0,6.0,6.0,5.0,31.0,1.0,11.0,5.0,14.0,2.0,24.0,6.0,7.0,4.0,15.0
4.0,Fabricio Andrés Yañez Terrazas,237.0,8.0,1.0,24.0,18.0,12.0,10.0,31.0,3.0,17.0,10.0,4.0,35.0,31.0,7.0,7.0,4.0,15.0
5.0,Claudio Andre Gomez Villca,255.0,15.0,29.0,9.0,2.0,4.0,4.0,31.0,8.0,19.0,33.0,24.0,12.0,37.0,2.0,7.0,4.0,15.0
6.0,Alejandro Marze Rossel,288.0,6.0,9.0,1.0,7.0,7.0,11.0,31.0,30.0,5.0,40.0,5.0,30.0,43.0,37.0,7.0,4.0,15.0
7.0,Ignacio Mita Cabezas,317.0,2.0,22.0,10.0,4.0,9.0,8.0,31.0,48.0,10.0,40.0,11.0,26.0,14.0,56.0,7.0,4.0,15.0
8.0,Joseph Daniel Blas Sanchez,332.0,38.0,73.0,11.0,12.0,8.0,7.0,31.0,13.0,25.0,11.0,18.0,3.0,22.0,34.0,7.0,4.0,15.0
9.0,Jose Antonio Campero Morales,341.0,28.0,40.0,15.0,14.0,17.0,15.0,31.0,27.0,34.0,18.0,27.0,34.0,10.0,5.0,7.0,4.0,15.0
10.0,Sebastián Morón Mariscal,350.0,49.0,76.0,13.0,23.0,24.0,25.0,5.0,4.0,30.0,3.0,20.0,20.0,8.0,30.0,2.0,4.0,14.0
11.0,Luis Flores,392.0,22.0,10.0,22.0,29.0,43.0,32.0,31.0,19.0,13.0,40.0,10.0,27.0,17.0,51.0,7.0,4.0,15.0
12.0,Nicolas Cardenas Claros,402.0,35.0,21.0,27.0,39.0,42.0,37.0,31.0,14.0,23.0,9.0,56.0,21.0,1.0,20.0,7.0,4.0,15.0
13.0,Xavier Antonio Balderrama,409.0,9.0,19.0,20.0,16.0,18.0,19.0,31.0,48.0,16.0,40.0,47.0,41.0,26.0,33.0,7.0,4.0,15.0
14.0,Enrique Adolfo Delgado,419.0,3.0,26.0,3.0,5.0,5.0,6.0,31.0,48.0,3.0,40.0,7.0,116.0,44.0,56.0,7.0,4.0,15.0
15.0,Nancy Garcés Hazou,499.0,29.0,15.0,30.0,75.0,57.0,47.0,31.0,48.0,43.0,8.0,13.0,18.0,42.0,17.0,7.0,4.0,15.0
16.0,Rodrigo Mateo Inochea Fernández,509.0,25.0,20.0,14.0,17.0,11.0,12.0,31.0,48.0,106.0,27.0,16.0,53.0,72.0,31.0,7.0,4.0,15.0
17.0,Jhersson Cabezas Luizaga,524.0,74.0,49.0,43.0,26.0,26.0,13.0,25.0,48.0,79.0,12.0,34.0,18.0,9.0,42.0,7.0,4.0,15.0
18.0,Daniel C. Bedoya,536.0,16.0,38.0,16.0,10.0,10.0,9.0,31.0,24.0,14.0,40.0,25.0,128.0,93.0,56.0,7.0,4.0,15.0
19.0,James Gutiérrez,562.0,61.0,43.0,55.0,54.0,36.0,40.0,31.0,17.0,67.0,14.0,40.0,54.0,20.0,4.0,7.0,4.0,15.0
20.0,Moisés Marco Quispe Arellano,566.0,21.0,61.0,29.0,43.0,57.0,47.0,31.0,48.0,36.0,40.0,32.0,75.0,6.0,14.0,7.0,4.0,15.0
21.0,Jhoan Jhunior Alvarado Balderrama,569.0,14.0,6.0,5.0,11.0,15.0,20.0,31.0,48.0,9.0,40.0,123.0,15.0,150.0,56.0,7.0,4.0,15.0
22.0,Joel Mamani Tumiri,581.0,144.0,128.0,34.0,20.0,13.0,16.0,6.0,2.0,44.0,40.0,17.0,73.0,11.0,26.0,1.0,3.0,3.0
23.0,Fabian Alberti Maldonado,595.0,33.0,63.0,18.0,24.0,57.0,47.0,31.0,48.0,24.0,40.0,28.0,86.0,45.0,25.0,7.0,4.0,15.0
24.0,José Marco Tarifa Hernández,606.0,60.0,80.0,58.0,53.0,50.0,47.0,31.0,48.0,20.0,17.0,39.0,31.0,18.0,28.0,7.0,4.0,15.0
25.0,Carlos Andres Hidalgo,613.0,17.0,45.0,54.0,67.0,57.0,47.0,31.0,48.0,21.0,40.0,29.0,59.0,16.0,56.0,7.0,4.0,15.0
26.0,Carlos Alejandro Copa Toro,635.0,108.0,95.0,37.0,30.0,28.0,35.0,10.0,14.0,99.0,28.0,19.0,55.0,47.0,8.0,6.0,4.0,12.0
27.0,Andrés Muñoz Valverde,642.0,31.0,25.0,50.0,138.0,57.0,47.0,31.0,17.0,18.0,40.0,48.0,29.0,29.0,56.0,7.0,4.0,15.0
28.0,Amaru Aloys Ancasi Pevec,653.0,32.0,14.0,28.0,27.0,57.0,47.0,31.0,21.0,41.0,40.0,123.0,89.0,68.0,9.0,7.0,4.0,15.0
29.0,Henry Ramirez Escobar,657.0,68.0,41.0,31.0,56.0,47.0,42.0,27.0,35.0,75.0,13.0,45.0,21.0,74.0,56.0,7.0,4.0,15.0
30.0,Alejandro Peredo,661.0,19.0,17.0,23.0,79.0,57.0,47.0,31.0,48.0,39.0,40.0,123.0,23.0,33.0,56.0,7.0,4.0,15.0
31.0,Wilson C. Rios,668.0,81.0,106.0,42.0,46.0,57.0,47.0,31.0,32.0,66.0,40.0,22.0,31.0,28.0,13.0,7.0,4.0,15.0
32.0,Diego Iglesias Godoy,681.0,13.0,16.0,61.0,22.0,57.0,47.0,31.0,11.0,2.0,1.0,123.0,83.0,150.0,38.0,7.0,4.0,15.0
33.0,Dylan Aramayo Calle,686.0,12.0,36.0,7.0,15.0,23.0,46.0,31.0,34.0,7.0,40.0,112.0,168.0,73.0,56.0,7.0,4.0,15.0
