Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Andrej Mikulić,52.0,2.0,6.0,6.0,1.0,1.0,1.0,5.0,6.0,2.0,4.0,5.0,4.0,4.0,5.0
2.0,Aleksa Perušinović,55.0,14.0,1.0,1.0,2.0,3.0,3.0,5.0,7.0,10.0,2.0,1.0,3.0,1.0,2.0
3.0,Renato Stopic,58.0,6.0,10.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,1.0,3.0,2.0,8.0,1.0
4.0,Nemanja Vujnović,64.0,1.0,9.0,4.0,5.0,10.0,6.0,5.0,2.0,8.0,5.0,2.0,1.0,2.0,4.0
5.0,David Tanasković,110.0,12.0,8.0,12.0,15.0,10.0,6.0,1.0,7.0,3.0,5.0,9.0,6.0,13.0,3.0
6.0,Kemal Smajlović,121.0,5.0,16.0,3.0,15.0,10.0,6.0,5.0,7.0,1.0,5.0,15.0,16.0,3.0,14.0
7.0,Aleksandar Babić,125.0,16.0,5.0,15.0,8.0,6.0,5.0,5.0,7.0,9.0,5.0,11.0,18.0,9.0,6.0
8.0,Filip Aleksić,127.0,4.0,15.0,13.0,6.0,5.0,6.0,5.0,7.0,7.0,5.0,15.0,17.0,14.0,8.0
9.0,Petar Oreč,131.0,9.0,7.0,9.0,9.0,7.0,6.0,5.0,7.0,20.0,5.0,6.0,22.0,12.0,7.0
10.0,Zivko Popovic,157.0,18.0,4.0,10.0,15.0,10.0,6.0,5.0,7.0,16.0,5.0,13.0,10.0,24.0,14.0
10.0,Ammar Draganović,157.0,22.0,3.0,26.0,15.0,10.0,6.0,5.0,6.0,14.0,5.0,15.0,9.0,7.0,14.0
12.0,Belmin Arnaut,160.0,7.0,2.0,11.0,15.0,10.0,6.0,3.0,7.0,6.0,5.0,15.0,35.0,24.0,14.0
13.0,Bojan Perić,163.0,10.0,29.0,8.0,4.0,4.0,6.0,5.0,4.0,4.0,5.0,15.0,31.0,24.0,14.0
14.0,Nedim Bečić,165.0,15.0,18.0,17.0,11.0,10.0,6.0,5.0,2.0,19.0,5.0,12.0,26.0,5.0,14.0
14.0,Janko Gašić,165.0,24.0,17.0,18.0,13.0,9.0,6.0,5.0,7.0,17.0,5.0,14.0,8.0,10.0,12.0
16.0,Amar Alihodžić,166.0,19.0,11.0,16.0,15.0,10.0,6.0,5.0,7.0,18.0,5.0,10.0,12.0,18.0,14.0
17.0,Marko Vukadinović,175.0,20.0,14.0,24.0,10.0,8.0,6.0,5.0,1.0,13.0,5.0,4.0,39.0,15.0,11.0
18.0,Andre Šuvak,187.0,23.0,24.0,20.0,15.0,10.0,6.0,5.0,7.0,11.0,5.0,8.0,15.0,24.0,14.0
19.0,Vukašin Dobrijević,191.0,25.0,23.0,22.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,13.0,6.0,9.0
20.0,Mihael Vidoš,198.0,3.0,12.0,2.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
21.0,Velibor Đuran,200.0,30.0,13.0,25.0,15.0,10.0,6.0,2.0,7.0,30.0,5.0,15.0,11.0,17.0,14.0
22.0,Darko Prelić,202.0,8.0,19.0,14.0,15.0,10.0,4.0,5.0,7.0,12.0,5.0,15.0,50.0,24.0,14.0
23.0,Luka Vidić,225.0,11.0,71.0,7.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,5.0,24.0,14.0
24.0,Tarik Gutlić,233.0,12.0,21.0,19.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
25.0,Denis Čavkunović,236.0,31.0,20.0,31.0,15.0,10.0,6.0,5.0,7.0,23.0,5.0,15.0,30.0,24.0,14.0
26.0,Marko Smiljanić,240.0,33.0,38.0,27.0,15.0,10.0,6.0,5.0,7.0,21.0,5.0,15.0,21.0,23.0,14.0
27.0,Mikael Sabanovic,241.0,17.0,34.0,35.0,12.0,10.0,6.0,5.0,7.0,15.0,5.0,15.0,50.0,16.0,14.0
28.0,Ivan Abramušić,244.0,38.0,26.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,14.0,24.0,14.0
29.0,Vanja Vucic,250.0,65.0,25.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,7.0,11.0,14.0
30.0,Alem Mešinović,263.0,21.0,27.0,35.0,15.0,10.0,6.0,4.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
31.0,Deen Kartal,274.0,39.0,42.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,27.0,24.0,14.0
32.0,Rastko Šalvarica,280.0,45.0,32.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,37.0,24.0,14.0
32.0,Dušan Vidačković,280.0,46.0,49.0,34.0,15.0,10.0,6.0,5.0,7.0,25.0,5.0,15.0,25.0,24.0,14.0
34.0,Nikola Rauš,281.0,42.0,31.0,35.0,15.0,10.0,6.0,5.0,7.0,22.0,5.0,15.0,50.0,24.0,14.0
35.0,Aleksa Pantelić,283.0,51.0,37.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,29.0,24.0,14.0
36.0,Tomislav Vrbičić,285.0,29.0,40.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
37.0,Adnan Lemešević,288.0,55.0,22.0,30.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
37.0,Maksim Koprivica,288.0,40.0,35.0,32.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
39.0,Filip Vojnović,291.0,47.0,28.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
40.0,Luka Milićević,293.0,36.0,41.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
41.0,Adnan Tabak,296.0,50.0,30.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
42.0,Faris Keserović,297.0,37.0,71.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,23.0,24.0,14.0
43.0,Nikola Sotir Sotirov,300.0,52.0,71.0,33.0,15.0,10.0,6.0,5.0,7.0,24.0,5.0,15.0,19.0,24.0,14.0
44.0,Jelena Gašić,302.0,66.0,53.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,20.0,21.0,14.0
45.0,Nebojša Đurić,303.0,28.0,71.0,23.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
45.0,Dejan Škipina,303.0,53.0,43.0,28.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,22.0,14.0
47.0,Kasim Kaimović,306.0,35.0,71.0,35.0,7.0,10.0,6.0,5.0,7.0,30.0,5.0,7.0,50.0,24.0,14.0
48.0,Savo Tomić,307.0,34.0,71.0,21.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,14.0
49.0,Eldar Buzadžić,308.0,48.0,51.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,43.0,24.0,14.0
50.0,Milorad Markovic,309.0,41.0,63.0,29.0,14.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,50.0,24.0,10.0
50.0,Bojana Perić,309.0,44.0,71.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,28.0,24.0,14.0
52.0,Sergej Selimović,312.0,77.0,33.0,35.0,15.0,10.0,6.0,5.0,7.0,30.0,5.0,15.0,36.0,24.0,14.0
