Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Vicenzo Guerino Cecchini,114.0,2.0,3.0,1.0,4.0,4.0,5.0,13.0,9.0,4.0,12.0,4.0,9.0,5.0,1.0,8.0,10.0,20.0
2.0,Francisco Moraes Mandalozzo,118.0,3.0,2.0,2.0,1.0,1.0,2.0,7.0,46.0,6.0,4.0,2.0,4.0,13.0,9.0,4.0,5.0,7.0
3.0,Frederico Canal Gomes,230.0,6.0,14.0,7.0,2.0,11.0,9.0,24.0,31.0,9.0,20.0,26.0,6.0,8.0,5.0,14.0,13.0,25.0
4.0,Enzo Mattos,245.0,10.0,13.0,19.0,15.0,12.0,10.0,19.0,13.0,18.0,36.0,6.0,24.0,3.0,8.0,17.0,9.0,13.0
5.0,Lucas Ichiro Yunomae,464.0,23.0,67.0,5.0,5.0,2.0,7.0,49.0,46.0,10.0,38.0,13.0,20.0,22.0,32.0,31.0,13.0,81.0
6.0,João Vinícius de A. Santos,560.0,79.0,97.0,41.0,18.0,10.0,8.0,50.0,25.0,13.0,32.0,31.0,26.0,7.0,33.0,31.0,13.0,46.0
7.0,Thiago Han,632.0,95.0,72.0,29.0,24.0,22.0,12.0,3.0,254.0,40.0,17.0,10.0,21.0,12.0,10.0,3.0,2.0,6.0
8.0,Caio Hideaki Sato,642.0,1.0,3.0,3.0,3.0,8.0,20.0,222.0,175.0,2.0,11.0,3.0,6.0,4.0,56.0,31.0,13.0,81.0
9.0,Caique Crispim de Lima,671.0,27.0,1.0,21.0,26.0,25.0,34.0,133.0,114.0,15.0,9.0,42.0,35.0,57.0,7.0,31.0,13.0,81.0
10.0,Gabriel Lincon Souza,676.0,92.0,49.0,23.0,32.0,29.0,38.0,103.0,31.0,28.0,13.0,51.0,43.0,13.0,6.0,31.0,13.0,81.0
11.0,Pedro Roque,677.0,15.0,6.0,4.0,7.0,13.0,30.0,64.0,15.0,16.0,88.0,27.0,90.0,112.0,90.0,31.0,13.0,56.0
12.0,Anuar Miguel Abib Onofre,708.0,12.0,62.0,36.0,86.0,33.0,32.0,15.0,2.0,3.0,91.0,58.0,128.0,105.0,2.0,9.0,11.0,23.0
13.0,Ana Beatriz M. Tannenbaum,724.0,7.0,78.0,10.0,12.0,16.0,18.0,222.0,95.0,38.0,10.0,37.0,5.0,32.0,19.0,31.0,13.0,81.0
14.0,Tiago Akihiro Fujita,750.0,5.0,11.0,11.0,6.0,7.0,11.0,222.0,254.0,20.0,3.0,17.0,23.0,22.0,13.0,31.0,13.0,81.0
15.0,Felipe Cardim,786.0,84.0,21.0,35.0,19.0,49.0,129.0,145.0,15.0,67.0,19.0,45.0,18.0,11.0,4.0,31.0,13.0,81.0
16.0,Antonio Gabriel Freitas da Silva,801.0,3.0,16.0,13.0,17.0,47.0,159.0,140.0,71.0,26.0,80.0,52.0,36.0,13.0,3.0,31.0,13.0,81.0
17.0,Gabriel Bergue,879.0,48.0,41.0,51.0,41.0,18.0,14.0,207.0,74.0,14.0,49.0,14.0,21.0,18.0,144.0,31.0,13.0,81.0
18.0,Beatriz Hernandes Bernardes,905.0,64.0,94.0,59.0,49.0,24.0,47.0,26.0,71.0,153.0,56.0,47.0,69.0,87.0,11.0,18.0,13.0,17.0
19.0,Pedro Lobeto Miyamoto,906.0,46.0,24.0,81.0,55.0,186.0,159.0,21.0,40.0,47.0,6.0,36.0,59.0,68.0,18.0,31.0,13.0,16.0
20.0,Aharon Campoli Tono,913.0,60.0,10.0,45.0,21.0,3.0,1.0,70.0,148.0,41.0,48.0,137.0,89.0,9.0,138.0,31.0,13.0,49.0
21.0,Adriano Matoba Lipski,948.0,17.0,34.0,15.0,9.0,15.0,22.0,98.0,15.0,11.0,97.0,85.0,162.0,100.0,143.0,31.0,13.0,81.0
22.0,Pedro Paulo Lima Sasaki,951.0,84.0,63.0,9.0,11.0,9.0,4.0,58.0,254.0,116.0,29.0,55.0,33.0,63.0,38.0,31.0,13.0,81.0
23.0,Allyson Dias de Lima,966.0,137.0,7.0,99.0,129.0,82.0,85.0,28.0,25.0,53.0,54.0,61.0,46.0,42.0,72.0,19.0,13.0,14.0
24.0,Bruno Fonsêca Coelho Lima,983.0,100.0,56.0,60.0,64.0,43.0,56.0,141.0,6.0,98.0,60.0,50.0,57.0,50.0,17.0,31.0,13.0,81.0
25.0,Luan Gomes de Almeida Araújo,1008.0,69.0,126.0,90.0,67.0,58.0,45.0,85.0,14.0,94.0,18.0,80.0,69.0,33.0,74.0,31.0,8.0,47.0
26.0,Gabriel Sargeiro Gomes de Mello,1099.0,89.0,37.0,125.0,44.0,28.0,26.0,127.0,31.0,36.0,176.0,5.0,64.0,88.0,98.0,31.0,13.0,81.0
27.0,Pedro Santos Guimarães,1121.0,31.0,57.0,132.0,109.0,106.0,89.0,18.0,31.0,33.0,23.0,76.0,172.0,149.0,50.0,13.0,13.0,19.0
28.0,Giovane Rubin Fioravanti,1128.0,9.0,14.0,8.0,16.0,51.0,51.0,222.0,71.0,7.0,125.0,94.0,79.0,55.0,201.0,31.0,13.0,81.0
29.0,Mario Armando Takahashi Martins Dias,1192.0,11.0,17.0,28.0,84.0,186.0,159.0,222.0,254.0,47.0,14.0,7.0,2.0,21.0,15.0,31.0,13.0,81.0
30.0,Luiz Fellipe Oliuza Leal Silva,1200.0,41.0,80.0,95.0,125.0,87.0,88.0,46.0,6.0,109.0,46.0,140.0,147.0,65.0,62.0,22.0,13.0,28.0
31.0,Pedro Miranda Moreira,1237.0,30.0,46.0,39.0,51.0,59.0,94.0,91.0,54.0,51.0,89.0,16.0,65.0,206.0,221.0,31.0,13.0,81.0
32.0,Suzane Coelho,1273.0,57.0,137.0,86.0,94.0,96.0,84.0,222.0,114.0,19.0,28.0,91.0,63.0,30.0,27.0,31.0,13.0,81.0
33.0,Gustavo Dias Dullens,1285.0,13.0,127.0,14.0,30.0,56.0,91.0,204.0,156.0,66.0,44.0,100.0,119.0,92.0,48.0,31.0,13.0,81.0
34.0,Rafael Carreiro Campos,1292.0,104.0,127.0,27.0,13.0,6.0,6.0,56.0,25.0,35.0,228.0,56.0,136.0,154.0,244.0,31.0,13.0,31.0
35.0,Bernardo Zakur Corrêa Santos,1349.0,124.0,35.0,72.0,37.0,50.0,21.0,106.0,54.0,55.0,268.0,217.0,80.0,41.0,64.0,31.0,13.0,81.0
36.0,Key Yu Wan,1376.0,7.0,5.0,71.0,25.0,21.0,25.0,95.0,95.0,60.0,231.0,429.0,88.0,2.0,97.0,31.0,13.0,81.0
37.0,Kaique de Oliveira Neves,1396.0,53.0,76.0,96.0,118.0,79.0,159.0,222.0,83.0,80.0,26.0,40.0,28.0,122.0,89.0,31.0,13.0,81.0
38.0,Iuri Grangeiro Carvalho,1428.0,14.0,17.0,31.0,49.0,84.0,98.0,168.0,62.0,1.0,113.0,164.0,263.0,61.0,178.0,31.0,13.0,81.0
39.0,Alrimar Dias Rocha Sobrinho,1430.0,191.0,50.0,74.0,81.0,75.0,49.0,162.0,54.0,82.0,27.0,201.0,78.0,62.0,119.0,31.0,13.0,81.0
40.0,Gustavo Penaforte Brito,1478.0,43.0,17.0,62.0,68.0,92.0,103.0,81.0,31.0,73.0,268.0,103.0,254.0,73.0,85.0,31.0,13.0,81.0
41.0,Pedro Henrique Maciel Ceccopieri Belo,1481.0,142.0,98.0,83.0,57.0,32.0,31.0,96.0,74.0,97.0,79.0,79.0,142.0,269.0,77.0,31.0,13.0,81.0
42.0,Diego Boasso Vera,1482.0,35.0,90.0,12.0,20.0,19.0,27.0,222.0,156.0,31.0,268.0,66.0,112.0,26.0,273.0,31.0,13.0,81.0
43.0,Samuel Asafe Ludugel Fagundes,1545.0,44.0,153.0,50.0,46.0,66.0,68.0,161.0,187.0,50.0,268.0,41.0,93.0,98.0,95.0,31.0,13.0,81.0
44.0,Bárbara Guerra Ribeiro,1550.0,231.0,189.0,89.0,56.0,31.0,16.0,77.0,31.0,121.0,37.0,77.0,330.0,131.0,57.0,31.0,13.0,33.0
45.0,Benicio Lins Pinheiro,1553.0,79.0,51.0,97.0,152.0,171.0,159.0,222.0,54.0,52.0,43.0,161.0,13.0,132.0,42.0,31.0,13.0,81.0
46.0,Vinicius Shaw,1594.0,77.0,112.0,241.0,62.0,76.0,159.0,222.0,254.0,186.0,2.0,21.0,10.0,35.0,12.0,31.0,13.0,81.0
47.0,Vitor Wagner Abreu,1599.0,32.0,43.0,37.0,85.0,186.0,159.0,222.0,254.0,87.0,268.0,1.0,45.0,24.0,31.0,31.0,13.0,81.0
48.0,Andrey Conceição,1616.0,155.0,45.0,67.0,99.0,48.0,60.0,37.0,9.0,88.0,217.0,82.0,116.0,300.0,168.0,31.0,13.0,81.0
49.0,Augusto Rosa Esteves,1617.0,219.0,136.0,126.0,123.0,83.0,65.0,63.0,31.0,160.0,129.0,64.0,67.0,198.0,65.0,31.0,13.0,44.0
