Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Anqi Yu,50.0,12.0,2.0,4.0,6.0,3.0,4.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0
2.0,Ivaylo Ivaylov Vichev,74.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,10.0,1.0,12.0,1.0,3.0,3.0,17.0,2.0,2.0,4.0
3.0,Kaloyan Galabinov,99.0,18.0,5.0,3.0,2.0,2.0,2.0,7.0,6.0,11.0,12.0,3.0,11.0,5.0,4.0,2.0,2.0,4.0
4.0,Alexander Tenev,145.0,5.0,10.0,7.0,4.0,6.0,15.0,7.0,10.0,2.0,12.0,25.0,14.0,14.0,6.0,2.0,2.0,4.0
5.0,George Enchev,147.0,4.0,12.0,2.0,3.0,7.0,6.0,7.0,10.0,3.0,12.0,25.0,6.0,39.0,3.0,2.0,2.0,4.0
6.0,Velin Krasimirov Kozhuharov,211.0,29.0,30.0,23.0,23.0,16.0,15.0,6.0,10.0,13.0,4.0,13.0,7.0,4.0,10.0,2.0,2.0,4.0
7.0,Nikola Pavlovski,228.0,15.0,9.0,37.0,21.0,22.0,15.0,7.0,3.0,5.0,12.0,25.0,28.0,7.0,14.0,2.0,2.0,4.0
8.0,Svetoslav Velchev,248.0,6.0,3.0,8.0,9.0,22.0,15.0,7.0,10.0,20.0,12.0,25.0,10.0,76.0,17.0,2.0,2.0,4.0
9.0,Valentina Ivanova Ivanova,255.0,22.0,26.0,15.0,11.0,22.0,15.0,7.0,10.0,39.0,12.0,25.0,25.0,9.0,9.0,2.0,2.0,4.0
10.0,Alexander Richetta,263.0,8.0,54.0,25.0,22.0,22.0,15.0,7.0,10.0,15.0,5.0,8.0,31.0,28.0,5.0,2.0,2.0,4.0
11.0,Alexander Kolev,270.0,25.0,49.0,9.0,7.0,22.0,15.0,7.0,10.0,18.0,12.0,25.0,2.0,44.0,17.0,2.0,2.0,4.0
12.0,Petar Petrov Konstantinov,276.0,11.0,34.0,6.0,5.0,8.0,5.0,7.0,4.0,8.0,12.0,4.0,87.0,60.0,17.0,2.0,2.0,4.0
13.0,Yoan Pavlov Ivanov,303.0,20.0,25.0,33.0,48.0,22.0,15.0,7.0,10.0,9.0,12.0,25.0,16.0,36.0,17.0,2.0,2.0,4.0
