Rank,name,Sum,333,222,444,333oh,minx,pyram,skewb,sq1
1.0,Nguon Vaddhanak,35.0,2.0,6.0,1.0,4.0,2.0,9.0,9.0,2.0
2.0,Chhun Seraden,39.0,6.0,2.0,7.0,5.0,2.0,6.0,9.0,2.0
3.0,Kimchour Luy,41.0,9.0,5.0,15.0,6.0,2.0,1.0,1.0,2.0
4.0,Mork Vanna,44.0,4.0,7.0,3.0,1.0,2.0,16.0,9.0,2.0
5.0,Nuon Sophearith,47.0,7.0,14.0,5.0,11.0,2.0,2.0,4.0,2.0
6.0,Sean Sothearath,52.0,18.0,4.0,2.0,11.0,2.0,11.0,3.0,1.0
7.0,Setha Sam,59.0,1.0,1.0,17.0,11.0,2.0,16.0,9.0,2.0
8.0,Te Kimchhay,61.0,3.0,16.0,10.0,3.0,2.0,16.0,9.0,2.0
9.0,Roeu Niko Zunaro,63.0,5.0,14.0,8.0,7.0,2.0,16.0,9.0,2.0
10.0,Tongheng Chhayly,64.0,10.0,8.0,6.0,11.0,2.0,16.0,9.0,2.0
11.0,Luy Orn,72.0,20.0,3.0,9.0,11.0,2.0,16.0,9.0,2.0
11.0,Piseth Sokmeng,72.0,16.0,9.0,17.0,8.0,2.0,16.0,2.0,2.0
13.0,Hathraksa Duong,74.0,12.0,11.0,11.0,11.0,2.0,16.0,9.0,2.0
13.0,Ly Lichhean,74.0,11.0,19.0,4.0,11.0,2.0,16.0,9.0,2.0
15.0,Robert Bot,82.0,15.0,10.0,17.0,11.0,2.0,16.0,9.0,2.0
16.0,Bonheng Siev,84.0,19.0,12.0,13.0,11.0,2.0,16.0,9.0,2.0
17.0,Yuth Monyoudom,90.0,8.0,34.0,17.0,2.0,2.0,16.0,9.0,2.0
18.0,Sean Oudom,91.0,21.0,13.0,17.0,11.0,2.0,16.0,9.0,2.0
19.0,Amarin Ouk,95.0,26.0,22.0,16.0,11.0,1.0,8.0,9.0,2.0
20.0,Chea Van Panharith,100.0,23.0,20.0,17.0,11.0,2.0,16.0,9.0,2.0
21.0,Kheang Prosithreach,102.0,13.0,34.0,17.0,9.0,2.0,16.0,9.0,2.0
21.0,Theng Yhong,102.0,28.0,29.0,17.0,11.0,2.0,7.0,6.0,2.0
23.0,Nov Panha,103.0,33.0,18.0,12.0,11.0,2.0,16.0,9.0,2.0
24.0,Keat Khemreach,105.0,14.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
25.0,Long Peakdey,106.0,32.0,17.0,17.0,11.0,2.0,16.0,9.0,2.0
25.0,Sok Serey Panha,106.0,34.0,30.0,17.0,10.0,2.0,4.0,7.0,2.0
27.0,Penn Phuthunn,108.0,17.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
27.0,Noue Panharong,108.0,27.0,24.0,17.0,11.0,2.0,16.0,9.0,2.0
29.0,Thun Sovannroth,109.0,44.0,26.0,14.0,11.0,2.0,5.0,5.0,2.0
30.0,Sin Chankrisna,112.0,38.0,23.0,17.0,11.0,2.0,10.0,9.0,2.0
31.0,Keat Amrin,113.0,22.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
32.0,Torbheng Vitu,114.0,42.0,28.0,17.0,11.0,2.0,3.0,9.0,2.0
33.0,Ungchea Rithikmonin,115.0,31.0,27.0,17.0,11.0,2.0,16.0,9.0,2.0
33.0,Kuch Sovannkiry,115.0,37.0,25.0,17.0,11.0,2.0,12.0,9.0,2.0
33.0,Sun Chaney,115.0,24.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
36.0,Chhay Samsak,116.0,25.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
37.0,Oul Kimhak,120.0,29.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
37.0,Ro Atithya,120.0,36.0,31.0,17.0,11.0,2.0,13.0,8.0,2.0
39.0,Vicheth Ratanak Sambath,121.0,30.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
40.0,Jamal Nasir Abgari,126.0,35.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
41.0,Phai Phasal,130.0,39.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
42.0,Jamal Nasir Abrar,131.0,40.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
43.0,Pov Visoth Lee,132.0,54.0,21.0,17.0,11.0,2.0,16.0,9.0,2.0
43.0,Meng Leanghuy,132.0,41.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
45.0,Dy Alisha,134.0,43.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
45.0,Phuong Khemarak,134.0,46.0,32.0,17.0,11.0,2.0,15.0,9.0,2.0
47.0,Boung Eang Chorng,136.0,45.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
48.0,Phearom Rithysak,138.0,47.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
49.0,Heng Virak Vuth,139.0,48.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
50.0,Chea Rotanakvisal,140.0,49.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
51.0,SreyKim Mom,141.0,53.0,33.0,17.0,11.0,2.0,14.0,9.0,2.0
51.0,Daniel Yiv,141.0,50.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
53.0,AN Tepvisoth,142.0,51.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
54.0,Richard Yiv,143.0,52.0,34.0,17.0,11.0,2.0,16.0,9.0,2.0
