Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Zhiyuan Ma (马之元),861.0,23.0,4.0,48.0,44.0,36.0,91.0,9.0,71.0,50.0,67.0,40.0,90.0,12.0,70.0,41.0,69.0,96.0
2.0,Max Xiong (熊锐明),945.0,38.0,133.0,3.0,7.0,2.0,3.0,113.0,17.0,68.0,232.0,43.0,23.0,48.0,95.0,38.0,44.0,38.0
3.0,Sheng Cao (曹晟),983.0,51.0,77.0,18.0,18.0,14.0,19.0,40.0,174.0,7.0,41.0,14.0,82.0,56.0,45.0,109.0,69.0,149.0
4.0,Xinyun Chen (陈新运),1114.0,121.0,14.0,59.0,25.0,43.0,40.0,44.0,71.0,135.0,157.0,58.0,51.0,40.0,122.0,26.0,48.0,60.0
5.0,Yibo Wang (王奕博),1159.0,32.0,17.0,13.0,3.0,10.0,41.0,321.0,157.0,3.0,26.0,7.0,5.0,12.0,130.0,109.0,69.0,204.0
6.0,Xingkai Yin (尹星凯),1534.0,183.0,6.0,43.0,31.0,95.0,55.0,397.0,40.0,20.0,85.0,9.0,5.0,80.0,103.0,109.0,69.0,204.0
7.0,Yinghao Wang (王鹰豪),1723.0,46.0,12.0,27.0,39.0,59.0,194.0,130.0,40.0,56.0,76.0,180.0,80.0,83.0,465.0,109.0,69.0,58.0
8.0,Yunke Zhang (张云柯),1799.0,198.0,246.0,56.0,109.0,53.0,70.0,140.0,12.0,162.0,19.0,86.0,276.0,45.0,69.0,102.0,63.0,93.0
9.0,Xinjie Shi (施鑫杰),1819.0,171.0,121.0,53.0,51.0,97.0,116.0,105.0,27.0,205.0,86.0,245.0,69.0,68.0,138.0,109.0,69.0,89.0
10.0,Yunqi Ouyang (欧阳韵奇),1919.0,498.0,103.0,104.0,174.0,73.0,73.0,81.0,17.0,123.0,84.0,157.0,200.0,96.0,56.0,28.0,26.0,26.0
11.0,Yunliang Zhang (张赟量),2010.0,54.0,21.0,31.0,24.0,23.0,53.0,891.0,49.0,12.0,101.0,2.0,122.0,96.0,149.0,109.0,69.0,204.0
12.0,Kanting Shi (史勘霆),2289.0,57.0,77.0,73.0,156.0,63.0,54.0,299.0,421.0,32.0,61.0,47.0,192.0,281.0,94.0,109.0,69.0,204.0
13.0,Xiaobin Rui (芮晓彬),2624.0,144.0,253.0,34.0,94.0,48.0,131.0,420.0,133.0,93.0,87.0,133.0,339.0,271.0,62.0,109.0,69.0,204.0
14.0,Qijun Miao (缪其隽),2661.0,622.0,152.0,147.0,260.0,178.0,129.0,374.0,27.0,147.0,97.0,152.0,49.0,3.0,71.0,84.0,69.0,100.0
15.0,Zhichun Li (李志纯),2685.0,268.0,359.0,78.0,210.0,149.0,152.0,119.0,157.0,221.0,352.0,30.0,73.0,86.0,96.0,62.0,69.0,204.0
16.0,Jiawei Wu (伍嘉维),2719.0,163.0,15.0,76.0,50.0,67.0,41.0,891.0,301.0,25.0,266.0,51.0,82.0,286.0,23.0,109.0,69.0,204.0
17.0,Chengyang Song (宋成阳),2735.0,59.0,47.0,36.0,58.0,71.0,135.0,468.0,268.0,99.0,210.0,134.0,317.0,166.0,285.0,109.0,69.0,204.0
18.0,Yu Feng (冯煜),3051.0,247.0,464.0,58.0,8.0,16.0,9.0,891.0,208.0,28.0,180.0,78.0,119.0,192.0,171.0,109.0,69.0,204.0
19.0,Zijia Feng (冯子甲),3075.0,140.0,280.0,39.0,141.0,669.0,51.0,411.0,40.0,282.0,11.0,237.0,331.0,107.0,2.0,109.0,69.0,156.0
20.0,Jiazhou Li (李佳洲),3231.0,28.0,9.0,16.0,37.0,268.0,532.0,22.0,706.0,5.0,1141.0,34.0,11.0,35.0,5.0,109.0,69.0,204.0
21.0,Qingbin Chen (陈庆斌),3233.0,153.0,87.0,162.0,224.0,116.0,162.0,149.0,95.0,87.0,303.0,559.0,127.0,481.0,275.0,109.0,69.0,75.0
22.0,Anyu Zhang (张安宇),3269.0,93.0,109.0,32.0,4.0,1.0,2.0,456.0,133.0,176.0,218.0,26.0,470.0,150.0,1023.0,109.0,69.0,198.0
23.0,Zixuan Liu (刘子瑄),3339.0,107.0,170.0,49.0,11.0,5.0,4.0,891.0,27.0,173.0,326.0,396.0,546.0,223.0,29.0,109.0,69.0,204.0
24.0,Aolin Tang (唐奥林),3370.0,208.0,585.0,95.0,68.0,98.0,132.0,891.0,157.0,81.0,110.0,18.0,322.0,130.0,93.0,109.0,69.0,204.0
25.0,Bo Wang (王擘),3459.0,66.0,87.0,26.0,20.0,21.0,48.0,891.0,49.0,77.0,585.0,338.0,322.0,321.0,226.0,109.0,69.0,204.0
26.0,Chengxiang Cui (崔程翔),3507.0,442.0,121.0,305.0,123.0,106.0,110.0,891.0,133.0,123.0,88.0,97.0,108.0,146.0,332.0,109.0,69.0,204.0
27.0,Xuechao Zhang (张学超),3542.0,132.0,123.0,72.0,137.0,202.0,890.0,346.0,706.0,35.0,170.0,89.0,96.0,155.0,7.0,109.0,69.0,204.0
28.0,Xulang Li (黎旭朗),3558.0,99.0,21.0,189.0,353.0,325.0,499.0,891.0,301.0,65.0,167.0,92.0,10.0,88.0,76.0,109.0,69.0,204.0
29.0,Weijie Fang (方伟杰),3642.0,324.0,959.0,45.0,98.0,49.0,66.0,112.0,71.0,228.0,236.0,16.0,688.0,341.0,302.0,40.0,32.0,35.0
30.0,Jiayu Wang (王佳宇),3644.0,14.0,34.0,15.0,66.0,160.0,204.0,150.0,71.0,16.0,635.0,256.0,648.0,1049.0,170.0,37.0,62.0,57.0
31.0,Zian Song (宋子安),3646.0,245.0,751.0,121.0,83.0,54.0,50.0,110.0,133.0,861.0,241.0,408.0,7.0,295.0,113.0,32.0,19.0,123.0
32.0,Yifan Wang (王逸帆),3667.0,454.0,10.0,506.0,357.0,284.0,179.0,2.0,6.0,704.0,367.0,258.0,35.0,185.0,283.0,10.0,16.0,11.0
33.0,Yuhang Sun (孙煜航),3691.0,163.0,258.0,119.0,38.0,89.0,96.0,120.0,706.0,222.0,162.0,52.0,778.0,449.0,57.0,109.0,69.0,204.0
34.0,Chunyu Zhang (张春雨),3729.0,444.0,292.0,443.0,257.0,86.0,155.0,123.0,49.0,436.0,273.0,276.0,185.0,420.0,135.0,35.0,25.0,95.0
35.0,Fubo Wang (王富博),3799.0,352.0,184.0,239.0,165.0,118.0,107.0,289.0,336.0,110.0,177.0,305.0,292.0,449.0,294.0,109.0,69.0,204.0
36.0,Yunhao Lou (娄云皓),3874.0,708.0,294.0,122.0,81.0,353.0,405.0,136.0,3.0,735.0,1.0,319.0,138.0,426.0,6.0,63.0,33.0,51.0
37.0,Yuhao Deng (邓宇豪),4001.0,156.0,70.0,241.0,253.0,371.0,181.0,891.0,49.0,42.0,726.0,250.0,260.0,117.0,12.0,109.0,69.0,204.0
38.0,Junze Zhao (赵俊泽),4041.0,181.0,62.0,40.0,34.0,66.0,890.0,891.0,706.0,77.0,265.0,3.0,225.0,170.0,49.0,109.0,69.0,204.0
39.0,Mulun Yin (阴目仑),4170.0,10.0,47.0,7.0,6.0,263.0,890.0,680.0,174.0,10.0,312.0,132.0,209.0,899.0,149.0,109.0,69.0,204.0
40.0,Zishuo Zhang (张子硕),4262.0,140.0,230.0,430.0,501.0,366.0,444.0,395.0,301.0,454.0,170.0,83.0,125.0,84.0,157.0,109.0,69.0,204.0
41.0,Yubo Ji (纪宇博),4410.0,190.0,44.0,108.0,348.0,343.0,354.0,657.0,706.0,165.0,296.0,384.0,242.0,109.0,82.0,109.0,69.0,204.0
41.0,Junqi Feng (冯骏骐),4410.0,237.0,401.0,289.0,289.0,379.0,731.0,310.0,706.0,269.0,9.0,316.0,4.0,25.0,100.0,109.0,69.0,167.0
43.0,Wenxuan Tang (唐文轩),4440.0,175.0,424.0,183.0,134.0,30.0,21.0,891.0,706.0,214.0,243.0,164.0,150.0,390.0,333.0,109.0,69.0,204.0
44.0,Mo Ji (季默),4456.0,672.0,75.0,221.0,449.0,258.0,170.0,233.0,49.0,126.0,512.0,772.0,256.0,42.0,321.0,104.0,69.0,127.0
45.0,Ying Lin (林颖),4552.0,317.0,663.0,196.0,190.0,61.0,39.0,891.0,174.0,21.0,227.0,88.0,756.0,409.0,138.0,109.0,69.0,204.0
46.0,Zongyang Li (李宗阳),4568.0,381.0,128.0,258.0,215.0,122.0,75.0,891.0,367.0,886.0,95.0,306.0,120.0,1.0,341.0,109.0,69.0,204.0
46.0,Xun Zhao (赵洵),4568.0,494.0,522.0,331.0,547.0,360.0,484.0,148.0,95.0,441.0,380.0,143.0,234.0,123.0,111.0,59.0,28.0,68.0
48.0,Dongzhe Li (李东哲),4607.0,257.0,1053.0,214.0,78.0,152.0,161.0,241.0,174.0,87.0,20.0,6.0,1088.0,321.0,373.0,109.0,69.0,204.0
49.0,Shujie Fang (方述杰),4609.0,167.0,56.0,265.0,185.0,141.0,102.0,871.0,157.0,55.0,613.0,264.0,684.0,455.0,212.0,109.0,69.0,204.0
50.0,Zhenyu Wang (王振宇),4687.0,129.0,67.0,87.0,527.0,933.0,890.0,573.0,595.0,58.0,331.0,20.0,13.0,74.0,8.0,109.0,69.0,204.0
51.0,Xuan Liu (刘璇),4712.0,609.0,812.0,204.0,107.0,171.0,137.0,223.0,301.0,699.0,207.0,223.0,369.0,60.0,300.0,109.0,69.0,112.0
52.0,Chilin Fang (方炽霖),4748.0,362.0,528.0,470.0,108.0,195.0,182.0,356.0,133.0,245.0,183.0,273.0,582.0,703.0,46.0,109.0,69.0,204.0
53.0,Tianze Xu (徐天泽),4764.0,196.0,341.0,163.0,92.0,24.0,44.0,891.0,174.0,84.0,1141.0,229.0,331.0,59.0,613.0,109.0,69.0,204.0
54.0,Yusheng Du (杜宇生),4785.0,1.0,32.0,5.0,13.0,17.0,17.0,427.0,706.0,15.0,1141.0,45.0,783.0,178.0,1023.0,109.0,69.0,204.0
55.0,Yezhen Han (韩业臻),4791.0,6.0,42.0,11.0,67.0,130.0,119.0,891.0,706.0,337.0,693.0,148.0,96.0,140.0,1023.0,109.0,69.0,204.0
56.0,Haibo Sui (隋海波),4864.0,149.0,139.0,152.0,286.0,339.0,359.0,737.0,706.0,542.0,232.0,178.0,59.0,281.0,323.0,109.0,69.0,204.0
