Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,José Leonardo Chaparro Prieto,189.0,18.0,1.0,9.0,19.0,16.0,19.0,11.0,2.0,19.0,26.0,3.0,7.0,9.0,13.0,8.0,4.0,5.0
2.0,Jose Carlos García Vélez,257.0,13.0,29.0,3.0,3.0,2.0,3.0,51.0,18.0,11.0,10.0,7.0,27.0,16.0,2.0,16.0,7.0,39.0
3.0,Oscar Nieto,261.0,8.0,14.0,16.0,12.0,10.0,8.0,16.0,18.0,8.0,41.0,21.0,37.0,2.0,20.0,13.0,6.0,11.0
4.0,Hector David Martinez Argaez,289.0,10.0,3.0,4.0,11.0,7.0,10.0,88.0,3.0,33.0,17.0,17.0,13.0,10.0,1.0,16.0,7.0,39.0
5.0,Michael Andres Castillo Lemus,299.0,6.0,2.0,1.0,4.0,5.0,9.0,93.0,18.0,6.0,40.0,5.0,22.0,19.0,7.0,16.0,7.0,39.0
6.0,Alejandro Restrepo Echeverri,321.0,15.0,18.0,30.0,28.0,29.0,44.0,34.0,1.0,27.0,5.0,13.0,9.0,3.0,18.0,14.0,7.0,26.0
7.0,Gabriel Santiago Velez Gonzalez,428.0,5.0,41.0,2.0,1.0,1.0,1.0,76.0,8.0,4.0,31.0,6.0,131.0,32.0,27.0,16.0,7.0,39.0
7.0,Daniel Cano Salgado,428.0,20.0,4.0,17.0,14.0,20.0,16.0,21.0,26.0,12.0,7.0,25.0,92.0,105.0,14.0,16.0,7.0,12.0
9.0,Julian Alejandro Forero Gonzalez,433.0,91.0,38.0,24.0,8.0,12.0,4.0,5.0,35.0,50.0,9.0,29.0,50.0,43.0,28.0,3.0,1.0,3.0
10.0,Ramses Amaya,514.0,8.0,7.0,12.0,109.0,136.0,99.0,2.0,18.0,34.0,16.0,9.0,5.0,37.0,16.0,2.0,2.0,2.0
11.0,Jhon Edinson Arias Parra,533.0,77.0,55.0,18.0,6.0,8.0,6.0,41.0,18.0,32.0,34.0,26.0,36.0,108.0,21.0,16.0,7.0,24.0
12.0,Stiven Ortiz,538.0,35.0,54.0,15.0,17.0,30.0,34.0,66.0,26.0,40.0,18.0,14.0,89.0,21.0,17.0,16.0,7.0,39.0
13.0,Eduard Esteban García Domínguez,558.0,47.0,66.0,43.0,44.0,34.0,28.0,57.0,8.0,21.0,33.0,33.0,18.0,38.0,26.0,16.0,7.0,39.0
14.0,Diego Alejandro Casas Jimenez,582.0,49.0,17.0,91.0,38.0,21.0,20.0,19.0,13.0,29.0,13.0,52.0,51.0,71.0,57.0,15.0,7.0,19.0
15.0,Nicolás Shwkyng Monroy,602.0,25.0,45.0,28.0,19.0,26.0,22.0,38.0,35.0,36.0,24.0,82.0,75.0,60.0,49.0,16.0,7.0,15.0
16.0,José David Rendón Martínez,616.0,13.0,16.0,23.0,43.0,92.0,99.0,93.0,29.0,31.0,36.0,11.0,17.0,1.0,50.0,16.0,7.0,39.0
17.0,Felipe Rueda Hernández,639.0,10.0,26.0,20.0,26.0,32.0,29.0,69.0,13.0,47.0,65.0,4.0,74.0,96.0,66.0,16.0,7.0,39.0
18.0,Luis Angel Contreras Ospina,687.0,26.0,38.0,13.0,29.0,22.0,25.0,53.0,85.0,14.0,48.0,56.0,8.0,33.0,175.0,16.0,7.0,39.0
19.0,Jose Daniel Cobo Torres,698.0,7.0,18.0,7.0,2.0,4.0,7.0,93.0,85.0,39.0,81.0,1.0,222.0,41.0,29.0,16.0,7.0,39.0
20.0,Alejandro Isaza,710.0,58.0,70.0,31.0,48.0,74.0,81.0,33.0,8.0,26.0,63.0,92.0,1.0,26.0,56.0,16.0,7.0,20.0
21.0,José David Castiblanco Marin,744.0,51.0,154.0,58.0,39.0,24.0,33.0,27.0,11.0,43.0,53.0,67.0,48.0,54.0,32.0,12.0,7.0,31.0
22.0,Giovanny Coronado,755.0,73.0,37.0,57.0,54.0,53.0,43.0,93.0,29.0,43.0,38.0,41.0,40.0,87.0,5.0,16.0,7.0,39.0
23.0,Nicolás Lasso Peña,774.0,82.0,5.0,52.0,25.0,37.0,21.0,25.0,5.0,102.0,84.0,44.0,84.0,95.0,72.0,16.0,7.0,18.0
23.0,Renzo Rodriguez Moreno,774.0,29.0,91.0,25.0,22.0,38.0,45.0,93.0,13.0,46.0,153.0,10.0,47.0,58.0,42.0,16.0,7.0,39.0
