Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Kyle McDonald Trejos,91.0,15.0,6.0,2.0,2.0,1.0,1.0,14.0,7.0,5.0,12.0,7.0,4.0,7.0,8.0
2.0,Michael Zúñiga Meléndez,97.0,5.0,1.0,1.0,1.0,2.0,18.0,14.0,7.0,9.0,12.0,4.0,9.0,3.0,11.0
3.0,Dagne Poveda,113.0,13.0,13.0,12.0,9.0,7.0,5.0,14.0,7.0,23.0,2.0,3.0,2.0,1.0,2.0
4.0,Christian Rodríguez,124.0,3.0,8.0,4.0,11.0,10.0,16.0,14.0,7.0,1.0,5.0,13.0,18.0,9.0,5.0
5.0,Sebastián Herrera Pomares,138.0,10.0,14.0,3.0,5.0,4.0,3.0,12.0,7.0,8.0,12.0,16.0,10.0,24.0,10.0
6.0,Andres Sanchez Ponce,143.0,11.0,2.0,15.0,12.0,12.0,13.0,14.0,6.0,19.0,3.0,6.0,14.0,10.0,6.0
7.0,David Calderón Arce,163.0,7.0,10.0,13.0,21.0,8.0,18.0,14.0,7.0,3.0,12.0,1.0,6.0,4.0,39.0
8.0,Jefferson Fallas Rojas,170.0,20.0,38.0,7.0,7.0,3.0,2.0,14.0,7.0,17.0,12.0,10.0,8.0,13.0,12.0
9.0,Andrés Irías Li,183.0,1.0,20.0,8.0,8.0,9.0,7.0,6.0,1.0,11.0,4.0,17.0,40.0,26.0,25.0
10.0,Daniel Sibaja Salazar,195.0,12.0,7.0,17.0,14.0,19.0,14.0,14.0,7.0,21.0,12.0,22.0,13.0,5.0,18.0
11.0,Sebastian Guerrero,201.0,28.0,15.0,22.0,13.0,11.0,8.0,14.0,3.0,19.0,1.0,9.0,16.0,23.0,19.0
12.0,Andres Daniel Navarro Flores,203.0,22.0,4.0,26.0,19.0,20.0,18.0,3.0,7.0,31.0,11.0,8.0,25.0,6.0,3.0
13.0,Carlos Andres Gonzaga,216.0,19.0,11.0,18.0,24.0,27.0,18.0,10.0,7.0,6.0,6.0,2.0,7.0,48.0,13.0
14.0,Alejandro Hernández Arce,231.0,14.0,26.0,11.0,17.0,27.0,18.0,14.0,7.0,14.0,12.0,21.0,21.0,8.0,21.0
15.0,Andrey Lopez Rodríguez,233.0,24.0,12.0,6.0,10.0,14.0,10.0,14.0,7.0,13.0,12.0,5.0,27.0,40.0,39.0
16.0,Isaí Abarca Smith,246.0,6.0,17.0,5.0,4.0,27.0,6.0,14.0,7.0,16.0,12.0,72.0,1.0,20.0,39.0
17.0,Jostin Alvarez,254.0,8.0,3.0,20.0,3.0,6.0,4.0,14.0,2.0,3.0,12.0,15.0,62.0,63.0,39.0
18.0,Bryan Sales,268.0,23.0,23.0,36.0,36.0,27.0,18.0,14.0,7.0,12.0,12.0,28.0,5.0,11.0,16.0
19.0,Jose Daniel Solano Rodríguez,295.0,47.0,18.0,28.0,20.0,24.0,15.0,14.0,4.0,40.0,9.0,31.0,29.0,15.0,1.0
20.0,Aarón Alfaro Navarro,297.0,9.0,33.0,14.0,6.0,5.0,18.0,14.0,7.0,64.0,12.0,26.0,52.0,14.0,23.0
21.0,Byron Ortiz Rojas,313.0,26.0,32.0,24.0,39.0,27.0,18.0,14.0,7.0,34.0,12.0,11.0,18.0,29.0,22.0
22.0,Jason Conejo Aguilar,335.0,16.0,5.0,21.0,69.0,27.0,18.0,14.0,7.0,33.0,12.0,14.0,3.0,69.0,27.0
23.0,Brandon Alejandro Carpio Garita,367.0,37.0,45.0,55.0,49.0,26.0,18.0,14.0,7.0,58.0,12.0,23.0,17.0,2.0,4.0
24.0,Dilan Masis Alfaro,368.0,55.0,21.0,38.0,22.0,17.0,18.0,14.0,5.0,51.0,7.0,19.0,23.0,39.0,39.0
25.0,Andrés Hernández Cabrera,372.0,27.0,36.0,16.0,30.0,27.0,18.0,8.0,7.0,18.0,12.0,72.0,35.0,27.0,39.0
26.0,Eduardo José Poveda Rojas,381.0,17.0,8.0,47.0,38.0,27.0,18.0,1.0,7.0,2.0,12.0,38.0,66.0,67.0,33.0
27.0,Jeferson Salazar Zambrana,399.0,35.0,28.0,19.0,23.0,16.0,18.0,14.0,7.0,32.0,12.0,12.0,50.0,94.0,39.0
28.0,Juan Andrés Montero Zúñiga,402.0,54.0,19.0,44.0,34.0,27.0,18.0,7.0,7.0,41.0,12.0,20.0,15.0,65.0,39.0
29.0,Jonathan Sanchez Solis,414.0,59.0,22.0,51.0,55.0,27.0,18.0,14.0,7.0,38.0,12.0,49.0,11.0,12.0,39.0
30.0,Adoni Chaves Artiaga,419.0,31.0,40.0,39.0,15.0,13.0,9.0,14.0,7.0,65.0,12.0,24.0,99.0,36.0,15.0
31.0,Dereck Arrieta Zuñiga,420.0,33.0,66.0,49.0,29.0,15.0,18.0,14.0,7.0,55.0,12.0,35.0,31.0,17.0,39.0
32.0,Kenneth Sancho,442.0,53.0,60.0,37.0,35.0,18.0,12.0,4.0,7.0,28.0,10.0,64.0,53.0,47.0,14.0
33.0,Sebastián Chaves,450.0,77.0,55.0,45.0,69.0,27.0,18.0,14.0,7.0,29.0,12.0,25.0,28.0,35.0,9.0
33.0,Ronald Ocampo Martínez,450.0,41.0,48.0,27.0,56.0,27.0,18.0,9.0,7.0,52.0,12.0,37.0,50.0,42.0,24.0
35.0,Wilson Chavarria,473.0,67.0,16.0,43.0,32.0,27.0,18.0,14.0,7.0,60.0,12.0,60.0,93.0,17.0,7.0
36.0,Melvin Ariel Rojas Hernández,485.0,49.0,43.0,56.0,69.0,27.0,18.0,14.0,7.0,46.0,12.0,33.0,42.0,30.0,39.0
37.0,Caleb Aguirre Arias,491.0,52.0,39.0,60.0,64.0,27.0,18.0,14.0,7.0,54.0,12.0,18.0,43.0,44.0,39.0
38.0,David Alfaro Estrada,501.0,18.0,25.0,30.0,59.0,27.0,18.0,14.0,7.0,48.0,12.0,56.0,91.0,57.0,39.0
39.0,Antonio Bastos Fonseca,511.0,36.0,24.0,40.0,47.0,27.0,18.0,14.0,7.0,105.0,12.0,27.0,81.0,34.0,39.0
40.0,Daniel Josué Sandí Alvarado,514.0,2.0,35.0,10.0,16.0,27.0,18.0,14.0,7.0,7.0,12.0,72.0,152.0,103.0,39.0
40.0,David Herrera Castro,514.0,4.0,29.0,9.0,18.0,27.0,18.0,14.0,7.0,10.0,12.0,72.0,152.0,103.0,39.0
42.0,Jose Gabriel Alvarez Castrillo,524.0,46.0,52.0,41.0,50.0,27.0,18.0,14.0,7.0,35.0,12.0,54.0,26.0,103.0,39.0
43.0,Ramsés Lall Ramírez,527.0,74.0,27.0,46.0,40.0,21.0,18.0,14.0,7.0,49.0,12.0,47.0,87.0,46.0,39.0
44.0,Andrew Infante Oviedo,535.0,86.0,105.0,50.0,25.0,22.0,18.0,14.0,7.0,39.0,12.0,52.0,64.0,21.0,20.0
45.0,Joel Núñez González,548.0,25.0,95.0,58.0,69.0,27.0,18.0,14.0,7.0,42.0,12.0,72.0,48.0,22.0,39.0
46.0,Sebastian Díaz Rodríguez,550.0,40.0,47.0,54.0,37.0,27.0,18.0,14.0,7.0,43.0,12.0,29.0,152.0,31.0,39.0
47.0,Ethan Benavides Segura,556.0,61.0,49.0,85.0,69.0,27.0,18.0,14.0,7.0,37.0,12.0,72.0,41.0,25.0,39.0
48.0,Luis David Richmond Soto,559.0,66.0,34.0,35.0,44.0,27.0,18.0,14.0,7.0,79.0,12.0,55.0,58.0,71.0,39.0
49.0,Gerson Umaña Nuñez,564.0,51.0,40.0,32.0,31.0,27.0,18.0,14.0,7.0,26.0,12.0,72.0,113.0,82.0,39.0
50.0,Sebastián Fonseca Vargas,569.0,119.0,31.0,68.0,69.0,27.0,18.0,14.0,7.0,90.0,12.0,39.0,21.0,15.0,39.0
51.0,Jafeth Leiva Mejía,595.0,21.0,46.0,29.0,33.0,27.0,18.0,14.0,7.0,45.0,12.0,72.0,152.0,80.0,39.0
52.0,Tyronne Granados Alvarado,599.0,80.0,97.0,59.0,52.0,27.0,18.0,13.0,7.0,47.0,12.0,34.0,31.0,83.0,39.0
53.0,Kristian Jesús Guadamuz Chinchilla,600.0,57.0,81.0,53.0,48.0,27.0,18.0,14.0,7.0,24.0,12.0,65.0,103.0,52.0,39.0
54.0,Jimmy David Solís Delgado,602.0,59.0,54.0,65.0,43.0,27.0,18.0,14.0,7.0,50.0,12.0,50.0,76.0,88.0,39.0
55.0,Bryan Miguel Espinoza Steller,606.0,73.0,75.0,34.0,69.0,27.0,18.0,14.0,7.0,70.0,12.0,72.0,46.0,54.0,35.0
56.0,José Fernando Rivera Villalobos,609.0,98.0,43.0,62.0,66.0,27.0,18.0,14.0,7.0,62.0,12.0,45.0,78.0,51.0,26.0
57.0,Nahúm Briceño Araya,622.0,32.0,72.0,63.0,69.0,27.0,18.0,14.0,7.0,27.0,12.0,72.0,67.0,103.0,39.0
58.0,Sebastián Kurzen Abarca,625.0,39.0,80.0,25.0,28.0,23.0,18.0,14.0,7.0,53.0,12.0,32.0,152.0,103.0,39.0
