Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,David Vujasić,30.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0
2.0,Dominik Vidaković,69.0,5.0,3.0,4.0,6.0,2.0,4.0,5.0,2.0,5.0,6.0,3.0,5.0,1.0,11.0,2.0,2.0,3.0
3.0,Jakov Srečković,100.0,9.0,12.0,9.0,7.0,9.0,13.0,1.0,1.0,4.0,1.0,14.0,2.0,9.0,6.0,1.0,1.0,1.0
4.0,Matej Marković,101.0,3.0,5.0,3.0,5.0,6.0,7.0,4.0,10.0,3.0,19.0,4.0,6.0,15.0,4.0,2.0,2.0,3.0
5.0,Lucijan Cvijetović,148.0,8.0,6.0,7.0,4.0,4.0,3.0,11.0,15.0,12.0,19.0,10.0,17.0,7.0,18.0,2.0,2.0,3.0
6.0,Dominik Hoić,169.0,7.0,10.0,5.0,12.0,19.0,13.0,10.0,6.0,18.0,19.0,18.0,10.0,8.0,7.0,2.0,2.0,3.0
7.0,Hrvoje Mavriček,191.0,6.0,22.0,11.0,35.0,19.0,13.0,11.0,15.0,7.0,10.0,23.0,4.0,5.0,3.0,2.0,2.0,3.0
8.0,Nenad Marjanović,195.0,15.0,28.0,8.0,3.0,5.0,5.0,11.0,15.0,31.0,19.0,5.0,21.0,17.0,5.0,2.0,2.0,3.0
9.0,Filip Premužić,219.0,34.0,13.0,19.0,17.0,14.0,13.0,11.0,11.0,19.0,3.0,13.0,8.0,20.0,17.0,2.0,2.0,3.0
10.0,Domagoj Vukosavljević,228.0,18.0,7.0,10.0,10.0,19.0,13.0,11.0,15.0,13.0,19.0,11.0,7.0,59.0,9.0,2.0,2.0,3.0
11.0,Sven Eder,235.0,12.0,14.0,24.0,26.0,19.0,13.0,11.0,15.0,15.0,19.0,29.0,12.0,4.0,15.0,2.0,2.0,3.0
12.0,Lovro Gladić,265.0,23.0,30.0,23.0,14.0,17.0,13.0,7.0,15.0,22.0,19.0,16.0,19.0,27.0,13.0,2.0,2.0,3.0
