Rank,name,Sum,333,222,444,555,333oh,pyram,skewb,sq1
1.0,Daniel Orlando Valdes Arzola,15.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0
2.0,Walter Borjas,17.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0
3.0,Levi Orta,21.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,2.0
4.0,Gabriel Campos,23.0,3.0,5.0,4.0,2.0,3.0,1.0,3.0,2.0
4.0,Andy Valdes,23.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
6.0,Fidel Aschkar,27.0,6.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0
7.0,Yassan Monzo,29.0,7.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0
8.0,Carla Gonzalez,30.0,8.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0
9.0,Yassed Monzo,31.0,9.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0
10.0,Andres Gonzalez Jr.,32.0,10.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0
