Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Michael Eleftheriades,22.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0
2.0,Panayiotis Isaia,38.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,9.0,6.0
3.0,Michalis Papakyriakou,71.0,5.0,8.0,7.0,3.0,5.0,4.0,2.0,8.0,3.0,7.0,14.0,3.0,2.0
4.0,Spyridon Protopapas,83.0,3.0,5.0,3.0,5.0,7.0,4.0,2.0,2.0,6.0,3.0,6.0,25.0,12.0
5.0,Constantinos Kapelos,88.0,9.0,7.0,11.0,9.0,4.0,4.0,2.0,7.0,5.0,6.0,16.0,1.0,7.0
6.0,Constantinos Fourlas,118.0,4.0,6.0,4.0,10.0,7.0,4.0,2.0,5.0,24.0,4.0,24.0,12.0,12.0
7.0,Daniel Gron,132.0,10.0,4.0,22.0,18.0,7.0,4.0,2.0,11.0,14.0,12.0,5.0,15.0,8.0
8.0,Petros Gregoriades,149.0,6.0,3.0,6.0,18.0,7.0,4.0,2.0,14.0,24.0,26.0,20.0,7.0,12.0
9.0,Kiriakos Anastasi,151.0,15.0,10.0,16.0,8.0,7.0,4.0,2.0,21.0,20.0,8.0,12.0,16.0,12.0
10.0,George Patsalosavvis,156.0,42.0,17.0,15.0,7.0,3.0,2.0,2.0,16.0,11.0,10.0,13.0,14.0,4.0
10.0,Anastasis Papadopoulos,156.0,17.0,9.0,19.0,18.0,7.0,4.0,2.0,22.0,8.0,14.0,25.0,6.0,5.0
12.0,Loucas Iatrou,174.0,20.0,14.0,10.0,18.0,7.0,4.0,2.0,13.0,24.0,26.0,2.0,22.0,12.0
13.0,Rafail Chimaris,178.0,12.0,13.0,53.0,18.0,7.0,4.0,2.0,15.0,10.0,5.0,7.0,20.0,12.0
14.0,Theodoros Tsakalos,210.0,7.0,11.0,5.0,2.0,7.0,4.0,2.0,6.0,24.0,26.0,51.0,53.0,12.0
15.0,Thanasis Moschos,212.0,21.0,15.0,24.0,18.0,7.0,4.0,2.0,30.0,22.0,23.0,26.0,8.0,12.0
16.0,Vladimir Novikov,222.0,36.0,21.0,20.0,15.0,7.0,4.0,2.0,9.0,24.0,26.0,36.0,10.0,12.0
17.0,Marios Romanos,231.0,22.0,24.0,53.0,18.0,7.0,4.0,2.0,12.0,7.0,9.0,42.0,19.0,12.0
18.0,Ioannis Christou,240.0,26.0,46.0,18.0,11.0,7.0,4.0,2.0,17.0,12.0,22.0,46.0,17.0,12.0
19.0,Christoforos Loizides,243.0,35.0,31.0,30.0,18.0,7.0,4.0,2.0,38.0,24.0,26.0,3.0,13.0,12.0
20.0,Ignatios Papathemistokleous,251.0,56.0,22.0,28.0,13.0,6.0,4.0,2.0,29.0,1.0,24.0,22.0,32.0,12.0
21.0,Nasos Kousis,259.0,25.0,19.0,9.0,18.0,7.0,4.0,2.0,31.0,24.0,26.0,29.0,53.0,12.0
22.0,Theodoulous Stavrou,269.0,48.0,16.0,35.0,17.0,7.0,4.0,2.0,35.0,24.0,17.0,48.0,4.0,12.0
23.0,Ivan Valov,277.0,28.0,18.0,41.0,18.0,7.0,4.0,2.0,39.0,13.0,20.0,43.0,34.0,10.0
24.0,Panagiotis Raphael,283.0,13.0,11.0,12.0,18.0,7.0,4.0,2.0,4.0,24.0,26.0,97.0,53.0,12.0
25.0,Alexis Malekos,286.0,19.0,35.0,53.0,18.0,7.0,4.0,2.0,25.0,24.0,26.0,8.0,53.0,12.0
26.0,Christos Panteli,293.0,46.0,39.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,10.0,11.0,12.0
27.0,Christodoulos Alexandrou,294.0,40.0,40.0,29.0,18.0,7.0,4.0,2.0,26.0,24.0,26.0,37.0,29.0,12.0
28.0,Aggelos Pasenides,295.0,11.0,43.0,23.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,49.0,35.0,12.0
29.0,Christos Pavlides,304.0,29.0,44.0,21.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,23.0,53.0,12.0
30.0,Anthimos Panteli,306.0,23.0,28.0,38.0,18.0,7.0,4.0,2.0,32.0,24.0,26.0,39.0,53.0,12.0
31.0,Eric Neophytou,313.0,44.0,34.0,36.0,18.0,7.0,4.0,2.0,41.0,24.0,15.0,45.0,31.0,12.0
32.0,Eftichios Michael,316.0,58.0,25.0,53.0,18.0,7.0,4.0,2.0,33.0,23.0,26.0,31.0,24.0,12.0
33.0,Orestis Nakos Papadopoulos,317.0,49.0,27.0,33.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,21.0,53.0,12.0
34.0,Adamos Demetriou,318.0,39.0,22.0,25.0,18.0,7.0,4.0,2.0,40.0,24.0,26.0,60.0,39.0,12.0
35.0,Thomas Crossley,323.0,8.0,37.0,53.0,12.0,7.0,4.0,2.0,18.0,24.0,26.0,67.0,53.0,12.0
35.0,Elena Seke,323.0,52.0,48.0,53.0,18.0,7.0,4.0,2.0,37.0,21.0,26.0,38.0,5.0,12.0
37.0,Dionysis Paikousis,326.0,37.0,45.0,53.0,14.0,7.0,4.0,2.0,10.0,16.0,18.0,71.0,38.0,11.0
38.0,Nicholas Malais,340.0,53.0,66.0,32.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,27.0,28.0,12.0
39.0,Mikhail Lavrentev,350.0,41.0,71.0,53.0,16.0,7.0,4.0,2.0,28.0,15.0,13.0,61.0,36.0,3.0
40.0,Stylianos Nikolaou,351.0,64.0,41.0,50.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,9.0,53.0,12.0
41.0,Kaan Sener,355.0,67.0,19.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,29.0,53.0,12.0
42.0,Petros Georgiou,356.0,34.0,30.0,53.0,18.0,7.0,4.0,2.0,23.0,24.0,26.0,70.0,53.0,12.0
43.0,Orestis Souzou,358.0,32.0,38.0,37.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,64.0,53.0,12.0
44.0,Nikolas Christou,362.0,33.0,50.0,27.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,21.0,12.0
45.0,Joseph Elbaki,363.0,30.0,32.0,17.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,97.0,53.0,12.0
46.0,Panayiotis Constantinou,366.0,80.0,57.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,15.0,27.0,12.0
47.0,Kyriacos Rouvas,376.0,47.0,42.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,47.0,53.0,12.0
48.0,Daniel Demetriou,379.0,18.0,113.0,8.0,18.0,7.0,4.0,2.0,27.0,24.0,16.0,97.0,33.0,12.0
49.0,Panagiotis Orfanos,380.0,31.0,55.0,34.0,18.0,7.0,4.0,2.0,36.0,24.0,26.0,78.0,53.0,12.0
50.0,Boaz Gavish,384.0,55.0,58.0,31.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,53.0,53.0,12.0
51.0,Panayiotis Zavos,395.0,63.0,53.0,26.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,66.0,53.0,12.0
51.0,Kyriakos Philotheou,395.0,87.0,49.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,19.0,53.0,12.0
53.0,David Vasiliou,400.0,24.0,113.0,14.0,6.0,7.0,4.0,2.0,41.0,17.0,26.0,97.0,37.0,12.0
54.0,Andreas Kreouzos,403.0,60.0,70.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,33.0,53.0,12.0
55.0,Ioannis Panayides,404.0,70.0,29.0,53.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,65.0,53.0,12.0
56.0,Alen Andreasian,405.0,16.0,113.0,13.0,18.0,7.0,4.0,2.0,20.0,24.0,26.0,97.0,53.0,12.0
56.0,Giorgos Tsingas,405.0,99.0,56.0,45.0,18.0,7.0,4.0,2.0,41.0,24.0,26.0,18.0,53.0,12.0
