Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Matěj Grohmann,151.0,1.0,2.0,1.0,1.0,1.0,1.0,13.0,1.0,2.0,61.0,3.0,9.0,9.0,18.0,12.0,5.0,11.0
2.0,Jan Riedl,188.0,2.0,2.0,13.0,12.0,11.0,17.0,5.0,2.0,51.0,14.0,17.0,4.0,11.0,13.0,7.0,3.0,4.0
3.0,Luboš Bartík,197.0,28.0,14.0,4.0,4.0,3.0,3.0,8.0,6.0,7.0,24.0,5.0,26.0,14.0,32.0,4.0,5.0,10.0
4.0,Tomáš Szyszkowicz,219.0,4.0,13.0,6.0,3.0,2.0,2.0,53.0,17.0,4.0,20.0,2.0,22.0,4.0,33.0,13.0,5.0,16.0
5.0,Matěj Mužátko,254.0,5.0,1.0,23.0,18.0,10.0,12.0,1.0,4.0,25.0,10.0,60.0,32.0,12.0,30.0,6.0,4.0,1.0
6.0,Vojtěch Kundera,267.0,8.0,4.0,2.0,10.0,20.0,55.0,53.0,47.0,1.0,8.0,7.0,10.0,1.0,7.0,13.0,5.0,16.0
7.0,Adam Hlavín,310.0,13.0,6.0,22.0,13.0,6.0,9.0,11.0,47.0,40.0,27.0,1.0,14.0,15.0,61.0,5.0,5.0,15.0
8.0,Cyril Teichmann,337.0,75.0,22.0,37.0,20.0,14.0,16.0,14.0,9.0,33.0,6.0,19.0,11.0,21.0,11.0,10.0,5.0,14.0
9.0,Tomáš Novotný,404.0,3.0,29.0,11.0,19.0,24.0,19.0,29.0,2.0,17.0,22.0,46.0,33.0,44.0,72.0,13.0,5.0,16.0
10.0,Jindřich Heissiger,411.0,16.0,6.0,3.0,2.0,7.0,8.0,7.0,7.0,12.0,34.0,59.0,108.0,69.0,53.0,3.0,5.0,12.0
11.0,Vojtěch Grohmann,417.0,19.0,50.0,26.0,11.0,31.0,45.0,12.0,29.0,75.0,61.0,11.0,7.0,2.0,4.0,13.0,5.0,16.0
12.0,Emma Beranová,423.0,55.0,42.0,34.0,15.0,16.0,30.0,53.0,34.0,34.0,15.0,32.0,3.0,21.0,5.0,13.0,5.0,16.0
13.0,Petr Michovský,470.0,73.0,45.0,39.0,49.0,37.0,34.0,10.0,17.0,26.0,40.0,18.0,5.0,39.0,19.0,9.0,5.0,5.0
14.0,Veronika Becková,485.0,40.0,51.0,19.0,9.0,12.0,6.0,53.0,47.0,66.0,12.0,22.0,72.0,3.0,39.0,13.0,5.0,16.0
15.0,Kryštof Prudil,500.0,21.0,8.0,12.0,26.0,19.0,21.0,53.0,47.0,43.0,61.0,29.0,34.0,58.0,34.0,13.0,5.0,16.0
16.0,Arsenij Kuprin,506.0,43.0,97.0,0.0,5.0,13.0,13.0,0.0,47.0,82.0,37.0,0.0,45.0,90.0,0.0,13.0,5.0,16.0
17.0,Lukas Pohořelický,513.0,10.0,60.0,5.0,7.0,9.0,11.0,53.0,19.0,5.0,61.0,4.0,103.0,84.0,48.0,13.0,5.0,16.0
18.0,Vojtěch Tomeček,566.0,36.0,16.0,7.0,8.0,4.0,5.0,31.0,47.0,38.0,61.0,9.0,47.0,207.0,16.0,13.0,5.0,16.0
19.0,Alex Kakáč,577.0,9.0,30.0,17.0,14.0,22.0,23.0,33.0,47.0,114.0,61.0,41.0,73.0,38.0,21.0,13.0,5.0,16.0
20.0,Emil Henry Huber,584.0,25.0,15.0,14.0,165.0,59.0,55.0,53.0,47.0,13.0,17.0,6.0,2.0,41.0,38.0,13.0,5.0,16.0
