Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Martin Vædele Egdal,23.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0
2.0,Daniel Vædele Egdal,86.0,6.0,3.0,6.0,8.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,1.0,4.0,8.0,7.0,8.0
3.0,Rasmus Stub Detlefsen,112.0,3.0,2.0,2.0,5.0,4.0,5.0,16.0,10.0,5.0,10.0,8.0,1.0,2.0,2.0,13.0,8.0,16.0
4.0,Victor Glyrskov,135.0,10.0,9.0,14.0,12.0,9.0,11.0,3.0,5.0,14.0,1.0,9.0,11.0,9.0,8.0,3.0,4.0,3.0
5.0,Magnus Patrick Kanstrup,186.0,9.0,15.0,7.0,2.0,3.0,2.0,20.0,19.0,9.0,20.0,7.0,13.0,14.0,11.0,13.0,8.0,14.0
6.0,Magnus Søndergaard Byrne,190.0,5.0,6.0,5.0,3.0,2.0,3.0,48.0,16.0,16.0,12.0,6.0,3.0,13.0,5.0,13.0,8.0,26.0
7.0,Mathias Søndergaard Byrne,223.0,7.0,7.0,8.0,4.0,6.0,6.0,37.0,13.0,7.0,40.0,15.0,9.0,8.0,9.0,13.0,8.0,26.0
8.0,Thomas Mæhle Schmidt,234.0,17.0,4.0,32.0,23.0,21.0,20.0,7.0,19.0,18.0,3.0,24.0,6.0,4.0,12.0,7.0,8.0,9.0
9.0,Thomas Sonnenberg Jarner,250.0,18.0,8.0,15.0,19.0,13.0,21.0,21.0,13.0,20.0,16.0,10.0,12.0,11.0,6.0,13.0,8.0,26.0
10.0,Nicolas Køster Christensen,407.0,25.0,30.0,25.0,30.0,19.0,19.0,57.0,33.0,19.0,30.0,13.0,19.0,5.0,36.0,13.0,8.0,26.0
11.0,Oscar Roth Andersen,431.0,29.0,23.0,11.0,10.0,86.0,31.0,31.0,16.0,8.0,86.0,2.0,2.0,20.0,29.0,13.0,8.0,26.0
12.0,Karina Grandjean Beck,433.0,26.0,55.0,4.0,6.0,7.0,8.0,57.0,36.0,11.0,95.0,3.0,16.0,18.0,44.0,13.0,8.0,26.0
13.0,Silas Kampp Richter Lassen,457.0,34.0,48.0,47.0,33.0,23.0,28.0,25.0,36.0,39.0,7.0,21.0,27.0,19.0,23.0,13.0,8.0,26.0
13.0,Carl Emil Exner,457.0,56.0,27.0,28.0,35.0,30.0,22.0,13.0,4.0,44.0,57.0,38.0,20.0,29.0,25.0,10.0,8.0,11.0
15.0,Fredrik Abildgaard Trondhjem,458.0,39.0,21.0,18.0,17.0,12.0,13.0,57.0,13.0,33.0,75.0,23.0,25.0,35.0,30.0,13.0,8.0,26.0
16.0,Kasper Warberg Borg,463.0,15.0,26.0,31.0,59.0,24.0,35.0,19.0,19.0,51.0,19.0,22.0,41.0,34.0,27.0,13.0,8.0,20.0
17.0,Henrik Buus Aagaard,464.0,40.0,22.0,37.0,44.0,42.0,29.0,9.0,8.0,21.0,18.0,44.0,23.0,85.0,20.0,6.0,6.0,10.0
17.0,Tue Jepsen,464.0,27.0,30.0,38.0,18.0,31.0,57.0,28.0,67.0,27.0,26.0,17.0,28.0,17.0,7.0,12.0,8.0,26.0
19.0,Asbjørn Brummer Birkelund,554.0,60.0,19.0,45.0,63.0,63.0,83.0,26.0,16.0,36.0,4.0,43.0,8.0,25.0,16.0,13.0,8.0,26.0
20.0,Christian Smedegaard,567.0,46.0,38.0,30.0,41.0,29.0,30.0,57.0,24.0,30.0,32.0,50.0,82.0,12.0,19.0,13.0,8.0,26.0
21.0,Emil Engberg Havsteen,582.0,27.0,51.0,57.0,57.0,32.0,44.0,12.0,45.0,31.0,14.0,41.0,75.0,15.0,34.0,13.0,8.0,26.0
22.0,Alfred Lyngby Bach,600.0,23.0,57.0,26.0,38.0,22.0,25.0,55.0,67.0,66.0,23.0,26.0,35.0,72.0,18.0,13.0,8.0,26.0
23.0,Theo Lyholm,608.0,47.0,83.0,55.0,27.0,26.0,16.0,57.0,24.0,17.0,55.0,42.0,14.0,50.0,48.0,13.0,8.0,26.0
24.0,Micki Kanaiya Harning,612.0,12.0,28.0,12.0,36.0,82.0,82.0,6.0,10.0,13.0,105.0,16.0,53.0,57.0,72.0,13.0,8.0,7.0
25.0,Anton Lerstrup Hylleberg,647.0,30.0,14.0,27.0,50.0,86.0,83.0,57.0,67.0,10.0,46.0,28.0,25.0,21.0,56.0,13.0,8.0,26.0
26.0,Alfred Anthony Riise Lucas,659.0,37.0,18.0,49.0,64.0,47.0,50.0,57.0,67.0,52.0,39.0,39.0,36.0,43.0,14.0,13.0,8.0,26.0
27.0,Kristoffer Vasehus,669.0,65.0,61.0,16.0,11.0,8.0,7.0,57.0,67.0,78.0,94.0,40.0,7.0,41.0,70.0,13.0,8.0,26.0
28.0,Karl Taagaard Hansen,681.0,11.0,87.0,22.0,26.0,15.0,83.0,57.0,67.0,14.0,89.0,20.0,18.0,59.0,66.0,13.0,8.0,26.0
29.0,Frederik Løchte,716.0,31.0,11.0,20.0,22.0,86.0,83.0,57.0,29.0,38.0,91.0,14.0,17.0,62.0,108.0,13.0,8.0,26.0
30.0,Noah Sandfeld Melcher,753.0,22.0,12.0,53.0,67.0,36.0,39.0,57.0,67.0,50.0,63.0,45.0,70.0,50.0,75.0,13.0,8.0,26.0
31.0,Victor Alexander Stolarczyk,765.0,20.0,51.0,36.0,53.0,45.0,69.0,57.0,67.0,35.0,112.0,79.0,34.0,7.0,53.0,13.0,8.0,26.0
32.0,Aura Clausen,766.0,69.0,32.0,69.0,56.0,37.0,32.0,43.0,19.0,29.0,38.0,31.0,160.0,47.0,57.0,13.0,8.0,26.0
33.0,Niels Magnus Lund Heje,772.0,8.0,16.0,19.0,25.0,86.0,83.0,57.0,67.0,12.0,112.0,164.0,38.0,10.0,28.0,13.0,8.0,26.0
34.0,Benjamin Thunbo Jonassen,778.0,45.0,59.0,87.0,78.0,86.0,52.0,57.0,67.0,43.0,36.0,32.0,32.0,16.0,41.0,13.0,8.0,26.0
35.0,Birk Joench-Clausen,806.0,4.0,33.0,13.0,13.0,86.0,56.0,57.0,67.0,46.0,47.0,11.0,150.0,47.0,129.0,13.0,8.0,26.0
36.0,Malte Oliver Bøgh Kjøller,808.0,68.0,45.0,74.0,88.0,66.0,83.0,49.0,42.0,73.0,9.0,34.0,15.0,36.0,79.0,13.0,8.0,26.0
37.0,Maica Neri Birch Sjøstrand,841.0,90.0,148.0,48.0,20.0,14.0,26.0,57.0,67.0,112.0,35.0,33.0,33.0,52.0,59.0,13.0,8.0,26.0
38.0,Nilias Samuel Olsen,842.0,62.0,87.0,50.0,45.0,57.0,27.0,57.0,67.0,42.0,21.0,36.0,99.0,69.0,76.0,13.0,8.0,26.0
39.0,Andreas Friis Thorkildsen,845.0,50.0,103.0,61.0,54.0,33.0,46.0,14.0,45.0,37.0,8.0,139.0,121.0,27.0,65.0,13.0,8.0,21.0
40.0,Christian Schiøtt,863.0,119.0,70.0,82.0,73.0,60.0,54.0,24.0,10.0,57.0,40.0,53.0,65.0,45.0,73.0,13.0,8.0,17.0
41.0,Christoffer Graversen,866.0,66.0,96.0,34.0,28.0,25.0,59.0,57.0,67.0,47.0,112.0,47.0,104.0,60.0,17.0,13.0,8.0,26.0
42.0,Noah Haaning Jensen,873.0,32.0,72.0,17.0,7.0,11.0,9.0,11.0,67.0,55.0,34.0,164.0,113.0,105.0,129.0,13.0,8.0,26.0
43.0,Daniel Heberg Jørgensen,876.0,24.0,13.0,10.0,16.0,86.0,14.0,30.0,67.0,6.0,13.0,12.0,529.0,6.0,3.0,13.0,8.0,26.0
44.0,Adam Narbutas Jørgensen,877.0,35.0,33.0,39.0,49.0,86.0,83.0,38.0,67.0,34.0,112.0,60.0,10.0,55.0,129.0,13.0,8.0,26.0
45.0,Jesper Schmidt,879.0,38.0,56.0,67.0,48.0,38.0,41.0,57.0,67.0,25.0,83.0,19.0,133.0,127.0,33.0,13.0,8.0,26.0
46.0,Laurids Abelsen Holm,888.0,102.0,92.0,157.0,115.0,86.0,83.0,57.0,2.0,28.0,15.0,18.0,22.0,23.0,41.0,13.0,8.0,26.0
47.0,Anna Buhl Bechmann,897.0,71.0,49.0,52.0,40.0,34.0,83.0,57.0,67.0,97.0,24.0,25.0,90.0,32.0,129.0,13.0,8.0,26.0
48.0,Frederik Perto Pagh,911.0,48.0,95.0,51.0,43.0,86.0,83.0,57.0,67.0,91.0,25.0,5.0,88.0,40.0,85.0,13.0,8.0,26.0
49.0,Noah Søkilde Damborg,937.0,87.0,136.0,46.0,34.0,28.0,17.0,56.0,67.0,98.0,112.0,27.0,37.0,49.0,96.0,13.0,8.0,26.0
50.0,Johan Mørkbak Bertelsen,942.0,41.0,57.0,92.0,52.0,86.0,83.0,57.0,67.0,45.0,112.0,74.0,69.0,22.0,38.0,13.0,8.0,26.0
51.0,Sven Vaillant-Jørgensen,945.0,16.0,47.0,29.0,39.0,86.0,83.0,57.0,67.0,23.0,109.0,100.0,184.0,23.0,35.0,13.0,8.0,26.0
52.0,Ulf Markmann Jensen,946.0,94.0,17.0,89.0,85.0,52.0,83.0,57.0,67.0,76.0,56.0,55.0,73.0,26.0,69.0,13.0,8.0,26.0
53.0,Daniel Anker Hermansen,964.0,94.0,10.0,33.0,24.0,20.0,18.0,2.0,7.0,71.0,44.0,52.0,529.0,32.0,22.0,2.0,2.0,2.0
54.0,Kasper Møller,968.0,86.0,152.0,76.0,71.0,48.0,37.0,57.0,67.0,56.0,6.0,64.0,73.0,76.0,52.0,13.0,8.0,26.0
55.0,Rasmus Guldager,1007.0,43.0,90.0,94.0,80.0,86.0,83.0,47.0,67.0,54.0,33.0,107.0,48.0,66.0,62.0,13.0,8.0,26.0
56.0,Leo Hougaard,1021.0,52.0,105.0,103.0,93.0,58.0,65.0,57.0,67.0,63.0,54.0,72.0,92.0,83.0,10.0,13.0,8.0,26.0
57.0,Buster Langeskov Boserup,1029.0,106.0,64.0,85.0,87.0,39.0,40.0,57.0,67.0,86.0,61.0,62.0,137.0,54.0,37.0,13.0,8.0,26.0
58.0,Steffen Nielsen,1033.0,140.0,133.0,62.0,29.0,27.0,23.0,23.0,45.0,109.0,66.0,46.0,219.0,38.0,26.0,13.0,8.0,26.0
59.0,Matias Rasmussen,1065.0,67.0,121.0,24.0,14.0,10.0,12.0,44.0,35.0,77.0,110.0,114.0,95.0,166.0,129.0,13.0,8.0,26.0
60.0,Lars Vennike Nielsson,1072.0,73.0,36.0,79.0,66.0,55.0,45.0,15.0,5.0,39.0,112.0,59.0,136.0,209.0,122.0,5.0,3.0,13.0
61.0,Frederik Dalgaard Moroder,1129.0,97.0,98.0,58.0,60.0,64.0,61.0,57.0,67.0,61.0,72.0,94.0,83.0,163.0,47.0,13.0,8.0,26.0
62.0,Oliver Puhov,1167.0,105.0,110.0,144.0,113.0,62.0,47.0,32.0,33.0,93.0,64.0,58.0,106.0,86.0,67.0,13.0,8.0,26.0
63.0,Sebastian Barfod,1180.0,100.0,42.0,73.0,72.0,49.0,51.0,57.0,67.0,114.0,112.0,85.0,39.0,143.0,129.0,13.0,8.0,26.0
64.0,Holger Gade Madsen,1191.0,53.0,29.0,42.0,83.0,41.0,83.0,57.0,67.0,118.0,112.0,164.0,59.0,107.0,129.0,13.0,8.0,26.0
65.0,Catharina Nguyen,1204.0,74.0,61.0,44.0,46.0,86.0,83.0,57.0,67.0,285.0,42.0,164.0,57.0,70.0,21.0,13.0,8.0,26.0
66.0,Tobias Thompson,1208.0,49.0,51.0,83.0,54.0,43.0,83.0,57.0,67.0,64.0,112.0,164.0,89.0,116.0,129.0,13.0,8.0,26.0
67.0,Johan í Nesinum Hytten,1215.0,55.0,94.0,41.0,37.0,18.0,83.0,57.0,67.0,66.0,112.0,164.0,66.0,295.0,13.0,13.0,8.0,26.0
68.0,Nikolai Bjerrum Baunkilde,1219.0,57.0,119.0,35.0,62.0,86.0,83.0,34.0,67.0,122.0,112.0,124.0,49.0,159.0,63.0,13.0,8.0,26.0
69.0,David Klausen,1224.0,146.0,63.0,95.0,108.0,69.0,83.0,57.0,32.0,81.0,82.0,80.0,193.0,64.0,24.0,13.0,8.0,26.0
70.0,Lucas Hansen,1231.0,183.0,39.0,118.0,99.0,65.0,83.0,35.0,40.0,126.0,28.0,77.0,52.0,155.0,84.0,13.0,8.0,26.0
71.0,Stephen Homoki,1251.0,0.0,0.0,0.0,208.0,86.0,83.0,0.0,67.0,0.0,112.0,164.0,0.0,355.0,129.0,13.0,8.0,26.0
72.0,Jonathan Midjord Shapira,1267.0,158.0,50.0,84.0,96.0,68.0,63.0,10.0,29.0,32.0,98.0,103.0,24.0,300.0,129.0,9.0,8.0,6.0
