Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Leudy Rodríguez,82.0,5.0,3.0,2.0,2.0,2.0,2.0,14.0,21.0,4.0,2.0,10.0,9.0,3.0,3.0
2.0,Raimy Marte,113.0,4.0,12.0,7.0,4.0,6.0,5.0,14.0,10.0,5.0,2.0,2.0,18.0,1.0,23.0
3.0,Emil Francisco Solano Gil,119.0,9.0,11.0,6.0,9.0,15.0,10.0,14.0,21.0,7.0,2.0,8.0,1.0,5.0,1.0
4.0,Amauri Miguel Caballero,156.0,8.0,8.0,1.0,1.0,1.0,1.0,14.0,1.0,8.0,2.0,1.0,14.0,63.0,33.0
5.0,José Eduardo Figueroa,157.0,22.0,7.0,8.0,7.0,5.0,4.0,14.0,21.0,13.0,2.0,15.0,13.0,13.0,13.0
6.0,Henfry De Los Santos,201.0,6.0,15.0,3.0,3.0,3.0,10.0,14.0,21.0,2.0,2.0,3.0,54.0,63.0,2.0
7.0,Chardan Jose Valdez Sierra,226.0,2.0,2.0,5.0,5.0,15.0,10.0,14.0,2.0,1.0,2.0,61.0,11.0,63.0,33.0
8.0,Mark Alexander Benítez Kernogo,230.0,43.0,27.0,19.0,22.0,13.0,9.0,14.0,5.0,14.0,2.0,14.0,3.0,24.0,21.0
9.0,Cristofer Rodriguez,244.0,21.0,9.0,15.0,20.0,15.0,10.0,14.0,21.0,11.0,2.0,61.0,4.0,8.0,33.0
10.0,Julio Martínez,309.0,11.0,18.0,65.0,50.0,15.0,10.0,14.0,8.0,18.0,2.0,47.0,8.0,18.0,25.0
11.0,Osvaldo Argelis Lopez Marte,325.0,10.0,35.0,28.0,54.0,15.0,10.0,14.0,7.0,12.0,2.0,61.0,25.0,47.0,5.0
12.0,Dioni Ferreiras,327.0,34.0,6.0,39.0,24.0,15.0,10.0,14.0,16.0,54.0,2.0,61.0,2.0,38.0,12.0
13.0,Marco Jose Mercedes,334.0,26.0,1.0,66.0,54.0,15.0,10.0,14.0,21.0,20.0,2.0,61.0,28.0,10.0,6.0
14.0,Bryan De Los Santos Rivero,337.0,80.0,45.0,31.0,16.0,9.0,3.0,14.0,21.0,15.0,1.0,20.0,60.0,6.0,16.0
15.0,Iván Artiles,341.0,63.0,68.0,25.0,23.0,15.0,10.0,4.0,21.0,36.0,2.0,26.0,23.0,16.0,9.0
16.0,Marcos Josías Antigua Lebrón,354.0,44.0,44.0,34.0,12.0,12.0,10.0,14.0,21.0,17.0,2.0,46.0,45.0,46.0,7.0
17.0,Diovery Ferreiras,361.0,35.0,105.0,16.0,6.0,4.0,10.0,14.0,21.0,16.0,2.0,29.0,63.0,36.0,4.0
18.0,Lemuel Cruz,374.0,35.0,20.0,53.0,27.0,15.0,10.0,14.0,21.0,38.0,2.0,16.0,27.0,63.0,33.0
19.0,Kelvin De la Cruz Torres,380.0,18.0,58.0,11.0,14.0,15.0,10.0,3.0,21.0,30.0,2.0,39.0,84.0,60.0,15.0
20.0,Luis Javier Melo Jimenez,383.0,22.0,21.0,38.0,34.0,15.0,10.0,14.0,21.0,99.0,2.0,19.0,32.0,23.0,33.0
21.0,Jake Céspedes Liriano,395.0,71.0,16.0,40.0,33.0,15.0,10.0,14.0,21.0,65.0,2.0,34.0,21.0,20.0,33.0
22.0,Haylon Feliz Checo,397.0,66.0,37.0,22.0,15.0,7.0,10.0,1.0,21.0,25.0,2.0,61.0,37.0,63.0,30.0
22.0,Randoll Placencio,397.0,87.0,33.0,45.0,41.0,15.0,10.0,14.0,21.0,45.0,2.0,23.0,17.0,26.0,18.0
24.0,Saul Alberto Castillo Reyes,414.0,46.0,18.0,56.0,54.0,15.0,10.0,2.0,21.0,50.0,2.0,18.0,26.0,63.0,33.0
25.0,Ronald Joseph Noto Diaz,419.0,30.0,29.0,26.0,54.0,15.0,10.0,14.0,21.0,10.0,2.0,61.0,51.0,63.0,33.0
26.0,Gustavo Adolfo Farina Cabral,434.0,13.0,13.0,17.0,38.0,15.0,10.0,14.0,21.0,44.0,2.0,4.0,147.0,63.0,33.0
27.0,Sumi Lee,440.0,1.0,71.0,63.0,54.0,15.0,10.0,14.0,10.0,23.0,2.0,61.0,20.0,63.0,33.0
28.0,Jostin Garcia,454.0,25.0,38.0,23.0,39.0,15.0,10.0,14.0,21.0,108.0,2.0,32.0,31.0,63.0,33.0
29.0,Carlos Fuertes,468.0,89.0,26.0,58.0,25.0,14.0,8.0,14.0,15.0,60.0,2.0,59.0,40.0,25.0,33.0
30.0,Allan Pilarte,469.0,54.0,10.0,70.0,54.0,15.0,10.0,14.0,21.0,64.0,2.0,61.0,57.0,4.0,33.0
31.0,Jose Miguel Llaverias Capellan,470.0,73.0,62.0,48.0,29.0,15.0,10.0,14.0,21.0,61.0,2.0,61.0,32.0,9.0,33.0
32.0,Luis Valera,471.0,42.0,47.0,20.0,51.0,15.0,10.0,14.0,21.0,70.0,2.0,61.0,22.0,63.0,33.0
33.0,Nelson Casilla,472.0,14.0,72.0,4.0,10.0,15.0,10.0,14.0,21.0,6.0,2.0,61.0,147.0,63.0,33.0
34.0,Alberto Palacio,481.0,20.0,67.0,10.0,8.0,15.0,10.0,14.0,21.0,108.0,2.0,7.0,147.0,19.0,33.0
34.0,Victor Diaz,481.0,12.0,28.0,12.0,54.0,15.0,10.0,14.0,21.0,9.0,2.0,61.0,147.0,63.0,33.0
36.0,Michael Emilio Lopez Duran,486.0,84.0,60.0,18.0,28.0,15.0,10.0,14.0,21.0,81.0,2.0,44.0,35.0,41.0,33.0
37.0,Maximo Alberto Rodriguez Paulino,493.0,28.0,74.0,9.0,11.0,15.0,10.0,7.0,21.0,19.0,2.0,54.0,147.0,63.0,33.0
38.0,Joan Lerebours Ramirez,494.0,70.0,42.0,44.0,45.0,15.0,10.0,14.0,21.0,57.0,2.0,61.0,46.0,34.0,33.0
39.0,Bryan Gomez Reynoso,495.0,82.0,59.0,30.0,43.0,15.0,10.0,14.0,21.0,62.0,2.0,61.0,41.0,22.0,33.0
40.0,Gerson Rafael Veloz Aracena,500.0,15.0,42.0,27.0,54.0,15.0,10.0,14.0,21.0,26.0,2.0,61.0,117.0,63.0,33.0
41.0,Clara Isabel Diaz Elias,503.0,52.0,125.0,54.0,31.0,11.0,10.0,14.0,12.0,42.0,2.0,50.0,88.0,2.0,10.0
42.0,Angel Antonio Corporam,504.0,125.0,53.0,59.0,19.0,15.0,10.0,14.0,21.0,32.0,2.0,36.0,68.0,17.0,33.0
43.0,Rafael Lizardo Moronta,506.0,33.0,77.0,32.0,36.0,15.0,10.0,14.0,20.0,31.0,2.0,41.0,147.0,40.0,8.0
44.0,Omar Alba,530.0,107.0,4.0,64.0,54.0,15.0,10.0,14.0,21.0,69.0,2.0,61.0,43.0,33.0,33.0
