Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Luis Fernando Aldás Cuestas,180.0,27.0,15.0,14.0,12.0,9.0,10.0,2.0,5.0,22.0,2.0,13.0,31.0,7.0,7.0,1.0,2.0,1.0
2.0,Caleb Salcedo Rivera,185.0,7.0,10.0,4.0,7.0,4.0,3.0,12.0,7.0,7.0,16.0,2.0,34.0,43.0,19.0,3.0,3.0,4.0
3.0,Josué Ordóñez,191.0,17.0,9.0,42.0,11.0,3.0,5.0,5.0,11.0,25.0,1.0,27.0,7.0,9.0,9.0,3.0,3.0,4.0
4.0,Juan Pablo Suárez Narváez,197.0,20.0,29.0,17.0,15.0,12.0,2.0,9.0,1.0,30.0,16.0,9.0,22.0,1.0,5.0,3.0,3.0,3.0
5.0,Dereck Estrada,200.0,1.0,12.0,1.0,2.0,6.0,7.0,12.0,17.0,6.0,16.0,1.0,38.0,52.0,19.0,3.0,3.0,4.0
6.0,Bolivar Chafla,221.0,10.0,6.0,11.0,16.0,28.0,25.0,12.0,17.0,1.0,16.0,4.0,11.0,35.0,19.0,3.0,3.0,4.0
7.0,Michael Kevin Astudillo Muñoz,224.0,9.0,24.0,7.0,1.0,5.0,4.0,12.0,17.0,15.0,16.0,20.0,42.0,23.0,19.0,3.0,3.0,4.0
8.0,Anthony Gerard Álvarez Ludeña,253.0,6.0,1.0,3.0,5.0,28.0,25.0,1.0,17.0,3.0,16.0,3.0,16.0,105.0,19.0,2.0,1.0,2.0
9.0,Alex Loor,272.0,54.0,8.0,55.0,22.0,10.0,11.0,12.0,9.0,23.0,4.0,28.0,17.0,3.0,6.0,3.0,3.0,4.0
10.0,Farid Brazales Flores,273.0,11.0,56.0,10.0,14.0,8.0,6.0,4.0,12.0,16.0,16.0,6.0,74.0,11.0,19.0,3.0,3.0,4.0
11.0,Geovanny Cueva,299.0,30.0,65.0,8.0,8.0,7.0,8.0,12.0,17.0,54.0,16.0,5.0,5.0,37.0,17.0,3.0,3.0,4.0
12.0,Sebastián Mateo España Chango,309.0,20.0,21.0,20.0,13.0,14.0,12.0,12.0,17.0,60.0,16.0,22.0,43.0,10.0,19.0,3.0,3.0,4.0
13.0,Andrés Arturo Díaz Valdez,339.0,14.0,49.0,9.0,17.0,28.0,25.0,12.0,17.0,5.0,16.0,53.0,26.0,39.0,19.0,3.0,3.0,4.0
14.0,Henry Ricardo Barriga Padilla,353.0,13.0,11.0,19.0,35.0,28.0,25.0,12.0,17.0,33.0,16.0,16.0,73.0,26.0,19.0,3.0,3.0,4.0
15.0,Julián Ibarra Díaz,361.0,20.0,3.0,47.0,40.0,27.0,25.0,12.0,17.0,45.0,16.0,37.0,35.0,19.0,8.0,3.0,3.0,4.0
16.0,Geovanny Arias,383.0,48.0,37.0,12.0,9.0,11.0,13.0,12.0,8.0,11.0,16.0,25.0,47.0,105.0,19.0,3.0,3.0,4.0
17.0,Mateo Baruc Mero Benavides,400.0,3.0,28.0,15.0,34.0,28.0,25.0,12.0,9.0,24.0,16.0,70.0,2.0,105.0,19.0,3.0,3.0,4.0
18.0,Bryan Andres Campaña Sanchez,401.0,5.0,13.0,28.0,25.0,28.0,25.0,12.0,17.0,10.0,16.0,70.0,52.0,71.0,19.0,3.0,3.0,4.0
19.0,Jhonatan Caicedo,427.0,50.0,39.0,35.0,54.0,28.0,25.0,12.0,5.0,52.0,5.0,38.0,46.0,18.0,10.0,3.0,3.0,4.0
20.0,Ethan Damien Tarco,431.0,45.0,31.0,38.0,70.0,28.0,25.0,12.0,17.0,58.0,16.0,32.0,6.0,32.0,11.0,3.0,3.0,4.0
21.0,Darío Caguate,457.0,24.0,23.0,21.0,30.0,28.0,25.0,12.0,17.0,139.0,16.0,62.0,18.0,13.0,19.0,3.0,3.0,4.0
22.0,Jhoan Andrade,483.0,4.0,5.0,13.0,10.0,13.0,9.0,7.0,2.0,4.0,16.0,24.0,242.0,105.0,19.0,3.0,3.0,4.0
23.0,Luis Alfredo Sotomayor Guamán,500.0,25.0,21.0,18.0,33.0,28.0,21.0,12.0,17.0,160.0,16.0,14.0,77.0,29.0,19.0,3.0,3.0,4.0
24.0,Santiago Celin,504.0,32.0,67.0,31.0,21.0,28.0,25.0,12.0,17.0,19.0,16.0,70.0,32.0,105.0,19.0,3.0,3.0,4.0
25.0,Renato Rivera,511.0,8.0,4.0,5.0,4.0,28.0,25.0,12.0,17.0,8.0,16.0,8.0,242.0,105.0,19.0,3.0,3.0,4.0
26.0,Carlos Navas,522.0,18.0,17.0,57.0,70.0,28.0,25.0,12.0,17.0,160.0,14.0,70.0,15.0,5.0,4.0,3.0,3.0,4.0
27.0,Franz David Burneo Monteros,527.0,41.0,88.0,62.0,70.0,28.0,25.0,12.0,17.0,26.0,16.0,21.0,78.0,17.0,16.0,3.0,3.0,4.0
28.0,Anthony Gavilanes Coello,539.0,12.0,86.0,6.0,20.0,21.0,25.0,12.0,17.0,37.0,16.0,31.0,122.0,105.0,19.0,3.0,3.0,4.0
29.0,Ivan Alexander Bonilla Morales,541.0,70.0,103.0,48.0,37.0,28.0,25.0,12.0,17.0,29.0,16.0,70.0,12.0,45.0,19.0,3.0,3.0,4.0
30.0,Josue Javier Moreno Contreras,552.0,115.0,80.0,60.0,52.0,25.0,23.0,12.0,17.0,57.0,12.0,55.0,8.0,25.0,1.0,3.0,3.0,4.0
30.0,Kevin Ramirez,552.0,59.0,116.0,30.0,56.0,28.0,25.0,12.0,17.0,56.0,16.0,17.0,53.0,38.0,19.0,3.0,3.0,4.0
30.0,Gabriel Francisco Erazo Merino,552.0,90.0,44.0,85.0,63.0,28.0,25.0,12.0,17.0,85.0,16.0,59.0,1.0,4.0,13.0,3.0,3.0,4.0
33.0,Alexander Vera Soria,557.0,2.0,32.0,2.0,6.0,15.0,25.0,12.0,17.0,39.0,16.0,70.0,242.0,50.0,19.0,3.0,3.0,4.0
34.0,José Armando Prudente,578.0,53.0,16.0,45.0,70.0,28.0,25.0,12.0,17.0,17.0,16.0,70.0,75.0,105.0,19.0,3.0,3.0,4.0
34.0,Raúl Gómez,578.0,38.0,2.0,68.0,70.0,28.0,25.0,12.0,17.0,59.0,15.0,70.0,40.0,105.0,19.0,3.0,3.0,4.0
36.0,Franklin Huanga,584.0,64.0,75.0,49.0,43.0,26.0,25.0,12.0,17.0,49.0,16.0,70.0,4.0,105.0,19.0,3.0,3.0,4.0
37.0,David Ermel Campoverde Paredes,585.0,114.0,85.0,95.0,58.0,28.0,25.0,12.0,17.0,51.0,16.0,39.0,14.0,2.0,19.0,3.0,3.0,4.0
38.0,Santiago David Ulcuango Romero,593.0,31.0,67.0,26.0,18.0,28.0,25.0,12.0,17.0,38.0,16.0,35.0,146.0,105.0,19.0,3.0,3.0,4.0
39.0,John Tuquerrez Andrango,598.0,92.0,60.0,98.0,53.0,28.0,24.0,12.0,17.0,55.0,6.0,29.0,64.0,31.0,19.0,3.0,3.0,4.0
40.0,Ronny Ricardo Olalla Alava,603.0,44.0,93.0,37.0,19.0,28.0,14.0,3.0,17.0,81.0,16.0,11.0,115.0,96.0,19.0,3.0,3.0,4.0
