Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Rafik Eskandar,24.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0
2.0,Omar Ziad,55.0,8.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0
3.0,Ali Antar,63.0,16.0,9.0,5.0,3.0,3.0,4.0,3.0,4.0,8.0,2.0,2.0,1.0,1.0,2.0
4.0,Mohannad Mahmoud Fathy,104.0,2.0,5.0,3.0,5.0,8.0,6.0,3.0,4.0,7.0,5.0,12.0,4.0,33.0,7.0
5.0,Mostafa Mahran,148.0,33.0,30.0,10.0,6.0,5.0,6.0,3.0,3.0,17.0,4.0,6.0,9.0,13.0,3.0
6.0,Yousef El Fayoumy,163.0,14.0,13.0,2.0,2.0,8.0,6.0,2.0,4.0,19.0,5.0,26.0,33.0,16.0,13.0
7.0,Yahia Ahmed Abdallah Elhawy,164.0,35.0,1.0,8.0,16.0,8.0,6.0,1.0,4.0,11.0,5.0,7.0,16.0,33.0,13.0
8.0,Fares Arshad Hussain Shah,171.0,3.0,6.0,65.0,17.0,8.0,6.0,3.0,4.0,6.0,5.0,26.0,7.0,2.0,13.0
9.0,Andrew Antoine,180.0,27.0,12.0,19.0,13.0,8.0,6.0,3.0,4.0,5.0,5.0,21.0,19.0,25.0,13.0
10.0,Ibrahim Ossama Elhadi,184.0,9.0,19.0,33.0,17.0,8.0,6.0,3.0,4.0,23.0,5.0,26.0,14.0,6.0,11.0
11.0,Hannah Nader Eskander,186.0,1.0,27.0,7.0,17.0,8.0,6.0,3.0,4.0,10.0,5.0,26.0,26.0,33.0,13.0
12.0,Ahmad Ayman,219.0,7.0,16.0,6.0,17.0,2.0,2.0,3.0,4.0,1.0,5.0,14.0,96.0,33.0,13.0
13.0,Ahmed Ghandoor,227.0,25.0,54.0,65.0,17.0,8.0,6.0,3.0,4.0,15.0,5.0,5.0,7.0,8.0,5.0
14.0,Mahmoud Salah El Deberky,237.0,59.0,18.0,44.0,14.0,6.0,6.0,3.0,4.0,27.0,5.0,25.0,3.0,17.0,6.0
15.0,Mostafa Belal Elfaggal,239.0,13.0,71.0,18.0,17.0,8.0,6.0,3.0,4.0,12.0,5.0,13.0,23.0,33.0,13.0
16.0,Nour Marwan Mostafa,241.0,12.0,37.0,9.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,24.0,33.0,13.0
17.0,Ayman Mohamed Abdalla,243.0,4.0,24.0,65.0,17.0,8.0,6.0,3.0,4.0,3.0,5.0,26.0,32.0,33.0,13.0
18.0,Moaz Ayman Al Hosainey,245.0,6.0,35.0,11.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,34.0,33.0,13.0
19.0,Belal Ahmed,260.0,34.0,20.0,41.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,6.0,33.0,13.0
20.0,Mahmoud Antar,264.0,45.0,26.0,65.0,17.0,8.0,6.0,3.0,4.0,24.0,5.0,26.0,15.0,7.0,13.0
21.0,Mohamed Elsayed Ali,280.0,18.0,64.0,30.0,17.0,8.0,6.0,3.0,4.0,22.0,5.0,18.0,39.0,33.0,13.0
22.0,Omar Ghanem,290.0,15.0,23.0,42.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,51.0,33.0,13.0
23.0,Mohamed Hani Shahin,294.0,49.0,49.0,15.0,7.0,8.0,6.0,3.0,4.0,13.0,5.0,26.0,96.0,5.0,8.0
24.0,Anas Hany,295.0,42.0,50.0,27.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,17.0,33.0,13.0
25.0,Adam Shalaby,296.0,44.0,46.0,36.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,11.0,33.0,13.0
26.0,Abdullah Muataz,298.0,36.0,25.0,65.0,17.0,8.0,6.0,3.0,4.0,9.0,5.0,26.0,52.0,29.0,13.0
27.0,Ramy Magdy Helmy,300.0,10.0,70.0,12.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,49.0,33.0,13.0
28.0,Omar Ahmad Muhammad Gad,302.0,22.0,42.0,32.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,47.0,33.0,13.0
29.0,Johnny Mark Nassef,303.0,47.0,52.0,21.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,24.0,33.0,13.0
30.0,Fredrick Farouk,306.0,58.0,52.0,22.0,8.0,8.0,6.0,3.0,4.0,20.0,5.0,10.0,66.0,31.0,13.0
31.0,Youssef Elnawawi,312.0,62.0,27.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,10.0,22.0,13.0
32.0,Ali Ahmed Gamal,313.0,67.0,39.0,26.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,22.0,33.0,13.0
33.0,Omar Ismail,319.0,28.0,55.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,12.0,33.0,13.0
34.0,Salah Al-Deen Mohammed Nabhan,321.0,48.0,77.0,13.0,10.0,8.0,6.0,3.0,4.0,34.0,5.0,20.0,56.0,24.0,13.0
35.0,Omar Morsy,329.0,20.0,44.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,41.0,33.0,13.0
35.0,John Remon Morris,329.0,41.0,36.0,23.0,17.0,8.0,6.0,3.0,4.0,18.0,5.0,26.0,96.0,33.0,13.0
37.0,Mazen Helmi,332.0,17.0,67.0,24.0,17.0,8.0,6.0,3.0,4.0,30.0,5.0,9.0,96.0,33.0,13.0
38.0,Ibrahim Elsawy,333.0,29.0,10.0,55.0,17.0,8.0,6.0,3.0,4.0,28.0,5.0,26.0,96.0,33.0,13.0
39.0,Youssef Gamal Eldeen Faher Eldeen Ahmed,345.0,21.0,31.0,65.0,17.0,8.0,6.0,3.0,4.0,40.0,5.0,22.0,80.0,30.0,13.0
40.0,Hussein Gaafar,346.0,61.0,45.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,38.0,11.0,13.0
41.0,Zedan Mohamed Ahmed,349.0,82.0,32.0,65.0,17.0,8.0,6.0,3.0,4.0,26.0,5.0,15.0,62.0,12.0,12.0
42.0,Adam Lutfi,351.0,43.0,68.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,21.0,28.0,13.0
43.0,Daniel Yousef Yosri,357.0,39.0,79.0,35.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,45.0,33.0,13.0
44.0,Mohamed Hesham Elsayed Hamed Mohamed,360.0,23.0,66.0,16.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
44.0,Moataz Mohammed,360.0,109.0,15.0,47.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,30.0,33.0,13.0
46.0,Mohamad Tamer Mohamad,361.0,19.0,22.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
47.0,David Fady Nabil,367.0,79.0,47.0,38.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,44.0,33.0,13.0
48.0,Omar Medhat Abdelkhalek,370.0,46.0,74.0,17.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,74.0,33.0,13.0
49.0,Ziad Sherif Sharaf El Din,378.0,85.0,63.0,43.0,12.0,8.0,6.0,3.0,4.0,44.0,5.0,8.0,77.0,10.0,10.0
50.0,Eyad Hussein,380.0,63.0,41.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,70.0,15.0,13.0
50.0,Omar Adel Ali Hassan,380.0,56.0,21.0,48.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
52.0,John Maged Sentawes,384.0,30.0,34.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
53.0,Eyad Hatem Osama,387.0,50.0,17.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
54.0,Marc Ramy Fouad,390.0,70.0,84.0,31.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,46.0,33.0,13.0
55.0,Yahya Amr Mohmmed Fouad,391.0,38.0,33.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
56.0,Mariam Bakr,393.0,26.0,80.0,57.0,17.0,8.0,6.0,3.0,4.0,36.0,5.0,26.0,79.0,33.0,13.0
57.0,Omar Mohamed Said Mohamed Hassan Elgammal,395.0,55.0,51.0,54.0,17.0,8.0,6.0,3.0,4.0,31.0,5.0,19.0,96.0,33.0,13.0
58.0,Yara Hatem Osama,401.0,77.0,4.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
59.0,Martin Ramez Wafik,405.0,52.0,73.0,25.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
60.0,Ahmed Mawaad,407.0,31.0,75.0,65.0,17.0,8.0,6.0,3.0,4.0,25.0,5.0,26.0,96.0,33.0,13.0
61.0,Amr Ramadan,411.0,68.0,108.0,20.0,9.0,8.0,6.0,3.0,2.0,14.0,5.0,26.0,96.0,33.0,13.0
62.0,Mouaaz Sherif Salman,412.0,87.0,82.0,49.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,35.0,33.0,13.0
63.0,Mahmoud Abdelrahman Elmasry,413.0,50.0,43.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
64.0,Fares Mohamed Hassan Mohamed,415.0,78.0,81.0,34.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,63.0,33.0,13.0
65.0,Omar Wael Mohammed Ibrahim Omar,418.0,24.0,86.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,21.0,13.0
66.0,Ahmad Thabet,420.0,53.0,61.0,51.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
67.0,Philopater Ezzat Shawky,422.0,74.0,65.0,28.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
68.0,Hamza Wael Mohammed Nashaat,423.0,81.0,58.0,52.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,73.0,33.0,13.0
69.0,Joopy Salem,426.0,99.0,72.0,65.0,11.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,37.0,33.0,13.0
70.0,Ahmed Reda Alhossini,433.0,111.0,38.0,29.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
71.0,Ali Shadi,435.0,92.0,59.0,50.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,75.0,33.0,13.0
71.0,Mohamed Diaa,435.0,117.0,7.0,56.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
73.0,Hamza Nader,437.0,90.0,27.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
74.0,Salma Yasser Abdelmageed,444.0,98.0,103.0,45.0,17.0,8.0,5.0,3.0,4.0,44.0,5.0,16.0,64.0,19.0,13.0
75.0,Omar Ibrahim,447.0,103.0,61.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,59.0,33.0,13.0
76.0,Rami Hennawi,451.0,54.0,177.0,65.0,17.0,8.0,6.0,3.0,4.0,37.0,5.0,26.0,18.0,18.0,13.0
77.0,Ali Ayman,455.0,120.0,94.0,39.0,15.0,7.0,6.0,3.0,4.0,44.0,5.0,23.0,68.0,14.0,13.0
78.0,Yassin Ali,457.0,70.0,92.0,40.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
79.0,Eyad Mohamed Ahmed Elhefnawy,458.0,69.0,69.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
80.0,Adam Ahmed Sayed Hassan Abdelaal,463.0,60.0,83.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
81.0,Mostafa Hani Mahmoud,467.0,91.0,56.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
82.0,Mario Ramez Wafik,468.0,94.0,121.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,29.0,33.0,13.0
83.0,Abdallah Khaled Omar,469.0,73.0,76.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
84.0,Bakr Eltabbal,474.0,106.0,48.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
85.0,Hazem Yahia Mahmoud Essawi,478.0,32.0,177.0,14.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
86.0,Adham Emad Abdelaziz,484.0,104.0,60.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
87.0,Philopatir Bichoy Raafat Chenouda,485.0,40.0,177.0,65.0,17.0,8.0,6.0,3.0,4.0,15.0,5.0,3.0,96.0,33.0,13.0
88.0,Adam Abdelmonem Assem Refaat,486.0,115.0,105.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,42.0,33.0,13.0
89.0,Ali Khaled Gamaleldin,487.0,76.0,91.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
90.0,Yousef Ibrahim Mohamed,488.0,110.0,118.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,36.0,33.0,13.0
91.0,Ammar Alaa Abd El Halim El Lithy,489.0,158.0,11.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
92.0,Christophe Mina Samir,496.0,64.0,177.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,31.0,33.0,13.0
93.0,Essam Thabet,497.0,100.0,89.0,53.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
94.0,Yahia Jarhy,498.0,170.0,8.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
95.0,Yahia Amr Mazyad,503.0,72.0,177.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,54.0,9.0,13.0
96.0,Ahmed Ibrahim,504.0,93.0,97.0,65.0,17.0,8.0,6.0,3.0,4.0,38.0,5.0,26.0,96.0,33.0,13.0
96.0,Mohamed El Araby Ali,504.0,96.0,88.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
98.0,Yaseen Atwan,508.0,102.0,95.0,64.0,17.0,8.0,6.0,3.0,4.0,42.0,5.0,26.0,90.0,33.0,13.0
98.0,Youssef Farid Adly Farid,508.0,11.0,177.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
100.0,Mohamed Ahmed Mohamed Elshenawy,515.0,89.0,106.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
100.0,Deniel Daoud,515.0,97.0,98.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
102.0,Yaseen Ahmed Kelaiy Raslan,518.0,86.0,112.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
103.0,Adham Mohamed Ahmed Alsaiad,520.0,160.0,40.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,96.0,33.0,13.0
104.0,Daniel Metry,521.0,127.0,127.0,65.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,53.0,23.0,13.0
105.0,Moaz Elmekkawy,522.0,121.0,125.0,60.0,17.0,8.0,6.0,3.0,4.0,44.0,5.0,26.0,57.0,33.0,13.0
106.0,Mohamed Mostafa,525.0,66.0,177.0,65.0,17.0,8.0,6.0,3.0,4.0,21.0,5.0,11.0,96.0,33.0,13.0
107.0,Yahia Rashwan,526.0,101.0,114.0,65.0,17.0,8.0,6.0,3.0,4.0,35.0,5.0,26.0,96.0,33.0,13.0
