Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,José Enrique Jiménez,74.0,5.0,5.0,2.0,2.0,1.0,1.0,9.0,10.0,9.0,1.0,3.0,6.0,9.0,4.0,2.0,2.0,3.0
2.0,Samuel Cuellar Ramirez,78.0,4.0,1.0,5.0,4.0,5.0,5.0,3.0,1.0,5.0,13.0,7.0,1.0,12.0,7.0,2.0,1.0,2.0
3.0,José Eduardo Palacios Castro,108.0,2.0,2.0,7.0,17.0,18.0,15.0,9.0,2.0,10.0,2.0,6.0,9.0,1.0,1.0,2.0,2.0,3.0
4.0,Fernando Daniel Domínguez Castaneda,113.0,1.0,18.0,1.0,1.0,18.0,8.0,9.0,3.0,1.0,13.0,1.0,20.0,7.0,5.0,2.0,2.0,3.0
5.0,Elvis Isaí Rosales Hernández,120.0,7.0,3.0,10.0,11.0,7.0,7.0,8.0,5.0,16.0,13.0,5.0,11.0,8.0,2.0,2.0,2.0,3.0
6.0,David Gálvez,139.0,6.0,6.0,13.0,10.0,12.0,13.0,9.0,15.0,12.0,12.0,4.0,4.0,2.0,14.0,2.0,2.0,3.0
6.0,Oscar Rene Mejia Aguirre,139.0,10.0,15.0,4.0,9.0,8.0,9.0,9.0,12.0,7.0,6.0,12.0,5.0,17.0,9.0,2.0,2.0,3.0
8.0,Luis Alonso Inestroza Henriquez,185.0,41.0,7.0,12.0,6.0,6.0,4.0,7.0,5.0,6.0,5.0,24.0,33.0,5.0,17.0,2.0,2.0,3.0
9.0,Javier Portillo,207.0,9.0,18.0,9.0,5.0,2.0,3.0,9.0,15.0,3.0,13.0,8.0,33.0,56.0,17.0,2.0,2.0,3.0
10.0,Dennis Bolaños,241.0,21.0,10.0,22.0,27.0,18.0,15.0,9.0,15.0,8.0,13.0,32.0,24.0,3.0,17.0,2.0,2.0,3.0
11.0,Melvin Gaitán,244.0,16.0,30.0,8.0,15.0,11.0,15.0,9.0,15.0,35.0,10.0,28.0,22.0,20.0,3.0,2.0,2.0,3.0
12.0,Edgardo Gálvez,246.0,42.0,39.0,23.0,8.0,4.0,6.0,9.0,15.0,48.0,13.0,9.0,2.0,4.0,17.0,2.0,2.0,3.0
13.0,Joel Hernández,250.0,22.0,22.0,26.0,19.0,13.0,12.0,2.0,13.0,21.0,4.0,21.0,44.0,19.0,8.0,1.0,2.0,1.0
14.0,Alessandro Martínez,256.0,3.0,13.0,14.0,3.0,18.0,15.0,9.0,15.0,2.0,13.0,32.0,39.0,56.0,17.0,2.0,2.0,3.0
15.0,Isai Oswaldo Gonzalez Canessa,260.0,40.0,55.0,32.0,16.0,10.0,11.0,5.0,3.0,17.0,7.0,10.0,35.0,6.0,6.0,2.0,2.0,3.0
16.0,Kevin Josué Maldonado Mendoza,313.0,38.0,9.0,31.0,31.0,18.0,15.0,9.0,15.0,31.0,13.0,15.0,8.0,56.0,17.0,2.0,2.0,3.0
17.0,Jose Atilio Aguilar Acosta,314.0,37.0,11.0,24.0,23.0,18.0,15.0,9.0,14.0,39.0,13.0,19.0,38.0,30.0,17.0,2.0,2.0,3.0
18.0,Alvaro Samuel Castillo Flores,323.0,26.0,13.0,34.0,49.0,17.0,15.0,9.0,15.0,20.0,3.0,32.0,32.0,36.0,15.0,2.0,2.0,3.0
19.0,Enrique José Cardona Guardado,331.0,24.0,25.0,21.0,26.0,18.0,15.0,9.0,15.0,4.0,13.0,32.0,49.0,56.0,17.0,2.0,2.0,3.0
19.0,Luis Salvador Batarsé Soto,331.0,45.0,28.0,15.0,13.0,14.0,15.0,9.0,15.0,79.0,13.0,16.0,10.0,35.0,17.0,2.0,2.0,3.0
21.0,Javier Ernesto Reyes Alburéz,333.0,27.0,24.0,27.0,37.0,18.0,15.0,9.0,15.0,18.0,13.0,32.0,42.0,32.0,17.0,2.0,2.0,3.0
22.0,Andrea Ara,340.0,31.0,75.0,6.0,7.0,3.0,2.0,9.0,15.0,22.0,13.0,18.0,59.0,56.0,17.0,2.0,2.0,3.0
23.0,Jorge Coreas,342.0,19.0,65.0,29.0,18.0,16.0,15.0,9.0,15.0,19.0,13.0,17.0,27.0,56.0,17.0,2.0,2.0,3.0
24.0,Luis Servando Canizalez,366.0,20.0,38.0,30.0,49.0,18.0,15.0,9.0,15.0,32.0,13.0,32.0,15.0,56.0,17.0,2.0,2.0,3.0
25.0,Diego Francisco Gálvez Valencia,371.0,64.0,40.0,42.0,34.0,18.0,15.0,9.0,15.0,47.0,13.0,22.0,18.0,14.0,13.0,2.0,2.0,3.0
26.0,Henrry Mixco,387.0,65.0,59.0,33.0,39.0,18.0,15.0,9.0,8.0,38.0,13.0,20.0,19.0,27.0,17.0,2.0,2.0,3.0
27.0,Francisco David Alas López,392.0,58.0,23.0,66.0,49.0,18.0,15.0,9.0,15.0,34.0,13.0,32.0,13.0,23.0,17.0,2.0,2.0,3.0
27.0,Daniel Coreas,392.0,33.0,61.0,16.0,14.0,18.0,15.0,9.0,15.0,40.0,13.0,32.0,46.0,56.0,17.0,2.0,2.0,3.0
29.0,Carlos Mauricio Esperanza Ramirez,400.0,15.0,15.0,3.0,49.0,18.0,15.0,9.0,15.0,13.0,13.0,32.0,123.0,56.0,17.0,2.0,2.0,3.0
29.0,Marcos Josué Dimas García,400.0,29.0,33.0,25.0,49.0,18.0,15.0,9.0,15.0,79.0,13.0,32.0,3.0,56.0,17.0,2.0,2.0,3.0
31.0,Anderson Dávila,408.0,53.0,37.0,57.0,36.0,18.0,15.0,9.0,15.0,23.0,13.0,32.0,26.0,56.0,11.0,2.0,2.0,3.0
32.0,Luis Fernando Blanco Flores,422.0,39.0,20.0,38.0,49.0,18.0,15.0,9.0,15.0,37.0,13.0,32.0,57.0,56.0,17.0,2.0,2.0,3.0
33.0,Matthew Hernández,423.0,32.0,27.0,84.0,49.0,18.0,15.0,9.0,15.0,58.0,13.0,32.0,29.0,18.0,17.0,2.0,2.0,3.0
34.0,Oscar Omar Fajardo Trigueros.,426.0,14.0,45.0,18.0,21.0,18.0,15.0,9.0,15.0,79.0,13.0,32.0,67.0,56.0,17.0,2.0,2.0,3.0
35.0,Vladimir Ernesto Fajardo,439.0,34.0,64.0,19.0,41.0,18.0,15.0,4.0,15.0,79.0,13.0,32.0,48.0,33.0,17.0,2.0,2.0,3.0
